# --- 1.0: Разговор насчёт следующего фильма в студии

	10.aa.0@101@t-mk-1@Привет, Макс. Кажется, пришло время кое-что обсудить. У тебя есть время?|Hi, Max. Hast du Zeit, unseren nächsten Film zu diskutieren?
	10.ab.3@60@Я не знаю всего, только свою часть. К тому же, Кира ещё даже не дописала до конца сценарий, как я поняла...|Ich kenne nur meinen Teil. Kira hat das Drehbuch sowieso nicht geschrieben, also kann ich unmöglich alles wissen.
		10.ab.4^		И какая она, твоя часть?|Also, was hältst du von deiner Rolle?

	10.ab.4@69@Очень... Волнующая. Хотя, я употребила бы другое слово... Макс, я всё равно тебе не скажу... Мне даже думать об этом стыдно...|Der Film sollte sehr.... aufregend sein. Nicht, dass ich dieses Wort in diesem Zusammenhang verwenden würde. Ich werde es nicht sagen, Max. Ich will nicht mal darüber nachdenken.
		10.ab.5^		Ого...|Wow...

	10.ab.5@67@Вот тебе и ого. Всё, хватит об этом. Я уже выключила свою песню о том, что это всё неправильно, но это не значит, что я смирилась. В любом случае, я не хочу продолжать этот разговор сейчас.|Ja, ja, wow. Das reicht jetzt. Nur weil ich aufgehört habe zu wiederholen, wie falsch alles ist, heißt das nicht, dass ich mit der Situation fertig geworden bin. Wie auch immer, ich will nicht darüber reden.
		leave!set_Momlust_48!set_poss.car_32^			Понял, мам...|Okay, Mom



# --- 1.0: Макс подходит к Алисе с целью узнать у неё детали фильма

	10.ac.0.init@0@Ты уже знаешь про новый фильм?|Weißt du etwas über dem nächsten Film?
	10.ac.0@21@Конечно! Тётя Кира мне всё уже рассказала...|Ja, Tante Kira hat mir schon alles erzählt.
		10.ac.1^		Всё всё?|<i>Alles</i>?

	10.ac.1@25@Ну, что планируется фильм и моя роль в нём...|Nun, zumindest mein Teil....
		10.ac.2^		И какая твоя роль?|Was wirst du in dem Film machen?

	10.ac.2@22@Если тебе она не рассказала, значит тебе и не положено пока всё знать...|Wenn sie es dir nicht gesagt hat, solltest du es nicht wissen.
		10.ac.3^		А почему ты знаешь?|Woher weißt du es dann schon?

	10.ac.3@25@Может быть, я более хорошая актриса, кто знает... И вообще, ты очень любопытный...|Vielleicht bin ich eine bessere Schauspielerin als du? Warum bist du überhaupt so neugierig?
		10.ac.4a^		Хорошая актриса?|Bessere Schauspielerin?
		10.ac.4b^		Да ничего ты не знаешь!|Du weißt selbst nichts!

	10.ac.4a@22@Да, а что такого? Мне и тётя Кира говорила и Миша хвалил... Хотя, с ним как раз всё понятно... Но мы отвлеклись...|Warum? Tante Kira und Michael lobten meine Leistung.... Ich bin mir nicht sicher, ob er über mein Schauspiel gesprochen hat.... Jedenfalls....
		10.ac.4b^		Я думаю, что ты ничего не знаешь о сюжете...|Ich glaube, du tappst genauso im Dunkeln wie ich.

	10.ac.4b@21@Думай что хочешь. Я знаю то, что должна знать. Ты, скорее всего, знаешь свою часть. А на съёмочной площадке узнаем точно, что именно задумала наша тётя...|Denke, was immer du willst. Ich kenne meinen Teil, du kennst deinen, Wir werden sehen. Das ganze Bild am Set.
		10.ac.4^		Да ничего я не знаю ещё...|Ich weiß noch gar nichts.

	10.ac.4@33@Вот видишь, тебе даже не доверяют информацию...|Siehst du, du bist nicht vertrauenswürdig genug, um sensible Informationen mit dir zu teilen.
		10.ac.5^		Блин...|Mist....

	10.ac.5@21@Да расслабься. Тебе хоть один фильм не понравился? Думаю, любой парень ещё бы и заплатил, чтобы оказаться на твоём месте. Разве не так?|Entspann dich, Max, warum kümmert es dich überhaupt? Hast du nicht alle vorherigen Filme geliebt? Ich bin sicher, dass jeder Kerl gerne dafür bezahlen würde, an deiner Stelle zu sein, denkst du nicht?
		10.ac.6^		Ну... да...|Ich vermute
		10.ac.6^		Согласен...|Du hast Recht.

	10.ac.6@25@Вот видишь! А может быть, просто тётя готовит тебе сюрприз. Да и не всё ещё написано, как она говорила. Наберись терпения!|Siehst du! Deine Tante will dich nur überraschen. Und das Drehbuch ist noch nicht fertig. Nur Geduld.
		leave!set_Momlust_49!set_poss.car_33^			Думаю, ты права...|Ja ja, Danke



# --- 1.0: Разговор с Кирой насчёт фильма (открывается после двух предыдущих диалогов)

	10.ad.0.init@0@Что там с фильмом?|Wegen dem Film...
	10.ad.0@101@Любопытно? Уже ко всем приставал с вопросами?|Neugierig? Hast du schon alle mit deinen Fragen belästigt?
		10.ad.1a^		Нет, что ты...|Nein...
		10.ad.1b^		Ну так, спросил кое-что...|Ich habe vielleicht ein oder zwei Fragen gestellt....

	10.ad.1a@103@Обманывать нехорошо, Макс. Особенно, меня! Твоя мама и Алиса уже рассказали, что ты пытался узнать их роли. А ведь я просила тебя этого не делать...|Du solltest nicht lügen, Max, besonders nicht mich. Deine Mom und Alice haben dich schon verpfiffen. Ich habe dich ausdrücklich gebeten, das nicht zu tun, Max.
		10.ad.1^		Извини...|Es tut mir leid.

	10.ad.1b@113@Кое-что? А мне показалось, что ты и маму пытал и Алису насчёт их ролей. А ведь я просила тебя этого не делать...|Ich denke, dass der Versuch, alles über den Film sowohl von deiner Mom als auch von Alice zu erfahren, mehr als eine oder zwei Fragen ist. Und ich habe dich ausdrücklich gebeten, das nicht zu tun, Max.
		10.ad.1^		Извини...|Es tut mir leid.

	10.ad.1@114@Ладно. Я понимаю твоё любопытство, но так и правда будет лучше, поверь.|Ich verstehe deine Neugier, aber es ist besser für alle.
		10.ad.2^		Ладно...|Okay

	10.ad.2@100@В общем, я всё дописала, через несколько дней сможем приступать. Думаю, тебе понравится. Но есть ещё кое-что, о чём нам нужно поговорить...|Übrigens, ich habe das Drehbuch fertig, wir können den Film in den nächsten Tagen drehen. Ich denke, es wird dir gefallen. Aber zuerst müssen wir etwas besprechen.
		fastmax<2&10.ad.3a^		О чём?|Was?
		fastmax>1&10.ad.3b^		О чём?|Was?

	10.ad.3a@103@Ты знаешь, в этот раз будет нечто, что тебе понравится, но я боюсь, что ты слишком быстро кончишь. Ты же у нас не очень выносливый в этом плане...|Ich bin sicher, du wirst mein neues Drehbuch mögen, aber ich fürchte, du könntest zu früh kommen. Du bist nicht sehr.... ausdauernd...
		10.ad.3a.2^		Ты меня скорострелом назвала?|Nennst du mich einen schnellen Schuss?

	10.ad.3a.2@101@А разве не так? Стоит тебе возбудиться, пара движений и всё... Но это нормально для твоего возраста. Кругом полуголые девушки, постоянное возбуждение, тут любой бы не выдержал...|Liege ich falsch? So viel hältst du nicht aus, Max. Es ist okay für dein Alter, vor allem mit spärlich gekleideten Damen überall im Haus.
		10.ad.3a.3^		Да я справлюсь!|Mir geht es gut!

	10.ad.3a.3@100@Ты знаешь, у нас будет очень мало времени для съёмок, особенно в студии. И если ты кончишь раньше времени, придётся ждать, пока восстановишься, а если опять не выдержишь, то ещё и так далее...|Wir werden nicht viel Zeit für die Dreharbeiten haben, Max, besonders nicht im Studio. Und wenn du zu früh kommst, können wir es uns nicht leisten, auf deine Erholung zu warten. Besonders, wenn wir mehr als einmal warten müssen.
		10.ad.3a.4^		Что же ты там такое задумала?|Hast du eine Lösung im Sinn?

	10.ad.3a.4@101@Я просто хочу предусмотреть все возможные проблемы и как-то подстраховаться...|Ja, ich habe eine Idee.
		10.ad.3a.5^		Ладно, рассказывай что ты предлагаешь...|Ich höre

	10.ad.3a.5@100@В общем, эта проблема вполне распространённая. И в нашей студии для этих целей перед съёмками использовали особый препарат, который позволял продлевать эрекцию достаточно долго, но...|Wie du vielleicht schon weißt, sind diese Probleme in der Pornobranche etwas verbreitet. Normalerweise benutzten Schauspieler aus unserem Studio eine spezielle Pille, die ihnen eine Erektion für eine längere Zeit verschaffen würde, aber....
		10.ad.3a.6^		Но?|<i>fortfahren</i>

	10.ad.3a.6@103@Но потом выяснилось, что есть побочные эффекты и препарат запретили. Однако, появился ещё один, но его пока никто не испытывал. Хорошая новость в том, что его надо принять всего один раз...|Aber dann stellte sich heraus, dass die Pillen schlechte Nebenwirkungen hatten und vom Markt genommen wurden. Jetzt haben wir ein neues Medikament, aber noch hat es niemand im Studio ausprobiert. Die gute Nachricht ist, dass man es nur einmal nehmen muss....
		10.ad.3b.4a^	Почему?|Und das sind gute Neuigkeiten?
		10.ad.3b.4b^	Цианид тоже достаточно один раз принять...|Der letzte Teil klingt irgendwie ominös....

	10.ad.3b@101@В этом фильме я боюсь, что ты не справишься с возбуждением и кончишь раньше времени... Мы с тобой уже об этом говорили, помнишь?|Ich fürchte, du wirst nicht den ganzen Film durchhalten. Weißt du noch, wie wir darüber gesprochen haben?
		10.ad.3b.2^		Помню, конечно...|Das tue ich....

	10.ad.3b.2@112@Я тогда говорила об одном препарате, который принимали некоторые из наших актёров...|Ich habe die Droge erwähnt, die einige unserer Schauspieler nahmen, richtig?
		10.ad.3b.3^		И что, ты его достала?|Ja. Wirst du welche für unseren nächsten Film besorgen?

	10.ad.3b.3@100@Нет, у него оказались не очень хорошие побочные эффекты. Однако, появился ещё один, но его пока никто не испытывал. Хорошая новость в том, что его надо принять всего один раз...|Nein, es stellte sich heraus, dass die letzte Droge einige böse Nebenwirkungen hat. Also können wir jetzt eine andere, neue Droge haben. Die gute Nachricht ist, dass man es nur einmal nehmen muss....
		10.ad.3b.4a^	Почему?|Und das sind gute Neuigkeiten?
		10.ad.3b.4b^	Цианид тоже достаточно один раз принять...|Der letzte Teil klingt irgendwie ominös....

	10.ad.3b.4a@101@Ну потому, что прошлый препарат был дорогой и его надо было принимать прямо перед съёмками, а этот всего один раз. Скорее всего, это позволит сэкономить очень много...|Ja, das frühere Medikament war sehr teuer und man musste es vor jedem Shooting einnehmen. Du wirst eine Menge Geld sparen.
		10.ad.3^		Ясно. А какая альтернатива?|Ich verstehe. Und die Alternative?

	10.ad.3b.4b@113@Макс, не шути так. Производитель заявляет, что эффект остаётся постоянным и никаких последствий. Конечно, никто не верит в такие заявления, поэтому я и сомневаюсь...|Der Hersteller steht zu seinem Produkt und verspricht keine Nebenwirkungen. Nicht, dass ihr Wort jetzt etwas wert wäre....
		10.ad.3^		А какая альтернатива?|Und die Alternative?

	10.ad.3@100@Альтернатива? Ну можешь ничего не принимать, но тогда мы очень рискуем не снять этот фильм и тогда будут убытки...|Ich schätze, du nimmst die Pille nicht und riskierst es, die Dreharbeiten zu ruinieren, also anstatt Geld zu verdienen, werden wir am Ende das Studio nur bezahlen....
		10.ad.4^		Хм...|Hm...

	10.ad.4@101@На твоём месте я бы попробовала. Во-первых, ты бы лучше справлялся со съёмками и вёл бы себя как настоящий порноактёр... Я имею в виду выносливость в плане секса...|Ich würde es nehmen, wenn ich du wäre. Zuerst würde es beim Film helfen. Und zweitens hältst du auch außerhalb des Studios länger durch.
		10.ad.5^		А во-вторых?|Ich verstehe...

	10.ad.5@103@А во-вторых, эффект сохранится и дома. Сможешь делать гораздо больше... Ну ты же и сам догадываешься, верно?|Ich bin sicher, du wirst viele gute Verwendungsmöglichkeiten für deine neu entdeckte Ausdauer finden.
		10.ad.6^		Тогда чего думать?|Was gibt es dann zu denken?

	10.ad.6@113@Значит, ты согласен? Несмотря на возможные побочные эффекты?|Also, stimmst du zu? Trotz möglicher Nebenwirkungen?
		10.ad.7^		Ну мы же о них не знаем?|Aber wir wissen nichts über sie.

	10.ad.7@101@Да. Лишь бы не навредить твоему здоровью... Ладно, я его достану. Говорят, первая доза бесплатно...|Tun wir nicht. Ich hoffe, wir schaden nicht deiner Gesundheit.... Okay, ich hole dir die Pillen. Die erste Dosis gratis....
		10.ad.8^		Это наркотик?!|Was!?

	10.ad.8@114@Да шучу я. Конечно, это будет стоить денег, но раз ты рискуешь, то платить буду я. Скорее всего, достать его смогу только прямо перед съёмками. Так что, я тоже рискую. Вдруг не подействует?|Ich mache nur Spaß. Da du das Risiko auf dich nimmst, bin ich derjenige, der dafür bezahlt. Ich werde es dir wahrscheinlich direkt vor den Dreharbeiten geben. Also riskiere ich es auch. Was, wenn es nicht funktioniert?
		10.ad.9^		Будем надеяться...|Hoffen wir das Beste....

	10.ad.9@113@Ага. Ладно, хватит об этом. И, Макс, пожалуйста, перестань расспрашивать свою маму и Алису о сюжете. Я обещаю, тебе понравится! Да, чуть не забыла, вот твой текст, подготовься, выучи свои реплики и не стесняйся действовать по ситуации...|Okay, das reicht jetzt. Und bitte hör auf, deine Mutter und Alice mit deinen Fragen zu belästigen. Ich bin sicher, unser Film wird Ihnen gefallen. Hier sind deine Zeilen. Lerne alles und fürchte dich nicht, zu improvisieren, wenn sich die Gelegenheit bietet.
		10.ad.10^		Любопытно...|Okay

	10.ad.10@101@Через несколько дней сможем приступить к съёмкам. Ну всё, иди готовься...|Wir können in ein paar Tagen mit den Dreharbeiten beginnen. Mach dich bereit....
		leave!set_Momlust_50!set_dcd.Momlust_3!set_poss.car_34^			Ага, хорошо!|Okay



# --- 1.0: Начало съёмок (с диалога у бассейна с Анной и Кирой)

	10.ae.0@101@t-mk-1@Хорошо, что ты здесь, Макс. У нас всё готово для съёмок. Ты готов?|Hi, Max, wir sind bereit zum Drehen. Bist du bereit?
		10.ae.1^		Всегда готов!|Immer!
		10.ae.1^		Конечно!|Natürlich!

	10.ae.1@113@Очень хорошо. Тогда давайте все собираться и едем в студию.|Gut. Dann lass uns ins Studio gehen.
		10.ae.2!set_wro_0^		А Алиса?|Was ist mit Alice?

	10.ae.2@101@А она уже туда направляется. К нашему приезду, скорее всего, уже будет там...|Sie ist bereits auf dem Weg dorthin. Sie wird wahrscheinlich vor uns da sein.
		10.ae.3^		Ну, поехали!|Dann lass uns gehen.

	10.ae.3@22@a-studio-1@Весёленькая комната... А почему такие яркие цвета?|Interessantes Zimmer.... Die Farben sind so leuchtend!
		10.ae.4^		<i>далее</i>|<i>fortfahren</i>

	10.ae.4@114@Ну это же шоу. Для зрелищности нужны яркие цвета, образы... Но украшает фильм всё равно не интерьер, а актёры. И нам очень повезло с этими самыми актёрами...|Es ist ein Set, es soll knallen, um den Film bunter zu machen. Der wichtigste Teil des Films sind jedoch die Schauspieler. Und wir haben großes Glück in dieser Abteilung.
		10.ae.5^		<i>далее</i>|<i>fortfahren</i>

	10.ae.5@21@a-studio-2@Спасибо, тётя Кира... Ладно, что дальше?|Danke, Tante Kira. Was kommt als nächstes?
		10.ae.6^		<i>далее</i>|<i>fortfahren</i>

	10.ae.6@101@Теперь вам нужно переодеться. Я привезла всю одежду, всё постирано, поглажено и ждёт вас. Да, Макс, не забудь выпить витаминку...|Jetzt solltest du dich umziehen. Ich habe alles, was wir brauchen, alles ist sauber und bereit und wartet auf dich. Vergiss nicht, das zu nehmen, Max.
		10.ae.7^		Хорошо...|Okay

	10.ae.7@31@Что, Максу требуется виагра? А я думала, что ты и так силён, братишка...|Oh, nimmt Max jetzt auch Medikamente ein? Kannst du nicht mehr alleine auftreten, Bruder?
		10.ae.8^		Это не то, что ты думаешь!|It's not that!

	10.ae.8@103@Да, Алиса, это просто... витамины. Ну всё, хватит об этом, переодевайтесь!\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Nein, Alice, es sind nur.... Vitamine. Jetzt zieh dich um.\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		10.ae.9^		Ага...|Okay

	10.ae.9@114@a-studio-3@Ого, отлично выглядите! Ань, а ты просто... Будь я мужиком, накинулась бы прямо сейчас!|Du siehst toll aus! Besonders du, Ann. Wenn ich ein Mann wäre, würde ich dich jetzt sofort bespringen!
		10.ae.10^		Хм...|Hm...

	10.ae.10@62@Спасибо, Кира, конечно... Ты говорила, что у нас мало времени. Может быть, приступим?|Danke, Kira.... Du hast etwas über die Zeit gesagt, sollen wir anfangen?
		10.ae.11^		<i>далее</i>|<i>fortfahren</i>

	10.ae.11@101@Да, конечно! Макс, иди сюда, жди своей роли. Ну, начали!|Ja, Natürlich. Max, geh da rüber und warte auf dein Zeichen.\n\nAction!
		10.ae.12^		<i>далее</i>|<i>fortfahren</i>

	10.ae.12@62@a-studio-4@Дочь, присаживайся, мне нужно с тобой серьёзно поговорить...|Setz dich, Tochter, wir müssen reden.
		10.ae.13^		<i>далее</i>|<i>fortfahren</i>

	10.ae.13@23@a-studio-5@О чём, мам? Что-то случилось?|Worüber, Mom? Ist etwas passiert?
		10.ae.14^		<i>далее</i>|<i>fortfahren</i>

	10.ae.14@60@a-studio-6@Да, случилось. Мне звонили из школы и сказали, что ты прогуливаешь все уроки сексуального воспитания! Ты знаешь, что за это тебя могут отчислить из школы?|Ja. Ich hatte einen Anruf aus der Schule, sie haben mir gesagt, dass du das Schuhlfach Sex nicht hast! Dafür kannst du rausgeschmissen werden!
		10.ae.15^		<i>далее</i>|<i>fortfahren</i>

	10.ae.15@20@a-studio-5@Мам, да это же бред! Я всё знаю, что нужно! Эти уроки для ботаников, которые не знают откуда дети берутся...|Aber es ist so dumm! Ich weiß schon alles! Der Kurs ist für Nerds, die nichts wissen.
		10.ae.16^		<i>далее</i>|<i>fortfahren</i>

	10.ae.16@68@a-studio-6@Вот как? Интересно, и откуда же ты всё знаешь? Ты же ни на один урок не ходила! Ну хорошо. Я дам тебе шанс доказать, что ты и правда готова к взрослой жизни, так сказать...|Oh, und du weißt schon alles, ohne jemals zum Unterricht zu gehen? Okay, ich gebe dir die Chance, dich zu beweisen.
		10.ae.17^		<i>далее</i>|<i>fortfahren</i>

	10.ae.17@22@a-studio-5@Доказать? Каким образом? Рассказать что у кого где? Или что?|Mich beweisen? Wie? Willst du mich ausfragen oder so?
		10.ae.18^		<i>далее</i>|<i>fortfahren</i>

	10.ae.18@62@a-studio-6@У меня есть идея получше. Рассказывать ничего не нужно, будешь сдавать экзамен! Сынок, подойди пожалуйста!|Ich habe eine bessere Idee. Du wirst beweisen, dass du dich mit Taten auskennst. Eine Art Prüfung. Sohn, komm rüber, bitte!
		10.ae.19^		<i>далее</i>|<i>fortfahren</i>

	10.ae.19@23@a-studio-7@Что? Какой экзамен? И зачем он тут?|Welche Prüfung? Warum ist er hier?
		10.ae.20^				Мам, ты звала?|Du hast mich angerufen, Mom?
		10.ae.20!add_wro_1^		Не твоё дело!|Das geht dich nichts an!

	10.ae.20@67@a-studio-8@Да, сынок, присаживайся. Нам нужно поговорить об образовании. Точнее, сексуальном образовании.|Komm her, mein Sohn. Wir müssen über Bildung reden. Genauer gesagt, Sexualkunde.
		10.ae.21!add_wro_1^		О чём?|Was?
		10.ae.21^				Хорошо, мам...|Okay, Mom

	10.ae.21@60@a-studio-9@Ты знаешь, что твою сестру собираются отчислить из школы из-за того, что она прогуливает уроки сексуального образования?|Wusstest du, dass deine Schwester verwiesen wird, weil sie den Sexunterricht auslässt?
		10.ae.22^				Ого! Это серьёзно!|Wow! Das ist ernst!
		10.ae.22!add_wro_1^		Ну и пусть!|Eh, schön für mich.

	10.ae.22@62@Вот именно. Я тоже так думаю. Кстати, а ты не прогуливаешь эти уроки, надеюсь?|Das ist eine ernste Situation, Max. Ich hoffe, du gehst zu deinen Kursen, oder?
		10.ae.23^				Нет, мам. Я всегда хожу!|Natürlich, ich gehe zu allen meinen Kursen.
		10.ae.23!add_wro_1^		Такое нельзя прогуливать!|Auf keinen Fall würde ich Sexualkunde verpassen!

	10.ae.23@22@Не сомневаюсь! Откуда же ты ещё можешь узнать что там у женщин под юбкой? Наверняка, потом дрочишь на эти учебники...|Wo sonst lernt man etwas über Frauen. Du hast dir wahrscheinlich auch einen runtergeholt, Nerd.
		10.ae.24!add_wro_1^		Ну, бывает...|Manchmal...
		10.ae.24^				Эй, следи за языком!|Hey!

	10.ae.24@62@Так, если ты у нас такая образованая и всезнающая, сейчас посмотрим, на что ты способна. И в этот раз обойдёмся без учебников. К счастью, у нас есть мужчина...|Wenn du so klug bist, lass uns sehen, was du weißt. Und wir brauchen keine Lehrbücher. Zum Glück haben wir einen Mann bei uns....
		10.ae.25^		<i>далее</i>|<i>fortfahren</i>

	10.ae.25@23@a-studio-10@Мам, ты о чём? Какой мужчина?|Was meinst du, Mom? Welcher Mann?
		10.ae.26^		<i>далее</i>|<i>fortfahren</i>

	10.ae.26@60@a-studio-9@Так, сынок... Встань, пожалуйста сюда и... сними брюки...|Okay, Sohn.... Bitte steh auf und zieh deine Hose aus.
		10.ae.27^				Хорошо, мам!|Okay, Mom
		10.ae.27!add_wro_1^		А трусы?|Unterwäsche auch?

	10.ae.27@24@a-studio-11@Мам! Он же мой брат! Что ты хочешь, чтобы я делала?!|Mom! Er ist mein Bruder! Was soll ich tun!?
		10.ae.28^		<i>снять брюки</i>|<i>Unterhosen ausziehen</i>

	10.ae.28@30@a-studio-12@Ого, какой огромный... И... И зачем мне на это смотреть, мам?|Wow, so riesig.... W-Warum muss ich es sehen, Mom?
		10.ae.29^		<i>далее</i>|<i>fortfahren</i>

	10.ae.29@69@a-studio-13@Да, сынок, ты подрос... В некоторым местах особенно... Настоящий мужчина! А ты давай на колени, посмотрим что именно ты знаешь о сексе...|Ja, mein Sohn, du bist gewachsen.... Du bist ein richtiger Mann geworden! Und du, geh auf die Knie, mal sehen, was du über Sex weißt.
		10.ae.30^		<i>далее</i>|<i>fortfahren</i>

	10.ae.30@23@a-studio-14@Но мам... Что я должна делать? Он же мой брат и это изврашение, я даже смотреть не хочу на его... на него... Это неправильно!|Aber Mama.... Was soll ich tun? Er ist mein Bruder und es ist falsch, ich will ihn nicht einmal sehen....
		10.ae.31^		<i>далее</i>|<i>fortfahren</i>

	10.ae.31@62@Так, давай без разговоров! Покажи, что ты способна доставить мужчине удовольствие. Для начала оральное. А ты, сынок, воздержись от комментариев. Твоя сестра сдаёт экзамен, так сказать...|Keine Widerrede! Beweise mir, dass du einem Mann gefallen kannst. Fangen wir mit mündlich an. Bitte sag nichts, Sohn. Deine Schwester macht eine Prüfung, sozusagen....
		10.ae.32^				Я нем как рыба!|Ich werde still sein.
		10.ae.32!add_wro_1^		<i>молчать</i>|<i>sei ruhigt</i>

	10.ae.32@21@И туп как пробка! Я не буду ему сосать! Я лучше буду ходить на эти уроки!|Ich werde diesem Schwachkopf keinen blasen! Ich würde lieber zum Sexunterricht gehen!
		10.ae.33!add_wro_1^		Будешь, ещё как будешь!|Du wirst beides tun.
		10.ae.33^				Сама ты как пробка!|Ich bin kein Idiot!

