# --- 0.7: Диалог с Кирой насчёт прогресса по маме

	07.abc.0.init@0@Ну, как с мамой спится?|Also, wie ist es, mit Mom zu schlafen?
	07.abd.0.init@0@А что насчёт той фотосессии?|Irgendwelche Neuigkeiten über die Fotosession?
	07.abd.0@101@Ах, да. Я показала кадры нужному человеку и угадай что?|Ja, ich habe es meinem Mann gezeigt und rate mal was?
		07.abd.1a^		Ему понравилось?|Er mochte es?
		07.abd.1b^		Ему не понравилось?|Hat es ihm nicht gefallen?

	07.abd.1a@113@Ага. Кажется, его зацепило. Я даже сама не ожидала, что такой эффект это произведёт.\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Ja. Ich glaube, er ist süchtig. Ich habe nicht so eine gute Reaktion erwartet, um ehrlich zu sein.\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		07.abd.1!set_poss.car_1^		И что дальше?|Was kommt als nächstes?

	07.abd.1b@114@Угу... Всё пропало... Да шучу я! На удивление, всё прошло отлично. Даже сама не ожидала...|Ja, alles ist verloren.... Nein, nicht. Alles lief noch besser, als ich erwartet hatte.
		07.abd.1^		И что дальше?|Was kommt als nächstes?

	07.abd.1@103@Похоже, больше тебе не придётся платить маме через меня. Скоро она сама сможет зарабатывать. Да кто знает, может и ты тоже!|Ich glaube nicht, dass du Mom für Fotosessions bezahlen musst. Sie wird früh genug anfangen, Geld zu verdienen. Und wer weiß, vielleicht bist du das auch!
		07.abd.2^		Ого...|Wow

	07.abd.2@101@Он попросил твою маму приехать на кастинг, когда мы будем готовы...|Wie auch immer, der Typ hat deine Mutter zum Casting eingeladen, also gehen wir bald.
		07.abd.3^		Мы?|Wir?

	07.abd.3@100@Ну не ты и мама, а мы с ней. Потребуется на камеру изобразить лесбийскую сцену... Кажется, теперь твоей маме не отвертеться...|Ich meine deine Mom und ich, nicht deine Mom und du. Wir müssen eine Lesbenszene machen. Ich glaube, deine Mom ist praktisch im Geschäft.
		07.abd.4^		А как же я?|Was ist mit mir?

	07.abd.4@113@Тоже хочешь?|Willst du mitmachen?
		07.abd.5^		Конечно!|Natürlich!
		07.abd.5b^		Нет, не хочу...|Nicht wirklich....

	07.abd.5b@114@Думаешь, я тебе поверю, что ты не хочешь сниматься в порно, трахать моделей на камеру и ещё получать за это приличные деньги?|Erwartest du wirklich, dass ich glaube, dass du keine schönen Frauen vor der Kamera ficken willst und Geld dafür bekommst?
		07.abd.5c^		Что за вопрос? Конечно!|Wenn du es so sagst....
		07.abd.5c^		Ну, если так...|Huh, ich schätze, du hast Recht.

	07.abd.5c@101@Вот только не всё сразу. Это в будущем. Для начала тебе нужно исполнить другую роль. Роль наблюдателя...|Es wird aber noch eine Weile dauern. Zuerst wirst du eine andere Rolle spielen. Ein Zuschauer.
		07.abd.6^		Это как? Подглядывать с балкона?|Du meinst, vom Balkon aus spionieren?

	07.abd.5@113@Ну, ты тоже сможешь сыграть свою роль, но скорее наблюдателя...|Du wirst auch eine Rolle spielen können, aber du wirst ein Zuschauer sein....
		07.abd.6^		Это как? Подглядывать с балкона?|Du meinst, vom Balkon aus spionieren?

	07.abd.6@114@Нет. Нам же придётся этим заниматься перед публикой, ну как минимум перед директором студии на кастинге, а чтобы убедиться, что всё хорошо, надо бы потренироваться в более комфортной обстановке при свидетелях...|Nein. Wir müssen die Szene vor dem Publikum beim Casting machen, also versuchen wir es am besten zuerst vor einem kleineren und bekannteren Publikum.
		07.abd.7^		И я буду этим свидетелем?|Und da komme ich ins Spiel?

	07.abd.7@103@Именно, Макс! Ты же не против?|Das ist richtig. Es macht dir doch nichts aus, oder?
		07.abd.8^		Что ты! Я смогу сидеть и смотреть, как вы друг дружку...|Natürlich nicht! Ich werde euch beiden zusehen....

	07.abd.8@114@Что мы друг дружку?|Uns beiden was zuschauen?
		07.abd.9^		Ну... Или я не так понял?|Warte, verstehe ich das falsch?

	07.abd.9@113@Да всё ты так понял. Надеюсь, что всё так и будет. Осталось дело за малым - убедить в этом всём твою маму...|Nein, alles sollte so laufen, wie du es dir vorgestellt hast. Jetzt muss ich nur noch deine Mom überreden....
		07.abd.10^		Моя помощь нужна?|Brauchst du meine Hilfe?

	07.abd.10@101@Не думаю... Вообще, с мамой на эту тему пока не разговаривай. Мне нужно её достаточно раскрепостить, пока мы с ней спим вместе. А когда она будет готова, я тебе скажу...|Nein. Es ist das Beste, wenn du nicht mit deiner Mom darüber redest. Zuerst muss ich an ihr arbeiten.... Schüchternheit im Bett. Ich sage dir, wenn sie bereit ist.
		leave!set_mwit_1!set_kirabed_8!set_dcd.momlust_2^		Хорошо, буду ждать...|Okay, ich werde warten.



# --- 0.7: Кира говорит Максу, что маму удалось убедить и они даже немного покувыркались

	07.abe.0.init@0@Как у вас с мамой?|Wie läuft es mit Mom?
	07.abe.0@113@Ага, любопытно? Ну что я могу тебе сказать... Всё в порядке! Не очень то твоя мама долго и ломалась...|Neugierig? Ich schätze, ich könnte es dir sagen. Alles ist großartig. Deine Mom hat nicht mal so getan, als wäre sie dagegen....
		mwit<2&07.abe.1^		А подробнее?|Gib mir ein paar pikante Details!
		mwit>1&07.abe.1b^		А подробнее?|Gib mir ein paar pikante Details!

	07.abe.1b@114@Подробнее? Думаешь, я не видела тебя на балконе? Ты же сам всё видел! У вас же шкафы зеркальные, забыл? Так какие подробности тебя интересуют?|Denkst du, ich habe dich nicht auf dem Balkon gesehen? Du hast alles selbst gesehen! Ihr habt Spiegel an der Garderobe, erinnerst du dich? Was willst du wissen?
		07.abe.1^		Как её удалось убедить?|Wie hast du es geschafft, sie dazu zu überreden?

	07.abe.1@112@У женщин свои секреты... А вообще, твоя мама достаточно крепко спит. Нежные ласки, поцелуи и всё такое... И есть ещё кое-что, что я выяснила насчёт твоей мамы. Не уверена, что стоит рассказывать...|Frauen sollten einige Geheimnisse haben.... Deine Mom schläft tief. Einige sanfte Streicheleinheiten, Küsse und dergleichen.... Und ich habe etwas über deine Mom gelernt. Ich bin nicht sicher, ob ich es dir sagen soll....
		07.abe.2^		Рассказывай!|Sage es mir.

	07.abe.2@103@Не сомневалась! Не знаю как тебе это поможет в чём-то, но... когда твоя мама перевозбуждена, её перестаёт волновать вообще всё. Конечно, это происходит со многими, но у твоей мамы просто отказывают все тормоза...|Ich weiß nicht, ob es dir hilft, aber.... Wenn deine Mom sehr erregt ist, schaltet sie alle ihre Hemmungen ab. Es ist nicht gerade einzigartig, viele Leute haben das, aber wenn deine Mom so wird, ist sie wie eine ganz andere Person.
		07.abe.3^		Ого!|Wow!

	07.abe.3@101@Главное - достаточно её возбудить. Ну это у меня получается очень хорошо... Ты же и так это знаешь, верно? Ну и... всё получилось. Больше всего я переживала, что на утро она меня вышвернет из дома...|Wir müssen sie nur zuerst dorthin bringen. Und ich bin sehr gut darin.... Was keine Überraschung für dich ist, oder? Nun.... so ist das alles passiert. Ich hatte Angst, dass sie mich am nächsten Morgen rauswirft....
		07.abe.4^		Видимо, не вышвырнула?|Ich schätze, das hat sie nicht?

	07.abe.4@100@Да ты превзошёл себя, Холмс! На утро она сделала вид, что ничего и не было, но... в её глазах я вижу, что ей очень понравилось и даже думаю, что она ждёт продолжения...|Ohne Scheiß, Sherlock. Am nächsten Morgen tat sie so, als sei nichts passiert, aber ich kann es in ihren Augen sehen, wie sehr sie es mochte. Ich bin mir ziemlich sicher, dass sie mehr will....
		mwit<2&07.abe.5^		Но мама же против однополой любви и всего такого, так сказать...|Aber war sie nicht gegen die ganze Lesben-Sache und so?
		mwit>1&07.abe.5b^		Но мама же против однополой любви и всего такого, так сказать...|Aber war sie nicht gegen die ganze Lesben-Sache und so?

	07.abe.5b@113@Макс, ну ты же сам всё видел. Она не только не сопротивлялась, а очень хотела продолжения... А когда ты ушёл, началось такое...|Du hast es selbst gesehen, Max. Nicht nur, dass sie nicht dagegen war, sie war wirklich dabei.... Und nachdem du gegangen bist....
		07.abe.6^		Како??!|Was?

	07.abe.5@114@Чувства не лгут. Говорить она может что угодно, но ночью она ясно дала понять, что очень этого хочет... Я не ожидала такой страсти...|Sie kann sagen, was sie will, aber ich weiß, wie sie sich wirklich fühlt.... Ich habe nicht so viel Leidenschaft erwartet....
		07.abe.6^		Какое?!|Was?

	07.abe.6@101@Ну, девочки о таком не рассказывают... Думаю, всё дело в Эрике. Во-первых, он не так уж и хорош был в постели, а во-вторых, его уже нет, а желание осталось... Но она никогда в этом не признается, конечно...|Ich werde nicht die ganze Nacht Schritt für Schritt erzählen, Max. Wie auch immer, ich glaube, es ist wegen Eric. Erstens war er nicht so gut im Bett, und zweitens ist er nicht mehr da, aber deine Mutter hat immer noch ihre Bedürfnisse. Nicht, dass sie das je anerkennen würde.
		07.abe.7^		Похоже на то...|Ich schätze, du hast Recht.

	07.abe.7@113@Ну, и с этим разберёмся. Кстати, скоро её кастинг, нам надо ускориться. Теперь пришло время потренироваться перед кем-то, чтобы убедиться, что последний барьер снят...|Übrigens, das Casting ist ziemlich bald, also sollten wir bald unser Training mit einem Publikum haben....
		07.abe.8^		Перед кем-то?|Und mit dem Publikum meinst du....

	07.abe.8@114@Конечно, перед тобой, Макс! Не переживай, всё остаётся в силе. Я ещё с ней поговорю, но после того, что было... думаю, всё будет хорошо.|Dich, offensichtlich. Keine Sorge, nichts hat sich geändert. Ich werde mit ihr reden, aber nach allem, was wir getan haben, werden wir keine Probleme haben.
		07.abe.9^		Так и что мне делать?|Also, was muss ich tun?

	07.abe.9@101@Обычно я прихожу домой чуть раньше в четверг, точнее в ночь на пятницу. Вот если у тебя не будет никаких дел, заглядывай, что-нибудь придумаем...|Komm nächsten Donnerstag Abend vorbei und wir werden uns was einfallen lassen.
		07.abe.10^		Что-нибудь?|Irgendwas?

	07.abe.10@112@Макс, ну всё ты понял. В общем, приходи, тебе понравится...|Du weißt schon. Wie auch immer, sei unser Gast, es wird dir gefallen.
		leave!set_kirabed_9!set_poss.car_2^			Не сомневаюсь!|Würde ich um nichts in der Welt verpassen!



# --- 0.7: Макс подглядывает за мамой и Кирой

	07.abf.0@3@p-kiran-1@<i>Вот это я удачно заглянул! Время зря не теряют! Кажется, мама не играет и ей правда это всё нравится... А ещё говорила, что это всё неправильно... Правильно, ещё как!</i>|<i>Was für eine Aussicht! Sieht so aus, als ob Mom das wirklich genießt.... Und sie sagt, es ist alles falsch.... Das ist sozusagen richtig!</i>
		07.abf.1^		<i>далее</i>|<i>fortfahren</i>

	07.abf.1@4@p-kiran-2@<i>Вот это да... Такой ракурс... Порно можно снимать прямо сейчас! Ладно, не мешать Кире достигать нашей цели... Или её собственной? Не важно...</i>|<i>Das ist wirklich gut, wir würden so viel Geld damit verdienen.... Ich will Tante Kira nicht stören, unseren Plan zu erreichen.... Ihr Plan? Was auch immer....</i>
		leave!max_cam.2.grow_250!set_mwit_2!lock^		<i>тихо уйти</i>|<i>leise verschwinden</i>



# --- 0.7: Макс пришёл наблюдать за мамой и Кирой, его приглашают

	07.abg.0@112@p-kiran-3@О, вот и Макс... Проходи, а мы тут уже начали без тебя...|Und hier ist Max.... Komm rein, wir haben ohne dich angefangen....
		07.abg.1^		А... ага, не обращайте на меня внимания...|Ja, lass dich von mir nicht stören.

	07.abg.1@69@p-kiran-4@Кира... Может, не стоит это... при Максе...|Müssen wir das vor Max machen?
		07.abg.2^		<i>далее</i>|<i>fortfahren</i>

	07.abg.2@113@Ань, мы уже сто раз с тобой это обсудили. Это нужно для дела. Нам нужны свидетели, чтобы убедиться, что тебя они не спугнуть. Макс - отличный кандидат. К тому же, он и сам не против посмотреть, как ты знаешь...|Wir haben schon hundertmal darüber gesprochen, Ann. Das tun wir. Wir müssen sicherstellen, dass du keine kalten Füße vor Publikum bekommst. Max ist ein großartiger Kandidat. Und er will zuschauen, Win-Win für alle.
		07.abg.3^		Д-да, я всегда за!|Yeah, I'm all in!

	07.abg.3@112@p-kiran-5@Макс, проходи, садись на кровать. Только ничего не говори и не трогай. Просто наблюдай, хорошо?|Komm rein, Max, setz dich aufs Bett. Sag nichts und fass nichts an, du kannst nur zusehen.
		07.abg.4^		Без проблем!|kein Problem

	07.abg.4@4@p-kiran-6@<i>Я сплю? Мама трахается с Кирой в метре от меня! И мне можно на это всё смотреть... Не только можно, но и ещё и нужно! Для дела же...</i>|<i>Träume ich? Mama und Tante Kira sind direkt vor mir! Und ich darf zusehen.... Nicht nur kann, <b>muss</b> beobachten!</i>
		07.abg.5^		<i>далее</i>|<i>fortfahren</i>

	07.abg.5@3@p-kiran-7@<i>Это лучшее шоу, что я видел! Вот бы ещё и потрогать... И не только потрогать... Но нельзя... пока...</i>|<i>Das ist die beste Show, die ich je gesehen habe! Wenn ich nur auch anfassen könnte.... Aber ich kann nicht.... im Moment, zumindest nicht....</i>
		07.abg.6^		<i>далее</i>|<i>fortfahren</i>

	07.abg.6@5@p-kiran-8@<i>И когда моя мама научилась это так делать? Она же никогда по девочкам вроде... Или только так говорила? Похоже, у мамы полно сюрпризов!</i>|<i>Wann hat Mom das überhaupt gelernt? Sie sollte keine Erfahrung in diesem Bereich haben.... War das eine Lüge? Sieht so aus, als ob Mom voller Überraschungen wäre!</i>
		07.abg.7^		<i>далее</i>|<i>fortfahren</i>

	07.abg.7@113@p-kiran-9@Ань, нашему зрителю очень нравится то, что ты делаешь... И не только зрителю... О да... да... я опять кончаю...|Sieht so aus, als ob das Publikum uns liebt! Und er ist nicht der Einzige.... Ja! Ja....! Ich komme wieder....
		07.abg.8^		<i>Ого!</i>|<i>Wow!</i>

	07.abg.8@114@p-kiran-10@Ну как, Макс, мы достаточно убедительны были?|Also, Max, waren wir überzeugend genug?
		07.abg.9^		А вы типа так играли?|Willst du damit sagen, dass du nur so getan hast?
		07.abg.9^		Это не по-настоящему было?|Das war nicht echt?

	07.abg.9@112@Не знаю как ты, Ань, но я кончила пару раз на самом деле... К тому же, чем более натурально всё и естественно, тем лучше фильм, как известно...|Ich weiß nicht, Ann, aber ich bin mehrmals gekommen.... Je realistischer alles ist, desto besser wird der Film....
		07.abg.10^		<i>далее</i>|Ich schätze, ihr seid so was wie methodische Darsteller.

	07.abg.10@69@Ну, я тоже... Не важно. Если Максу понравилось, а я вижу, что это так, то думаю, мы готовы к этому кастингу с твоим директором...|Ja, ich bin auch gekommen.... Wie auch immer, da es Max gefiel, und ich sehe deutlich, dass es so war, denke ich, wir sind bereit für das Casting mit deinem Regisseur.
		07.abg.11^		Может быть ещё потренируетесь?|Wie wäre es mit einem weiteren Take?

	07.abg.11@113@Макс, а тебе лишь бы смотреть, да?|Du willst nur zusehen, Max.
		07.abg.12^		Ну почему, я бы и потрогал, но ты запретила...|Nein, ich will nicht nur zusehen....

	07.abg.12@62@p-kiran-11@Макс, ты как-то слишком увлёкся. Мы всё это делаем для того, чтобы заработать и были деньги, помнишь?|Okay, das reicht, Max. Wir machen das nur für Geld, erinnerst du dich?
		07.abg.13^		Конечно, мам!|Natürlich, Mom!
		07.abg.13b^		А я думал, что тебе просто нравится...|Ich denke, du genießt das alles wirklich.

	07.abg.13b@101@Ох, Макс, ходишь по краю... Но ты прав... Разве твоя мама может сейчас сказать, что делает это только ради денег? Конечно, ей нравится!|Das ist ein gefährliches Spiel, das du spielst, Max.... Du hast allerdings Recht. Deine Mom kann nicht sagen, dass sie es nur wegen des Geldes macht, nachdem wir gesehen haben, wie sehr sie das genießt.
		07.abg.15^		Ага, вижу...|Yeah

	07.abg.14@60@p-kiran-12@Так, всё, прекратите! Думайте что хотите, но я это делаю... для семьи. Мы все хотим сохранить новый образ жизни и иногда приходится... переступать через себя... Понял, Макс?|Hör auf damit! Du kannst denken, was du willst, aber ich tue das für die Familie.... Ich bin sicher, dass jeder an unser neues Zuhause gewöhnt ist und wir nicht mehr umziehen und unser Leben komplett verändern wollen. Also muss ich manchmal.... meine Moral zum Wohle der Familie beiseite legen.... Verstanden, Max?
		07.abg.15^		Коне?но, мам!|Natürlich, Mom

	07.abg.13@114@Я тоже согласна, но... Ань, разве кто-то запрещает при этом получать удовольствие? Лично я всегда стараюсь быть естественной и не упускать ни одной возможности...|Ich stimme dir zu, Ann, aber die beiden sind nicht exklusiv. Wir können das für Geld machen UND dabei Spaß haben. Vor allem, weil es uns bessere Ergebnisse bringen würde. So bekomme ich immer das Beste aus jeder Situation.
		07.abg.14^		<i>далее</i>|<i>fortfahren</i>

	07.abg.14@62@p-kiran-12@Уж в этом я не сомневаюсь, Кира. Но я это делаю только для семьи!|Da bin ich mir sicher. Aber ich tue das nur für die Familie!
		07.abg.15^		Конечно, мам!|Natürlich, Mom

	07.abg.15@69@Ну всё, Макс, иди где-нибудь сними своё... напряжение. Думаю, мы закончили на сегодня. Пора всем спать...|Okay, Max, du kannst gehen und dich um dein.... Ding kümmern. Ich denke, wir sind fertig für heute. Lass uns schlafen gehen....
		07.abg.16^		Ага... А что дальше?|Okay... So Was kommt als nächstes?

	07.abg.16@101@Дальше я договорюсь о встрече и мы с твоей мамой съездим на кастинг, там покажем что-то подобное и если будем убедительны, нам предложат какую-то роль, как я понимаю...|Als nächstes arrangiere ich ein Treffen, deine Mom und ich gehen zum Casting, geben ihnen eine Show und wenn alles wie geplant läuft, bekommen wir eine neue Rolle oder so.
		07.abg.17^		Может быть, моя помощь нужна?|Brauchst du meine Hilfe?

	07.abg.17@69@Макс, ты уже сделал достаточно. Мне очень стыдно, что пришлось тебя вовлекать, да вообще, мне просто жутко стыдно. Но, раз всё так далеко зашло, то уже глупо оправдываться. Ладно, посмотрим, к чему это всё приведёт. Спокойной ночи, Макс.|Du hast genug getan, Max. Es tut mir leid, dass ich dich da mit reinziehen musste. Es ist zu spät, um sich zu entschuldigen.... Mal sehen, wohin uns das alles führt. Gute Nacht, Max.
		leave!set_poss.car_3!max_cam.2.grow_300!set_kirabed_10!set_dcd.momlust_2!set_mshy_1!set_momlust_13!lock_momroom_2!time^		Спокойной ночи!|Gute Nacht



# --- 0.7: Разговор с мамой насчёт этого всего

	07.abh.0.init@0@Какие новости насчёт съёмок?|Irgendwelche Neuigkeiten über das Casting?
	07.abh.0@69@Ой, Макс... Мы с тобой до сих пор об этом не поговорили как следует... Даже не знаю с чего начать...|Max.... Wir haben immer noch nicht richtig darüber gesprochen.... Ich weiß nicht mal, wo ich anfangen soll....
		07.abh.1^		Что случилось, мам?|Ist etwas passiert, Mom?

	07.abh.1@73@Мне очень стыдно...|Ich schäme mich so für all das....
		07.abh.2^		Ой, не начинай!|Komm schon, Mom, kannst du das nicht einfach ...?

	07.abh.2@69@Почему? Мне правда очень стыдно, что приходится заниматься такими вещами. Но ты же знаешь, что с работой сейчас тяжело, а тут такие деньги...|Warum? Ich schäme mich wirklich für mich. Ich fühle mich nicht wohl dabei, aber wir brauchen das Geld....
		07.abh.3^		Я всё понимаю!|Ich verstehe, Mom.

	07.abh.3@67@Правда?|Wirklich?
		07.abh.4^		Конечно, мам!|Natürlich, Mom
		07.abh.4b^		А ещё я думаю, что тебе это всё нравится...|Ja, und ich denke auch, dass dir gefällt, was wir tun.

	07.abh.4b@62@Макс! Как ты можешь такое говорить?!|Max!? Wie konntest du das sagen?
		07.abh.4c^		Разве нет? У тебя же глаза горят, а ещё... ты очень хорошо справляешься...|Liege ich falsch? Der Blick in deinen Augen, wenn du es tust, ist so.... Und du bist wirklich, wirklich gut darin.

	07.abh.4c@69@Макс... Правда? Спасибо, конечно. Не такие вещи должны дети говорить своей маме... Видимо, я очень плохая мать, раз дошло до такого...|Max.... Danke, schätze ich. Das ist aber nichts, was Kinder ihren Müttern sagen sollten. Ich schätze, ich bin eine schlechte Mutter, wenn wir diese Gespräche führen.
		07.abh.5^		Что ты! Ты лучшая мама на свете!|Was!? Du bist die beste Mutter der Welt!

	07.abh.4@60@Спасибо, сынок. Не знаю, что бы я без тебя делала. Видимо, я очень плохая мать, раз дошло до такого...|Danke, mein Sohn. Ich weiß nicht, was ich ohne dich tun würde. Ich bin eine schreckliche Mutter....
		07.abh.5^		Что ты! Ты лучшая мама на свете!|Was!? Du bist die beste Mutter der Welt!

	07.abh.5@73@Разве? Почему ты так думаешь?|Warum solltest du das denken?
		07.abh.6^		Ты стараешься для семьи...|Du tust das für die Familie!

	07.abh.6@67@Ты так думаешь? Я рада. Спасибо, что поддерживаешь... Конечно, у тебя и свой интерес, как я понимаю. Гормоны, возраст, да ещё девушки нет... Надеюсь, это всё не повлияет на тебя... как-то неправильно...|Denkst du wirklich, dass ich nicht schrecklich bin? Danke für Ihre Unterstützung.... Wie ich höre, hast du aber dein eigenes Interesse daran. Dein Alter, Hormone, das Fehlen einer Freundin.... Ich hoffe, es wird dir nicht schaden....
		07.abh.7^		Конечно, нет. Что ты!|Natürlich nicht!

	07.abh.7@62@Ну, хорошо. Только постарайся быть джентльменом. Держи себя в руках... И всё остальное в штанах, так сказать... Я не хочу, чтобы Лиза и Алиса как-то к этому имели отношение.|Okay. Versuch, gut zu sein, Sohn. Zügel dich.... und alles in deiner Hose. Ich will weder Lisa noch Alice darin verwickeln.
		07.abh.8^		Ну они достаточно взрослые у?е...|Nun....

	07.abh.8@60@Взрослые для чего?|Nun was?
		07.abh.9^		Для этого всего...|Sie sind alt genug dafür, sie können ihren Teil für die Familie tun.

	07.abh.9@62@Макс! У нас с тобой как-то всё ушло не в ту степь, но я хочу, чтобы хотя бы девочки развивались и росли в нормальной семье и обстановке... В общем, им ничего знать не нужно. Я на тебя надеюсь. Хорошо?|Ich will nichts davon hören, Max! Wir ziehen deine Schwestern da nicht mit rein, sie sollten ein normales Leben in einer normalen Familie führen. Ich hoffe, du kannst mir dabei helfen.
		07.abh.10^		Я тебя понял, мам...|Okay, ich verstehe

	07.abh.10@67@Вот и замечательно. Хорошо, что ты у меня такой умный и заботливый...|Großartig. Ich bin froh, dass du so verständnisvoll und freundlich bist....
		leave!set_mshy_2^			Я тоже тебя люблю, мам!|Ich liebe dich auch, Mom!



# --- 0.7: Диалог с Кирой и мамой у бассейна

	07.abi.0@101@А вот и Макс. Мы как раз обсуждали наш сегодняшний кастинг|Und hier ist Max. Wir sprachen gerade über das heutige Umfeld.
		07.abi.1^		Уже сегодня?|Es ist heute?

	07.abi.1@113@Ну да, чего ждать. Твоя мама готова, а я готова вообще всегда... Ну, ко всему...|Ja. Deine Mutter ist bereit, und ich bin immer bereit für alles.
		07.abi.2^		Хм...|Hm...

	07.abi.2@69@Кира, ну что ты болтаешь. Съездим, уладим дело и вернёмся. Максу не обязательно детали знать. Думаю, ему вообще больше не придётся иметь к этому всему отношение.|Wir machen das einfach und kommen zurück. Max muss nicht jedes Detail kennen. Ich hoffe, er muss sich nicht länger damit befassen.
		07.abi.3^		Что?! Это как?|Was!? Was meinst du damit?

	07.abi.3@62@Подожди, это я на работу устраиваюсь. Вообще, жалею, что пришлось тебя втянуть в это. Хотя, даже не знаю кто кого втянул. В любом случае, мои съёмки или фотосессии или что там придётся делать, я буду делать в студии, верно Кира?|Ich bin diejenige, die einen neuen Job bekommt. Es tut mir leid, dass ich dich da mit reinziehen musste. Nicht, dass ich dich da mit reingezogen hätte.... Wie auch immer, alle meine zukünftigen Dreharbeiten werden im Studio sein, richtig, Kira?
		07.abi.4^		<i>далее</i>|<i>fortfahren</i>

	07.abi.4@101@Возможно. Кто знает. А почему ты думаешь, что Макс не мог бы подрабатывать. Ну там фотографом или ещё как-то? У него же отлично получается и не придётся платить посторонним людям...|Vielleicht, wer weiß. Aber warum denkst du, kann Max nicht etwas Geld dazuverdienen kann? Als Fotograf oder auf andere Weise. Er ist großartig darin und wir werden keine Außenseiter bezahlen müssen.
		07.abi.5^		Верно!|Das ist richtig!
		07.abi.5b^		Да за такое я бы ещё и доплачивал!|Ich würde sogar dafür bezahlen, daran beteiligt zu sein!

	07.abi.5b@62@Макс, не болтай ерунду. Ты мой сын. И так уже дошло всё до... сами знаете чего. Но не может же он делать это постоянно!|Nein, Max. Du bist mein Sohn, es ist schlimm genug, dass ich dich da mit reingezogen habe, aber du kannst nicht ständig mit hineingezogen werden!
		07.abi.5c^		Почему? Разве я плохо делаю свою работу?|Warum? Mache ich einen schlechten Job?

	07.abi.5c@69@Нет, что ты, сынок... Но... это же порно. Тут всякое бывает и я очень смущаюсь, когда ты это всё видишь...|Nein, natürlich nicht, aber.... Wir reden über Pornos, ich will nicht, dass du siehst, wie ich das alles mache....
