# --- 0.5: Диалог с мамой Кати через ноутбук|Gespräch mit Kates Mutter auf dem Laptop

	05.mokd.4@124@m-mis-2@Это мы обсудим в другой раз. Ты готов перевести деньги на тот счёт, что я дала ранее?|Wir reden ein andermal darüber. Hast du das Geld?
		money>4999&05.mokd.5!add_money_-5000^		Конечно! <i>(заплатить $5000)</i>|Natürlich! <i>(zahle 5000)</i>
		05.mokd.no.1^								Нет, у меня их ещё нет...|Noch nicht

	05.mokd.5@124@m-mis-1@Ага, вижу, деньги пришли. Ну всё. Твой Эрик обречён стать... Да ты и сам всё понимаешь. Кстати, если захочешь немного заработать... своим талантом, то может быть я предложу тебе кое-что в будущем...|Okay, das Geld wurde auf mein Konto überwiesen. Jetzt ist dein Eric dazu bestimmt.... Weißt du was. Übrigens, wenn du mit deinem.... Talent etwas Geld verdienen willst, habe ich vielleicht in Zukunft ein Angebot für dich.
		05.mokd.6^									Супер!|Super!

	05.mokd.6@124@m-mis-4@Ну всё, Макс. До скорого. И передавай привет моей Катюше. К сожалению, мы очень редко общаемся, но благодаря тебе вот появился лишний повод... Ну всё, удачи, Макс. И не теряй Эрика. Его ты не увидишь больше!|Okay. Auf Wiedersehen, Max. Sag Hallo zu meiner Kate. Schade, dass wir nicht viel reden. Aber jetzt, dank dir, habe ich einen anderen Grund, mit ihr zu reden. Viel Glück, Max. Du wirst Eric nicht mehr sehen.
		leave!set_altway_7!set_ericmd_1!time^		Ура!|Hurra!

	05.mokd.no.1@124@m-mis-3@Понимаю, сумма не маленькая, но и я человек занятой. В таком случае, ищи деньги, поговорим через неделю.|Ich verstehe, das ist eine ernste Sache, aber ich bin sehr beschäftigt, Max. Sucht nach dem Geld, ich rede nächste Woche mit dir.
		leave!set_dcd.katemom_7^					Хорошо...|Okay



# --- 0.5: Очередной разговор с Кирой насчёт Эрика|Ein weiteres Gespräch mit Kira über Eric

	05.mke.0.init@0@Тётя Кира, мне очень нужен твой совет!|Tante Kira, ich brauche wirklich deinen Rat!
	05.mke.0@101@Что, Макс, опять проблемы? Наверняка, опять пожаловаться на Эрика хочешь?|Probleme, Max? Lass mich raten, du wirst dich wieder über Eric beschweren.
		05.mke.1^		Да... как ты догадалась?|Ja.... Woher weißt du das?

	05.mke.1@100@А у тебя две беды. Никто не даёт и Эрик. Судя по тебе второе даже больше беспокоит. Так что там у тебя опять случилось?|Du hast nur zwei Arten von Problemen, Max. Mädchenprobleme und Eric-Probleme. Und es scheint, dass die zweite Art dich noch mehr stört als die erste. Wie auch immer, was ist diesmal passiert?
		05.mke.2^		Ну... Я хочу от него избавиться. Навсегда.|Nun.... Ich will ihn loswerden. Für immer.

	05.mke.2@103@Звучит как что-то не очень хорошее... Для Эрика. Только не говори, что ты решил в крайности податься...|Klingt ominös.... Sogar für Eric. Sag mir nicht, dass du dich für die ultimative Lösung entschieden hast....
		05.mke.3^		Нет, но...|Nein, aber....

	05.mke.3@101@Так чего же ты хочешь, Макс?|Was dann?
		05.mke.4^		Хочу его больше никогда не видеть!|Ich will ihn nicht mehr sehen!

	05.mke.4@113@Ну... закрой глаза и мир сразу исчезнет... А если серьёзно, то я понимаю твои тревоги... Но как же мама. Она же счастлива, когда Эрик рядом...|Warum schließt du dann nicht einfach die Augen....? Ich verstehe deine Probleme.... Aber was ist mit deiner Mom? Sie ist so glücklich, wenn er bei ihr ist.
		05.mke.5^		Н-нет. Я бы и сам уехал в лагерь, чтобы этого не видеть, но без меня он такого наворотит...|Nein. Ich würde ins Lager ziehen, nur damit ich ihn und meine Mom nicht sehe, aber ich kann ihn nicht einfach alles tun lassen, was er meiner Familie antun will!

	05.mke.5@101@А с ним самим ты общался? Может быть, можно как-то мирно всё уладить?|Hast du versucht, mit ihm zu reden? Vielleicht kannst du zu einer Übereinkunft kommen?
		05.mke.6^		Это бесполезно... Он наглеет всё больше и скоро перетрахает всех в этом доме...|Es hat keinen Sinn.... Er wird von Minute zu Minute mutiger und bald wird er jeden in diesem Haus ficken, wenn ich ihn nicht aufhalte....

	05.mke.6@114@Ах вот чего ты боишься...|Ah, also das ist es, wovor du Angst hast....
		05.mke.7^		Я серьёзно, тётя Кира!|Ich meine es ernst, Tante Kira!

	05.mke.7@101@Ну, ладно. Выручу тебя советом в очередной раз. Хотя чувствую, что идея очень сомнительная...|Gut, gut, gut. Ich gebe dir einen Rat. Ich bin nicht sicher, ob das eine gute Idee ist. Aus moralischer Sicht, meine ich.
		05.mke.8^		Ещё сомнительнее, чем обычно?|Ist es wirklich so viel düsterer als sonst?

	05.mke.8@103@Что? Я не поняла...|Was meinst du damit?
		05.mke.9^		Нет, ничего. Так какая идея?|Vergiss es. Also, über deine Idee....

	05.mke.9@100@Ты наверняка с Катей общаешься? Может быть даже разговаривали про её маму? Знаешь, кем и где она работает?|Hast du jemals mit Kate über ihre Mom gesprochen? Weißt du, wer sie ist und was sie tut?
		05.mke.10^		Что-то про клуб...|Etwas über einen Club....

	05.mke.10@101@Ага, значит знаешь. Очень хорошо...|Also, du weißt es. Das ist gut....
		05.mke.11^		А ты то откуда?|Woher wissen <i>du</i> über den Club Bescheid?

	05.mke.11@114@Макс, я вращаюсь в таких кругах, что знаю очень многое обо всём, связанном с сексом и всяким разным... сопутствующим...|Du weißt, was ich mache, Max. Ich kenne genug Leute, um viel über Sex zu wissen.
		05.mke.12^		Ладно, а причём тут клуб?|Okay, also wie kann der Club mir bei meinem Eric-Problem helfen?

	05.mke.12@103@Клуб этот весьма необычный и... предоставляет весьма необычные услуги, если ты меня понимаешь, конечно...|Der Club ist sehr.... besonders... und hat sehr einzigartige <i>Services</i>, wenn du weißt, was ich meine.
		05.mke.13^		Нет, не понимаю.|Nicht wirklich, nein

	05.mke.13@101@Не удивительно. Откуда тебе знать? В общем, я рекомендую тебе пообщаться с Катей и спросить об особых услугах этого клуба. Особенно подчеркни слово <b>особых</b> услугах...|Nun.... Ja, das macht Sinn, du kannst das nicht wissen.\nIch empfehle dir, mit Kate über besondere Dienste zu reden. Womit ich <b>speziell</b> Dienstleistungen meine....
		05.mke.14^		Ладно. И что, Эрик исчезнет?|Okay. Und das wird dazu führen, dass Eric aus unserem Leben verschwindet?

	05.mke.14@113@Сомневаюсь, что всё так просто будет. Но как минимум, стоит начать с этого...|Ich bezweifle, dass es einfach wird, aber du solltest anfangen, mit Kate zu reden.
		leave!set_altway_1^			Хорошо. Спасибо, тётя Кира!|Okay. Danke, Tante Kira!



# --- 0.5: Разговор с Катей насчёт её мамы и особых услуг клуба|Gespräch mit Kate über die S.P.E.C.I.A.L.-Dienste ihrer Mutter und des Clubs.

	05.asn.2@158@Даже так? Ну ладно. Что там у тебя стряслось, рассказывай...|Oh, okay. Also, was ist passiert?
		05.asn.3^		Тут такое дело...|Nun...

	05.asn.3@151@Макс, не тяни резину!|Auf den Punkt gebracht, erinnerst du dich?
		05.asn.4^		Помнишь, ты говорила, что у твоей мамы клуб...|Erinnerst du dich, dass du mir vom Club deiner Mutter erzählt hast?

	05.asn.4@152@Помню конечно, у меня склероза нет. Только не понимаю, тебе-то что от этого?|Sicher, was hat das mit deinen Problemen zu tun?
		05.asn.5^		Расскажи про особые услуги...|Erzähl mir von den besonderen Leistungen

	05.asn.5@157@Особые? Это какие? Вызов такси или напитки? Что за услуги?|Was meinst du damit, ein Taxi oder einen Drink bestellen, oder so?
		05.asn.6^		Ну, особые. Особые. Понимаешь?|Nein. <i>spezieller</i> Service

	05.asn.6@153@Постой... А ты откуда о них знаешь?|Warte.... Woher weißt du von ihnen?
		05.asn.7^		Ну, нашептала одна птичка...|Ein kleiner Vogel hat es mir berichtet.

	05.asn.7@151@Что-то не нравятся мне твои птички. Ладно, что за услуга тебе нужна?|Ich mag deine Vögel nicht. Wie auch immer, was für einen Service brauchst du?
		05.asn.8^		Я точно не знаю...|Ich bin mir nicht sicher, um ehrlich zu sein....

	05.asn.8@155@Ну тогда и не морочь мне голову, раз сам не знаешь чего хочешь!|Dann verschwende nicht meine Zeit, wenn du nicht genau weißt, was du willst!
		05.asn.9^		Мне надо избавиться от одного человека.|Ich muss eine bestimmte Person loswerden.

	05.asn.9@152@Ой, мокрухой они не занимаются. Это ты не по адресу...|Nein, so etwas machen sie nicht.
		05.asn.10^		Да я не в том смысле...|Das meine ich nicht....

	05.asn.10@151@А в каком? Что значит избавиться? И от какого такого человека? Давай рассказывай всё, а не то я пойду спать!|Was meinst du damit? Was willst du denn? Und wen willst du loswerden? Sag mir alles oder ich gehe schlafen.
		05.asn.11^		Хорошо. Я хочу, чтобы Эрик отстал от моей семьи.|Gut. Ich will, dass Eric meine Familie in Ruhe lässt.

	05.asn.11@153@Ой, тоже мне беда. Поговори с мамой, скажи, что он к тебе пристаёт. Ну или я не знаю. Причём тут клуб и... особые услуги то?|Das ist einfach, sag deiner Mom einfach, dass Eric dich an deinem Nirgendwo anfasst oder so. Was hat das mit dem Club zu tun und.... Spezielle Dienstleistungen?
		05.asn.12^		Я всё пробовал, ничто не помогает.|Ich habe schon alles versucht, Mom hört einfach nicht zu.

	05.asn.12@152@И думаешь, что последняя надежда на то, не знаю что?|Also ist der Club deine letzte Hoffnung, huh?
		05.asn.13^		Ну... да...|Nun.... Ich schätze es.

	05.asn.13@150@Нет, Макс. Это всё твои проблемы, я сюда не хочу вмешиваться. К тому же, придётся просить маман, а к ней я обращаться не хочу... Давай сам разбирайся.|Nein, Max. Das ist dein Problem, ich will kein Teil davon sein. Vor allem, weil es bedeuten würde, meine Mutter um Hilfe zu bitten. Du musst dich selbst darum kümmern.
		05.asn.14^		А ты знаешь про его планы на Алису?|Kennst du seine Pläne mit Alice?

	05.asn.14@154@Что? Какие планы? С этого момента поподробнее, пожалуйста...|Was für Pläne? Sag es mir.
		05.asn.15^		Ну Эрик особо не скрывает, что он хочет трахнуть всех в этом доме...|Er versucht nicht einmal, es zu verstecken. Eric will jeden im Haus ficken.

	05.asn.15@153@Ага, поэтому ты и напряг булки?|Oh, deshalb bist du so besorgt, hast du deinen eigenen Arsch in der Schusslinie?
		05.asn.16^		Блин. Я не о том. Он на Алису глаз положил!|Nein, er ist nicht an mir interessiert. Aber er will auf jeden Fall Alice ficken!

	05.asn.16@151@Может быть, ты это только что придумал... С чего мне тебе верить?|Und woher weiß ich, dass du es nicht gerade jetzt erfunden hast?
		05.asn.17^		Вот трахнет Алису, тогда узнаешь...|Nun, du kannst warten, bis er anfängt, Alice zu ficken, wenn du willst.

	05.asn.17@150@Блин. Ну ладно. Это и правда меняет дело... Эх, так не хотела я к маман своей обращаться... Но ладно. Только в качестве исключения!|Scheiße. Das ändert die Dinge.... Ich will Mutter wirklich nicht um Hilfe bitten.... Gut. Nur dieses eine Mal!
		05.asn.18^		Супер!|Großartig!

	05.asn.18@156@Но я ничего не обещаю. Она очень... огорчится, если узнает, что ты про эти их особые услуги спрашивал. Но я как-нибудь улажу всё. Только я хочу, чтобы и ты для меня сделал кое-что...|Ich verspreche noch nichts. Sie wird sehr.... verärgert sein, wenn sie herausfindet, dass du um die besonderen Dienste gebeten hast. Ich schätze, da muss ich auch etwas unternehmen. Aber ich möchte, dass du auch etwas für mich tust....
		05.asn.19^		Конечно, что угодно!|Natürlich, alles!

	05.asn.19@152@Пока я убалтываю свою маман, принеси мне большой пакет травки, а не эти крохи, что ты обычно носишь. Думаю, это ускорит дело...|Während ich mit meiner Mutter zu tun habe, kannst du mir ein großes Paket Gras besorgen. Größer als der übliche Betrag, den du bekommst. Das wird die Sache beschleunigen.
		05.asn.20^		А как же Алиса?|Was ist mit Alice?

	05.asn.20@151@Алиса не убежит, а с маман моей ты не имел дел. Неизвестно, что ещё хуже... Так что, не спорь. Просто достань травки. И побольше!|Alice wird es gut gehen. Du kennst meine Mutter nicht so gut wie ich. Ich weiß nicht mal, was schlimmer ist.... Das ist also keine Debatte, besorg dir eine Menge Gras!
		leave!set_altway_2!time^			Ладно, постараюсь... Спокойной ночи!|Okay, ich versuche es.... Gute Nacht!



# --- 0.5: Отдаём Кате большой пакет травы|Kate ein großes Paket Gras zu geben.

	05.kbg.0@159@Вот это супер, Макс! На самом деле, я уже всё организовала и с мамой пообщалась. Можешь с ней связаться по вот этому номеру. Лучше через скайп. Ну а там как договоритесь... Ну всё, тебе пора спать!|Gut gemacht, Max! Ich habe schon mit meiner Mutter gesprochen, du kannst diese Nummer anrufen. Am besten über Skype. Rede mit ihr und versuche einen Deal zu machen.\nNun, ich gehe ins Bett!
		leave!set_altway_4!set_item.bigganja_-1!add_dcd.alisa.smoke.ganja_30!time^			Хорошо. Спокойной ночи!|Okay. Gute Nacht



# --- 0.5: Алиса вбегает к Максу из-за паука, а тут он и Лиза голые|Alice rennt in Max' Zimmer, Spinne. Lisa und Max sind nackt.

	05.asx.0@23@Макс, помоги! У меня в комнате громадный паук!.. Так! А это что такое?! Может быть объясните, почему вы спите голыми?|Max, Hilfe! Da ist eine Riesenspinne in meinem Zimmer....! Warte. Was zum Teufel ist hier los!? Kann mir jemand erklären, warum du nackt schläfst?
		05.asx.1^		Э... Всё не так, как выглядит...|Es ist nicht das, wonach es aussieht....

	05.asx.1@21@Помолчи, Макс! Как раз с тобой мне всё ясно. А ты что скажешь, Лиза? Молчишь?|Sei still, Max! Ich weiß, was du bist. Was ist mit dir, Lisa? Willst du mir nicht etwas sagen?
		05.asx.2^		Алиса, дай мне всё объяснить!|Lass mich erklären, Alice!

	05.asx.2@25@Хорошо, попробуй!|Gut, versuch's.
		05.asx.3^		В общем, Лиза сказала, что я извращенец, и каждую ночь мастурбирую.|Nun, Lisa hat mich beschuldigt, pervers zu sein, weil ich jede Nacht masturbiert habe.

	05.asx.3@22@Это как раз не новость!|Und das Wasser ist nass. Was hat das damit zu tun, dass du nackt geschlafen hast?
		05.asx.4^		Не перебивай, пожалуйста! Короче, мы с ней поспорили на 100$...|Ich sag's dir, wenn du mich nicht ständig unterbrichst. Wie auch immer, wir hatten eine $100-Wette....

	05.asx.4@26@И о чём же, интересно, спор вышел?|Was für eine Wette?
		05.asx.5^		По условию я должен спать голым и ни разу к себе не притронуться.|Ich soll nackt schlafen und mich die ganze Nacht nicht berühren.

	05.asx.5@22@Лиза, а почему тогда ты тоже голая?|Und warum ist Lisa auch nackt?
		05.asx.6^		Она решила, что так мне будет труднее сдержаться.|Sie hat entschieden, dass es mir schwerer fallen wird, meine Hände von mir zu lassen.

	05.asx.6@21@Лиза, а как ты собиралась утром проверить, выполнил Макс условия спора Или нет?|Okay, und wie wolltest du überprüfen, ob er sich selbst berührt hat oder nicht, Lisa?
		05.asx.7^		<i>далее</i>|<i>fortfahren</i>

	05.asx.7@46@Я собиралась не спать всю ночь.|Ich wollte die ganze Nacht wach bleiben.
		05.asx.8^		<i>далее</i>|<i>fortfahren</i>

	05.asx.8@22@Да вы дрыхли как сурки, когда я вошла! Короче, мне всё равно, чем вы тут по ночам занимаетесь, но если попадётесь маме, я вас прикрывать не буду...|Du hast geschlafen, als ich den Raum betrat! Wie auch immer, es ist mir egal, was du hier nachts machst, aber wenn Mom das herausfindet, werde ich dich nicht decken.
		spider.inbed.nakedmax.2!set_alisa.notice.nakedmax_2!max_cam.0.grow_150^			Так чего ты там хотела?|Was willst du überhaupt?



# --- 0.5: Макс подслушивает разговор Эрика по телефону|Max lauscht Erics Telefongespräch mit seiner Frau.

	05.epe.0@83@Милая, я же просил тебя не звонить мне вечером! Хорошо, что эта сучка сейчас в ванной. Она ни на минуту не оставляет меня одного. Хотя я сам виноват. Ха-ха! Выдрессировал её так, что она скоро есть будет только из моих рук.|Schatz, ich habe dir gesagt, du sollst mich jetzt nicht anrufen. Wir haben Glück, dass die Schlampe jetzt im Bad ist. Sie lässt mich nie in Ruhe. Es ist aber meine Schuld, he-he. Ich habe sie so sehr gezähmt, dass sie aus meiner Hand frisst.
		05.epe.1^		<i>Милая? Выдрессировал? Это он с кем?</i>|<i>Schatz? Gezähmt? Wovon redet er?</i>

	05.epe.1@90@Не волнуйся! Потерпи ещё пару месяцев, и мы снова будем вместе, в новом доме и с новой биографией. И тогда нас уже никто и никогда не найдет. А пока мне нужно залечь на дно. Не ищи меня. Если понадобится, я сам с тобой свяжусь.|Mach dir keine Sorgen! Wartet nur ein paar Monate und wir werden wieder zusammen sein und in einem neuen Haus unter meiner neuen Identität leben. Und niemand wird uns je finden. Aber jetzt muss ich mich verstecken. Sucht mich nicht. Ich werde dich finden, wenn ich etwas brauche.
		05.epe.2^		<i>С новой биографией? Да кто же ты такой?</i>|<i>Neue Identität? Wer bist du?</i>

	05.epe.2@86@Жду-не дождусь, когда снова смогу сжать в своих руках твои сладкие булочки. Ну всё, пока, любимая. Скоро моя собачонка вернётся...|Ich kann es kaum erwarten, bis ich deine Brötchen wieder in meinen Händen halten kann. Tschüss, meine Liebe. Die Schlampe kommt bald aus dem Bad....
