# --- Разговор с Эриком после ужина, где определяется формат будущих отношений|Erstes Gespräch mit Eric, wenn Max entscheidet, ob er mit oder gegen ihn ist.

		eric.main.talk.shesaid^									Она так сказала?|Das hat sie gesagt?

	eric.main.talk.next.good.what.trust@83@Правда? А я вот уже слышал, что Алиса относится к тебе как к маленькому извращенцу, Лиза рядом с тобой просто потому, что других защитников в доме не было, а мать смотрит на тебя как на неудачника...|Wirklich? Ich habe gehört, dass Alice dich wie einen kleinen Perversen behandelt, Lisa ist bei dir, einfach weil niemand sonst da war, und Mom sieht dich als Verlierer....
		eric.main.talk.bullshit^								Не верю! Всё не так!|Ich glaube dir nicht! Du irrst dich!
		eric.main.talk.shesaid^									Она так сказала?|Das hat sie gesagt?

	eric.main.talk.bullshit@81@Ну не знаю... Даже если что-то ещё и не так, то с моей помощью всё так и будет, поверь... Но повторюсь, я не хочу с тобой воевать и лучше бы ты был на моей стороне...|Nun, ich weiß nicht. Auch wenn sie noch nicht so denken, mit meiner Hilfe werden sie mir glauben. Aber ich will nicht mit dir kämpfen und es wäre besser für uns beide, wenn du auf meiner Seite wärst.
		eric.main.talk.okok^									Ладно, посмотрим...|Okay
		eric.main.talk.nono^									Никогда. Отвали!|Niemals. Fick dich!

	eric.main.talk.shesaid@81@Ну не словами, но я же это вижу со стороны. Тебя выгнали из школы за отношения с учителем. Если ты не понял, то это такой зашквар, что вернуть себе репутацию будет непросто...|Nun, das hat sie nicht explizit gesagt, aber ich kann es von der Seite sehen. Du wurdest von der Schule geschmissen, weil du einen Lehrer belästigt hast, kannst du nicht sehen, wie erbärmlich das ist? Viel Glück beim Wiederaufbau Ihres Rufes nach <b>dem</b>....
		eric.main.talk.shesaid.1^								<i>далее</i>|<i>fortfahren</i>

	eric.main.talk.shesaid.1@80@Но повторюсь, я не хочу с тобой воевать. Наоборот, я бы хотел с тобой подружиться и если ты будешь на моей стороне, ты только выиграешь...|Aber nochmal, ich will nicht gegen dich kämpfen. Im Gegenteil, ich möchte mit dir befreundet sein und wenn du auf meiner Seite bist, kannst du nur gewinnen....
		eric.main.talk.okok^									Ладно, посмотрим... И что я выиграю?|Okay, was würde ich gewinnen?
		eric.main.talk.nono^									Никогда. Отвали!|Niemals. Fick dich!

	eric.main.talk.okok@87@Смотря как пройдёт наше общение за следующую неделю. Если помиримся, то я буду помогать решать твои проблемы, ну а ты мои, если такие возникнут с твоей семьёй...|Das hängt von deinem Verhalten in der nächsten Woche ab. Wenn wir uns versöhnen, helfen wir uns gegenseitig bei unseren Problemen.
		eric.main.talk.okok.what^								Какие проблемы?|Welche Probleme?
		eric.main.talk.next.friend^								Договорились...|Einverstanden....

	eric.main.talk.okok.what@80@Ты слишком забегаешь вперёд, Макс. Давай сначала посмотрим на то, как всё пойдёт. Дай мне хотя бы шанс тебя убедить...|Das ist aber eilig, Max. Lassen Sie uns einen Blick darauf werfen, wie die Dinge zuerst laufen werden. Gib mir die Chance, dich zu überzeugen....
		eric.main.talk.next.friend^								Ну, ладно, убедил.|Nun, okay, sicher.
		eric.main.talk.nono^									Нет, без вариантов...|Auf keinen Fall

	eric.main.talk.next.friend@87@Я рад, правда. Ты не пожалеешь. Ладно, твоя мама уже идёт, мы поехали. Вернёмся к этому разговору через неделю...|Ich bin wirklich froh. Du wirst deine Entscheidung nicht bereuen. Nun, deine Mom ist fast fertig, also ist es Zeit, das zu beenden. Wir kommen nächste Woche zu diesem Gespräch zurück.
		leave!move_pool!time^									Ага...|Ja ja

	eric.main.talk.nono@80@Ну, как хочешь. Надеюсь, в тебе сейчас говорят эмоции, а не здравый смысл. У тебя есть неделя, чтобы передумать. Тогда и поговорим снова и будет ясно, как быть.|Wenn es das ist, was du willst. Hoffen wir, dass das Emotionen sind, die sprechen. Du hast eine Woche, um deine Meinung zu ändern. Dann reden wir noch einmal und es wird klar sein, welche Art von Beziehung wir haben werden.
		leave!move_pool!set_eric.level_0!time^						<i>промолчать</i>|<i>nichts sagen</i>



# --- Разговор с Эриком через неделю|Im zweiten Gespräch mit Eric entscheidet Max, ob sie Freunde oder Feinde sind.

	eric.week@80@e-meet-eric-3@Ну что, Макс, готов пообщаться снова, пока твоя мама собирается?|Also, Max, bist du bereit, wieder zu reden, während deine Mom sich fertig macht?
		eric.level>7&eric.week.good^						Конечно!|Sicher!
		eric.level>3&eric.level<8&eric.week.mid^			Ну, можно...|Sicher
		eric.level<4&eric.week.bad^							Ты ещё здесь?|Bist du noch hier?

	eric.week.good@87@Отлично! Ну что, вроде бы ты и правда настроен на дружбу. Я прав?|Ausgezeichnet! Sieht so aus, als ob du wirklich auf Freundschaft stehst. Habe ich Recht?
		eric.week.good.good^								Да, я только за.|Ja, ich bin dafür.
		eric.week.bad.bad^									Тебе показалось. Я тебя ненавижу!|Falsch, ich hasse dich!

	eric.week.mid@87@Правда, я не до конца понял твою позицию. Ты настроен на дружбу или хочешь попытаться повоевать?|Aber ich verstehe deine Position nicht ganz. Bist du auf die Freundschaft aus oder willst du versuchen zu kämpfen?
		eric.week.good.good^								Думаю, воевать смысла нет...|Ich denke, es macht keinen Sinn zu kämpfen.
		eric.week.bad.bad^									Я тебя ненавижу!|Ich hasse dich!

	eric.week.bad@81@Значит, дружить ты не намерен. Я правильно понимаю?|Also wirst du nicht freundlich sein. Habe ich richtig verstanden?
		eric.week.good.good^								Почему? Я подумал как следует. Воевать точно не хочу...|Warum? Ich habe viel nachgedacht. Kämpfen ist nicht das, was ich will.
		eric.week.bad.bad^									Правильно. Я тебя ненавижу!|Richtig. Ich hasse dich!

	eric.week.good.good@86@Очень хорошо. Я рад. Ну, ты не пожалеешь, это правильный выбор...|Sehr gut. Du wirst deine Entscheidung nicht bereuen, du hast die richtige Wahl getroffen....
		eric.week.good.good.why^							Но ты так и не сказал, почему не пожалею...|Aber du hast nicht gesagt, warum ich es nicht bereuen werde....

	eric.week.good.good.why@90@Ну давай начнём с самого простого. Чего ты хочешь?|Fangen wir mit dem einfachsten an. Was willst du denn?
		eric.week.talk.1^									В каком смысле?|Was meinst du damit?

	eric.week.talk.1@87@Я не слепой и вижу как ты смотришь на своих сестёр и даже маму. Не отрицай, иногда даже твои штаны тебя выдают. Но я тебя не виню, ещё бы, такие цыпочки кругом!|Ich bin nicht blind und sehe, wie du deine Schwestern und deine Mom ansiehst. Verleugne es nicht, manchmal hast du sogar ein Zelt in der Hose, wenn du starrst. Aber ich mache dir keinen Vorwurf, es ist natürlich, wenn die Mädels um dich herum so schön sind!
		eric.week.talk.2!set_tell.mom.eric.plan_1^			Что? Ты ошибаешься!|Was? Du irrst dich!
		eric.week.talk.2!set_tell.mom.eric.plan_1^			Они никакие не цыпочки!|Nenn sie nicht Mädels!
		eric.week.bad.bad^									Я вдруг понял... Да пошёл ты!|Ich habe meine Meinung geändert. Fick dich!

	eric.week.talk.2@86@Да ладно, здесь все свои! Любой мужик бы думал только о том, как поиметь их всех по очереди или даже разом. Это нормально! Я тебя понимаю!|Komm schon, wir sind beide Männer. Jeder Mann an deiner Stelle würde nur daran denken, sie alle einzeln oder sogar alle auf einmal zu ficken. Das ist normal! Ich verstehe dich!
		eric.week.talk.3a^									Думаешь?|Denkst du, ja?
		eric.week.talk.3b^									Постой, и ты этого хочешь?|Warte, du willst sie auch ficken?

	eric.week.talk.3b@87@Конечно! Я же нормальный мужик... Кстати, ты же никому не расскажешь, верно? Мы же типа друзья?|Natürlich! Ich bin ein Mann. Übrigens, du wirst es niemandem erzählen, oder? Sind wir Freunde?
		eric.week.talk.4a^									А если я расскажу про это всем?|Und wenn ich allen davon erzähle?
		eric.week.talk.4b^									Только, если я что-то получу за это...|Nur wenn ich etwas dafür bekomme....
		eric.week.bad.bad^									Ты ?одонок! Я передумал. Убирайся!|Du Bastard! Ich habe meine Meinung geändert. Raus hier!

	eric.week.talk.3a@87@Уверен в этом. И если честно, надеюсь, у меня всё получится. А ты мне в этом поможешь!|100%. Und ehrlich gesagt, habe ich vor, das wirklich zu tun. Und du wirst mir dabei helfen!
		eric.week.talk.4a^									А если я расскажу про это всем?|Und wenn ich jedem von diesem Gespräch erzähle?
		eric.week.talk.4b^									Только, если я что-то получу за это...|Nur wenn ich etwas dafür bekomme....
		eric.week.bad.bad^									Ты подонок! Я передумал. Убирайся!|Du Bastard! Ich habe meine Meinung geändert. Raus hier!

	eric.week.talk.4a@84@Всем? Это кому же? Сёстрам? Ну да, поверят они тебе... Расскажешь матери? Попытайся. Заодно, узнаешь на что способны мои, так сказать, «чары»...|Wem kannst du davon erzählen? Deine Schwestern werden dir und deiner Mom nicht glauben.... Nun, versuch's. Du wirst die Ergebnisse meiner Überredung sehen.
		eric.week.talk.5a^									Да я не собираюсь рассказывать, просто спросил...|Ich werde es niemandem sagen, ich frage nur....
		eric.week.talk.5b^									Вот и проверим...|Wir werden sehen....
		eric.week.bad.bad^									Ты - псих ненормальный. Убирайся!|Du bist verrückt. Raus hier!

	eric.week.talk.5a@87@Так ты меня разводишь? А я тебе почти поверил! Молодец...|Du verarscht mich! Ich hätte dir fast geglaubt! Gut gemacht....
		eric.week.talk.4b^									Ладно, а что я получу с этого?|Okay, aber was habe ich davon?

	eric.week.talk.5b@81@Не ожидал я от тебя такого... Ну ладно, дело твоё... Но учти, на этой войне у тебя нет ни единого шанса!|Ich habe das nicht von dir erwartet.... Nun, es ist deine Entscheidung. Aber denk dran, du hast keine Chance in diesem Krieg.
		eric.week.talk.5a^									Да я пошутил! Конечно, не расскажу никому...|Ich habe nur Spaß gemacht! Natürlich erzähle ich es niemandem....
		eric.week.bad.bad^									Вот и посмотрим...|Wir werden sehen

	eric.week.talk.4b@90@Отличный вопрос, Макс! Пришло время выяснить, чего же именно ты хочешь?|Ausgezeichnete Frage, Max! Es ist Zeit herauszufinden, was genau du willst.
		eric.week.talk.7^									Я хочу деньги, подглядывать и кое-что ещё...|Ich will Geld, die Möglichkeit zu gucken und etwas anderes....

	eric.week.talk.7@87@Ого. Вот это запросы! Ну, мы договоримся, Макс. Деньги для меня не проблема, но в разумных пределах, конечно...|Wow. Das sind ziemlich viele Forderungen! Wir lassen uns was einfallen. Geld ist für mich kein Problem, im Rahmen der Vernunft natürlich....
		eric.week.talk.8^									Сколько?|Wie viel?

	eric.week.talk.8@90@Посмотрим на твоё поведение. Ещё рано торговаться. Если будешь в своё время закрывать глаза, то денег будет больше. Ну а если будешь мешать, то...|Wir werden sehen, wie du dich benimmst. Es ist zu früh, um zu verhandeln. Wenn du die Augen vor meinem Verhalten verschließt, hast du mehr Geld. Und wenn du dich einmischst....
		eric.week.talk.9^									Ладно. А что насчёт подглядывать? Это можно?|Okay. Und was ist mit spionieren? Ist es möglich?

	eric.week.talk.9@81@Ну лично я не возражаю. Думаю, даже твою маму подготовлю, чтобы если заметила, то не наказывала. Если ты помнишь, со следующей недели шлёпать вас будут голыми, а это очень унизительно... Что ещё ты там просил?|Nun, ich persönlich habe nichts dagegen. Ich denke, ich werde sogar deine Mom überreden, dich nicht zu bestrafen, wenn sie dich erwischt. Wenn du dich erinnerst, wird sie nächste Woche anfangen, dich ohne Hose zu verprügeln, und es ist sehr erniedrigend.... Was hast du noch gefragt?
		eric.week.talk.10^									Я бы тоже хотел кое-кого...|Ich würde auch jemanden wollen....

	eric.week.talk.10@83@Если ты про свою семью, то хотя я тебя и понимаю, но торговаться на этот счёт не намерен. Я тебе буду платить за твоё невмешательство. Более того, даже разрешу подглядывать без последствий, а вот все женщины в семье - мои.|Wenn du von deiner Familie sprichst, dann will ich, obwohl ich dich verstehe, nicht darüber verhandeln. Ich bezahle dich für deine Nichteinmischung. Außerdem lasse ich dich sogar ohne Konsequenzen spionieren, aber alle Frauen in der Familie gehören mir.
		eric.week.talk.11a^									Договорились!|Deal!
		eric.week.talk.11b^									Нет, на это я не согласен.|Nein, da bin ich nicht einverstanden.

	eric.week.talk.11b@82@Ну, тогда мы с тобой перед диллемой. Ты знаешь слишком много о моих планах, я знаю, что ты тот ещё извращенец... Как быть?|Nun, dann haben wir ein Dilemma. Du weißt zu viel über meine Pläne, ich weiß, dass du ein Perverser bist.... Was ist zu tun?
		eric.week.talk.alt.1^								Я не извращенец!|Ich bin kein Perverser!
		eric.week.talk.alt.2^								А есть только два варианта?|Und das sind die einzigen Möglichkeiten?
		eric.week.bad.bad^									Ты знаешь... Я тут подумал. Да пошёл ты! Не надо мне ничего от тебя. И от тебя избавлюсь!|Weißt du, ich habe nachgedacht.... fick dich! Ich will nichts von dir. Ich muss dich nur loswerden!

	eric.week.talk.alt.1@87@Ну, это как посмотреть. Ты хотел потребовать «доступа» к женщинам в своей семье... Если бы твоя мать узнала, сомневаюсь, что это бы хорошо для тебя закончилось, правда?|Nun, das kommt darauf an. Du wolltest einen "Zugang" zu den Frauen in deiner Familie.... Wenn deine Mom davon erfahren würde, bezweifle ich, dass sie diese Information auf die leichte Schulter nimmt, meinst du nicht?
		eric.week.talk.alt.2^								А есть только два варианта?|Und das sind die einzigen Möglichkeiten?
		eric.week.bad.bad^									Тогда... Остаётся только послать тебя куда подальше. Такая дружба мне не нужна!|Dann.... Ich kann dich nur in die Hölle schicken. Ich brauche deine Freundschaft nicht!

	eric.week.talk.alt.2@83@Боюсь, что да. Либо ты со мной, либо против меня. Напомню - я тебе буду платить, ты сможешь смотреть, но нельзя трогать... Ну или война и ты точно проиграешь. Очень быстро...|Ich fürchte, ja. Entweder bist du für mich oder gegen mich. Lass mich dich daran erinnern - ich bezahle dich, und du kannst schauen, aber nicht anfassen. Das oder es wird Krieg geben und du verlierst alles sehr schnell....
		eric.week.talk.11a^									Если так, то я согласен на твои условия, конечно!|Ich denke, ich sollte der ersten Option zustimmen.
		eric.week.bad.bad^									Знаешь, что... Эрик? А иди-ка ты в жопу! Без тебя справимся!|Weißt du, was Eric? Fick dich selbst! Wir werden ohne dich besser dran sein!

	eric.week.talk.11a@90@Вот это разговор! Ну, тогда мы точно поладим. Если я увижу, что ты держишь свои обещания, то даже подарю потом кое-что, от чего ни один мужик не откажется, поверь!|Du hast die richtige Entscheidung getroffen! Wir werden uns gut verstehen! Wenn du deine Versprechen hältst, gebe ich dir etwas, das kein Mann je ablehnen würde!
		eric.week.talk.what.isit^							О чём речь?|Wovon redest du?

	eric.week.talk.what.isit@87@Любопытно? Ну я намекну... Рычит как байк, выглядит как байк...|Neugierig? Nun, ich gebe dir einen Tipp.... Klingt wie ein Motorrad, sieht aus wie ein Motorrad....
		eric.week.talk.what.isit.1^							Да ладно?|Oh, wirklich?

	eric.week.talk.what.isit.1@90@Ага. Так что, в твоих интересах мне не только не мешать, но и помогать, если возникнет такая необходимость. Ну там, слово замолвить или сделать что-то...|Ja. Also ist es in deinem Interesse, mir zu helfen. Und ich rede von einer echten Hilfe, nicht nur, dass ich den ganzen Job mache.
		eric.week.talk.what.isit.1.good^					Договорились!|Deal!

	eric.week.talk.what.isit.1.good@80@Ну всё, Макс. Я рад, что мы разобрались и, так сказать, поделили территорию. Теперь всё в твоих руках. Ну и в моих тоже... О, твоя мама идёт. Ну всё, пока!\n\n<color=lime><i><b>Внимание:</b> Ваши отношения значительно улучшились</i></color>|In Ordnung, Max. Ich bin froh, dass wir die Dinge geregelt und das Gebiet sozusagen aufgeteilt haben. Jetzt hängt alles von dir ab. Nun, bei mir auch.... Oh, deine Mom kommt. Alles klar, bye!\n\n<color=lime><i><b>Achtung:</b> Deine Beziehungen haben sich sehr verbessert.</i></color>
		leave!set_eric.rep_2!set_eric.status_2!set_poss.alpha_3!time^		Удачи!|Viel Glück!

	eric.week.bad.bad@89@Всё ясно с тобой. Ну, это твой выбор. У тебя была неделя, чтобы всё обдумать. Ты решил начать войну, ну что же, не вини меня за то, как я её закончу...\n\n<color=orange><i><b>Внимание:</b> Ваши отношения значительно ухудшились!</i></color>|I see. Well, if that's your choice. You had a week to think it over. You decided to start war, well, don't blame me for the way I’ll finish it... \n\n<color=orange><i><b>Achtung:</b>Deine Beziehungen haben sich sehr verschlechtert.</i></color>
		leave!ericwar!time^													Ага, вали...|Ja, raus hier....



# --- Разговор с Эриком насчёт подглядываний и какого чёрта, в общем-то?|Gespräch über das Überzeugen von Ann Max kann zusehen

	eric.voy.wtf.init@0@Эрик, мы же договорились!|Eric, wir waren uns einig!
	eric.voy.wtf@81@А можно конкретнее? О чём речь?|Wovon redest du?
		eric.voy.wtf.1^										Меня наказали за подглядывания!|Ich wurde dafür bestraft weil ich gespannt habe!

	eric.voy.wtf.1@83@Ну, и что здесь не так? Подглядывал - наказали... Преступление и наказание. Классика!|Und was ist daran falsch? Du hast spioniert und wurdest bestraft.... Verbrechen und Bestrafung. Das ist klassisch!
		eric.voy.wtf.2^										Ты обещал, что можно будет подглядывать без наказаний!|Du hast versprochen, dass ich ohne Strafe gucken kann!

	eric.voy.wtf.2@81@Я такое обещал? Хм... Может быть. То есть, ты хочешь, чтобы я убедил твою маму, что это нормально, когда она трахается на твоих глазах и нужно молчать?|Habe ich das versprochen? Hmm.... Vielleicht. Also, willst du, dass ich deine Mom davon überzeuge, dass sie ruhig sein soll, wenn du zusiehst, wie sie gefickt wird?
		eric.voy.wtf.3a^									Э... Ну не совсем так...|Uh.... Nun, nicht ganz....
		eric.voy.wtf.3b^									А так можно?|Ist das überhaupt möglich?

	eric.voy.wtf.3a@87@А как? Через раз? Один раз можно, другой нет? Так чего именно ты хочешь?|Was dann? Jedes zweite Mal? Einmal die Woche? Was genau willst du?
		eric.voy.wtf.4^										Я хочу смотреть и чтобы мне ничего за это не было!|Ich will zusehen, ohne in Probleme zu geraten!

	eric.voy.wtf.3b@87@Ну у тебя и запросы, Макс! Я даже не знаю... Ты точно этого хочешь?|Das sind einige Forderungen, Max! Ich weiß nicht.... willst du es wirklich?
		eric.voy.wtf.4^										Я хочу смотреть и чтобы мне ничего за это не было!|Ich will zusehen, ohne in Probleme zu geraten!

	eric.voy.wtf.4@86@Да уж. Ну, раз мы с тобой теперь друзья, я что-нибудь придумаю. Только это будет не сразу, а постепенно, но думаю, что смогу настроить маму так, как нужно...|Gut, da wir jetzt Freunde sind, werde ich mir etwas ausdenken. Offensichtlich kann ich das nicht an einem Tag erreichen, ich werde etwas Zeit brauchen, um die Sichtweise deiner Mom anzupassen. Aber ich denke, ich werde es schaffen....
		eric.voy.wtf.5^										Кстати, как ты это делаешь?|Übrigens, wie machst du das?
		eric.voy.wtf.good^									Отлично! Спасибо, Эрик.|Ausgezeichnet! Danke, Eric.

	eric.voy.wtf.5@81@Не понял. Как я делаю... что?|Wie mache ich was....?
		eric.voy.wtf.6^										Ну... Манипулируешь мамой, например...|Nun.... meine Mom zu manipulieren, zum Beispiel....

	eric.voy.wtf.6@87@Так я тебе и выдал свой секрет! Не сейчас. Может быть, однажды расскажу. Но поверь, мой способ очень эффективен! Так что, слушайся меня и я не буду настраивать никого против тебя...|Ich werde dir mein Geheimnis nicht verraten! Nicht jetzt. Vielleicht eines Tages. Aber glaube mir, meine Methode ist sehr effektiv! Also, du solltest auf mich hören und ich werde niemanden gegen dich aufbringen....
		eric.voy.wtf.7a^									Это угроза?|Das ist eine Drohung?
		eric.voy.wtf.good^									Хорошо, Эрик!|Okay, Eric!

	eric.voy.wtf.good@83@Да, раз у тебя такие необычные запросы насчёт твоей мамы, то теперь я тебе буду давать чуть меньше денег, чем собирался...|Übrigens, da du ungewöhnliche Wünsche bezüglich deiner Mom hast, werde ich dir etwas weniger Geld geben, als ich wollte....
		eric.voy.wtf.notfair^								Так не честно! Мы об этом сразу договаривались!|Das ist nicht fair! Darauf haben wir uns bereits geeinigt!

	eric.voy.wtf.7a@83@А, думай что хочешь. Но то, что теперь твоя жизнь в моих руках, это факт. И теперь я тебе буду давать немного меньше денег, раз у тебя такие специфичные требования насчёт мамы...|Stell dir vor, was du willst. Dein ganzes Leben liegt jetzt in meinen Händen, und ich kann tun, was ich will. Und jetzt werde ich dir weniger Geld geben, weil du eine seltsame und komplizierte Bitte hast.
		eric.voy.wtf.notfair^								Так не честно! Мы об этом сразу договаривались!|Das ist nicht fair! Darauf haben wir uns bereits geeinigt!

	eric.voy.wtf.notfair@87@Вообще, жизнь - штука несправедливая. А учитывая, что твоя ещё и в моих руках, то жаловаться никому не стоит, даже мне. Ну всё, иди займись чем-нибудь...|Das Leben ist nicht fair, einfach so. Und da dein Leben auch in meinen Händen liegt, kannst du dich nicht beschweren, besonders nicht bei mir. Okay, mach dich woanders nützlich.
		leave!add_eric.fee_-5!set_eric.voy.stage_2^			<i>уйти</i>|<i>verlassen</i>



# --- Разговор с Эриком о подглядывании и планах|Zweites Gespräch über Spähen und Pläne

	eric.voy.more.init@0@Ты хотел о чём-то поговорить...|Du wolltest über etwas reden....
	eric.voy.more@87@Да, Макс, хотел. Ну что, я выполнил своё обещание, верно? Ты доволен?|Ja, Max, das stimmt. Nun, ich habe mein Versprechen erfüllt, richtig? Bist du glücklich?
		eric.voy.more.next.1^				Ты про возможность подглядывать?|Du meinst die Möglichkeit zu spannen?
		eric.voy.more.next.1b^				Да, но как тебе это удалось?|Ja, aber wie hast du das gemacht?

	eric.voy.more.next.1b@81@Ты знаешь, я умею убеждать женщин. Могу заставить их делать что угодно. Причём, они будут думать, что делают это по своей воле... Но секрет я тебе не раскрою. Не сейчас. Но я хотел с тобой поговорить о другом.|Du weißt, dass ich Frauen davon überzeugen kann, alles zu tun. Außerdem werden sie denken, dass sie es waren, die sich diese Sache ausgedacht haben. Aber ich werde dir nichts sagen. Nicht jetzt. Aber ich wollte mit dir über etwas anderes reden.
		eric.voy.more.next.2^				О чём?|Was meinst du damit?

	eric.voy.more.next.1@86@Ну да. Ты же именно этого хотел? Деньги всегда можешь попросить, подглядывай сколько хочешь. Все твои мечты сбылись. Смотреть можно, но не трогать. И вот об этом я и хотел поговорить...|Ja. Das wolltest du doch, oder? Du kannst immer nach Geld fragen, spionieren, so viel du willst. All deine Träume wurden wahr. Du darfst schauen, aber nicht anfassen. Und darüber wollte ich sprechen....
		eric.voy.more.next.2^				Слушаю|Ich höre

	eric.voy.more.next.2@81@Что ты скажешь о Лизе?|Was hältst du von Lisa?
		eric.voy.more.next.2^				В ка?ом смысле?|Was meinst du damit?

	eric.voy.more.next.2@86@Ну, как думаешь, её заинтересуют уроки, скажем так, сексуального образования?|Nun, denkst du, sie könnte an den Lektionen der Sexualerziehung interessiert sein, sozusagen?
		eric.voy.more.next.3^				Это что значит?|Was meinst du damit?

	eric.voy.more.next.3@87@В общем, я думаю, что буду учить её как правильно заниматься сексом. Ну, не один, с твоей мамой, конечно. Постепенно, шаг за шагом...|Ich denke, ich werde ihr beibringen, wie man richtig Sex hat. Nun, nicht allein, natürlich mit deiner Mom. Nach und nach, Schritt für Schritt....
