# --- 0.4: (новое из 0.4: массаж, в конце) Разговор с Алисой, когда она одна загорает|Alice sonnt sich.

	alisa.talk.solar.init@0@Загораешь?|Sonnenbaden?
	alisa.eromas.yes.3.flip.bad@28@e-alisa-spider-sun-n-2@<color=orange><i>Алисе не понравился массаж!</i></color>\nЭй, Макс! Я сказала массаж, а не сиськи мять... Со спинкой у тебя получалось лучше... Всё, спасибо, конечно, но я хочу побыть одна...|<color=orange><i>Alice mochte die Massage nicht!</i></color>\nHey, Max! Ich sagte, du sollst mich massieren, nicht nur meine Titten befummeln.... Du warst besser mit meinem Rücken.... Danke für die Massage, aber ich will jetzt allein sein.
		leave^													Как скажешь...|Okay...

	alisa.eromas.yes.3.flip.good@31@<color=lime><i>Алисе понравилось!</i></color>\nОх... Макс... Ты знаешь, как сделать девушке приятно... Спасибо. Лучше остановимся, а то... В общем, спасибо тебе!|<color=lime><i>Alice mochte die Massage!</i></color>\nOh.... Max.... Du weißt, wie man eine Frau erfreut.... Ich danke Dir. Aber wir sollten aufhören, bis wir.... Wie auch immer, danke!
		leave!set_can.massagemom_1^								Не за что, сестрёнка!|Gern geschehen, Schwesterchen!



# --- Первый разговор Макса с Алисой о её блоге|Erstes Gespräch über Alice's Blog

	alisa.talk.aboutblog.1.init@0@Значит, у тебя есть блог?|Du hast also einen Blog?
	alisa.talk.aboutblog.1@20@А типа ты не знаешь? Позлорадствовать пришёл?|Als ob du es nicht wüsstest. Bist du hergekommen, um dich zu freuen?
		alisa.talk.aboutblog.1.no^										Нет, хотел просто больше узнать|Nein, ich wollte mehr darüber erfahren.
		alisa.talk.aboutblog.1.nothing^									Много подписчиков уже?|Wie viele Abonnenten habst Du?
		alisa.talk.aboutblog.1.money^									Заработала уже на нём что-то?|Habst Du schon etwas verdient?

	alisa.talk.aboutblog.1.nothing@23@Да ты издеваешься, да?|Machst du dich über mich lustig?
		alisa.talk.aboutblog.1.nothing.no^								Нет. С чего ты взяла?|Natürlich nicht, warum solltest du das überhaupt denken?
		alisa.talk.aboutblog.1.nothing.no^								Ты о чём, вообще?|Was meinst du damit?

	alisa.talk.aboutblog.1.nothing.no@20@Типа ты не в курсе, что у нас пропала большая часть вещей во время переезда?|Als ob du nicht wüsstest, dass die meisten unserer Sachen verloren gegangen sind, als wir umgezogen sind.
		alisa.talk.aboutblog.1.nothing.no.ohno^							Да ладно?|Oh, wirklich?
		alisa.talk.aboutblog.1.nothing.no.know^							В курсе, конечно|Natürlich weiß ich das

	alisa.talk.aboutblog.1.nothing.no.ohno@28@Знаешь что, Макс, отвали!|Weißt du was, lass mich in Ruhe!
		leave!lock^														Ну и ладно...|Okay, schön....

	alisa.talk.aboutblog.1.nothing.no.know@23@Ну, вот среди тех вещей было всё, что я использовала для ведения своего блога. Одежда, различные лаки, кремы... вообще всё!|Nun, unter den verlorenen Dingen gab es einen ganzen Haufen Kleidung und Make-up, die ich für meinen Blog brauche.
		alisa.talk.aboutblog.1.no.more.tricks.sry^						Мне очень жаль...|Es tut mir wirklich leid....
		alisa.talk.aboutblog.1.no.more.tricks.help^						И как тебе помочь?|Kann ich Dir irgendwie helfen?

	alisa.talk.aboutblog.1.money@23@Макс, тебе заняться нечем, кроме как меня доставать? Ты же знаешь, что у меня всё пропало!|Max, warum belästigst du mich, hast du nichts Besseres zu tun? Du weißt, dass ich alles verloren habe.
		alisa.talk.aboutblog.1.nothing.no^								Что пропало? Ты о чём?|Wovon redest du?
		alisa.talk.aboutblog.1.nothing.yes^								Ты о тех вещах во время переезда?|Redest du über Dinge, die wir verloren haben, als wir hierher gezogen sind?

	alisa.talk.aboutblog.1.nothing.yes@20@Конечно! Там же было вообще всё, что мне нужно для ведения блога. Шмотки, мои любимые лаки, косметика... вообще всё!|Natürlich! Alles, was ich für meinen Blog brauche, war da! Meine Kleidung, Make-up.... Nun, alles!
		alisa.talk.aboutblog.1.no.more.tricks.sry^						Да, печально...|Ja, ich sehe dein Problem....
		alisa.talk.aboutblog.1.no.more.tricks.help^						Тебе можно как-то помочь?|Kann ich Ihnen irgendwie helfen?

	alisa.talk.aboutblog.1.no@22@Что, даже не начнёшь подкалывать? И что ты хотел узнать?|Ernsthaft, keine Schadenfreude? Wie auch immer, was willst Du wissen?
		alisa.talk.aboutblog.1.no.more^									Расскажи, что ты там делаешь|Erzählen Sie mir mehr über Deinen Blog
		alisa.talk.aboutblog.1.no.prog^									Как планируешь развиваться?|Was sind Deine Pläne?

	alisa.talk.aboutblog.1.no.prog@20@Развиваться? Шутишь? Все мои вещи, лаки, материалы и прочее было в том контейнере, который пропал. Теперь у меня нет ничего...|Pläne? Willst du mich verarschen? Alles, was ich für meinen Blog brauche, ist verloren gegangen, welche Pläne könnte ich jetzt haben....
		alisa.talk.aboutblog.1.no.prog.what^							Что, совсем всё пропало?|Und du hast nichts mehr übrig?
		alisa.talk.aboutblog.1.no.more.whatnow^							Постой, и что теперь будет?|Also, was jetzt?

	alisa.talk.aboutblog.1.no.prog.what@23@Совсем всё. У меня даже нет подходящей одежды, чтобы вести блог. Нельзя же постоянно быть в одной майке перед зрителями...|Ich habe alles verloren. Ich habe nicht einmal Kleidung für meinen Blog. Ich kann nicht immer das gleiche Tank Top tragen....
		alisa.talk.aboutblog.1.no.prog.what.feature^					Может, это твоя фишка. Да и майка счастливая...|Vielleicht kann es dein Ding sein? Als wäre es dein Glückshemd oder so?
		alisa.talk.aboutblog.1.no.prog.what.nomatter^					Разве это важно?|Spielt das eine Rolle?

	alisa.talk.aboutblog.1.no.prog.what.nomatter@20@Очень важно. Ну, ладно, чёрт с ней, с одеждой, а что мне в блоге показывать? Как себя правильно расчёсывать? У меня нет ничего...|Natürlich tut es das! Auch wenn du die Kleidung ignorierst, was soll ich in meinem Blog zeigen?
		alisa.talk.aboutblog.1.no.more.tricks.sry^						Да уж, грусть-печаль...|Es tut mir leid wegen deiner Sachen.
		alisa.talk.aboutblog.1.no.more.tricks.help^						Тебе как-то можно помочь?|Kann ich Dir irgendwie helfen?

	alisa.talk.aboutblog.1.no.prog.what.feature@20@Ага, потому что единственная, да? А ещё какая фишка? Нет материалов, нечего показывать?|Ich bin ein Beauty-Blogger, ich kann nicht immer das gleiche Hemd tragen wie alle anderen.
		alisa.talk.aboutblog.1.no.more.tricks.sry^						Да уж, грусть-печаль...|Es tut mir leid wegen deiner Sachen.
		alisa.talk.aboutblog.1.no.more.tricks.help^						Тебе как-то можно помочь?|Kann ich Dir irgendwie helfen?

	alisa.talk.aboutblog.1.no.more@23@Ну, пока наши вещи не пропали во время переезда, я показывала как наносить лак, как применять различные средства и делилась разными хитростями...|Nun, bevor ich all meine Sachen verlor, gab ich verschiedene Beauty-Tipps und so....
		alisa.talk.aboutblog.1.no.more.tricks^							Хитростями? А откуда ты сама всё это узнала?|Wo hast du all diese Tipps gelernt?
		alisa.talk.aboutblog.1.no.more.whatnow^							И что теперь без этих своих вещей делать будешь?|Was wirst du jetzt tun?

	alisa.talk.aboutblog.1.no.more.tricks@22@Да у других таких же блогеров подсмотрела, конечно. Все так делают! Ну и сама в интернете разное читаю, изучаю...|Von anderen Bloggern, natürlich. Das macht doch jeder! Und manchmal versuche ich, etwas Neues im Web zu finden....
		alisa.talk.aboutblog.1.no.more.tricks.whatelse^					Тема бьюти разве единственная?|Nun, du musst kein Schönheitsblogger sein, du kannst über etwas anderes bloggen.
		alisa.talk.aboutblog.1.no.more.whatnow^							Понятно. Ну, и что теперь?|Ich verstehe. Also, was wirst du jetzt tun?

	alisa.talk.aboutblog.1.no.more.tricks.whatelse@20@Нет, но мне это всё как-то по душе. Говорят, у человека лучше получается то, что нравится. А мне это нравится...|Ich schätze, das muss ich nicht, aber.... Man sagt, dass die besten Ergebnisse erzielt werden, wenn man etwas tut, das man liebt, und ich würde gerne ein Schönheitsblogger sein....
		alisa.talk.aboutblog.together^									Давай что-то придумаем вместе!|Wir werden uns etwas einfallen lassen.
		alisa.talk.aboutblog.otherway^									Может быть, изменить твой блог?|Vielleicht sollten Wir deinen Blog ändern?

	alisa.talk.aboutblog.1.no.more.whatnow@20@Не знаю, если честно. Мне даже показаться перед зрителями не в чем. Какой же я бьюти-блогер, если на мне всегда одна и та же одежда...|Ich weiß nicht wirklich, um ehrlich zu sein. Ich habe nicht mal was zum Anziehen für einen Blog. Welche Art von Schönheit Blogger würde die gleiche Kleidung die ganze Zeit tragen....
		alisa.talk.aboutblog.1.no.more.tricks.help^						Тебе как-то можно помочь?|Kann ich Dir irgendwie helfen?
		alisa.talk.aboutblog.otherway^									Может быть, заняться чем-то другим?|Vielleicht sollten Wir deinen Blog ändern?
		alisa.talk.aboutblog.1.no.more.tricks.sry^						Да уж, грусть-печаль...|Es tut mir leid wegen deiner Sachen.

	alisa.talk.aboutblog.1.no.more.tricks.sry@23@Вот-вот... Надо было всё с собой брать, а не складывать в тот контейнер..|Ja, ich hätte alles mitnehmen sollen....
		alisa.talk.aboutblog.together^									Может быть, попробуем вместе найти решение?|Vielleicht fällt uns gemeinsam etwas ein?
		alisa.talk.aboutblog.otherway.findout^							Я обязательно придумаю, что можно с этим сделать|Mir fällt schon was ein!

	alisa.talk.aboutblog.1.no.more.tricks.help@31@Ты у нас внезапно стал миллионером? Или просто деньги появились? Самый простой способ - это купить недостающее. Ну, или найти то, что пропало|Wie kannst du mir helfen, meine fehlenden Sachen zurück zu bekommen? Ich muss wohl alles neu kaufen, was ich verloren habe.
		alisa.tricks.help.nomoney^										Денег у меня нет...|Ich habe kein Geld....
		alisa.tricks.help.lost^											Я не детектив, чтобы искать вещи...|Ich kann Dir nicht helfen, deine verlorene Sachen zu finden....

	alisa.tricks.help.lost@20@А кто ты тогда? Чем же именно можешь помочь?|Was dann? Wie willst Du mir helfen?
		alisa.tricks.help.lost.ideas^									Ну, у меня много разных идей|Ich habe einige Ideen für Ihren Blog
		alisa.tricks.help.lost.hints^									Советами!|Vielleicht könnte ich dir einen Rat geben.

	alisa.tricks.help.lost.ideas@31@Много разных идей? Например?|Zum Beispiel?
		alisa.talk.aboutblog.together^									Давай что-то придумаем вместе!|Wir werden uns etwas einfallen lassen.
		alisa.talk.aboutblog.otherway^									Может быть, изменить твой блог?|Vielleicht sollten Wir deinen Blog ändern?

	alisa.tricks.help.lost.hints@26@И кому уже помогли твои советы? Знаешь, советчиков много. Лучше бы что-то конкретное предложил...|Did you ever actually helped anyone with your advices?
		alisa.talk.aboutblog.together^									Давай что-то придумаем вместе!|We'll come up with something together
		alisa.talk.aboutblog.otherway^									Может б?ть, изменить твой блог?|Vielleicht sollten Wir deinen Blog ändern?

	alisa.tricks.help.nomoney@23@А без денег тут ничем не поможешь. Вообще, я в депрессии из-за всей этой истории. Вся жизнь перевернулась...|Und Ich kann nicht ohne Geld helfen. Jetzt bin ich deprimiert, mein ganzes Leben steht auf dem Kopf.
		alisa.tricks.help.nomoney.1^									Вся жизнь? Но это всё к лучшему же. Такой дом, бассейн, место отличное!|Das ganze Leben? Am Ende ist es das Beste, schauen Sie sich unser Haus, unseren Pool an!
		alisa.tricks.help.nomoney.2^									Не грусти. Могло быть и хуже|Sei nicht traurig, es hätte schlimmer sein können.
		alisa.talk.aboutblog.otherway^									Может быть, зарабатывать на чём-то другом?|Vielleicht sollten Sie auf andere Weise Geld verdienen?

	alisa.tricks.help.nomoney.1@20@Да, в этом плане ты прав, Макс. Но я хотела чего-то добиться. Стать известным блогером и заработать кучу денег. А теперь...|Da hast Du wohl Recht. Aber trotzdem wollte ich etwas erreichen. Ein berühmter Blogger werden und einen Haufen Geld verdienen. Und jetzt....
		alisa.talk.aboutblog.together^									Давай что-то придумаем вместе!|Wir werden uns etwas einfallen lassen.
		alisa.talk.aboutblog.otherway^									Ты всё ещё можешь. Может быть, просто смени формат блога|Vielleicht sollten Sie das Format Ihres Blogs ändern.

	alisa.tricks.help.nomoney.2@20@Верно. Но всё равно, это всё очень грустно. Я даже не представляю, как теперь быть...|Richtig. Aber trotzdem weiß ich nicht, was ich jetzt tun soll....
		alisa.talk.aboutblog.together^									Давай что-то придумаем вместе!|Wir werden uns etwas einfallen lassen.
		alisa.talk.aboutblog.otherway^									Ты всё ещё можешь. Может быть, просто смени формат блога|Vielleicht sollten Sie das Format Ihres Blogs ändern.

	alisa.talk.aboutblog.otherway@20@Ты о чём? Есть какие-то мысли?|Was meinst du damit? Hast Du eine Idee?
		alisa.talk.aboutblog.together^									Мы можем с тобой вместе что-то придумать|Wir werden uns etwas einfallen lassen.
		alisa.talk.aboutblog.otherway.findout^							Давай, я подумаю и, когда будут мысли, продолжим разговор|Lass mich darüber nachdenken. Wir werden dieses Gespräch später fortsetzen.
		alisa.talk.aboutblog.otherway.findout^							Пока нет, но я подумаю что можно сделать|Nicht jetzt, aber ich werde mir etwas ausdenken.

	alisa.talk.aboutblog.otherway.findout@31@Ну, давай. Сомневаюсь, конечно, что это не пустая болтовня, но вдруг... Удиви меня!|Nun, ich schätze schon. Ich bin nicht sicher, ob du wirklich nützlich sein wirst, aber warum nicht.... Überrasche mich!
		alisa.talk.aboutblog.otherway.findout.ok^						Постараюсь...|Ich werde es versuchen....
		alisa.talk.aboutblog.otherway.findout.nopromice^				Но ничего не обещаю|Keine Versprechungen
		alisa.talk.aboutblog.otherway.findout.sure^						Обещаю, что-нибудь придумаю|Ich werde mir etwas einfallen lassen, versprochen!

	alisa.talk.aboutblog.otherway.findout.ok@20@Постарайся. Я тоже буду думать. Но бросать блог не хочу. Может быть и правда стоит сменить формат, но на какой?|Versuche es. Ich werde auch versuchen, mir etwas auszudenken. Ich will mein Format nicht ändern, aber vielleicht ist es das, was ich tun muss....
		leave!max_talk.blog_2^											Договорились!|Deal!

	alisa.talk.aboutblog.otherway.findout.nopromice@20@А я другого и не жду. Если бы у тебя были мысли, ты бы и сам мог на таком заработать... В общем, будем думать...|Ich würde nichts anderes von dir erwarten. Wenn Ich irgendwelche Ideen hätten, könnten Sie selbst Geld verdienen.... Wie auch immer, lass uns nachdenken....
		leave!max_talk.blog_2^											Ага...|Ja...

	alisa.talk.aboutblog.otherway.findout.sure@26@Обещание, конечно, обнадёживает... Но я бы не стала на твоём месте что-то обещать. Конечно, если у тебя уже нет идей. Так или иначе, я тоже буду думать. Может быть, и правда не всё так плохо...|Ich mag es, dass du so selbstbewusst bist, aber.... Kannst du mir das wirklich versprechen, wenn du keine Ahnung hast, wie du mir helfen kannst? Wie auch immer, ich werde versuchen, mir auch etwas auszudenken, vielleicht ist meine Situation doch nicht so schlecht....
		leave!max_talk.blog_2^											Да прорвёмся!|Wir werden es durchziehen!

	alisa.talk.aboutblog.together@24@Вместе? Ещё ничего нет, а уже в партнёры набиваешься?|Zusammen? Ich habe noch nichts und du willst schon mein Partner sein?
		alisa.talk.aboutblog.together.whynot^							Ну если придумаю что-то, то почему нет?|Wenn mir etwas einfällt, warum nicht?
		alisa.talk.aboutblog.together.sure^								Конечно! Будет у нас семейный бизнес!|Natürlich! Wir werden ein Familienunternehmen haben!
		alisa.talk.aboutblog.together.try^								Ну, можно попробовать же?|Es schadet nicht, zu versuchen.

	alisa.talk.aboutblog.together.whynot@31@Ну, если придумаешь. Если. Да и смотря что... Сильно удаляться от этой темы не хочется. Но попробовать что-то новое можно... В общем, когда что-то придумаешь, тогда и поговорим...|Wenn ich mir etwas Gutes einfallen lassen, dann ja, ich denke darüber nach. Ich möchte mich nicht zu weit vom Beauty-Blog-Format entfernen, aber ich bin offen für neue Ideen. Rede mit mir, wenn du etwas zu sagen hast.
		leave!max_talk.blog_2^											Хорошо!|Okay!

	alisa.talk.aboutblog.together.sure@31@Семейный бизнес? На моём блоге? Может ещё и сам вести будешь?|Familienunternehmen aus meinem Blog? Vielleicht Hoistest Du sie auch?
		alisa.talk.aboutblog.together.sure.empty^						Ну да, многие так делают!|Viele Leute tun das!
		alisa.talk.aboutblog.together.sure.empty^						Нет, из меня ведущий так себе...|Nein, ich wäre kein guter Host.
		alisa.talk.aboutblog.together.sure.empty^						Попробовать то можем?|Wir können versuchen

	alisa.talk.aboutblog.together.sure.empty@20@Знаешь, мне кажется, что это всё пустые разговоры. Сначала что-то предложи, тогда и обсудим...|Auf jeden Fall ist jetzt alles nur noch leeres Gerede. Zuerst musst du ein paar Ideen anbieten, dann reden wir....
		leave!max_talk.blog_2^											Хорошо, я подумаю|Okay, Ich werde darüber nachdenken.

