# --- 0.12: Макс спрашивает Лизу насчёт уроков с мамой

	12.aa.0.init@0@Как ваше обучение с мамой?|Any progress on your sex ed lessons with mom?
	12.ab.11@41@d-mt-5@Да, мам, я сама попросила Макса, чтобы он помог мне в этом вопросе. Мы могли бы и без тебя, конечно, но...|Yes it is, that's why I called Max. But if you're so adamantly against this idea, I guess we could do it without you...
		12.ab.12^		<i>далее</i>|<i>continue</i>

	12.ab.12@68@d-mt-4@Что?! Сами? Ни в коем случае! Ты права. Молодцы, что пришли ко мне и решили всё обсудить заранее... Но мне кажется, вы ещё не готовы...|What!? Absolutely not! You're right, good job on coming to me with this. I'm still not sure you're ready, though...
		12.ab.13^		Лично я готов. Могу начать хоть сейчас!|Lisa is ready, and so am I. I think you're the one who's not ready to accept we're not little kids anymore

	12.ab.13@62@Макс, не спеши. Я не сомневаюсь, что ты хочешь похвастаться перед сестрой своим... хозяйством, но не так быстро...|You might be right about that... But even if you're both ready it doesn't mean you should just flap your dick around your sister, em, willy-nilly.
		12.ab.14^		Эх...|Okay...

	12.ab.14@41@Мам, если ты переживаешь, что меня может что-то смутить, то зря ты так... Я уже видела, что он у него большой... даже больше, чем...|You don't have to worry about me, mom. I've already seen how big he is anyway... even more than...
		12.ab.15^		<i>далее</i>|<i>continue</i>

	12.ab.15@68@Больше, чем у кого? С кем ты сравниваешь? Смотрела какие-то пошлые журналы или фильмы? Или в интернете нашла?!|More than who? What's your point of reference? Have you seen some dirty movies or magazines? Something on the web?
		12.ab.16^		<i>далее</i>|<i>continue</i>

	12.ab.16@41@Мам, ну я же не настолько маленькая, у меня и подруги есть и друзья, где-то кто-то что-то показал, где-то увидела, подслушала...|I have friends, maybe someone has said or showed something...
		12.ab.17^		<i>далее</i>|<i>continue</i>

	12.ab.17@62@Увидела, подслушала? Что же это у тебя там за подруги и друзья такие, что тебе что-то такое показывают...|What kind of friends do you have if they show you their things?
		12.ab.18^		<i>далее</i>|<i>continue</i>

	12.ab.18@41@Ну мам, я бы не пришла к тебе, если бы не хотела во всём разобраться как следует. А кто, если не ты мне всё расскажет, верно?|Normal kind. Mom, I came to you because I want to know about this. Who else is going to properly teach me all this?
		12.ab.19^		<i>далее</i>|<i>continue</i>

	12.ab.19@69@Верно! Ну так я же не против рассказывать и показывать. Просто... Мне не нравится идея показывать это на твоём брате, понимаешь?|That's right! I'm not against the idea of teaching you, it's just... I don't like the idea of showing you all this on Max, you know?
		12.ab.20^		<i>далее</i>|<i>continue</i>

	12.ab.20@41@Мам. Я это прекрасно понимаю. Ты переживаешь, что Макс будет стесняться, меня может что-то напугать и ты... тоже стесняешься, да?|Are you afraid Max and I will feel uncomfortable? Or... do you feel uncomfortable showing stuff on Max?
		12.ab.21^		<i>далее</i>|<i>continue</i>

	12.ab.21@73@Ничего я не стесняюсь... Да и Макс, думаю, тоже... Просто... я всё время сомневаюсь, правильно ли я вас воспитываю...|No, I'm okay with that... And I'm sure Max is fine too... I'm afraid I'm making a mistake. What if this lessons will traumatize you?
		12.ab.22^		Мы не жалуемся!|We'll be fine!

	12.ab.22@41@Да, мам, отлично ты нас воспитала. И мы надеемся, что продолжишь... Мы тебя очень любим и доверяем...|Yes. You're a great mom and you don't need to worry about screwing us up, we promise. We love you and we trust you.
		12.ab.23^		Да, верно Лиза всё сказала!|That's right!

	12.ab.23@67@Спасибо вам, мои дорогие! Хорошо, вы меня убедили, начнём первый урок в следующий раз.|Thank you, I love you too. Okay, we can have our first practical lesson next time.
		12.ab.24^		Хорошо, мам!|Okay, mom!

	12.ab.24@62@d-mt-35@Да, и никаких экспериментов или самостоятельного... обучения! Только при мне и только тогда, когда я скажу. Ясно?|But don't try anything without me! I want to make sure you're not gonna accidentally hurt each other or something.
		12.ab.25^		Ясно, мам!|Okay, mom

	12.ab.25@41@Да, мам, мы всё поняли! Пойдём, Макс, нам ещё нужно будет кое-что обсудить...|Yes, mom, we understand. Let's go, Max, I want to talk to you about something.
		leave!set_lidea_7!set_dcd.lidea_1!time^			Ага...|Okay



# --- 0.12: Диалог с Лизой после разговора с Анной

	12.ac.0.init@0@Ты хотела о чём-то поговорить?|You wanted to talk about something?
	12.ac.0@41@Ага. Фух, я даже не ожидала, что мама согласится использовать тебя для...|Yeah. I'm glad we've managed to convince mom, I didn't think mom would agree so easily.
		12.ac.1^		Для чего?|If only I knew what we all just agreed to...

	12.ac.1@40@А вот я и не знаю. Наверняка, будем на тебе изучать строение мужского тела... Ну или что-то ещё... я не знаю...|Yes, I'm not sure about her plans either... I guess she'll teach me about male physiology on you or something...
		12.ac.2^		А зачем тебе это всё?|Do you think she might actually teach you something you don't already know?

	12.ac.2@41@В смысле, чему я могу научиться у мамы? Не думаю, что в этом вообще смысл есть... Просто, это забавно. Да и твоя проблема с Алисой...|It's not like she knows about sex less than me, it all depends on how much she's willing to teach. And it's not about the lessons itself anyway. The main reason we're doing it is your problem with Alice.
		12.ac.3^		Моя проблема?|My problem?

	12.ac.3@48@Ну не моя же. Это тебя, вроде бы, напрягает, что она нас шантажирует. Лично мне всё нравится... Я даже от одной мысли возбуждаюсь...|Yes, I certainly don't have any problems with Alice. You're the one who doesn't like she's blackmailing us. I get turned on just from thinking about it...
		12.ac.4^		Тогда зачем?|Then why do you want to change it?

	12.ac.4@40@Я не хочу, чтобы тебе было некомфортно. Наверняка, начнёшь искать какие-то способы забрать компромат у Алисы, поссоритесь ещё, а я этого не хочу.|Because I don't want you to feel uncomfortable. And I'm afraid you might try to get some blackmail material on her and start a huge fight. I don't want that.
		12.ac.5^		И какой твой план?|You don't have to worry about that, I'm not planning to go to war with Alice

	12.ac.5@41@Ты разве ещё не понял? Если для мамы станет в порядке вещей, что мы с тобой... Ну, ты понял... То у Алисы не будет возможности тебя заставлять...|Oh. And here I am, trying to come up with a plan to take away Alice's leverage over you...
		12.ac.6a^		Отличная мысль!|We don't need Alice to get caught, changing mom's opinion about us is still a great idea!
		12.ac.6b^		Да меня и так всё устраивает с Алисой...|Taking away Alice's leverage sounds like a good idea even if we get along

	12.ac.6a@43@Тогда у нас будет ещё и отличная возможность как следует развлечься...|That's true. Plus we get an opportunity to have a lot of fun with mom...
		12.ac.6b.3^		В каком смысле?|Are you thinking what I'm thinking?

	12.ac.6b@41@Вот как? А мне показалось, что ты изображал из себя недовольного... Ну ладно, раз тебя не заботит компромат Алисы, можно отказаться от этой идеи...|I guess. For a moment there I thought you were going to cancel our plans with mom's sex ed.
		12.ac.6b.2^		Отказаться от уроков с мамой?|No reason to do that, sex ed lessons sounds promising in on itself, even without Alice lording her tape over us

	12.ac.6b.2@40@Ну да. Конечно, если только ты не хочешь развлечься. Мне кажется, что эти занятия могут быть очень забавными...|That's true. We get an opportunity to have a lot of fun with mom...
		12.ac.6b.3^		Почему?|Are you thinking what I'm thinking?

	12.ac.6b.3@41@Сам подумай. Мама так стесняется всего этого, даже разговоров о сексе. Причём, только она одна... Можем разыграть такой классный спектакль...|...You're thinking about doing something dirty with mom and me, aren't you? Sorry to disappoint you, but I was thinking about something more... prank-ish in nature.
		12.ac.6^		Ты права, давай попробуем!|Oh. I'm listening...

	12.ac.6@48@У меня даже появились кое-какие мысли насчёт того, как развести маму. Тебе только придётся мне подыграть.|I have an idea. Play along in the next lesson.
		12.ac.7^		Как именно?|Sure, what do you want me to do?

	12.ac.7@41@Сообразишь во время занятия. Главное - не тупи. Справишься?|You'll figure it out, just don't ruin everything. Can you do that?
		12.ac.8^		Конечно!|Of course!

	12.ac.8@40@Супер! А теперь поболтай с мамой и расскажи, как бы случайно, что у меня есть парень и я хочу с ним близости...|Great! Now, first thing you need to do is talk to mom and casually tell her I have a boyfriend and I want to be intimate with him...
		12.ac.9^		Что?!|What!?
		12.ac.9^		Какой парень?!|What boyfriend!?

	12.ac.9@41@Ну про Алекса я ей рассказывала, пусть будет он, допустим... Это же легенда для мамы. Ну вот, начинаешь тупить...|I told her about Alex, so it can be him... It's just a legend for mom, doofus, I'm not actually dating him.
		12.ac.10^		Подробнее расскажи про свой план!|Tell me more about your plan so this doesn't happen in front of mom

	12.ac.10@48@В общем, тебе стоит рассказать, что у на в школе все девочки уже встречаются с парнями и как минимум у них бывают различные отношения...|You need to tell mom all girls from my school are dating someone.
		12.ac.11^		Отношения?|Okay, and...?

	12.ac.11@41@Ну я не знаю, соври что-нибудь... Что все девочки достаточно подкованные в вопросах секса и я себя чувствую белой вороной...|Tell her all girls are experienced about sex and I feel left out.
		12.ac.12^		А это так?|Is this true, by the way?

	12.ac.12@40@Макс! Ну вот опять. Я же сказала, что это сказка для мамы. Хотя, в нашем возрасте мало кто не понимает что куда засовывать, если ты понимаешь...|Really, Max? I literally <i>just</i> told you it's just a legend for mom!\nBut to answer you question, people know what goes where, you don't have to be a genius to figure it out. You know, a cylinder shape goes into a round whole, everyone learned that stuff in the kindergarten.
		12.ac.13^		Понимаю...|Fine, fine

	12.ac.13@41@Вот. Для мамы это будет дополнительным стимулом начать наши... продвинутые уроки как можно скорее...|Right. Hopefully this story will motivate mom to give me some knowledge so I don't go looking for information in other sources.
		12.ac.14^		А почему сама не расскажешь?|That makes sense, but why can't you tell her all that yourself?

	12.ac.14@48@Ну я ей уже намекала, но если она услышит это от тебя, то поймёт, что мы с тобой достаточно близки для подобных тем и у нас нет секретов...|I tried, but I hope if she hears it from you she'll realize we're close enough to talk about this kind of stuff.
		12.ac.15^		Ну ничего себе у тебя план!|That's quite some master plan you came up with!

	12.ac.15@43@Что, уже не кажусь такой глупой девочкой?|Oh, you don't think I'm stupid anymore?
		12.ac.16a^		Ага, уже не кажешься...|Not anymore, no
		12.ac.16b^		Я так никогда не думал!|I never thought you're stupid!

	12.ac.16a@41@Сарказм? А сам бы додумался до такого? Наверняка, мыслишь только своим членом... А так никто ни о чём не догадается...|Gee, thanks. Could you ever think of something like this? You only think with your dick anyway.
		12.ac.16^		Да, ты права, хороший план!|Yes, yes, you came up with a great plan. Congratulation

	12.ac.16b@48@Разве? А мне показалось, что ты сомневался во мне. Конечно, с некоторыми предметами у меня туго, но плести интриги обожаю!|Really? I always thought you underestimate me. I mean, I do have some problems with my homework every once in a while, but I can come up with a good plan!
		12.ac.16^		У тебя хорошо получается...|Yes, you did a great job, sis

	12.ac.16@41@Спасибо, Макс. Ну всё, иди поболтай с мамой. И будь убедителен. Не проколись. Если она поймёт, что это всё игра, то ничего не будет...|Thanks, Max. Now go talk to mom and don't blow your cover. I don't have to tell you what she'll do if she realizes we're just acting innocent.
		leave!set_poss.guest_26!set_lidea_8^			Хорошо!|Okay



# --- 0.12: Диалог с мамой насчёт Лизы

	12.ad.0.init@0@Ну что, когда наши уроки?|When do we start our lessons?
	12.ad.0@62@Ох, Макс... Такое ощущение, что ты только этого и ждёшь. Откуда такой интерес? Ты же понимаешь, что я не позволю случиться ничему... такому...|Why are you so interested in them, Max? You understand we're not going to do... you know...
		12.ad.1^		Какому?|No, I don't, tell me

	12.ad.1@69@Ну ты меня понимаешь. И так всё зашло слишком далеко... с нами, с Алисой, твоей тётей, этими фильмами, ещё и Лиза...|You know what I'm talking about, Max. Me, Alice, your aunt, the movies. And Lisa...
		12.ad.2^		Так я забочусь о ней!|I just worry about her!

	12.ad.2@62@Это каким же, интересно, образом?|Why? What's the reason behind this sudden need to learn all about sex?
		12.ad.3^		Ты же знаешь про её парня?|Don't you know about her boyfriend?

	12.ad.3@60@Ну да, она говорила кое-что. Кажется, Алекс?|Yeah, she said something about it... Alex, is it?
		12.ad.4^		Ага...|Yeah

	12.ad.4@67@И что с ним? Они же, вроде бы, расстались? Лиза говорила, что он туп как пробка, потому и прекратила с ним встречаться...|What about him? Didn't they break up because he's a complete moron?
		12.ad.5^		А теперь снова вместе...|They made up

	12.ad.5@75@Эх, молодость. Я тоже была глупой и делала... глупые поступки. Хотя, и сейчас делаю что попало... Так что там с её парнем?|I see. Well, I was young and stupid too, once... Not that I'm not doing anything inappropriate now... Anyway, what's this about her boyfriend?
		12.ad.6a^		В её возрасте все думают только о сексе!|Everyone thinks about nothing but sex in her age
		12.ad.6b^		Все её подруги спят с парнями!|All her friends are sleeping with their boyfriends

	12.ad.6a@60@А тебе это откуда известно? Ты прав, конечно, но... Это она тебе рассказала? Или сам догадался?|How would you know? Not that you're wrong, but... Did she tell you about it or is this just a guess?
		12.ad.6a.2^		Ну а ты как думаешь?|What do you think?

	12.ad.6a.2@69@Ох, Макс... Ну что глупости... Хотя, я тоже об этом думала, если честно. Может быть, даже больше, чем нужно...|I'm not arguing your point, Max... I was just like that in her age. Maybe more than I should've been...
		12.ad.6b^		А ещё я слышал, что многие из них этим занимаются...|I've heard a lot of people in her school are having sex

	12.ad.6b@68@Что?! А ты откуда это знаешь?! Не может быть!|What!? How would you even know about that!? That can't be!
		12.ad.6^		Может, конечно!|Of course it can!

	12.ad.6@73@Но Лиза... Мы же ходили к доктору вместе недавно и она была... Не важно. Так, что ты хочешь мне сказать?|But Lisa is... We've been to the doctor recently and she's still... Doesn't matter. What's your point?
		12.ad.7^		Если мы ей не поможем, она сделает глупость...|Aren't you afraid she might do something stupid without proper guidance?

	12.ad.7@62@Постой, а ты откуда всё это знаешь? Неужели, вы настолько близки, что она тебе обо всём этом рассказывает?|Wait, how do you know all this stuff about her friends? Are you really so close she talks with you about <i>that?</i>?
		12.ad.8^		У нас нет секретов!|We don't have any secrets from each other
		12.ad.8^		Конечно, она же моя сестра!|Of course, she's my sister

	12.ad.8@69@Понятно... Ну что же, это всё меняет. Я хотела отложить эти уроки до лучших времён, пока вы повзрослеете, но если так, то ждать нельзя...|I guess I can't stall forever, can I?
		12.ad.9^		Я тоже так думаю...|Yes, we should start as soon as possible

	12.ad.9@73@Теперь понятно, почему ты так об этом переживаешь. А я подумала, что ты просто хотел лишний раз устроить... какой-то разврат в нашей семье...|I can see why you're so eager. And I thought you just want to start something... you know what.
		12.ad.10^		Мам, ну что за глупости?!|Come on, mom!

	12.ad.10@62@Вот не надо притворяться невинной овечкой, сынок. Я прекрасно понимаю, что у тебя гормоны и мысли только об одном... И я тебя не осуждаю...|Please don't pretend to be all pure and innocent, Max. That ship has sailed a loooong time ago. I know that sex is all you think about. And I don't really blame you either.
		12.ad.11^		Не осуждаешь? Почему?|You don't?

	12.ad.11@73@Если говорить откровенно, а с тобой я могу теперь о многом говорить, то... С тех пор, как Эрик нас покинул, я тоже думаю только об одном...|To be honest, that's the only thing I think about since Eric left us.
		12.ad.12^		Я могу помочь?|Can I help?

	12.ad.12@62@Чем? Ну чем ты можешь мне помочь, сынок? Я не хочу заводить нового мужчину. Неизвестно как вы его примете, да и вдруг опять окажется таким же...|How could you help me, son? I don't want to look for another man. Who knows how you'll feel about him. And he can turn out to be just like Eric...
		12.ad.13^		Я могу помочь иначе!|I can help in other ways

	12.ad.13@69@Ой, Макс, хватит. Не хочу даже слышать твои намёки. Я с тобой поделилась потому, что могу тебе доверять, а ты опять всё сводишь к...|Max, I don't want to touch this topic with a twelve foot pole. I only told you this because we're close and I can trust you, not so you can hint at...
		12.ad.14^		Но что-то же нужно делать?|But shouldn't we do <i>something</i>?

	12.ad.14@67@Ты так переживаешь обо мне? Спасибо, сынок. Но я что-нибудь придумаю. Кстати, думаю, согласится на предложение Киры...|I appreciate your concern, Max, I really do. But that's a problem I'll have to deal with by myself somehow. I think I should accept Kira's offer...
		12.ad.15^		Ты о чём?!|What do you mean?
		12.ad.15^		Какое предложение?|What offer?

	12.ad.15@69@Насчёт съёмок в тех фильмах... Я так понимаю, с сексом у порноактрис не бывает проблем, да и деньги нам нужны...|Her offer to do more porn... That will fix my lack of sex problem and will give me some money...
		12.ad.16^		Может, не стоит?|Are you sure you want to do it?

	12.ad.16@73@Почему? Она сказала, что не будет никаких мужчин. Конечно, я не лесбиянка, но... это тоже что-то... А если так, как было с Кирой, то...|Why not? Kira said there won't be any men, though... I'm not a lesbian, but it's still better than nothing. Especially if they're as good as Kira...
		12.ad.17^		Хм...|Hm...

	12.ad.17@60@Ой, что-то меня не туда занесло. Я просто хотела поделиться с тобой своими мыслями. Ты же не будешь меня осуждать, если я соглашусь?|Anyway, thanks for listening. You're not going to judge me for doing this, right?
		12.ad.18a^		Нет, мам, это правильное решение!|No, I think you're making a right decision
		12.ad.18b^		У тебя же есть я!|You also have me

	12.ad.18a@67@Да? Я думала, ты будешь меня отговаривать и предлагать какую-то свою помощь... Я рада, что ты меня поддерживаешь!|Huh, I'm surprised you're fine with this idea and not trying to offer your help instead... Well, I'm glad you're supporting me.
		12.ad.18a.2^	А я и помощь могу предложить!|Hey, my offer to help you is always on the table!

	12.ad.18a.2@60@Не сомневаюсь в этом ни на секунду, сынок! Но я услышала от тебя слова одобрения и съезжу на пробные съёмки, посмотрим что получится...|Of course... Still, I want to go to the studio and see what happens.
		12.ad.18^		Эх...|Okay...

	12.ad.18b@69@И я благодарю судьбу каждый день за это, но какое это имеет отношение к моей проблеме, о которой я тебе рассказала?|And I'm very happy to have you, but I don't see how you can help me with my problem.
		12.ad.18b.2^	Я мог бы делать тебе массаж...|Well, when a boy and a girl like each other very much...

	12.ad.18b.2@73@Массаж... да, мне нравится, как ты его делаешь, но одним массажем тут ничего не решить...|Walked right into this one, didn't I... Seriously, though, what help do you have in mind? And before you answer, keep in mind that your offer should be reasonable enough for me to consider.
		12.ad.18b.3^	Это может быть особый массаж...|I can offer you a massage. You know I'm good at it. I could help you with your problem if you're up for it

	12.ad.18b.3@67@Макс, ну всё, хватит. Я поняла тебя. Пожалуй, я соглашусь... на предложение Киры. Если уж выбирать из двух зол...|Okay, Max. I see where you're going with this. Your offer is more reasonable than I expected from you, but I think I'm going to go with Kira's offer. Seems like a lesser of two evils.
		12.ad.18b.4^	Ты же мне помогаешь?|But you help me all the time!

	12.ad.18b.4@69@С твоей... проблемой, туннельным синдромом и невозможностью кончить? Конечно, я же твоя мама! Для меня важно твоё здоровье!|You mean with your tunnel syndrome and inability to cum? Of course I do, I'm your mother! Your health is very important to me!
		12.ad.18b.5^	Вот и я беспокоюсь о твоём!|And your health is very important to me!

	12.ad.18b.5@67@Спасибо, сынок. Я тебя поняла. Но для начала попробую то, что предложила мне Кира. Это, как минимум, более правильно...|Thanks, son. I'm glad you care. But I want to try Kira's offer.
		12.ad.18^		Эх...|Okay...

	12.ad.18@62@Ну всё, с этим разобрались. Давай сменим тему...|Okay. Let's change the subject.
		12.ad.19^		А что насчёт уроков?|What about our lessons with Lisa?

	12.ad.19@60@Начнём, хоть завтра. Подойди вечером ко мне, как будешь сам готов и Лиза не занята, хорошо?|We can start tomorrow, if you're not busy. Come over in the evening when Lisa and I are free.
		leave!set_poss.guest_27!set_lidea_9!set_dcd.masx_1!set_pjob_1!set_dcd.pjob_5^			Конечно, мам!|Sure, mom



# --- 0.12: Начало обучения, первый урок

	12.ae.0.init@0@Как насчёт урока?|How about a lesson?
	12.ae.0@69@Да, сейчас подходящий момент. Зови Лизу, начнём сегодня первое занятие...|Sure, I'm free now. Go call Lisa, let's start our lesson.
		12.ae.1^		Я мигом!|I'll be right back!

	12.ae.1@60@d-mt-3@Так, ну что же. Раз вы оба готовы и хотите этого, то приступим... Проходите, присаживайтесь на кровать, а я сяду на стул...|So... Since you're both ready and willing, let's start. Go sit on the bed, I'll sit on a chair...
		12.ae.2^		Хорошо...|Okay

	12.ae.2@41@d-mt-5@Мам, только пообещай, что ты больше не будешь сомневаться, а будешь рассказывать и показывать. Так мы сэкономим время, хорошо?|Mom, can you promise you won't complain and overthink everything all the time? We're here because we all want this, let's not waste everybody's time, okay?
		12.ae.3^		<i>далее</i>|<i>continue</i>

	12.ae.3@67@d-mt-4@Что, я всё время сомневаюсь? Это плохо. Учитель должен быть уверен в себе... Ну хорошо, я постараюсь. Итак...|You're right, a teacher should be confident... I'll do my best. So...
		12.ae.4^		<i>слушать лекцию мамы</i>|<i>listen to mom's lecture</i>

	12.ae.4@4@d-mt-5@<i>Похоже, мама решила начать издалека. Видимо, оттягивает тот самый момент, ради которого я и пришёл... Надо бы её поторопить...</i>|<i>Looks like mom can't just jump into practice head first. I didn't come here for a lecture, maybe I should rush her a little bit...</i>
		12.ae.5^		Мам, Лиза это всё уже знает, наверняка...|Mom, I'm sure Lisa already knows all this

	12.ae.5@41@Да, мам, ты же мне всё это объясняла. Я знаю для чего у мужчин член, но вот ни разу не видела его близко, только когда Макс спит...|Yes, no need to repeat yourself, mom. I know why men have cocks, I just haven't seen one before, only when Max was asleep.
		12.ae.6^		Тебе показать поближе?|Do you want to see one now?

	12.ae.6@62@Макс, ну что за вульгарность?! Лиза, для того, чтобы мужчина возбудился, иногда нужна помощь девушки. Некоторых возбуждает голая грудь, а некоторых...|Do be crude, Max! Lisa, men aren't hard at all times, first they need to get aroused. Some men are into breasts, for example.
		12.ae.7^		<i>далее</i>|<i>continue</i>

	12.ae.7@68@d-mt-6@Лиза, что за дела?! Где твои трусы?! Совсем стыд потеряла! Прикройся, здесь же Макс!|What the hell, Lisa!? Where are your panties!? Have you lost your mind? Cover yourself immediately! And in front of Max, too!
		12.ae.8^		<i>далее</i>|<i>continue</i>

	12.ae.8@43@d-mt-7@Да ладно тебе, мам! Он же собирается показывать свой член, что такого, если я тоже ему покажу кое-что... Это же помогает для... возбуждения?|Come on, mom, he's about to show me his cock, what's wrong with me showing him something back? Plus it should help him with getting aroused, right?
		12.ae.9^		Помогает, очень!|Yes, it helps! A lot!

	12.ae.9@62@Лиза, я от тебя такого не ожидала! Ходишь без трусов, да ещё всё напоказ перед братом... Я в шоке, честно! Думала, ты скромная девочка...|I didn't expect that from you, Lisa! Not wearing your panties, in front of your brother, no less! And I thought you were shy...
		12.ae.10^		<i>далее</i>|<i>continue</i>

	12.ae.10@43@d-mt-8@Мам, смотри, но помогает же? Макс возбудился за минутку, даже за пол минутки! Это же хорошо, правда?|But it works, right? Look at Max, he's all ready to go! Isn't that good?
		12.ae.11^		<i>снять шорты</i>|<i>take off shorts</i>

	12.ae.11@62@d-mt-9@Макс, и ты туда же! Кажется, мы только и ждали повода, чтобы раздеться друг перед другом!|Max! Were you two just waiting for an excuse to undress in front of me?
		12.ae.12^		Что ты, мам! Нет, конечно!|What? No! Of course not, mom!

	12.ae.12@60@Лиза, Макс упоминал, что ты интересуешься этой темой из-за своего парня, Алекса, верно? Ты и перед ним собираешься устраивать такое шоу?|Lisa, Max told me you want to learn about sex for your boyfriend Alex, right? Are you going to do this show in front of him too?
		12.ae.13^		<i>далее</i>|<i>continue</i>

	12.ae.13@41@Нет, конечно! Алекс посторонний, а Макс мой брат. Мы живём в одной комнате и часто видим друг друга без одежды... И я решила сэкономить время...|Of course not! Alex is a stranger, Max is family! Besides, we live in the same room, we see each other naked all the time. I just want to get straight to the point.
		12.ae.14^		Получилось!|And it worked

	12.ae.14@62@Да уж... Ну ладно, что сделано, то сделано. Мы с тобой, Лиза, ещё побеседуем о манерах и о том, как себя вести с парнями...|Right... Fine, no point to cry about it anymore, I guess... We <i>are</i> going to talk about your behavior, though. That's not how you behave with boys, Lisa.
		12.ae.15^		<i>далее</i>|<i>continue</i>

	12.ae.15@43@Хорошо, мам. Но, может быть, начнём? Расскажи, что там у него где и как... Хочу всё знать!|Okay, mom. Can we start the lesson? Show me how it all works and stuff.
		12.ae.16^		<i>далее</i>|<i>continue</i>

	12.ae.16@69@Ну ладно. Макс, подойди ко мне, пожалуйста. Сама не верю, что это происходит... Но я обещала не ворчать и не сомневаться...|Okay. Come over here, Max. I can't believe we're doing this... Why did I promise not to complain...?
		12.ae.17^		Иду|I'm coming!

	12.ae.17@60@d-mt-10@Итак, дочка, теперь ты можешь рассмотреть член своего брата как следует, а я расскажу немного об особенностях анатомии мужчин...|Well, daughter, here's your chance to see your brother's cock in detail while I talk about the anatomy...
		12.ae.18^		<i>далее</i>|<i>continue</i>

