# --- 0.3: Приезд Киры|Kira's Ankunft

	specialevent.4@75@e-meet-eric-1@Ну что, дети, дождались? Встречайте, к нам приехала тётя Кира!|He, Kinder, kommt her! Hier ist Tante Kira!
	sp.4.next.11b@100@Ага. Не буду утомлять вас подробностями, это никому не интересно. Скажу лишь, что всё улажено и теперь я свободна для своей семьи!|Ich will dich nicht mit Details langweilen, es interessiert sowieso niemanden. Ich werde einfach sagen, dass alles erledigt ist und jetzt bin ich völlig frei!
		sp.4.next.12^					А мне любопытно, что за дела?|Ich würde gerne etwas über das Geschäft wissen.

	sp.4.next.12@62@Макс, ну хватит пытать свою тётю. Она сама расскажет, если захочет, верно? А теперь пойдёмте все в дом, скоро будем завтракать.|Max, hörst du auf, deine Tante zu belästigen? Sie wird es dir sagen, wenn sie will. Gehen wir ins Haus, wir frühstücken bald.
		sp.4.next.13^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.13@101@e-kira-come-5@Так как у меня было время подготовиться к встрече с вами, я приехала не с пустыми руками и привезла вам кое-что...|Da ich etwas Zeit hatte, um mich vorzubereiten, habe ich Geschenke für dich!
		sp.4.next.14^					Ух-ты!|Wow!

	sp.4.next.14@103@Я уже в курсе вашей истории с потерянным вещами. Поэтому, я уточнила у вашей мамы ваши размеры и купила лёгкую домашнюю одежду. И, кажется, правильно сделала. В джинсах в такую жару дома? Ужас!|Ich habe von deinen fehlenden Sachen gehört, also habe ich deine Größen herausgefunden und dir ein paar Kleider gekauft, die du im Haus tragen kannst. Das Tragen von Jeans bei diesem Wetter muss qualvoll sein!
		sp.4.next.15^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.15@43@Ой! Я обожаю новые вещички. А что ты мне привезла, тётя Кира, а?|Ich liebe neue Kleider! Was hast du mir mitgebracht, Tante Kira?
		sp.4.next.16^					Я думал у нас Алиса шмотки любит...|Ich dachte, Alice ist diejenige, die von Kleidung besessen ist.

	sp.4.next.16@41@Макс, какой ты глупый, кошмар! Шмотки любят все девушки! Ну так что там?|Du bist so dumm, Max! Alle Frauen lieben neue Kleider!
		sp.4.next.17^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.17@101@Так, вы все давайте держите новую одежду, переодевайтесь и приходите сюда, мы посмотрим. А тебе, Макс, я ничего не купила. Подумала, что ты можешь и в шортах ходить. Но подарок тебе сделаю, позже...|Es gibt neue Kleider für alle, zieh dich um und komm zurück. Übrigens, ich habe dir nichts mitgebracht, Max. Ich dachte, du kannst einfach in kurzen Hosen bleiben. Ich habe noch ein anderes Geschenk für dich, ich gebe es dir später....
		sp.4.next.18^					Да не стоит...|Es ist keine große Sache.
		sp.4.next.18^					<i>про?олчать</i>|<i>sei ruhig</i>

	sp.4.next.18@43@e-wear-nc-liza-1@Ну как вам? Такой классный топ и юбочка и мой любимый цвет, представляете!|Was meinst du dazu? Ich liebe dieses Oberteil und Rock, und es ist meine Lieblingsfarbe!
		sp.4.next.19a^					Выглядит отлично!|Sieht toll aus!
		sp.4.next.19b^					Ну-ка, повернись...|Dreh dich um

	sp.4.next.19a@62@Да, вот только меня немного смущает длина юбки. Видимо, Кира, ты на свой вкус выбирала. Лиза, покрутись, пожалуйста...|Ja, aber ich mache mir Sorgen um die Rocklänge. Sieht aus wie etwas, das du tragen würdest, Kira. Kannst du dich umdrehen, Lisa?
		sp.4.next.19b^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.19b@43@e-wear-nc-liza-2@Мне кажется, что не слишком коротко. В самый раз! И теперь так свободно и легко... Спасибо тебе, тётя Кира!|Ich finde es nicht zu kurz, die Länge ist genau richtig! Es ist so frei und leicht! Danke, Tante!
		sp.4.next.20^					Да, длина в самый раз...|Ich denke, die Länge ist auch ganz hervorragend.

	sp.4.next.20@33@e-wear-nc-alisa-1@Ну всё, теперь моя очередь! Как вам? Лично мне очень нравится! Давно надо было раздеться.|Okay, jetzt bin ich dran! Was denkst du denn? Ich liebe es, ich hätte meine Jeans schon vor langer Zeit loswerden sollen!
		sp.4.next.21^					Именно!|Genau!

	sp.4.next.21@62@Я не поняла. А трусы то на тебе хоть есть? Ты же не планируешь в таком виде ходить дома, Алиса?|Hast du überhaupt ein Höschen dabei? Wirst du das ernsthaft im Haus tragen?
		sp.4.next.22^					А что такого? Пусть ходит, я не против...|Was ist daran so schlimm? Lass sie tragen, was sie will, es macht mir nichts aus.
		sp.4.next.22b^					<i>промолчать</i>|<i>sei ruhig</i>

	sp.4.next.22@31@Спасибо, Макс! Мам, а что такого? Ты не представляешь как жарко было в джинсах, а теперь хоть тело дышит. Да и жара такая на улице и дома...|Danke, Max! Warum nicht, Mom? Kannst du dir vorstellen, wie heiß meine Jeans ist? Lass meinen Körper ein wenig atmen.
		sp.4.next.23^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.22b@23@Мам, да всё в порядке. На мне шорты, ничего не видно. Вот, смотри...|Es ist in Ordnung, Mom. Schau, ich trage Unterwäsche, du kannst es nur nicht sehen.
		sp.4.next.23^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.23@68@e-wear-nc-alisa-2@Алиса, у тебя же всё видно, аж грудь вываливается! Смотри, как Макс таращится. Кажется, он даже завис...|Du kannst alles sehen, Alice, deine Brüste fallen praktisch aus! Sieh dir Max an, ich glaube, du hast ihn geknackt.
		sp.4.next.24^					Э... Ну... да...|Huh.... was.... ja....

	sp.4.next.24@21@Мам, я дома могу одеваться так, как мне нравится. Ну и что, что Макс. Я из-за него не буду целыми днями ходить в парандже! Мне удобно, выглядит отлично! Ну а если и увидит что-то, пусть радуется, мне всё равно...|Mom, ich kann zu Hause tragen, was ich will. Max ist mir egal, ich werde keine Burka tragen, nur damit er nichts sehen kann! Ich fühle mich wohl, es sieht toll aus! Wenn mich jemand sehen will - lasst ihn, es ist mir egal.
		sp.4.next.25^					Отличная речь, сестрёнка!|Nette Rede, Schwester!

	sp.4.next.25@62@e-wear-nc-mom-1@Ну, теперь и моя очередь. Как вам? Не слишком откровенно?|Okay, jetzt bin ich dran. Was denkst du denn? Nicht zu dreist?
		sp.4.next.26^					Нет, мам, всё отлично!|Nein, Mom, es ist toll!
		sp.4.next.26^					А можешь немного повернуться?|Kannst du dich umdrehen?

	sp.4.next.26@60@e-wear-nc-mom-2@Мне кажется, шортики слишком короткие... Я в них еле влезла, если честно. Надо худеть...|Ich denke, Shorts sind zu kurz, ich kann kaum hineinpassen. Ich muss etwas abnehmen....
		sp.4.next.27^					Ты знаешь, длина оптимальная!|Ich denke, die Länge stimmt!
		sp.4.next.27!add_mom.mood_30^	Мне нравится, мам!|Ich liebe es, Mom!

	sp.4.next.27@101@Ань, всё сидит на тебе просто отлично. И очень идёт этот цвет, кстати... Ну а теперь моя очередь. Сейчас покажу, что себе прикупила...|Ann, alles steht dir perfekt. Und die Farbe ist auch sehr gut. Nun, jetzt bin ich dran. Ich zeige euch, was ich mir gekauft habe....
		sp.4.next.28^					Интересно...|Mal sehen....

	sp.4.next.28@104@e-wear-nc-kira-1@Ну, как я вам? Хороша? И Ань, ни слова больше. Тебе всё кажется слишком открытое или откровенное.|Was meinst du dazu? Gefällt es dir? Und Ann, nicht noch ein Wort. Du denkst immer, dass alles zu kurz und offen ist.
		sp.4.next.29^					Мне нравится. Просто и со вкусом!|Es gefällt mir. Einfach und effektiv
		sp.4.next.29^					Отличные... вещички!|Großartig.... Super!
		sp.4.next.29^					И почти ничего не видно...|Du kannst sowieso nichts sehen.

	sp.4.next.29@101@Вот, слышала, Ань, детям нравится. Естественно, если в семье есть мужчина, это накладывает свои ограничения, но нельзя же быть настолько зажатыми...|Siehst du, Ann, die Kinder lieben es. Natürlich schränkt ein Mann in einem Haus unsere Möglichkeiten ein, aber wir sollten nicht zu ängstlich sein.
		sp.4.next.30^					Верно!|Das ist richtig!

	sp.4.next.30@75@Ладно, посмотрим. Кира, мне кажется, что не стоило тратиться на подарки. Мы рады, что ты сама смогла к нам приехать... Но всё равно, большое спасибо!|Gut, wir werden sehen. Ich bin mir nicht sicher, ob du so viel Geld für Geschenke ausgeben solltest, aber vielen Dank! Wir sind froh, dass du gekommen bist, um bei uns zu bleiben.
		bf.18^							Да, я проголодался!|Ja.\nÜbrigens, ich habe Hunger!



# --- 0.3: Базовый разговор у бассейна с Кирой|Beginn der Gespräche am Pool

	kt.init@0@Не против компании?|Möchtest du Gesellschaft?
	kt@101@Конечно, Макс. Ложись рядом. Погода сегодня отличная!|Natürlich, Max. Hier, leg dich neben mich. Tolles Wetter heute!
		kiratalk=0&kt.0^				Да тут всегда хорошая погода...|Wir haben hier immer so tolles Wetter.
		kiratalk=1&kt.1^				Ага, как всегда...|Ja, wie immer.
		kiratalk=2&kt.2^				Да, шикарная!|Ja, das Wetter ist toll!
		kiratalk=3&kt.3^				Ну как, ты поговорила с мамой?|Hast du mit Mom gesprochen?
		kiratalk=4&kt.4^				Насчёт того раза...|Etwas zu dieser Zeit....
		kiratalk=6&kt.6^				Понравились фотографии?|Haben dir die Fotos gefallen?
		kiratalk=8&kt.8^				Насчёт новой фотосессии...|Über die neue Fotosession....
		leave!lock^						Ой, в другой раз...|Entschuldigung, wir reden ein andermal....


# --- 0.3: начальный разговор с Кирой у бассейна|Gespräch mit Kira am Pool beginnen

	kt.0@113@e-kira-max-sun-1@Ну, рассказывай, Макс, как ты тут живёшь, как твои дела, что нового?|Nun, Max, erzähl mir alles über dein Leben, was machst du hier, was gibt's Neues?
		kt.0.next.1^					Ну, я... э...|Oh, Ich... ähm...

	kt.0.next.1@101@Макс, тебя смущает мой купальник? Может быть, его снять?|Bist du von meinem Bikini abgelenkt? Soll ich ihn ausziehen?
		kt.0.next.2a^					О... Да, было бы супер!|Was.... Ja, das wäre toll!
		kt.0.next.2b^					Ну, я не знаю...|Oh, ich weiß nicht....

	kt.0.next.2a@114@Ну да, не сомневаюсь. Только что же с тобой будет? Макс, ты можешь смотреть мне в глаза или мы тебя потеряли?|Da bin ich mir sicher. Aber was würde mit dir passieren? Max, kannst du mir in die Augen sehen oder haben wir dich verloren?
		kt.0.next.3^					Извини, тётя Кира...|Es tut mir leid, Tante Kira.
		kt.0.next.3^					Просто я отвлёкся...|Ich schätze, ich war abgelenkt.

	kt.0.next.2b@114@Зато знаю я. Макс, постарайся не пялиться на мою грудь. Глаза чуть выше. Ау. Ты здесь, Макс?|Hör auf, auf meine Brüste zu starren, Max. Augen nach oben.
		kt.0.next.3^					Извини, тётя Кира...|Es tut mir leid, Tante Kira.
		kt.0.next.3^					Просто я отвлёкся...|Ich schätze, ich war abgelenkt.

	kt.0.next.3@101@Да, это моя ошибка, что выбрала такой купальник. Если честно, то я обычно загораю голая, но вы же дети и стоит хоть немного прикрываться. Вот я и прикрылась... Макс!|Ja, es war mein Fehler. Um ehrlich zu sein, normalerweise sonne ich mich nackt, aber das wäre unpassend, also beschloss ich, zumindest eine Art Schutz zu haben.... Max!
		kt.0.next.4^					А? Что?|Huh, was?

	kt.0.next.4@103@e-kira-max-sun-2@Ого... Да я смотрю твой рост пошёл куда надо! И давно ты такое сокровище скрываешь?|Wow! Sieht aus, als wärst du an den richtigen Stellen gewachsen! Wie lange hast du diesen Schatz versteckt?
		kt.0.next.5^					Ну, я не знаю...|Oh, ich weiß nicht....
		kt.0.next.5^					Да я и не скрываю...|Ich verstecke mich nicht.

	kt.0.next.5@114@Как я вижу, ты весь пошёл в отца... А кое в чём, так особенно...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Sieht aus, als wärst du nach deinem Vater gekommen.... Besonders in einem bestimmten Bereich....\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Gelegenheit gefunden!</i></color>
		kt.0.next.6a^					Что?!|Was!?
		kt.0.next.6b^					Откуда ты знаешь, что...|Woher weißt du von....

	kt.0.next.6a@113@Ой, я конечно про твою... скромность. Да, речь о ней. И, вообще, давай сменим тему!|Oh, ich sprach von deiner.... Schüchternheit. Ja, genau das habe ich gemeint. Wie auch immer, lass uns das Thema wechseln.
		kt.0.next.7^					Тётя Кира!|Tante Kira!

	kt.0.next.6b@113@Что я знаю? Ничего. Я так, про твою скромность, конечно... И, вообще, давай сменим тему!|Worüber? Ich sprach gerade von deiner.... Schüchternheit. Wie auch immer, lass uns das Thema wechseln.
		kt.0.next.7^					Тётя Кира!|Tante Kira!

	kt.0.next.7@104@А что тётя Кира? Проехали. Кое-кому, так вообще нужно принять душ и расслабиться. Может быть, и мне тоже, но вдвоём не стоит это делать. Так что, иди ты в душ. И включи холодную воду. Очень холодную!|Was Tante Kira? Lass uns weitermachen. Jemand muss eine kalte Dusche nehmen und sich entspannen. Und vielleicht auch ich, aber wir sollten das nicht zusammen machen, also geh duschen. Eiskalt. Sehr kalt!
		kt.0.next.8!set_poss.aunt_1!set_dcd.kiratalk_1!add_kiratalk_1^	Хорошо...|Schön

	kt.0.next.8@4@e-max-kira-shower-1@<i>Расслабиться в душе? Легко. Особенно, когда рядом такая женщина. Ух! Я и не задумывался о своей тёте в этом плане никогда, но сейчас что-то изменилось... или во мне или в ней...</i>|<i>Entspannen unter der Dusche? Langsam. Besonders neben so einer Frau! So habe ich nie über meine Tante nachgedacht, aber etwas hat sich geändert. Ich frage mich, ob es in mir oder in ihr ist....</i>
		kt.0.next.9^					<i>снять напряжение</i>|<i>etwas Druck ablassen</i>

	kt.0.next.9@10@e-max-kira-shower-2@О, Кира... Ты когда-нибудь станешь моей...|Tante Kira.... Eines Tages wirst du mir gehören....
		leave!max_cam.6.grow_200!time^						Я же не сказал это вслух?|Ich hoffe, ich habe es nicht laut gesagt.



# --- 0.3: 1й толковый разговор с Кирой|Erstes richtiges Gespräch mit Kira

	kt.1@113@e-kira-max-sun-1@В прошлый раз наш разговор не очень удался. Ты был такой возбуждённый... Слушай, Макс, а у тебя есть девушка?|Unser vorheriges Gespräch war nicht sehr produktiv, du warst zu aufgeregt.... Max, hast du eine Freundin?
		kt.1.next.2a^					Есть!|Ja, habe ich!
		kt.1.next.2b^					Нет...|Nein...

	kt.1.next.2a@101@А она об этом знает?|Weiß sie davon?
		kt.1.next.2c^					Конечно!|Sicher!
		kt.1.next.2b^					Ты права, нет девушки...|Du hast Recht, ich habe keine Freundin.

	kt.1.next.2c@104@Ну ничего себе! А как её зовут?|Wow! Und wie ist ihr Name?
		kt.1.next.2d^					Это не важно...|Es spielt keine Rolle.

	kt.1.next.2d@101@Хорошо... Тогда последний вопрос. Ты её видишь прямо сейчас, она где-то здесь?|Okay.... Letzte Frage. Kannst du sie jetzt irgendwo bei uns sehen?
		kt.1.next.2e^					Да я её не выдумал! Она не вымышленная девушка!|Ich habe sie nicht erfunden! Sie ist eine echte Freundin!

	kt.1.next.2e@114@Ну тогда я рада за тебя, Макс. И давно вы встречаетесь?|Ich freue mich für dich. Wie lange seid ihr schon zusammen?
		kt.1.next.2f^					Ну... Э...|Nun ja...

	kt.1.next.2f@103@Я так и думала. Ладно, Макс, не стоит переживать по этому поводу. Ты же только приехал в новый город, из дома не выходишь. Ну скажи честно, нет же у тебя никакой девушки?|Dachte ich mir. Du musst dir keine Sorgen machen, Max. Du bist gerade in eine neue Stadt gezogen und verlässt nie das Haus. Sag mir die Wahrheit, du hast keine Freundin, oder?
		kt.1.next.2b^					Ну да, ты права, нет...|Nein, ich habe keine....

	kt.1.next.2b@103@Ну, это многое объясняет. Возраст такой, гормоны, кругом полуобнажённые девушки и женщины... Наверное, для тебя это каторга? Со мной можешь говорить откровенно. Я никому ни слова!|Das erklärt die Dinge. Dein Alter plus Hormone plus so viele schöne Frauen überall um dich herum.... Klingt wie die Hölle. Du kannst ehrlich zu mir sein, ich werde es nicht sagen.
		kt.1.next.3^					Да, бывает возбуждаюсь...|Ja, manchmal werde ich hart....

	kt.1.next.3@114@Это потому-что пялишься не туда, куда надо. В глаза смотри...|Weil du an die falschen Stellen starrst. Sieh mir in die Augen, Max.
		kt.1.next.4^					Да, хорошо... Просто так само получается...|Oh, Entschuldigung. Ich mache das nicht mit Absicht....

	kt.1.next.4@101@Понятно. Ну, старайся держать себя в руках. Хотя, я в прошлый раз видела как ты себя держал. Это не совсем то, что я имею в виду... Я слишком пошлая, да? Мне надо быть тактичнее?|Ich verstehe. Dann versuch, dich in Schach zu halten. Ich habe dich aber das letzte Mal gesehen, wie du dich "festhältst". Davon rede ich nicht.... Bin ich zu vulgär?
		kt.1.next.5^					Что ты, всё хорошо!|Nein, du bist großartig!
		kt.1.next.5^					Меня всё устраивает...|Ich bin damit völlig einverstanden.

	kt.1.next.5@113@Я рада. Обычно я не слежу за языком и он меня в такие места заводит... Но с детьми надо быть... Хотя, ты уже совсем не ребёнок.|Okay, das ist gut zu wissen. Normalerweise denke ich nicht, bevor ich rede, und das bringt mich in alle möglichen Schwierigkeiten. Ich sollte vorsichtiger sein, jetzt wo ich hier wohne. Du bist aber erwachsen geworden.
		kt.1.next.6^					Верно...|Richtig...

	kt.1.next.6@101@Слушай, Макс, а как тебе удаётся с Лизой в одной комнате уживаться? Наверное, тяжело? Она же сверкает своим нижним бельём, да и спите вы рядом.|Hör zu, Max, wie kannst du mit Lisa im selben Raum schlafen? Du kannst Sie vermutlich in Unterwäsche sehen und du schläfst dicht bei ihr, oder?
		kt.1.next.7^					Ну, был один инцидент...|Nun, da war dieses eine Mal....

	kt.1.next.7@113@Утренний стояк, наверное? И как она отреагировала?|Morgenlatte, richtig? Was ist passiert?
		kt.1.next.8^					Панику подняла, маму позвала!|Sie hat Mom angerufen....

	kt.1.next.8@114@Представляю! Ну, я с Лизой тоже побеседую. Она уже не девочка... хотя, с вашей строгой мамой она о жизни толком ничего и не знает, похоже.|Ja, das kann ich mir vorstellen. Ich rede mit Lisa, sie ist kein kleines Mädchen mehr.... Obwohl, bei deiner Mom zu wohnen..., da weiss sie wahrscheinlich nicht viel.
		kt.1.next.10^					Верно...|Richtig...
		kt.1.next.9^					И что ты ей скажешь?|Was wirst du ihr sagen?

	kt.1.next.9@101@Расскажу откуда дети берутся, конечно! Макс, ты такой смешной. У девочек свои секреты, тебе всё знать не обязательно...|Ich werde ihr natürlich die Vögel und Bienen erzählen! Es wird ein Mädchengespräch, du brauchst die Details nicht zu kennen.
		kt.1.next.10^					Я понял...|Ich verstehe

	kt.1.next.10@103@e-kira-max-sun-2@Макс... Кажется, тебе снова пора в душ. Может быть, мне как-то прикрываться, когда ты рядом, раз у тебя все мысли где-то в другом месте?|Max, ich glaube, du musst wieder duschen. Soll ich mich bedecken, wenn du da bist?
		kt.1.next.11^					Не надо прикрываться!|Nein, bitte bedecke dich nicht!
		kt.1.next.12^					Пожалуй, я пойду...|Okay, ich werde gehen.

	kt.1.next.11@114@Ладно, не буду. Но в душ ты сходи. И обязательно холодный. А ещё лучше ледяной...|Okay, werde ich nicht. Jetzt geh und nimm eine kalte Dusche. Oder, noch besser, eine eisige.
		kt.1.next.12^					Хорошо...|Schön

	kt.1.next.12@3@e-max-kira-shower-1@<i>Вроде тётя Кира специально и не провоцирует, но меня к ней так тянет. Её горячее, почти обнажённое тело так и манит...</i>|<i>Tante Kira provoziert mich nicht absichtlich, aber ich fühle mich zu ihr hingezogen. Ihr heißer, fast nackter Körper macht mich wahnsinnig....</i>
		kt.1.next.13^					<i>кончить</i>|<i>spritzen</i>

	kt.1.next.13@10@e-max-kira-shower-2@<i>О да... Надеюсь, она не поняла, что я сейчас делал, глядя на неё. Хотя, всё она понимает. Да ещё и видела меня, мой...</i>|<i>Oh, ja.... Ich hoffe, sie weiß nicht, was ich getan habe, als ich sie ansah. Wahrscheinlich tut sie das aber. Und sie hat mich sogar gesehen, meine....</i>
		leave!set_dcd.kiratalk_1!add_kiratalk_1!max_cam.6.grow_200!time^		<i>уйти</i>|<i>verlassen</i>




# --- 0.3: 2й разговор с Кирой|Zweites Gespräch mit Kira

	kt.2@113@e-kira-max-sun-1@Сегодня уже привык к моему купальнику? Или опять только одно на уме?|Hast du dich schon an meinen Bikini gewöhnt?
		kt.2.next.3^					Сегодня точно всё в порядке!|Heute geht es mir total gut!
		kt.2.next.2a^					Да я не могу ни о чём думать, когда тут такое...|Wie könnte ich mich je an diese Schönheit gewöhnen?

	kt.2.next.2a@103@Понимаю, Макс. Ну, тут надо либо смириться, либо избегать. Как я вижу, избегать меня ты не планируешь и я очень рада этому. Но давай сменим тему, вдруг поможет...|Nun, du kannst dich entweder an mich gewöhnen oder mir aus dem Weg gehen. Ich bin froh, dass du mir nicht aus dem Weg gehst. Aber lass uns das Thema wechseln, bevor du dich wieder aufregst.
		kt.2.next.3^					Давай!|Sicher

	kt.2.next.3@101@Расскажи тогда, Макс, чем ты занимаешься, пока сидишь дома? Не может быть, чтобы только на порносайтах зависал?|Also, Max, was machst du den ganzen Tag? Sicherlich kannst du nicht einfach den ganzen Tag auf Pornoseiten verbringen?
		kt.2.next.4^					У нас не работают порносайты...|Die funktionieren hier nicht.

	kt.2.next.4@104@Ах вот в чём дело! А я никак не могла понять, что такое с моим телефоном. И почему? Мама установила такие порядки?|Deshalb konnte ich sie nicht aufrufen! Und ich habe mich gefragt, was mit meinem Handy nicht stimmt. Und warum ist das so? Hat deine Mutter diese Regel aufgestellt?
		kt.2.next.5^					Ага, на стороне провайдера защита от детей...|Ja, es gibt eine elterliche Kontrolle auf der Anbieterseite.

	kt.2.next.5@114@Тогда, Макс, я тебе ещё больше сочувствую и теперь лучше тебя понимаю... Может быть, сменим тему?|Nun, Max, jetzt fühle ich noch mehr für dich. Aber lass uns das Thema wechseln.
		kt.2.next.6^					Хорошо...|Schön

	kt.2.next.6@100@Слушай, Макс, а тебе не показалось, что твоя мама какая-то... странная. Я имею в виду её одержимость Эриком...|Hör zu, Max, habe ich es mir vorgestellt oder benimmt sich deine Mom irgendwie.... seltsam? Ich rede von ihrer Eric-Besessenheit.
		kt.2.next.7a^					Вот именно!|Sie ist völlig unter seiner Kontrolle!
		eric.status=2&kt.2.next.7b^		Нет, тебе показалось...|Nein, du hast es dir vorgestellt....

	kt.2.next.7a@104@Значит, не мне одной это показалось? Ну, в чём дело, рассказывай...|Also bin ich nicht der Einzige, der es bemerkt hat? Nun, erzähl mir alles darüber.
		kt.2.next.8^					<i>рассказать всю правду про Эрика</i>|<i>alles über Eric erzählen</i>

	kt.2.next.7b@103@Макс, если что, я на твоей стороне. Мне можно доверять!|Komm schon, Max, ich bin auf deiner Seite. Du kannst mir vertrauen!
		kt.2.next.8^					Ну ладно... <i>Рассказать всю правду про Эрика</i>|Okay... <i>alles über Eric erzählen</i>

	kt.2.next.8@100@Макс, ты наверное шутишь, да? Не может быть, чтобы всё было вот так. Твоя мама не слепая. Конечно, ею всегда было легко манипулировать, чем я и пользовалась, но такое...|Ist das dein Ernst? Es kann nicht so schlimm sein. Deine Mom ist nicht blind. Natürlich könnte ich sie dazu bringen, Dinge zu tun, aber das....
		kt.2.next.9a^					Чем ты пользовалась?|Was für ein Dinge?
		kt.2.next.9b^					Я говорю правду!|Ich sage die Wahrheit!

	kt.2.next.9a@101@Мне кажется, сейчас речь не об этом. Расскажу как-нибудь в другой раз... Значит, всё что ты рассказал про Эрика... это правда? Прямо не верится...|Das ist nicht das, worüber wir reden, es ist eine Geschichte für einen anderen Tag.... Also, du hast die Wahrheit über Eric gesagt? Ich kann es nicht glauben....
		kt.2.next.9b^					У меня нет причин врать!|Ich habe keinen Grund zu lügen!

	kt.2.next.9b@100@Думаю, мне нужно услышать другую сторону. Пообщаться или с Эриком или с твоей мамой, чтобы выяснить всё ли так. Может быть, ты немного... приукрасил...|Ich denke, ich muss von einer anderen Seite davon hören. Ich werde mit Eric oder deiner Mom reden, um alles selbst zu entscheiden. Vielleicht hast du.... übertrieben....
