# Все игровые вариативные диалоги|alle Dialoge

	hide.spider.alisa.bed@15@e-spider-bed-1@Интересно, что будет, если Алиса заметит паука ночью? Она прибежит за помощью? Вот только этот монстр может сбежать... Так что, чем позже его спрячу под одеялом, тем больше шансов на успех...|Ich frage mich, was passiert, wenn Alice nachts eine Spinne bemerkt? Wird sie Hilfe holen kommen? Aber das Monster kann entkommen.... Also, später werde ich es unter der Decke verstecken, je größer die Chance auf Erfolg....
		hour>0&hour<21&hide.spider.alisa.bed.fail^										<i>Подложить сейчас</i> [skill.luck_0]|<i>Jetzt verstecken</i> [skill.luck_0]
		random.luck.50=0&hour>20&hour<23&hide.spider.alisa.bed.fail^					<i>Подложить сейчас</i> [skill.luck_50]|<i>Jetzt verstecken</i> [skill.luck_50]
		random.luck.50=1&hour>20&hour<23&hide.spider.alisa.bed.try^						<i>Подложить сейчас</i> [skill.luck_50]|<i>Jetzt verstecken</i> [skill.luck_50]
		random.luck.70=1&hour=23&hide.spider.alisa.bed.try^								<i>Подложить сейчас</i> [skill.luck_70]|<i>Jetzt verstecken</i> [skill.luck_70]
		random.luck.70=0&hour=23&hide.spider.alisa.bed.fail^							<i>Подложить сейчас</i> [skill.luck_70]|<i>Jetzt verstecken</i> [skill.luck_70]
		random.luck.80=1&hour=0&hide.spider.alisa.bed.try^								<i>Подложить сейчас</i> [skill.luck_80]|<i>Jetzt verstecken</i> [skill.luck_80]
		random.luck.80=0&hour=0&hide.spider.alisa.bed.fail^								<i>Подложить сейчас</i> [skill.luck_80]|<i>Jetzt verstecken</i> [skill.luck_80]
		leave^																			В другой раз...|Ein anderes Mal...

	hide.spider.alisa.bed.fail@4@Ну, будем надеяться, что паук не сбежит до того, как Алиса ляжет спать...|Nun, hoffen wir, dass die Spinne nicht wegläuft, bevor Alice schläft.
		leave!set_item.spider_-1!set_dcd.canfindspider_2!set_spiderinbed_0^				Готово!|Fertig!

	hide.spider.alisa.bed.try@4@Ну, будем надеяться, что паук не сбежит до того, как Алиса ляжет спать...|Nun, hoffen wir, dass die Spinne nicht wegläuft, bevor Alice schläft.
		leave!set_item.spider_-1!set_dcd.canfindspider_2!set_spiderinbed_1^				Гот?во!|Fertig!


# --- Девчонки уходят на шоппинг|Die Mädchen gehen zum Einkaufen.

	shopping.default@75@e-shopping-1@Макс! Мы ушли на шоппинг. Не скучай тут без нас, хорошо? Вернёмся часа через 3...|Max! Wir gehen einkaufen. Langweile dich nicht ohne uns, okay? Wir kommen in 3 Stunden wieder....
		canshopping>0&ericmd>1&09.fa.1!initshop!set_dont_1^				Мам, я пойду с вами, подождите!|Warte, Mom, ich komme mit euch!
		canshopping>0&ericmd<2&09.fa.1.eric!initshop!set_dont_1^		Мам, я пойду с вами, подождите!|Warte, Mom, ich komme mit euch!
		leave!move_pool!can^											Удачи!|Viel Glück!



# --- Девчонки возвращаются с первого шоппинга|Mädchen, die vom Einkaufen zurückkehren

	shopping.1.back@41@e-shopping-back-1@Привет, Макс! Мы вернулись...|Hi, Max! Wir sind zurück
		shopping.1.back.so^								Ну как, удачно сходили?|Wie war dein Einkaufsbummel?

	shopping.1.back.so@23@Ну, так... Платье мне, конечно, не купили. Даже то очень длинное, которое чуть выше колен...|Nicht so toll. Wir haben nicht das Kleid gekauft, das ich wollte. Nichtmal das lange, welches bis über das Knie reicht...
		shopping.1.back.so.why^							А почему не купили?|Warum nicht?

	shopping.1.back.so.why@21@А вот у мамы спроси...|Frag Mom...
		shopping.1.back.so.why.Mom^						Мам?|Mom?

	shopping.1.back.so.why.Mom@62@Алиса, мы это уже обсуждали. Я против платьев, где у тебя всё видно. То, что оно длинное, не значит, что твою задницу не видно через разрез до ушей...|Alice, wir haben es schon besprochen. Das Kleid war zu offen, die Leute konnten deinen Arsch fast knacken sehen.
		shopping.1.back.so.why.mom.yeah^				Да, жаль, что не купили его...|Schade, dass du es nicht gekauft hast.
		shopping.1.back.so.why.mom.yeah^				Я бы с удовольствием на это посмотрел...|Ich würde es mir gerne ansehen.

	shopping.1.back.so.why.mom.yeah@22@Ну, теперь остаётся только мечтать. Спасибо тебе мама за чудесный шоппинг... Лизе тоже понравилось, видимо...|Nun, jetzt können wir nur noch träumen. Danke Mom für einen wunderbaren Einkauf.... Ich glaube, Lisa hat es auch gefallen....
		shopping.1.back.so.liza!set_poss.swimsuit_3^	А что с Лизой? Купальник купили?|Und was ist mit Lisa? Hast du einen Badeanzug gekauft?

	shopping.1.back.so.liza@46@Нет. Мама сказала, что тот который я хотела, слишком дорогой, а остальные слишком открытые...|Nein. Mom sagte, der, den ich wollte, war zu teuer, und die anderen sind zu offen....
		shopping.1.back.so.liza.price^					Слишком дорогой это сколько?|Und wie viel ist zu teuer?
		shopping.1.back.so.liza.open^					Насколько открытые?|Wie offen?

	shopping.1.back.so.liza.price@62@Купальник не может стоить таких денег, а она выбрала дизайнерский какой-то. Как будто мы тут миллионеры все...|Badeanzug sollte nicht so viel Geld kosten, sie hat sich für ein Designermodell entschieden. Wir sind keine Millionäre.
		shopping.1.back.so.liza.open^					Ясно. А насколько открытыми были остальные?|Ich hab's. Und wie offen waren andere?

	shopping.1.back.so.liza.open@75@Ну тебе бы точно понравилось, как и всем мужикам, кто её бы увидел, но Лиза ещё маленькая, чтобы в таком виде появляться на публике. Так что...|Nun, du hättest es gemocht, wie alle Männer, aber Lisa ist zu jung, um so etwas in der Öffentlichkeit zu tragen.
		shopping.1.back.so.so^							Всё ясно...|Ich verstehe

	shopping.1.back.so.so@23@В общем, бесполезно потратили время. Но Эрик обещал, что на следующий шоппинг купит нам всё, что мы захотим, да, мам?|Also haben wir unsere Zeit verschwendet. Aber Erik hat versprochen, dass er uns beim nächsten Einkauf alles kaufen würde, was wir wollen, richtig, Mom?
		shopping.1.back.so.so.wtf^						Что?!|Was?!

	shopping.1.back.so.so.wtf@62@Алиса, хватит мечтать. Это всё выглядит так, как будто вы хотите из него выкачать как можно больше денег. Успокойтесь и будьте скромнее...|Hör auf, Alice. Sieht so aus, als wolltest du nur so viel Geld wie möglich von ihm bekommen. Beruhige dich und sei bescheiden.
		shopping.1.back.so.so.wtf.right^				Верно, сами разберёмся без Эрика|Es ist wahr, wir können das alleine machen, ohne Eric.
