# --- Алиса спит|Alice schläft.

		liza.shower.knock.me^																Это я, Макс!|Ich bin's, Max!
		leave!lock^																			<i>уйти</i>|<i>verlassen</i>

	liza.shower.knock.me@121@<b>Лиза:</b> Макс, чего хотел? Я же говорю, скоро выйду!|<b>Lisа:</b> Was willst du, Max? Ich bin bald fertig!
		poss.sed<32&liza.shower.knock.me.need^												Можно я войду? Мне очень нужно...|Kann ich reinkommen? Ich muss wirklich gehen....
		poss.sed>31&06.limir.0^																Можно я войду? Мне очень нужно...|Kann ich reinkommen? Ich muss wirklich gehen....
		leave!lock^																			Хорошо, я подожду|Okay, ich werde warten.

	liza.shower.knock.me.need@121@<b>Лиза:</b> Нет, Макс. Жди за дверью. Я скоро!|<b>Lisа:</b> Nein, Max. Warte, ich bin fast fertig!
		leave!lock^																			Ладно, ладно...|Schön, Schön

	liza.shower.voyeur.safe@120@e-liza-shower-1@Кажется, Лиза приводит себя в порядок. Отсюда даже сиськи немного видно! Хорошо, что мамы нет дома, а то она бы меня точно поймала!|Sieht aus, als würde sich Lisa frisch machen. Ich kann sogar ihre Titten sehen! Gut, dass Mama nicht zu Hause ist, sonst hätte sie mich bestimmt erwischt!
		leave!lock^																			<i>уйти</i>|<i>verlassen</i>

	liza.shower.voyeur.ok@120@e-liza-shower-1@<color=lime><i>Удалось незаметно подкрасться!</i></color>\nОх, повезло! Похоже, Лиза приводит себя в порядок... Даже видно кое-что. Но плохо... Эх... Ладно, в другой раз больше повезёт...|<color=lime><i>Schleichversuch gelungen!</i></color>\nIch habe Glück! Sieht so aus, als ob Lisa sich frisch macht.... Ich kann sogar etwas Interessantes sehen. Kaum.... Vielleicht habe ich nächstes Mal mehr Glück....
		leave!lock^																			<i>уйти</i>|<i>verlassen</i>

	liza.shower.voyeur.bad@64@e-Mom-busted-3@<color=orange><i>Не удалось подкрасться незаметно!</i></color>\nМакс! Это что такое? За Лизой подглядыв?ешь?!|<color=orange><i>Schleichversuch misslungen!</i></color>\nMax! Spionierst du Lisa aus?!
		random.social.4=1&liza.shower.voyeur.bad.lie^										Нет, я подышать вышел... [skill.social_4]|Nein, ich ging nur raus, um etwas frische Luft zu schnappen.... [skill.social_4]
		random.social.4=0&liza.shower.voyeur.bad.bad^										Нет, я подышать вышел... [skill.social_4]|Nein, ich ging nur raus, um etwas frische Luft zu schnappen.... [skill.social_4]
		liza.shower.voyeur.bad.sorry^														Извини, я почти ничего не видел!|Tut mir leid, ich habe nichts gesehen!

	liza.shower.voyeur.bad.sorry@62@Ничего не видел? Что-то не похоже, судя по твоим штанам... Значит так: сейчас идёшь отсюда, а перед завтраком это обсудим!|Du hast nichts gesehen? Nach dem Zelt in deiner Hose zu urteilen, hast du viel gesehen. Geh auf dein Zimmer, wir besprechen das vor dem Frühstück.
		leave!set_max.pun_1!set_max.punreason_0!lock^						Ладно, мам...|Okay, Mom...

	liza.shower.voyeur.bad.lie@62@<color=lime><i>Убеждение удалось!</i></color>\nПодышать, значит? Ну ладно, похоже на то. Но сейчас давай иди отсюда, пока Лиза тебя не заметила. И я сделаю вид, что тебя тут не было.|<color=lime><i>Die Überredung hat funktioniert!</i></color>\nOkay, aber geh woanders Luft schnappen, bevor Lisa dich bemerkt hat. Ich werde so tun, als ob du nicht hier wärst.
		leave!lock^																			Хорошо, мам!|Okay, Mom

	liza.shower.voyeur.bad.bad@62@<color=orange><i>Убеждение не удалось!</i></color>\nПодышать? Ты серьёзно? Не смог придумать ничего лучше? Я же вижу, что у тебя в штанах тесно. Подышать он вышел... Бегом отсюда, а перед заврако? поговорим!|<color=orange><i>Die Überredung hat nicht funktioniert!</i></color>\nErnsthaft? Fällt Dir nichts Besseres ein? Ich kann die Beule in deiner Hose sehen. Er kam heraus, um Luft zu schnappen.... Raus hier und wir reden vor dem Frühstück!
		leave!set_max.pun_1!set_max.punreason_0!lock^						Я всё понял...|Ich weiß es....



# --- Алиса в душе, 8:00|Alice ist unter der Dusche, 8:00

	alisa.shower@121@Похоже, Алиса сейчас принимает душ...|Alice nimmt eine Dusche....
		alisa.shower.knock^																		<i>постучаться</i>|<i>anklopfen</i>
		alisa.shower.opendoor.fast^																<i>открыть дверь</i>|<i>die Tür öffnen</i>
		mom.athome=1&random.dex.3=1&alisa.shower.voyeur^										<i>подглядывать с улицы</i>  [skill.dex_3]|<i>von außen spionieren</i> [skill.dex_3]
		mom.athome=1&random.dex.3=0&alisa.shower.Mombusted^										<i>подглядывать с улицы</i>  [skill.dex_3]|<i>von außen spionieren</i> [skill.dex_3]
		mom.athome=0&alisa.shower.voyeur.noMom^													<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		leave!lock^																				<i>уйти</i>|<i>verlassen</i>

	alisa.shower.knock@121@<b>Алиса:</b> Кто там? Занято. Подождите немного...|<b>Alice:</b>Wer ist da? Ich bin unter der Dusche, warte eine Weile....
		alisa.shower.knock.max^																	Это я, Макс!|Ich bin's, Max!
		alisa.shower.opendoor.soft^																<i>открыть дверь</i>|<i>die Tür öffnen</i>
		leave!lock^																				<i>уйти</i>|<i>verlassen</i>

	alisa.shower.knock.max@121@<b>Алиса:</b> Макс! Я же сказала, что занято. Жди за дверью!|<b>Alice:</b> Max, ich sagte doch, ich bin unter der Dusche. Warte im Flur!
		leave!lock^																				Хорошо, хорошо...|Okay, okay...

	alisa.shower.Mombusted@62@e-Mom-busted-2@<color=orange><i>Не удалось подкрасться незаметно!</i></color>\nЭто кто это тут у нас? Макс, ты совсем страх потерял? За своей сестрой подглядываешь?!|<color=orange><i>Schleichversuch misslungen!</i></color>\nMax, hast du all deine Angst verloren? Hast du deiner Schwester nachspioniert?!
		random.social.4=1&alisa.shower.Mombusted.try.ok^										Я просто думал, что кто-то забыл выключить воду! [skill.social_4]|Ich dachte nur, dass jemand vergessen hat, das Wasser abzustellen! [skill.social_4]
		random.social.4=0&alisa.shower.Mombusted.try.bad^										Я просто думал, что кто-то забыл выключить воду! [skill.social_4]|Ich dachte nur, dass jemand vergessen hat, das Wasser abzustellen! [skill.social_4]

	alisa.shower.Mombusted.try.ok@68@<color=lime><i>Убеждение удалось!</i></color>\nОго, какой ты у нас ответственный! Ну ладно, поверю в этот раз. Давай бегом отсюда, пока тебя Алиса не заметила, а то сам с ней разбираться будешь.|<color=lime><i>Die Überredung hat funktioniert!</i></color>\nWow, du bist so verantwortungsbewusst! Diesmal glaube ich dir. Du solltest gehen, bevor Alice dich bemerkt hat.
		leave!lock^																				Конечн?, мам!|Sicher, Mom
	alisa.shower.Mombusted.try.bad@63@<color=orange><i>Убеждение не удалось!</i></color>\nМакс! Ты совсем меня за дуру держишь? По твоим штанам видно, что ты не за водой следил! Бегом отсюда! А перед завтраком ещё это обсудим!|<color=orange><i>Die Überredung hat nicht funktioniert!</i></color>\nMax! Hältst du mich für dumm? Deine Hose sieht nicht so aus, als hättest du auf Wasser geschaut! Verschwinden Sie von hier. Und vor dem Frühstück reden wir darüber!
		leave!set_max.pun_1!set_max.punreason_1!lock^							Хорошо, мам...|Okay, Mom...

	alisa.shower.voyeur.noMom@120@Ого... Голая Алиса всего в паре метров от меня! Вот это повезло... Если бы мама была дома, точно меня заметила бы. А если заметит сейчас Алиса - я труп. Так что, пора уходить...|Wow.... Die nackte Alice ist nur ein paar Meter von mir entfernt! Ich bin so glücklich. Wäre meine Mutter zu Hause, wäre ich auf jeden Fall geschnappt worden. Und Alice wird mich umbringen, wenn sie mich sieht....
		item.spider=-5&alisa.shower.voyeur.spider!set_item.spider_-1!set_dcd.canfindspider_2^	<i>бросить паука</i>|<i>eine Spinne werfen</i>
		leave!lock^																				<i>уйти</i>|<i>verlassen</i>

	alisa.shower.voyeur@120@e-alisa-shower-1@<color=lime><i>Удалось незаметно подкрасться!</i></color>\nОго... Голая Алиса всего в паре метров от меня! Вот это повезло... Но испытывать судьбу не стоит. Если поймает, убьёт на месте!|<color=lime><i>Schleichversuch gelungen!</i></color>\nWow, nackte Alice nur ein paar Meter von mir entfernt! Das ist sehr glücklich, aber ich sollte mein Schicksal nicht herausfordern, sie wird mich töten, wenn ich erwischt werde.
		item.spider=-5&alisa.shower.voyeur.spider!set_item.spider_-1!set_dcd.canfindspider_2^	<i>бросить паука</i>|<i>eine Spinne werfen</i>
		leave!lock^																				<i>уйти</i>|<i>verlassen</i>

	alisa.shower.opendoor.fast@28@e-alisa-bathroom-1@Макс! Ты охренел?! Стучаться надо! Быстро закрой дверь!|Max! Bist du verrückt?! Klopfe nächstes Mal an! Schließe sofort die Tür!
		leave!lock^									<i>очень быстро закрыть дверь</i>|<i>die Tür sofort schließen</i>

	alisa.shower.opendoor.soft@28@e-alisa-bathroom-2@Макс! Какого чёрта?! Я же сказала, что занято! Закрой дверь. Быстро!|Max, was zum Teufel?! Ich sagte doch, das Bad ist besetzt! Schließe sofort die Tür!
		leave!lock^									<i>быстро закрыть дверь</i>|<i>die Tür sofort schließen</i>

	alisa.shower.voyeur.spider@34@e-alisa-spider-bath-1@А? Что это? Паук? А-а-а-а!!!|A? Was ist das denn? Spinne? A-a-a-a-a-a!!!!
		random.dex.2=1&alisa.shower.voyeur.spider.hide^												<i>спрятаться</i> [skill.dex_2]|<i>verstecken</i> [skill.dex_2]
		random.dex.2=0&alisa.shower.voyeur.spider.busted^											<i>спрятаться</i> [skill.dex_2]|<i>verstecken</i> [skill.dex_2]

	alisa.shower.voyeur.spider.hide@23@e-alisa-spider-bath-2@<color=lime><i>Вам удалось скрыться!</i></color>\nЗдесь кто-то есть? Видимо, показалось... И что теперь с этим пауком делать... Может быть, уползёт...|<color=lime><i>Schleichversuch gelungen!</i></color>\nIst jemand hier? Ich schätze nicht.... Was könnte ich mit dieser Spinne machen? Vielleicht kriecht sie ja weg....
		leave!lock^																					<i>уйти</i>|<i>verlassen</i>

	alisa.shower.voyeur.spider.busted@24@e-alisa-spider-bath-2@<color=orange><i>Скрыться не удалось!</i></color>\nМакс?! Это ты сделал?! Ну всё, тебе конец!|<color=orange><i>Schleichversuch misslungen!</i></color>\nMax?! Hast du das getan?! Du bist ein toter Mann!
		random.social.3=1&alisa.shower.voyeur.spider.busted.walk^									Да я мимо шёл... [skill.social_3]|Ich kam gerade vorbei.... [skill.social_3]
		random.social.3=0&alisa.shower.voyeur.spider.busted.bad^									Да я мимо шёл... [skill.social_3]|Ich kam gerade vorbei.... [skill.social_3]

	alisa.shower.voyeur.spider.busted.walk@28@<color=lime><i>Убеждение удалось!</i></color>\nНу ладно, если так. Он же уполз, да? И перестань на меня пялиться! Бегом отсюда! Знаешь же, что я в это время душ принимаю.|<color=lime><i>Die Überredung hat funktioniert!</i></color>\nNun, okay. Ist er weg? Hör auf mich anzustarren und verschwinde! Du weißt, dass ich um diese Zeit immer dusche.
		leave!lock^																					<i>уйти</i>|<i>verlassen</i>

	alisa.shower.voyeur.spider.busted.bad@27@<color=orange><i>Убеждение не удалось!</i></color>\nМакс! Ты труп! Твоё счастье, что я сейчас голая. Но ничего, я маме всё расскажу, она тебя накажет!|<color=orange><i>Die Überredung hat nicht funktioniert!</i></color>\nDu hast Glück, dass ich nackt bin, sonst wärst du schon tot! Ich sage es Mom und sie wird dich bestrafen!
		leave!add_alisa.mood_-100!set_max.punreason_4!set_max.pun_1!lock^							<i>бежать!</i>|<i>Lauf!</i>


# --- Лиза собирается в школу, 10:00|Lisa bereitet sich auf die Schule vor, 10:00

	liza.pschool@121@<i>Похоже, Лиза собирается в школу...</i>|<i>Sieht so aus, als ob Lisa sich für die Schule fertig macht....</i>
		lenter=0&nopants.liza.school=0&liza.pschool.knock^					<i>постучаться</i>|<i>anklopfen</i>
		lenter=0&nopants.liza.school>0&poss.sed>20&liza.pschool.knock.naked^	<i>постучаться</i>|<i>anklopfen</i>
		lenter=0&nopants.liza.school>0&poss.sed<21&liza.pschool.knock.spec^	<i>постучаться</i>|<i>anklopfen</i>

		lenter=0&nopants.liza.school=0&liza.pschool.open!add_liza.mood_-50^	<i>открыть дверь</i>|<i>die Tür öffnen</i>
		lenter=0&nopants.liza.school>0&liza.pschool.open.naked^				<i>открыть дверь</i>|<i>die Tür öffnen</i>
		lenter=0&nopants.liza.school=0&liza.pschool.voyeur^					<i>заглянут? в окно</i>|<i>durchs Fenster sehen</i>
		lenter=0&nopants.liza.school>0&liza.pschool.voyeur.naked^			<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>

		lenter>0&09.dc.0^													<i>войти в комнату</i>|<i>das Zimmer betreten</i>

		leave!lock^													<i>уйти</i>|<i>verlassen</i>

	liza.pschool.knock@121@<b>Лиза:</b> Кто там? Я переодеваюсь!|<b>Lisa:</b> Wer ist da? Ich ziehe mich um!
		liza.pschool.knock.me^									Это ?, Макс. Можно войти?|Ich bin's, Max. Kann ich reinkommen?
		leave!lock^												Хорошо, я подожду...|Okay, ich warte....

	liza.pschool.knock.me@40@e-opendoor-liza-dr-0@Макс, ну чего ломишься? Ты же знаешь, что мне в школу пора...\n\n<color=orange><i><b>Подсказка:</b> Клавиша [ ` ] - вкл/выкл интерфейс.</i></color>|Max, wozu die Eile? Weißt du nicht, dass ich mich für die Schule fertig machen muss?\n\n<color=orange><i><b>Tipp:</b> Key[ ` ] Schnittstelle ausblenden/einblenden.</i></color>
		liza.pschool.knock.me.myroom^				Это и моя комната!|Es ist auch mein Zimmer!
		liza.pschool.knock.me.shy^					Да чего я там не видел...|Nichts, was ich nicht schon mal gesehen habe....
		liza.pschool.knock.me.sorry^				Извини|Sorry

	liza.pschool.knock.me.myroom@41@В любом случае, я уже оделась, так что, входи. А я побежала в школу.|Wie auch immer, ich bin angezogen, also kannst du jetzt reinkommen. Ich gehe zur Schule.
		leave!time^									Давай, удачи!|Okay, viel Glück!

	liza.pschool.knock.me.shy@48@Откуда я знаю, что ты видел, а что ещё нет? Но так или иначе, я уже оделась и побежала в школу. Вернусь часа в четыре.|Woher soll ich wissen, was Du gesehen hast? Wie auch immer, ich bin angezogen, also gehe ich zur Schule. Ich bin gegen 4 Uhr zurück.
		leave!time^									Пока, Лиза!|Bye, Lisa!

	liza.pschool.knock.me.sorry@43@Да ты у нас джентльмен! В общем, я тут закончила и побежала в школу. Пока!|Oh, ein Gentleman! Wie auch immer, ich bin angezogen und gehe zur Schule, tschüss.
		leave!time^									Пока, Лиза!|Bye, Lisa!

	liza.pschool.open@42@e-opendoor-liza-dr-1@Макс! Стучаться надо! А вдруг я была бы голая?!\n\n<color=orange><i><b>Подсказка:</b> Клавиша [ ` ] - вкл/выкл интерфейс.</i></color>|Max, klopf nächstes Mal an! Ich hätte nackt sein können!\n\n<color=orange><i><b>Tipp:</b> Button [ ` ] Schnittstelle ausblenden/einblenden.</i></color>
		liza.pschool.open.naked2^					Ну, тогда мне бы повезло|Dann hätte ich Glück gehabt.
		liza.pschool.open.sorry^					Извини, я забыл...|Entschuldigung, ich vergaß....

	liza.pschool.open.naked@40@e-lps-3@Макс! Не видишь, я собираюсь в школу! Быстро закрой дверь!|Siehst du nicht, dass ich mich für die Schule fertig mache, Max? Mach sofort die Tür zu!
		leave!lock^									Извини... Кстати, отличный зад!|Es tut mir leid. Du hast aber einen schönen Arsch!

	liza.pschool.knock.naked@121@<b>Лиза:</b> Кто там? Я переодеваюсь!|<b>Lisa:</b> Wer ist da? Ich ziehe mich um!
		liza.pschool.knock.naked.open^				Это Макс. Я вхожу!|Ich bin's, Max. Ich komme rein
		leave!lock^									Хорошо, я подожду...|Okay, ich warte....

	liza.pschool.knock.naked.open@41@e-lps-3@Макс, чего хотел? Не видишь, я в школу собираюсь...|Was willst du, Max? Siehst du nicht, dass ich mich für die Schule fertig mache?
		liza.pschool.knock.naked.open.1a^			Молодец, что без трусов!|Gute Arbeit ohne Höschen!
		liza.pschool.knock.naked.open.1b^			Не обращай на меня внимания...|Kümmere dich nicht um mich....

	liza.pschool.knock.naked.open.1b@43@e-lps-1@Не так уж это и просто, когда парень смотрит в упор, а я без трусов... Кстати, а ты чего ломился сюда? Что-то хотел?|Ich kann nicht einfach ignorieren, dass du mich anstarrst, zumal ich im Moment nicht mal ein Höschen trage. Warum bist du überhaupt gekommen, willst du etwas?
		liza.pschool.knock.naked.open.2^			Нет, просто...|Nein, ich habe nur....

	liza.pschool.knock.naked.open.1a@43@e-lps-1@Я знаю! Ты специально выбрал момент, чтобы на меня поглазеть или дело какое-то?|Ich weiß. Hast du dir diesen Moment ausgesucht, um reinzuplatzen, nur damit du mich anstarren kannst, oder musst du wirklich etwas tun?
		liza.pschool.knock.naked.open.2^			Нет, просто...|Nein, ich habe nur....

	liza.pschool.knock.naked.open.2@41@Понятно. Ну, ладно. Занимайся своими делами, а я побежала в школу. Пока!|Ich verstehe. Schön, mach dein Ding, ich gehe zur Schule. Bye!
		leave!time^									Пока!|Okay, schlaf gut

	liza.pschool.knock.spec@41@e-lps-1@Ну, чего хотел, Макс? Что-то срочное или просто хотел поглазеть на меня без трусов?|Was willst du, Max? Ist etwas passiert oder wolltest du mich nur ohne Höschen sehen?
		liza.pschool.knock.spec.1a^					Кстати, ты же их не носишь, надеюсь?|Du trägst sie nicht mehr, oder?
		liza.pschool.knock.spec.1b^					Нет, что ты. Просто так...|Nein, ich will nur.... dich....

	liza.pschool.knock.spec.1b@43@Ага, так я тебе и поверила. Ну и ладно. В любом случае, занимайся своими делами, а я побежала в школу!|Richtig. Schön, mach dein Ding, ich gehe zur Schule. Bye!
		leave!time^									Пока!|Okay, mach's gut

	liza.pschool.knock.spec.1a@43@e-lps-2@Я ответила на твой вопрос? Ау, Макс? Ты завис? Ладно, я побежала в школу, а ты не забудь подобрать челюсть с пола...|Beantwortet das Deine Frage? Max? Meinst du das? Nun, ich gehe zur Schule, vergiss nicht, deinen Kiefer vom Boden zu nehmen.
		leave!time^									Э... Ну да...|Richtig....

	liza.pschool.open.naked2@44@Ну ты хам! Быстро закрой дверь с той стороны!\n\n<color=orange><i><b>Подсказка:</b> Клавиша [ ` ] - вкл/выкл интерфейс.</i></color>|Mach die Tür zu, Blödmann!\n\n<color=orange><i><b>Tipp:</b> Drücke [H] Schnittstelle ausblenden/einblenden.</i></color>
		leave!lock^									Хорошо...|Schön

	liza.pschool.open.sorry@48@Установил бы замки на двери, не было бы таких проблем. А теперь выйди и подожди за дверью. Пожалуйста.|Du könntest Türschlösser einbauen und wir hätten diese Probleme nicht. Jetzt geh und warte draußen, bitte.
		leave!lock^									Хорошо...|Schön

	liza.pschool.voyeur@120@e-liza-pschool-1@Ого, какой вид! Жаль, что она уже почти оделась...|Das ist ein schöner Anblick! Schade, dass sie fast angezogen ist....
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	liza.pschool.voyeur.naked@120@e-lnk-1@<i>Вот это я удачно заглянул! Лиза полностью голая! Здорово, что я убедил её не носить трусы в школе... Не знаю, заводит это её или нет, но меня - точно!</i>|<i>Ich habe mir einen guten Zeitpunkt ausgesucht! Lisa ist völlig nackt! Sie davon zu überzeugen, in der Schule kein Höschen mehr zu tragen, zahlt sich definitiv aus. Ich frage mich, ob sie von der Schulrichtlinien begeistert ist.... Natürlich will ich das!</i>
		leave!lock^									<i>уйти</i>|<i>verlassen</i>


# --- Лиза собирается на шоппинг, 10:00|Lisa macht sich bereit zum Einkaufen, Samstag, 10:00

	liza.pshopping@121@<i>Кажется, все собираются на шоппинг и Лиза сейчас переодевается...</i>|<i>Ich glaube, alle gehen einkaufen und Lisa zieht sich um....</i>
		lenter=0&liza.pshopping.knock^				<i>постучаться</i>|<i>anklopfen</i>
		lenter=0&liza.pshopping.open^				<i>открыть дверь</i>|<i>die Tür öffnen</i>
