# --- Шаблон ужина по умолчанию|Standard-Frühstück

	dinner.default@0@z-dinner-family-1@<i>Шаблон ужина по умолчанию. Данный эвент пока отсутствует.</i>|<i>Die Probe des Abendessens ist standardmäßig. Dieses Ereignis ist noch nicht da.</i>
		talk.boy>0&dn.1.school.4.alex!set_talk.boy_3^				Ага, а подружку зовут Алекс...|Ja ja, Mädchenname ist Alex
		talk.boy=0&dn.1.school.4.girlfriend!set_talk.boy_4^			Что за подружка?|Mädchen? Erzähl mir mehr darüber.
		talk.boy>0&dn.1.school.4.girlfriend!set_talk.boy_5^			Что за подружка? <i>(подмигнуть)</i>|Was für ein Freund? <i>(zwinker)</i>

	dn.1.school.4.girlfriend@40@Ой, да обычная подружка...|Oh, ein gewöhnliches Mädchen....
		dn.1.school.5.who^						<i>далее</i>|<i>fortsetzen</i>

	dn.1.school.5.who@26@Кажется, у кого-то секреты...|Es scheint, dass jemand Geheimnisse hat....
		dn.1.school.6.secrets^					<i>далее</i>|<i>fortsetzen</i>

	dn.1.school.6.secrets@46@Ну что вы, в самом деле. Ну да, с парнем познакомилась. Зовут Алекс. Учимся вместе, сидим рядом!|Oh Gott, komm schon. Nun, ja, sie hat einen Kerl getroffen. Sein Name ist Alex. Sie lernen zusammen, sitzen Seite an Seite!
		dn.1.school.7^							Так бы сразу и сказала!|Das hättest du von Anfang an sagen sollen!

	dn.1.school.4.alex@42@Макс! Я же тебе по секрету рассказала...|Max! Ich habe dir ein Geheimnis verraten....
		dn.1.school.5.ops^						Ой, извини. Я думал, у нас нет секретов...|Oh, Entschuldigung. Ich dachte, wir hätten keine Geheimnisse....
		dn.1.school.5.ops^						А ты не сказала, что это секрет...|Und du hast nicht gesagt, dass es ein Geheimnis ist....

	dn.1.school.5.ops@40@Не удивляйся потом, если твои секреты тоже окажутся... не секретами.|Wundere dich nicht, wenn deine Geheimnisse auch keine Geheimnisse sind.
		dn.1.school.5.ops.so^					<i>далее</i>|<i>fortsetzen</i>

	dn.1.school.5.ops.so@67@Лиза, так что там за подружка по имени Алекс?|Lisa, was ist mit einem Freund namens Alex?
		dn.1.school.6.secrets^					<i>далее</i>|<i>fortsetzen</i>

	dn.1.school.7@46@А я так и сказала! Всё. Больше ничего не спрашивайте!|Und ich habe es gesagt! Ich habe alles gesagt. Fragt nicht mehr!
		dn.1.end.1^								<i>далее</i>|<i>fortsetzen</i>

	dn.1.end.1@60@Извини, Лиза, я же не знала. Я вот тоже познакомилась с Эриком в первый же день. Не мне тебя судить!|Tut mir leid, Lisa, ich weiß es nicht. Ich habe mich auch am ersten Tag mit Eric getroffen. Ich kann dich nicht verurteilen!
		dn.1.end.2^								<i>далее</i>|<i>fortsetzen</i>

	dn.1.end.2@41@Да всё в порядке, мам. Просто, мы только познакомились, поболтали и улыбнулись друг другу, а всё выглядит так, как будто у меня уже есть парень...|Ja, alles in Ordnung, Mom. Wir haben uns einfach nur getroffen, geplaudert und gelächelt, und es sieht so aus, als hätte ich schon einen Freund....
		dn.1.end.3^								<i>далее</i>|<i>fortsetzen</i>

	dn.1.end.3@67@Тоже верно... Так, ладно. Спасибо всем за ужин. Лиза, сейчас как раз твоя очередь мыть посуду?|Zu wahr.... Also, okay. Ich danke euch allen für das Abendessen. Lisa, bist du mit dem Abwasch dran?
		dn.1.end.4^								<i>далее</i>|<i>fortsetzen</i>

	dn.1.end.4@48@Да, мам. Но если мне кто-то поможет... Например, Макс, то я не откажусь...|Ja, Mom. Ich brauche Hilfe.... Von Max zum Beispiel....
		dn.1.end.5^								Может быть...|Vielleicht...

	dn.1.end.5@71@Ладно, разбирайтесь сами. А я собираюсь принять ванну. Так что, не беспокоить!|Nun, dann klär das selbst. Und ich werde ein Bad nehmen. Also, stören Sie mich nicht!
		leave!time^								Хорошо, мам!|Okay, Mom



# --- Второй ужин|Zweites Abendessen

	dn.2@71@z-dinner-family-1@Всем приятного аппетита. У кого какие новости? Рассказывайте...|Guten Appetit, alle. Hat jemand Neuigkeiten?
		dn.2.next.1^										У меня всё как всегда|Keine Nachrichten von mir

	dn.2.next.1@33@Ещё бы. Ты же дома всё время сидишь...|Wie immer. Du verlässt nicht mal das Haus.
		dn.2.next.2^										А ты прямо уработалась, да?|Du bist einer, der redet.
		dn.2.next.2^										А ты чем занимаешься?|Und was hast du heute gemacht?

	dn.2.next.2@21@А я своим блогом занимаюсь. Вечерами. Иногда. Когда есть возможность...|Ich arbeite an meinem Blog. Abends. Nun, manchmal, wenn ich kann....
		dn.2.next.3^											Всё с тобой ясно...|Ich verstehe

	dn.2.next.3@48@Возможность? А что такое?|Wenn du kannst? Was meinst du damit?
		dn.2.next.4^											<i>далее</i>|<i>fortsetzen</i>

	dn.2.next.4@23@Лиза, я же тебе говорила, что в тех вещах, что пропали, были все мои кремы, лаки, про которые я и вела свой бьюти-блог...|Habe ich es dir nicht gesagt, Lisa? Ich habe all meine Sachen verloren, die ich für meinen Beauty-Blog brauche, als wir umgezogen sind.
		dn.2.next.5^											<i>далее</i>|<i>fortsetzen</i>

	dn.2.next.5@46@Ой, точно. Извини, я совсем забыла про это. Да, сочувствую...|Oh, richtig, tut mir leid, ich vergaß. Mein Beileid....
		dn.2.next.6^											<i>далее</i>|<i>fortsetzen</i>

	dn.2.next.6@62@Бьюти-блог... Эх, Алиса, лучше бы делом занялась! Тебе поступать пора, а ты воздух пинаешь. Сидела бы и готовилась!|Schönheit Blog.... Du solltest stattdessen etwas Nützliches tun, Alice. Du könntest dich jetzt an den Universitäten bewerben.
		dn.2.next.7a^										А на что она будет поступать?|Wo sollte sie sich bewerben?
		dn.2.next.7b^										Да ей лень!|Sie ist zu faul dafür.

	dn.2.next.7b@21@И ничего мне не лень. Просто, у нас денег нет для того, чтобы поступать...|Ich bin nicht faul, wir können uns einfach keine Universität leisten.
		dn.2.next.7b.next^									<i>далее</i>|<i>fortsetzen</i>

	dn.2.next.7b.next@60@Ну ты знаешь, иногда можно поступить и без денег, было бы желание. Одарённым детям ещё и стипендию доплачивают...|Es gibt einige Stipendien für die begabten Kinder, die ihr die Möglichkeit geben würden, eine höhere Ausbildung zu erhalten, ohne viel zu bezahlen.
		dn.2.next.7a.who^									Это кто одарённый? Алиса?|"Für die begabten Kinder" ist der entscheidende Teil.
		dn.2.next.7a.she^									Ну да, ей уже сейчас должны платить за то, что она такая звезда!|Ja, ja, richtig. Sie hat eine höhere Chance, ein Stipendium als Bloggerin zu bekommen!
		dn.2.next.7a.wtf^									А при чём тут Алиса?|Was hat das mit Alice zu tun?

	dn.2.next.7a@69@Ну, я не знаю. Денег лишних у нас нет, но одарённые дети точно могут учиться бесплатно. Им ещё и стипендию доплачивают...|Ich weiß es nicht. Wir haben nicht viel Geld, aber Vielleicht könnte sie ein Stipendium für die begabten Kinder bekommen....
		dn.2.next.7a.who^									Это кто одарённый? Алиса?|"Für die begabten Kinder" ist der entscheidende Teil.
		dn.2.next.7a.she^									Ну да, ей уже сейчас должны платить за то, что она такая звезда!|Ja, ja, richtig. Sie hat eine höhere Chance, ein Stipendium als Bloggerin zu bekommen!
		dn.2.next.7a.wtf^									А при чём тут Алиса?|Was hat das mit Alice zu tun?

	dn.2.next.7a.who@21@Да уж одарённее некоторых... У меня хотя бы блог есть. Кстати, на блогах можно заработать больше, чем на работе после нескольких лет учёбы!|Ich bin immer noch besser als jemand.... Wenigstens habe ich einen Blog. Übrigens, ich könnte mit meinem Blog mehr Geld verdienen als mit einem Job, selbst mit einem Abschluss!
		dn.2.next.8a^										Так чего жы ты такая бедная?|Warum bist du dann so arm?
		dn.2.next.8b^										И какой план?|Was ist dann der Plan?

	dn.2.next.7a.she@33@Да, звезда. И я бы не отказалась от лишних денег. А если серьёзно, то на блогах можно заработать больше, чем на работе после нескольких лет учёбы!|Wäre das nicht schön.... Jedenfalls könnte ich mit meinem Blog mehr Geld verdienen als mit einem Job, selbst mit einem Abschluss!
		dn.2.next.8a^										Так чего жы ты такая бедная?|Warum bist du dann so arm?
		dn.2.next.8b^										И какой план?|Was ist der Plan?

	dn.2.next.7a.wtf@21@Очень смешно, Макс. А если серьёзно, то на блогах можно заработать больше, чем на работе после нескольких лет учёбы!|Sehr witzig, Max. Ernsthaft, ich könnte auf meinem Blog mehr Geld verdienen als auf einem Job, sogar mit einem Abschluss!
		dn.2.next.8a^										Так чего жы ты такая бедная?|Warum bist du dann so arm?
		dn.2.next.8b^										И какой план?|Was ist dann der Plan?

	dn.2.next.8a@23@Для тупых повторяю - у меня всё украли! Так что меня не трогать, я думаю и строю план!|Bist du buchstäblich behindert, Max? Ich. Verloren. Alle. Meine Güte. Zeug. Für. Meine Güte. Blog. Also kann ich jetzt nicht an meinem Blog arbeiten und habe einen neuen Plan für die Zukunft gemacht!
		talk.blog=2&dn.2.next.already^						Ну как построишь, позови!|Okay, sag mir, wann du dir etwas einfallen lässt.
		talk.blog<2&dn.2.next.9a^							Ну как построишь, позови!|Okay, sag mir, wann du dir etwas einfallen lässt.
		talk.blog=2&dn.2.next.already^						Помощь нужна?|Brauchst du Hilfe?
		talk.blog<2&dn.2.next.9b^							Помощь нужна?|Brauchst du Hilfe?

	dn.2.next.8b@23@Когда придумаю, тогда и поделюсь. Пока я только строю план.|Ich bilde immer noch eine.
		talk.blog=2&dn.2.next.already^						Ну как построишь, позови!|Okay, sag mir, wann du dir etwas einfallen lässt.
		talk.blog<2&dn.2.next.9a^							Ну как построишь, позови!|Okay, sag mir, wann du dir etwas einfallen lässt.
		talk.blog=2&dn.2.next.already^						Помощь нужна?|Brauchst du Hilfe?
		talk.blog<2&dn.2.next.9b^							Помощь нужна?|Brauchst du Hilfe?

	dn.2.next.already@20@Кстати, ты уже предлагал свою помощь, если я не ошибаюсь... Или это было так, не серьёзно всё?|Hast du nicht schon deine Hilfe angeboten? Oder hast du das nicht so gemeint?
		dn.2.next.already.try^								А ты и правда прислушаешься к моим советам?|Wirst du wirklich zuhören, was ich zu sagen habe?

	dn.2.next.already.try@23@Макс, я готова на любую помощь. У самой уже нет идей, если честно. Так что, да. Прислушаюсь...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Ich bin bereit für jede Art von Hilfe, Max. Ich weiß nicht, was ich tun soll, um ehrlich zu sein. Also Ja ja, ich werde zuhören.\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		dn.2.next.10^										Отлично. Тогда и правда помогу!|Großartig! Dann werde ich dir auf jeden Fall helfen.

	dn.2.next.9a@31@Зачем? Чтобы ты в очередной раз посмеялся? И, вообще, если ты такой умный, то вот ты и придумай что-нибудь. Я даже спасибо скажу. Честно говоря, я в депрессии...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Warum? Also wirst du mich wieder auslachen? Wenn du so klug bist, warum fällt dir dann nicht etwas ein? Ich wäre dankbar, ich bin hier irgendwie am Ende meiner Kräfte....\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		dn.2.next.10^										Даже спасибо? Ну, хорошо...|Dankeschön, sagst du? Okay, ich denke darüber nach....
		dn.2.next.10^										Ладно...|Okay

	dn.2.next.9b@31@Ну если честно, то да. Я думаю, что у меня даже депрессия развивается. Если появятся какие-то мысли, буду рада их услышать. Даже от тебя. А если что-то дельное предложишь, то и спасибо скажу...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Eigentlich, ja. Ich weiß wirklich nicht, was ich tun soll. Wenn Sie irgendwelche Ideen haben, würde ich sie gerne hören. Sogar vor dir. Und wenn dir etwas Gutes einfällt, bin ich dir dankbar....\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		dn.2.next.10^										Спасибо? Мне? От тебя?!|<b>Du</b> wirst <b>mir</b> dankbar sein!?
		dn.2.next.10^										Ладно...|Okay

	dn.2.next.10@62@Ох, детишки. Не понимаю я ничего в этих ваших блогах и не уверена, что на это надо тратить своё время, но разберётесь. Я хотела спросить, ни к кому в комнату никакие насекомые не заползали?|Oh, Kinder. Ich verstehe nichts von Ihren Blogs und ich bin mir nicht sicher, ob Sie Ihre Zeit damit verschwenden sollten, aber ich hoffe, daß ihr es herausfinden werden. Ich wollte euch etwas fragen, hat jemand Insekten in eure Zimmer geschleppt?
		dn.2.next.11!set_poss.blog_1^						Нет вроде, а что?|Ich glaube nicht, warum?

	dn.2.next.11@60@Да я сегодня огромного паука видела... Даже не знала, что такие бывают...|Ich habe heute eine riesige Spinne gesehen.... Ich wusste nicht, dass es so große Spinnen gibt....
		dn.2.next.12^										<i>далее</i>|<i>fortsetzen</i>

	dn.2.next.12@24@Что?! Здесь есть пауки?! Мама... я поехала обратно...|Was!? Wir haben hier Spinnen!? Mom.... Ich ziehe zurück....
		dn.2.next.13^										Ты что, пауков боишься?|Hast du Angst vor den Spinnen?
		dn.2.next.13^										Да они же безобидные, наверное...|Sie sind wahrscheinlich harmlos....

	dn.2.next.13@41@Макс, ты что, забыл? В прошлом году маленький паучок летом на Алису заполз, так она орала два часа! Бегала и кричала...|Hast du das vergessen, Max? Letztes Jahr kroch eine kleine Spinne auf Alice und sie schrie zwei Stunden lang! Wie konntest du all das Laufen und Schreien vergessen?
		dn.2.next.14^										Что-то такое было, вроде бы...|Ja, ja, da war etwas....

	dn.2.next.14@22@Ага, маленький... Да он был с тебя размером! Ненавижу пауков. Кто их, вообще, выдумал. Хоть на северный полюс уезжай. Надеюсь, хоть там их нет...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Klein? Es war so groß wie du! Ich hasse Spinnen. Warum konnten wir nicht ohne Spinnen umziehen....\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		dn.2.next.15!set_poss.spiders_1^						Нам тебя будет нехватать...|Wir werden dich vermissen....

	dn.2.next.15@21@А вот знаешь что, Макс, не дождёшься! Я не видела ещё ни одного паука и, может быть, это маме только показалось. Буду думать так. Так спокойнее...|Ich habe noch keine einzige Spinne gesehen, also lag Mom vielleicht falsch. Ja ja, das werde ich von jetzt an denken. Es ist besser so....
		dn.2.next.16^										Ну, думай...|Nun, okay

	dn.2.next.16@67@Так, ладно. Думайте что хотите, а вам всем спасибо за ужин. я пойду немного поваляюсь в ванне...|Okay, du kannst denken, was immer du willst, danke fürs Abendessen, ich werde eine Weile im Bad einweichen....
		leave!time^											Ага, спасибо.|Ja ja, Danke



# --- Третий ужин (пятница)|Drittes Abendessen

	dn.3@60@z-dinner-family-1@Всем приятного аппетита. Предлагаю поужинать. Есть у кого-то какие-то новости?|Guten Appetit, alle. Lass uns essen. Hat jemand Neuigkeiten?
		dn.3.next.1^										У нас всё как всегда. У тебя какие новости?|Nein, ich glaube nicht. Was ist mit dir?

	dn.3.next.1@75@Ой, у меня всё замечательно. Сегодня Эрик намекнул, что хочет меня перевести из моего отдела в свои личные ассистенты, представляете?|Alles ist großartig! Heute hat Eric angedeutet, dass er mir einen neuen Job geben könnte, und ich werde sein persönlicher Assistent sein, kannst du dir das vorstellen?
		dn.3.next.2^										А это точно хорошо?|Bist du sicher, dass es gut ist?
		dn.3.next.2b!add_mom.mood_50^						Поздравляю, мам!|Herzlichen Glückwunsch, Mom!

	dn.3.next.2b@31@Ух-ты! Это же здорово! Наверняка, тебе и зарплату повысят и теперь не придётся беспокоиться о доме. Да, мам?|Wow, das sind tolle Neuigkeiten! Sie werden aber dein Gehalt aufstocken und wir müssen uns keine Sorgen mehr darüber machen, das Haus zu verlieren, richtig?
		dn.3.next.3^										<i>далее</i>|<i>fortsetzen</i>

	dn.3.next.2@23@Макс, ну вот опять ты в своём репертуаре! Порадуйся за маму. Кроме того, наверняка, это ещё и прибавка к зарплате! Да, мам?|Fängst du wieder an, Max? Freu dich für Mama. Übrigens, Mom, du bekommst wahrscheinlich eine Gehaltserhöhung, oder?
		dn.3.next.3^										<i>далее</i>|<i>fortsetzen</i>

	dn.3.next.3@75@Всё правильно, Алиса! У меня зарплата теперь будет даже больше, чем у текущего начальника. Того, лысого, о котором говорила...|Das stimmt, Alice! Mein Gehalt wird noch höher sein als das Gehalt meines jetzigen Chefs. Weißt du, die Glatze, von der ich gesprochen habe....
		dn.3.next.4^										И что будет входить в твои обязанности?|Und was musst du bei deinem neuen Job tun?

	dn.3.next.4@69@Ну, я пока точно не знаю. Видимо, помогать с бумагами, может быть что-то ещё. Как дело дойдёт до повышения, я ознакомлюсь с должностными обязанностями, конечно...|Ich bin mir noch nicht sicher. Ich schätze, ich werde beim Papierkram helfen oder so. Ich werde alles erfahren, sobald ich tatsächlich befördert werde.
		dn.3.next.5^										И теперь ты будешь ещё больше от него зависеть...|Und jetzt wirst du dich noch mehr auf Eric verlassen.
		dn.3.next.5^										А если поссоришься с этим Эриком, то всё...|Und wenn du mit Eric streiten wird, kannst du deinen Job verlieren....

	dn.3.next.5@62@Макс. Все подчинённые зависят от своего руководства, так или иначе. Это вполне нормально. Но на этой должности я буду ближе к самой верхушке и смогу многому научиться...|Ich werde mich immer auf meine Chefs verlassen, so funktionieren Jobs, Max. Aber auf diesem neuen werde ich näher an der Spitze sein und viel lernen können.
		dn.3.next.6^										Ну да, в этом что-то есть...|Ja ja, ich schätze, du hast Recht.

	dn.3.next.6@60@Спасибо, Макс, что ты меня понимаешь. Давайте сменим тему. Лиза, как у тебя в школе дела, как там твой Алекс поживает?|Danke für dein Verständnis, Max. Aber lass uns das Thema wechseln. Wie ist deine Schule, Lisa? Wie geht es deinem Alex?
		dn.3.next.7^										<i>далее</i>|<i>fortsetzen</i>

	dn.3.next.7@40@Он не мой. А вообще, всё хорошо. Спасибо, что спросили, но рассказывать нечего...|Er gehört mir nicht. Alles ist großartig. Danke der Nachfrage, aber ich habe wirklich nichts zu erzählen.
		dn.3.next.8a!add_liza.mood_-50^						Давай, рассказывай подробности!|Komm schon, gib uns ein paar Details!
		dn.3.next.8b!add_liza.mood_50^						Ладно, не будем мучать Лизу вопросами...|Gut, lass uns Lisa nicht mit Fragen belästigen.

	dn.3.next.8a@42@Макс! Завязывай. Давайте сменим тему. Значит, завтра шоппинг... Мам! Я вспомнила. Мне нужен купальник. В этом просто невозможно загорать, а других у меня нет!|Hör auf, Max! Lass uns das Thema wechseln. Morgen ist Einkaufen.... Mir fällt gerade ein, Mom! Ich brauche einen Badeanzug. Ich kann mich in meiner jetzigen nicht bräunen, und ich habe nur eine!
		dn.3.next.9^										<i>далее</i>|<i>fortsetzen</i>

	dn.3.next.8b@41@Спасибо, Макс. Давайте сменим тему. Значит, завтра шоппинг... Мам! Я вспомнила. Мне нужен купальник. В этом просто невозможно загорать, а других у меня нет!|Danke, Max. Lass uns das Thema wechseln. Morgen ist Einkaufen.... Mir fällt gerade ein, Mom! Ich brauche einen Badeanzug. Ich kann mich in meiner jetzigen nicht bräunen, und ich habe nur eine!
		dn.3.next.9^										<i>далее</i>|<i>fortsetzen</i>

