# --- Макс открывает ноутбук|Max opens his notebook

		can.findmoro=1&poss.wallet<54&05.aboutvic.0^														<i>искать информацию о Викторе Моро</i>|<i>Nachforschungen über Victor Moro anstellen</i>
		poss.ganja=1&search.aboutganja^																		<i>почитать о травке</i>|<i>Nach Gras suchen</i>
		poss.cam=2&search.aboutcam^																			<i>почитать о камерах</i>|<i>Nachforschungen über überwachungskamera's anstellen</i>
		task.buyfood=1&money>49&note.orderfood^																<i>заказать продукты</i>|<i>Essen bestellen</i>
		poss.blog=1&search.aboutblog^																		<i>читать о блогах</i>|<i>Sich über Blogs informieren</i>
		poss.spiders=1&search.aboutspiders^																	<i>читать о пауках</i>|<i>Sich über Spinnen informieren</i>
		poss.secretbook=2&google.book^																		<i>узнать о книге Алисы</i>|<i>Nachforschungen wegen Alice's Buch anstellen</i>
		poss.sed=13&can.buysimcard=0&read.aboutsim^															<i>как обойти защиту провайдера?</i>|<i>Herausfinden wie man die Internetzensur umgehen kann</i>
		leave^																								<i>выключить</i>|<i>Ausschalten</i>

	search.aboutcam@122@Так, любопытно... Эти камеры можно настроить так, чтобы они транслировали изображение в интернет!|Krass...die Kamera's kann man sogar so einstellen, dass man die Aufnahme ins Internet übertragen kann.
		search.aboutcam.2^									<i>читать далее</i>|<i>mehr herausfinden</i>

	search.aboutcam.2@122@Но что ещё интереснее, некоторые люди готовы платить за доступ к таким камерам...|Was weitaus interessanter ist, es gibt Leute welche willig sind Geld für den Zugriff auf diese Kameras zu bezahlen...
		search.aboutcam.3^									<i>читать далее</i>|<i>mehr herausfinden</i>

	search.aboutcam.3@122@Может быть, мне сделать свой сайт и пусть люди мне платят за просмотр видео? Но я не умею ничего толком...|Ich sollte mir vielleicht eine Webseite erstellen und Leute bezahlen lassen für die Videos? Aber ich habe keine Ahnung wie man das macht...
		leave!set_poss.cam_3!time^							<i>закончить</i>|<i>Ende</i>

	note.orderfood@4@Так... Посмотрим список продуктов... Ага. Сейчас всё закажем... Готово. Да это же самая лёгкая задача!|Also...erstmal eine Liste was ich alles brauche...okay haben wir. Jezt alles bestellen...auch gemacht. Das war der einfache Part!
		leave!set_task.buyfood_2!set_dcd.buyfood_2!add_mom.inf_-5!add_money_-50!add_mom.help.score_1!time^		<i>закончить</i>|<i>Ende</i>

	google.book@122@Так... Сейчас погуглим. Как там она называлась? «Sugar Daddies?»... Любовный роман? И что в нём такого может быть?|Okay...ich sollte es googeln. Wie war der Titel gleich? "Sugar Daddies"? und das andere "Eine Liebesgeschichte"?. So um was geht es da wohl?
		google.book.1^		<i>читать о книге</i>|<i>Sich einlesen in die Buchrezension</i>

	google.book.1@4@e-notebook-alisabook-1@Ого! Да это не простой любовный роман... Это же эротика. Да ещё какая! Теперь понятно, почему Алиса не хотела рассказывать, что читает...|Alles klar, das ist keine simple Liebergeschichte, sondern Erotik! Jetzt ist klar, warum Alice mir nichts davon erzählen wollte...
		leave!set_poss.secretbook_3!set_next.availablebook_1!set_dcd.alisabook_1!time^		<i>закончить</i>|<i>Ende</i>


# --- Читаем о блогах|Sich über Blogs informieren

	search.aboutblog@15@e-notebook-blog-1@Итак, попробуем что-то найти о блогах. С чего начать?|Also, ich will mich über Blog schlau machen, nur wo fange ich an?
		search.aboutblog.statistics^								Собрать статистику|Ein paar Zahlen für Statistiken sammeln
		search.aboutblog.top^										Просмотреть популярные блоги|Sich beliebte Blog's anschauen
		search.aboutblog.forum^										Почитать комменты на блогах|Sich Kommentare bei den Blog's durchlesen

	search.aboutblog.statistics@8@Ох... Сколько цифр. Неужели, во всём этом можно разобраться?|Ohha...viel viele Zahlen. Damit kann man also einiges Auswerten.
		search.aboutblog.statistics.analize^						Проанализировать результаты|Ein Resultat ermitteln
		search.aboutblog.statistics.tab^							Построить таблицу|Eine Tabelle anfertigen
		search.aboutblog.statistics.graph^							Нарисовать график|Ein Diagramm machen

	search.aboutblog.statistics.analize@6@Хм... Так... Ага. Это сюда запишем, это сюда...|Hmm...also...good. Schreiben wir es hier hin...
		search.aboutblog.final^										Сделать вывод...|Eine Schlussfolgerung treffen.

	search.aboutblog.statistics.tab@6@Так. Из этой таблицы мы делаем вывод. Ага. Вот это значит, что... Нет, не так. Вот. Вроде получилось...|Also zusammenfassend kann man von der Tabelle sagen. Ja es bedeutet dass...Nein ist es nicht. So scheint es zu funktionieren...
		search.aboutblog.final^										Сделать вывод...|Eine Schlussfolgerung treffen.

	search.aboutblog.statistics.graph@6@Рисователь графиков из меня ещё тот. Но попробуем. Так, это шкала популярности, это... Ага. Кажется, всё сходится...|Ich bin echt nicht gut im Graphen zeichnen, aber versuchen wir es mal. Also hier kommt die Skala für die Beliebtheit hin, hier die... Jupp es scheint alles zu konvergieren..
		search.aboutblog.final^										Сделать вывод...|Eine Schlussfolgerung treffen.

	search.aboutblog.top@4@Прикольно... Ага. Котики. Не, устарели. Киски. Ну, смотря какие...|Super...ohja Katzen. Immer noch Top aktuell, diese Pussies. Aber warum eigentlich...
		search.aboutblog.top.list^									Составить список|Eine Liste erstellen.
		search.aboutblog.top.sort^									Отсортировать...|Die Liste sortieren.
		search.aboutblog.top.like^									Сравнить количество лайков...|Die Anzahl der Likes vergleichen...

	search.aboutblog.top.list@6@Так, вычёркиваем из списка этих, вот этих и тех. Что тут у нас остаётся?|Also, wenn wir diese, das und jenes von der Liste loeschen, was bleibt dann uebrig?
		search.aboutblog.final^										Сделать вывод...|Eine Schlussfolgerung anstellen.

	search.aboutblog.top.sort@6@Так, сравниваем аудиторию. Время публикации... Исключаем сомнительный контент...|Jetzt vergleichen wir die Zuschaueranzahl, das Veroeffentlichungsdatum, bzw. die Zeit...loeschen noch unnuetzen Inhalt...
		search.aboutblog.final^										Сделать вывод...|Und stelle eine Schlussfolgerung an.

	search.aboutblog.top.like@6@Сортируем по количеству лайков. Убираем тех, кто с дизлайками больше этого процента...|Jetzt sortieren wir es an der Anzahl der Likes und entfernen alle welche so und so viele dislikes haben...
		search.aboutblog.final^										Сделать вывод...|Eine Schlussfolgerung ziehen.

	search.aboutblog.forum@2@Ух. Сколько гадости в комментах... Ладно, попробуем найти в этом крупицу смысла...|Wow, das ist eine Menge schlechter Kommentare. Ich sollte nach einen Sinn bzw. der Ursache schauen...
		search.aboutblog.forum.find^								Воспользоваться поиском|Suchen
		search.aboutblog.forum.all^									Читать всё подряд|Sich alles durchlesen
		search.aboutblog.forum.top^									Выбрать лучшие комменты|Die besten Kommentare auswaehlen

	search.aboutblog.forum.find@6@Так, в поиске мы видим любопытные результаты. Так, выберем то что нам подходит...|Also, hier ergibt sich ein interessantes Suchresultat, welches gefällt mir am Besten...
		search.aboutblog.final^										Сделать вывод...|Eine Schlussfolgerung anstellen.

	search.aboutblog.forum.all@6@Ох. Всё оказалось ещё хуже. Кажется, тут нет ничего полезного... Хотя. Думаю, можно сделать даже какой-то вывод...|Na super, alles für die Katz. Hier ist nichts verwendbares dabei...aber selbst hier sollte ich etwas daraus schlussfolgern Können.
		search.aboutblog.final^										Сделать вывод...|Eine Schlussfolgerung anstellen.

	search.aboutblog.forum.top@6@Так, топовые комменты все сводятся к одному. Не может быть?|Alles Topkommentare scheinen sich um ein und dasselbe zudrehen, unmöglich?
		search.aboutblog.final^										Сделать вывод...|Seine Schlüsse daraus ziehen.

	search.aboutblog.final@3@Это что же получается. Неужели, всё так просто? Главное - сиськи! Не важно о чём блог, важно что на экране. И если там сиськи, всё в порядке с популярностью! Но я и так об этом догадывался...|Das ist es, worum es hier geht. Ist es wirklich so einfach? Die Hauptsache sind Brüste! Es spielt keine Rolle, worum es im Blog geht, es spielt eine Rolle, was auf dem Bildschirm erscheint. Und wenn es Brüste gibt, ist alles in Ordnung mit Popularität! Aber das wusste ich schon.....
		leave!set_poss.blog_2!time^									И зачем я только что-то изучал...|Warum hab ich mir nur trotzdem die Muehe gemacht...



# --- Читаем о пауках|sich über Spinnen informieren

	search.aboutspiders@122@e-notebook-spider-1@Так... Пауки. Ох, сколько видов... Какие же тут водятся...|Also Spinnen, wieviele Sorten es da gibt...oh was haben wir den hier...
		search.aboutspiders.region^					Искать виды насекомых по регионам|Insekten nach Regionen suchen.
		search.aboutspiders.type^					Читать где водятся какие пауки|Herausfinden wo man Spinnen finden kann.
	search.aboutspiders.region@122@Ага, отлично. Выбираем наш регион, сортируем по видам пауков...|Okay, ich nehme meine Region und sortiere die Insekten nach Spinnen...
		search.aboutspiders.got^					Так, и что у нас получается?|Also, was machen wir jetzt?
	search.aboutspiders.type@122@Так, пауки. Смотрим какие водятся в этом климате...|Also Spinnen, welche in dieser Klimazone zufinden sind...
		search.aboutspiders.got^					Так, и что у нас получается?|So, und was machen wir jetzt?
	search.aboutspiders.got@3@Ну вот, подходит. Самый популярный паук в наших краях. Ага! Теперь узнаем как его поймать...|Okay das passt, dies ist die meinst vorkommende Spinnenart hier bei uns, interessant. Jetzt muss ich noch lernen wie man sie faengt...
		search.aboutspiders.got.like^				Выяснить, чем питается...|Finde heraus wovon die Spinnen sich ernaehren...
		search.aboutspiders.got.hunt^				Почитать о повадках...|über die Gewohnheiten der Spinnen nachlesen...
	search.aboutspiders.got.like@15@Так, питается комарами и мошками. Как это обычно... нет, это ничего не даёт...|Also sie fressen Mosquitos und Muecken, wie immer steht hier nicht mehr...
		search.aboutspiders.got.hunt^				Почитать о повадках...|über die Gewohnheiten der Spinnen nachlesen...
	search.aboutspiders.got.hunt@4@Вот, отлично! Ночью отлично маскируются, значит, не подходит, а вот как только солнце начинает прогревать землю, выползают из травы проверить добычу. А это у нас часов 10-11?|Alles klar, also gegen Abends verkriechen sie sich und man trifft sie selten an. Aber fruehs sobald die Sonne anfaengt die Erde zu erwärmen kriechen sie aus dem Nest, es sollte so gegen 10-11Uhr sein.
		leave!set_poss.spiders_2!time^				Будем искать!|Okay jetzt kann ich sie finden!



# --- Делаем свой веб-сайт|Eine Webseite erstellen

	make.web.1@15@e-web-0@Итак, пришло время заняться своим сайтом. Для начала нужно купить домен, хостинг, шаблон дизайна и оплатить услуги стримингового сервиса. На всё в сумме нужно $100|So, jetzt machen wir uns eine Webseite. Als erstes muss ich eine Packet für eine Domain, Hosting, Designvorlagen einkaufen, sowie für das Streaming bezahlen. Alles in allem sollten es 100$ sein.
		money>99&make.web.1.pay!add_money_-100^		Оплатить всё ($100)|Die Kosten für die Webseite bezahlen (100$)
		open.notebook^								В другой раз...|nächstes Mal...

	make.web.1.pay@4@e-web-1@Отлично! Теперь у меня есть свой сайт и домен! Осталось только соединить поток данных от камеры со стриминговым сервисом...|Sehr geil! Jetzt habe ich meine eigene Webseite und Adresse! Jetzt muss ich nur noch die Daten von den Kameras einbinden im Streamingdienst..
		make.web.1.pay.2^							Настроить работу сайта|Konfigurieren der Seiten Einstellungen

	make.web.1.pay.2@16@Да! Всё работает! Теперь люди смогут заходить на мой сайт и смотреть шоу. Конечно, если они каким-то образом узнают про мой сайт... Ладно, подумаю ещё что можно сделать...|Top, alles funktioniert jetzt! Leute Können sich jetzt einloggen und die Liveshow geniessen. Natuerlich nur wenn sie meine Seite finden...hm, da muss ich mir noch etwas einfallen lassen...
		leave!set_poss.cam_5!time^					<i>закончить</i>|<i>Ende</i>



# --- 0.3: Читаем о том, как обойти защиту провайдера|sich infomieren über die Firewall des Providers

	read.aboutsim@2@e-noaccess-1@Так, попробуем погуглить как обойти защиту... Чёрт. Этот запрос блокируется провайдером! Параноики...|Ich google einfach mal, wie man die Firewall hacken kann...Oh scheisse, auch diese Anfrage ich geblockt!
		read.aboutsim.next.1^						Ладно, попробуем иначе...|Okay, dann muss ich etwas anderes probieren...

	read.aboutsim.next.1@6@e-noaccess-2@Попробую порыться на хакерском форуме. Уж тут-то точно есть какое-то решение... Любопытно... О, кажется, я понял!|Ich werde wohl in einem Hackerforum nachlesen m?ssen, hoffentlich finde ich dort etwas...Ha, hier ist es dich!
		read.aboutsim.next.2!set_can.buysimcard_1!set_poss.sed_14^	<i>далее</i>|<i>weiter</i>

	read.aboutsim.next.2@4@e-noaccess-3@Вот же оно! Мне просто нужно найти и купить хитрую симку, уже взломанную! Достаточно просто порыться в интернет-магазине и найти то, что нужно...|Das ist es, ich muss nur eine gehackte Simkarte kaufen, das war einfach. Ich Könnte mir glatt eine mitbestellen, aber wozu braeuchte ich die mit all den hübschen halbnackten Frauen um mich herum!
		open_eshop^									<i>открыть интернет-магазин</i>|<i>Den Online Shop oeffnen</i>


# --- 0.4: Читаем о травке|sich über Gras informieren

	search.aboutganja@2@n-gan-1@Так, почитаем что это за травка такая... Любопытно. Кажется, это не совсем легально. Но не везде... |Sich nach Gras umschauen im Netz, okay hier bei uns scheint es noch nicht legal zusein.
		search.aboutganja.step.2^					Так, а как её купить?|Also wie komme ich nur an welches ran?

	search.aboutganja.step.2@6@n-gan-2@Ой... Как-то это всё сомнительно. Платишь сейчас, привезут неизвестно когда и привезут ли... А вдруг это подстава и придёт полиция? Нет, опасно... Нужен другой способ...|Hm...schein auch kein guter Deal zusein, man muss erst bezahlen und bekommt dann irgendwann sein Gras...also wenn man Glueck hat. Oder aber die netten Herren von der Polizei statten dir einen Besuch ab. Das scheint alles sehr unsicher, ich sollte mich nach einen besseren Weg umschauen...
		leave!set_poss.ganja_2!time^				<i>закончить</i>|<i>Ende</i>



# --- 0.4: Следим за Алисой с помощью кейлоггера|Keylogger nutzen um Alice's Login herauszufinden

	spy.alisa.keylogger@6@n-keylogger-1@<i>Так... Сейчас Алиса сидит в своём блоге. Если немного подождать, то можно поймать момент, когда она введёт адрес сайта или что-то, что мне поможет...</i>|<i>Alice beschaeftit sich gerade mit ihrem Blog. Ich muss nur auf den richtigen Moment warten, solbald sie die Webseite besucht oder sich anmeldet, sollte ich alle noetigen Daten haben.</i>
		spy.alisa.keylogger.step.2^				<i>ждать</i>|<i>Warten</i>

	spy.alisa.keylogger.step.2@8@<i>Ничего не выходит. Она какую-то ерунду набирает... Может быть, антивирус снова включила? Как бы его выключить... Хотя, что я такое болтаю - при включенном антивирусе я бы вообще ничего не увидел...</i>|<i>Immer noch ist nichts passiert, sie hat nur nutzlosen Mist geschrieben. Hm...vielleicht hat sie ihre Antiviren-Software an, wie schalte ich diese nur ab? Stop stop, sie hat sie doch nicht an, ich kann sehen was sie schreibt...</i>
		spy.alisa.keylogger.step.3^				<i>ещё подождать</i>|<i>Noch einbisschen mehr warten</i>

	spy.alisa.keylogger.step.3@4@<i>Ага! Вот оно! Сайт... Сейчас запишем... Ник... Melissa? Забавное имя. Похоже на Алиса. Так... Всё, разобрался. Теперь когда она в следующий раз зайдёт на этот сайт, я смогу войти сюда под видом зрителя и всё разузнать...</i>|<i>Hier haben wir es, okay das ist die Webseite...Ich sollte es mir aufschreiben und der Nutzername...ahh hier Melissa. Lustig, dass er einbisschen aussieht wie Alice. Aufjedenfall habe ich jetzt alle Info's die ich brauche um beim nächsten Mal sie als regulaere Zuschauer zusehen.</i>
		leave!set_poss.blog_10!time^			<i>закончить</i>|<i>Ende</i>



# --- 0.4: Изучаем сайт Алисы|Sich Alice's Cam-Seite anschauen

	spy.alisa.wtfblog@4@n-alisacams-1@<i>Так... Сейчас посмотрим что это за сайт и чем тут занимается Алиса под именем Мелисса...</i>|<i>Schauen wir uns doch die Seite mal an und was Alice hier genau macht...</i>
		spy.alisa.wtfblog.step.2^				<i>изучать сайт</i>|<i>Die Seite durchstoebern</i>

	spy.alisa.wtfblog.step.2@3@<i>Любопытно... Любой желающий может войти анонимно, выбрать себе любое имя и войти к любой девушке на канал, посмотреть что она делает...</i>|<i>Interessant...man muss sich nicht einmal anmelden, jeder kann sich einen zufaelligen Namen nehmen und dem Stream beitreten...</i>
		spy.alisa.wtfblog.step.3^				<i>выбрать себе имя</i>|<i>Sich einen User-Namen aussuchen</i>

	spy.alisa.wtfblog.step.3@4@<i>Можалуй, Mike не слишком броское имя. Мне подойдёт. Ну что, регистрация минимальная. Ах вот... Ещё платёжная информация нужна. Ладно, пусть будет... Ну что, где там наша Мелисса</i>|<i>Ich werde "Mike" nehmen, das sollte gehen. Und mich gleich noch registrieren, alles in allem recht einfach...ich muss noch eine Bezahlmethode angeben...und fertig bin ich. So, wo ist nun unsere "Melissa"??</i>
		spy.alisa.wtfblog.step.4^				<i>войти на канал Алисы</i>|<i>Alice's Channel beitreten</i>

	spy.alisa.wtfblog.step.4@3@n-alisacams-2@<i>О, вот и моя сестрёнка! Мелисса Алиса... Ну давай пообщаемся...</i>|<i>Und da ist sie, meine Schwester! Quatschen wir doch eine Runde mit ihr...</i>
		spy.alisa.wtfblog.step.5^				<i>начать чат</i>|<i>Anfangen mit Chatten</i>

	spy.alisa.wtfblog.step.5@31@n-cam-2@Приветик, Майк!|Hi, Mike!
		spy.alisa.wtfblog.step.6a^				Привет, Мелисса!|Hi, Melissa!
		spy.alisa.wtfblog.step.6b^				Привет, Алиса!|Hi, Alice!

	spy.alisa.wtfblog.step.6b@30@Что?! Ты кто такой?|Was? Wer bist du?
		spy.alisa.wtfblog.step.6c^				Я хотел написать Мелисса. Это T9!|Upps sorry, ich meinte Melissa, dumme Auto-Korrektur.

	spy.alisa.wtfblog.step.6c@32@Точно? Т9? Ладно... Как дела у тебя... Майк?|Hmmm... Fine. So, how are you,... Mike?
		spy.alisa.wtfblog.step.7^				Супер! Покажи что-нибудь!|Great! Show me something!

	spy.alisa.wtfblog.step.6a@33@Как дела, Майк?|Hey Mike, wie geht's dir?
		spy.alisa.wtfblog.step.7^				Супер! Покажи что-нибудь!|Super! Was zeigst du denn so hier?

	spy.alisa.wtfblog.step.7@22@В каком смысле покажи?|Wie meinst du das?
		spy.alisa.wtfblog.step.8^				Ну это же порно-чат? Покажи себя!|Wir sind hier auf einer Pornowebseite, also was zeigst du hier so?

	spy.alisa.wtfblog.step.8@21@А, нет, я не такая. Я новенькая и ещё разбираюсь как тут и что...|Oh nein, du missverstehst das komplett. Ich bin noch neu hier und bin noch am herausfinden wie alles hier so geht...
		spy.alisa.wtfblog.step.9^				Понятно... Очень жаль. Могла бы заработать...|Ja das sehe ich...zu schade, du Könttest gutes Geld verdienen...

	spy.alisa.wtfblog.step.9@32@Я не проститутка какая-нибудь! Я просто пришла пообщаться. Твоё счастье, что ты пока мой единственный зритель...|Ey! Ich bin dich keine Nutte, ich wollte mich hier nur nett unterhalten. Du hast echt Glueck, dass du mein einzigster Zuschauer bist...
		spy.alisa.wtfblog.step.10^				Вот это мне повезло! Значит, деньги не нужны?|Oh also bin ich hier derjenige welcher Glueck hat, ahja. Und du brauchst also kein Geld?

	spy.alisa.wtfblog.step.10@22@Нужны. Но ничего такого я показывать не буду... Честно говоря, ещё не до конца уверена, что это всё моё...|Doch brauche ich schon, aber ich werde hier nichts von mir zeigen um ehrlich zusein. Ich bin mir eigentlich immer noch nicht sicher, ob ich das alles will...
		spy.alisa.wtfblog.step.11^				Ну хоть камеру отодвинь, чтобы увидеть не только твою чудесную мордашку...|Okay, verstehe. Aber du konntest mir ja wenigstens noch drn Rest von dir zeigen, nicht nur dein hübsches Gesicht...

	spy.alisa.wtfblog.step.11@21@n-cam-1@Ну что, так лучше, Майк? И заметь, я сделала это бесплатно! Но если ты хочешь мне просто дать денег... Я буду рада.|Okay, ist es so besser Mike? Und hey, ich hab es sogar kostenlos gemacht für dich. Also wenn du mir trotzdem etwas dafür geben magst bin ich nicht abgeneigt...
		spy.alisa.wtfblog.step.12^				Супер! И сколько ты хочешь?|Danke, wie viel willst du denn haben?

	spy.alisa.wtfblog.step.12@22@Ну... Сколько не жалко. Я не попрошайка. Но от $30 не откажусь...|Hm...wieviel bist du denn bereit mir zugeben? Ich will hier nicht betteln m?ssen. So mit 30$ wäre ich schon zufrieden...
		spy.alisa.wtfblog.step.13a^								Что?!|Wie bitte?!
		money>29&spy.alisa.wtfblog.step.13b!add_money_-30^		Держи...|Okay, hier...

	spy.alisa.wtfblog.step.13a@33@Так и знала, что ты жмот. Все такие... Вот поэтому я и сомневаюсь, что это всё моё... Тут не заработать...|Ich wusste du bist einfach billig, daher denke ich ist es die ganze Sache es garnicht erst wert...
		money>29&spy.alisa.wtfblog.step.13b!add_money_-30^		Ладно, держи...|Alles klar, hier hast du es...
		spy.alisa.wtfblog.step.13c^								Да заработать! Просто нужно хоть что-то показывать!|Eigentlich solltest du dein Geld damit verdienen auch wirklich etwas von dir zu zeigen.

	spy.alisa.wtfblog.step.13b@31@Ой, спасибки! Ты первый, кто мне заплатил деньги!|Aw, vielen dank! Du bist der erste hier, der mir echt Geld gegeben hat!
		spy.alisa.wtfblog.step.13c^								Вот показала бы что-то ещё, получила бы больше...|Ich hätte dir mehr gegeben, wenn du mir auch wirklich etwas gezeigt hättest...

	spy.alisa.wtfblog.step.13c@22@Например, что? Раздеваться я не буду!|Was z.b.? Ich werde mich hier ganz sicher nicht ausziehen!
		spy.alisa.wtfblog.step.14^			Ну ты подумай ещё. Посмотри что твои коллеги на этом сайте показывают... Может быть передумаешь...|Okay, aber überleg es die nochmal. Und schau dir all deine Kolleginnen hier an, die einen Haufen Geld damit verdienen...vielleicht bringt dich das zum Umdenken...

	spy.alisa.wtfblog.step.14@21@Ладно, пока, Майк!|Okay, Tschuess Mike!
		leave!set_poss.blog_11!set_alisablog_1!time^			<i>выйти</i>|<i>Sich ausloggen</i>



# --- 0.4: Основной вход на сайт Алисы|Anfang Alice's Stream

	spy.alisa.blog@15@n-alisacams-1@<i>Так... Сайт, где Алиса пытается заработать... Ого, какие любопытные тут есть камеры... Но меня интересует Алиса-Мелисса...</i>|<i>Also das hier ist die Webseite auf der Alice "arbeitet"...eine Menge interessanter Sachen geschehen dort, aber ich bin primär wegen Alice hier.</i>
		alisablog=1&pornocam.1.step.2!set_dcd.melissa_1^			<i>Войти на канал Алисы</i>|<i>Alice's Channel beitreten</i>
		alisablog=2&pornocam.2.step.2!set_dcd.melissa_1^			<i>Войти на канал Алисы</i>|<i>Alice's Channel beitreten</i>
		alisablog=3&pornocam.3.step.2!set_dcd.melissa_1^			<i>Войти на канал Алисы</i>|<i>Alice's Channel beitreten</i>
		alisablog=4&pornocam.4.step.2!set_dcd.melissa_1^			<i>Войти на канал Алисы</i>|<i>Alice's Channel beitreten</i>
		alisablog=5&pornocam.5.step.2!set_dcd.melissa_1^			<i>Войти на канал Алисы</i>|<i>Alice's Channel beitreten</i>



# --- 0.4: Второе посещение сайта Алисы|2.Chat mit Alice

	pornocam.1.step.2@21@n-cam-2@Приветик, Майк! Как дела?|Hey Mike, wie geht's dir so?
		pornocam.1.step.3^			Привет, Мелисса! Скучала?|Hallo Melissa, na hast du mich vermisst?

	pornocam.1.step.3@31@n-cam-1@Очень! Тут так мало адекватных людей, да и зрителей в целом. Я думала, что приду, и на меня накинутся жадные взгляды... А вот фиг... Ну, что расскажешь?|Doch sehr! Ich habe selten normale Leute hier, oder allg. Zuschauer. Ich hätte gedacht, dass gleich von Anfang an eine ganze Horde von notgeilen Creeps mich belagert...aber egal. über was wollen wir reden?
		pornocam.1.step.4^			А что рассказывать? Думал, ты что-то покажешь...|Ja worüber Könnten wir denn reden? Ich hatte gehofft du Könntest mir heute auch etwas zeigen...

	pornocam.1.step.4@21@n-cam-3@Ну я посмотрела, конечно, другие каналы других девушек... Мне кажется, они все проститутки. Ну не может приличная девушка за деньги перед камерой ноги раздвигать!|Also ich hab mir die kanaele der anderen Mädels angeschaut und denke sie benehmen sich alle wie Schlampen! Richtige Frauen machen solche Sachen nicht für Geld und vor der Kamera!
		pornocam.1.step.5a^			А ты приличная?|Und was bist du dann?
		pornocam.1.step.5b^			Ты права!|Stimmt schon!

	pornocam.1.step.5a@32@n-cam-2@Майк! Я сейчас обижусь... Вот, уже...|Mike! Sag mal willst du mich beleidigen!
		pornocam.1.step.6^			Извини, я пошутил...|Tut mir leid, ich wollte nur witzig sein...

	pornocam.1.step.5b@31@n-cam-2@Вот, я же говорила, что ты хороший зритель...|Okay, aber nicht nochmal und nur weil du ein guter Zuschauer bist!
		pornocam.1.step.6^			Спасибо...|Danke.

	pornocam.1.step.6@21@Ну что, есть мысли, чем займёмся сегодня?|Also was machst du heute noch so?
		pornocam.1.step.7^			Покажи сиськи!|Los zeig mir deine Titten!

	pornocam.1.step.7@22@Эх... А ты такой же, как все...|Du bist so wie die anderen, lass mich in Ruhe...
		pornocam.1.step.8a^			Дам $30 прямо сейчас!|Ich würde dir auch 30$ dafür geben, jetzt sofort
		pornocam.1.step.8b^			Дам $70 прямо сейчас!|Ich würde dir auch 70$ dafür geben, jetzt sofort!
		pornocam.1.step.8c^			Дам $150 прямо сейчас!|Ich würde dir auch 150$ dafür geben, jetzt sofort!

	pornocam.1.step.8a@23@Я не проститутка какая-нибудь!|Ich bin doch keine Hure!
		pornocam.1.step.8b^			Дам $70 прямо сейчас!|Ich würde dir auch 70$ dafür geben, jetzt sofort!
		pornocam.1.step.8c^			Дам $150 прямо сейчас!|Ich würde dir auch 150$ dafür geben, jetzt sofort!

	pornocam.1.step.8b@22@Пытаешься меня купить? Хочешь, чтобы я за $70 поступилась моральными принципами?|Du willst also, dass ich für laecherliche 70$ meine Prinzipien über Bord werfe?
		pornocam.1.step.8c^			Дам $150 прямо сейчас!|Ich würde dir auch 150$ daf?r geben, jetzt sofort!

	pornocam.1.step.8c@21@Давай! Только сначала деньги...|Hm na gut, aber zuerst das Geld!
		pornocam.1.step.9^			А как же моральные принципы?|Und was wird jetzt mit deinen moralischen Bedenken?

