# --- Interrupt: Лиза возвращается из новой школы в первый раз|Lisa kehrt zum ersten Mal von der Schule zurück

	liza.talk.firstday.school@40@Ты знаешь, школа отличная! Меня хорошо приняли, все такие доброжелательные... А некоторые особенно...|Ja, die Schule ist toll! Alle sind sehr nett.... Besonders einige....
		liza.talk.firstday.school.someone^									Некоторые? Ты о ком?|Sieht so aus, als sprichst du von jemandem....

	liza.talk.firstday.school.someone@41@Да так. Познакомилась кое-с-кем...|Oh, ich habe gerade jemanden getroffen....
		liza.talk.firstday.meetsomeone.who^									О, рассказывай! Кто он?|Erzählen Sie es mir! Wer ist er?

	liza.talk.firstday.meetsomeone@41@Может быть... А что, любопытно? Или ревнуешь?|Vielleicht.... Bist du eifersüchtig?
		liza.talk.firstday.meetsomeone.who^									Так кто он?|Nun, wer ist er?
		liza.talk.firstday.meetsomeone.no^									И ничего я не ревную|Nein, bin ich nicht!
		liza.talk.firstday.meetsomeone.want^								Ну и не рассказывай, если не хочешь...|Nun, wenn du nicht darüber reden willst....

	liza.talk.firstday.meetsomeone.no@43@Ну и правильно! Ты же мой брат и останешься самым любимым мужчиной в моей жизни!|Das solltest du nicht. Du bist mein Bruder und du wirst immer mein Lieblingsmann auf der Welt sein!
		liza.talk.firstday.meetsomeone.no.ouch^								Вот это признан?е!|Danke
		liza.talk.firstday.meetsomeone.no.ouch^								Я тоже тебя люблю, сестрёнка|Ich liebe dich auch, Schwester!

	liza.talk.firstday.meetsomeone.no.ouch@41@Но ты слишком не зазнавайся. И никому не рассказывай!|Aber lass es dir nicht in den Kopf steigen. Und erzähl es niemandem!
		liza.talk.firstday.meetsomeone.want.ok^								Договорились!|Deal!

	liza.talk.firstday.meetsomeone.who@43@А почему сразу он? Может быть, я завела подругу?|Warum muss es ein Er sein? Vielleicht habe ich ein Mädchen getroffen?
		liza.talk.boy.1.who^												Так кто он?|Nun, wer ist er?
		liza.talk.firstday.meetsomeone.who.she^								Что за подружка?|Welches Mädchen?

	liza.talk.firstday.meetsomeone.who.she@41@Обычная такая подружка... Какие подружки бывают обычно, вот у меня такая!|Nur ein Mädchen.... Stell dir dein normales Mädchen vor, das ich kenne.
		liza.talk.firstday.meetsomeone.who.she.wtf^							Что-то ты мне голову морочишь...|Warum nimmst du mich auf den Arm?
		liza.talk.firstday.meetsomeone.who.she.he^							А имя у твоей подружки не мужское, случайно?|Und wie ist sein Name?

	liza.talk.firstday.meetsomeone.who.she.wtf@43@А что здесь такого? Это же весело!|Weil es Spaß macht, warum sonst?
		liza.talk.firstday.meetsomeone.want.ok^								Что-то я совсем запутался|Ich glaube, ich bin verwirrt.
		liza.talk.firstday.meetsomeone.want^								Ну и не рассказывай, если не хочешь...|Nun, wenn du nicht darüber reden willst....

	liza.talk.firstday.meetsomeone.who.she.he@40@Эх... Раскусил ты меня. Да, это не подружка...|Okay, du hast mich erwischt. Es ist kein Mädchen....
		liza.talk.boy.1.who^												Так кто он?|Nun, wer ist er?

	liza.talk.firstday.meetsomeone.want@40@Может быть, в другой раз...|Vielleicht ein anderes Mal....
		liza.talk.firstday.meetsomeone.want.iwant^							А если я настаиваю?|Und wenn ich darauf bestehe?
		liza.talk.firstday.meetsomeone.want.ok^								Договорились|Okay

	liza.talk.firstday.meetsomeone.want.iwant@41@Что, ты правда такой любопытный? Не знала!|Bist du wirklich so neugierig?
		liza.talk.boy.1.who^												Короче, рассказывай!|Sag es mir einfach
		liza.talk.firstday.meetsomeone.want.ok^								Ой, всё...|Schön...

	liza.talk.firstday.meetsomeone.want.ok@40@Как у тебя день прошёл?|Wie war dein Tag, Max?
		liza.talk.firstday.meetsomeone.want.ok.usual^						Да как обычно...|Wie immer....
		liza.talk.firstday.meetsomeone.want.ok.first^						Привыкаю ко всему|Ich lerne den neuen Ort kennen.

	liza.talk.firstday.meetsomeone.want.ok.first@43@Да уж, задача сложная. Невыносимые условия жизни и всё такое, да?|Ja, du musst dich an die extremen Bedingungen in diesem verfluchten Höllenloch gewöhnen.
		liza.talk.firstday.sad^												Ну, я постараюсь|Ich werde mein Bestes tun.
		liza.talk.firstday.sad^												Человек как таракан, ко всему привыкает|Menschen sind sehr anpassungsfähig, ich werde es schaffen.

	liza.talk.firstday.meetsomeone.want.ok.usual@43@Обычно? Это ты свой первый день в таком месте и таком доме называешь обычным?!|Das Übliche? Es ist dein erster Tag am neuen Ort und im Haus und du nennst es üblich?
		liza.talk.firstday.meetsomeone.want.ok.usual.1^						Ну, теперь то это будет обычно|Nun, das ist jetzt unser Zuhause.
		liza.talk.firstday.sad^												Ты права...|Du hast Recht.

	liza.talk.firstday.meetsomeone.want.ok.usual.1@41@Это если нам повезёт и нас отсюда не выгонят. За неуплату чего-то...|Nur wenn wir nicht rausgeschmissen werden, weil wir unsere Rechnungen nicht bezahlt haben....
		liza.talk.firstday.meetsomeone.want.ok.usual.1.opt^					Ты же у нас оптимист обычно?|Solltest du nicht der Optimist sein?
		liza.talk.firstday.meetsomeone.want.ok.usual.1.yeah^				Ага. Или адвокат не заметит ошибку в документах какую-нибудь...|Das, oder es werden Fehler in den Dokumenten festgestellt....

	liza.talk.firstday.meetsomeone.want.ok.usual.1.opt@40@Обычно да, но до сих пор не верится, что наша жизнь так изменилась!|Normalerweise ja, aber ich kann nicht glauben, dass sich unser Leben so sehr verändert hat!
		liza.talk.firstday.sad^												Ладно, не будем о грустном|Okay, lass uns das Thema wechseln.

	liza.talk.firstday.meetsomeone.want.ok.usual.1.yeah@40@Ладно, Макс. не будем о грустном. Может быть, всё будет хорошо!|Okay, Max, konzentrieren wir uns auf etwas Positiveres. Vielleicht wird sich am Ende alles von selbst regeln.
		liza.talk.firstday.sad^												Да, ты права|Du hast Recht.

	liza.talk.firstday.sad@41@Так что планируешь делать, чем займёшься?|Wie auch immer, was hast du vor?
		liza.talk.firstday.sad.dontknow^									Ещё не решил. Что посоветуешь?|Ich habe mich noch nicht entschieden. Hast du irgendwelche Vorschläge?
		liza.talk.firstday.sad.you^											Придумаю ещё. А у тебя какие планы?|Ich weiß nicht, du?
		liza.talk.firstday.sad.think^										Буду думать как заработать|Ich muss anfangen, Geld zu verdienen.

	liza.talk.firstday.sad.dontknow@43@Я бы посоветовала тебе искупаться, для начала. Собственно, я этим и планирую заняться!|Ich empfehle Dir ein kurzes Bad im Pool. Das werde ich tun!
		liza.talk.firstday.sad.goodplan^									Хорошая идея...|Gute Idee....

	liza.talk.firstday.sad.you@43@Лично я буду купаться и загорать. Загорать и купаться. Пока не надоест. А потом повторю!|Ich gehe schwimmen und mich sonnen. Dann werde ich mich sonnen und schwimmen gehen. Abwaschen und alles wiederholen.
		liza.talk.firstday.sad.goodplan^									Отличный план!|Ich mag deinen Plan!

	liza.talk.firstday.sad.think@40@Что, прямо с первого дня? Отдохни, искупайся для начала. Может быть, мысли появятся...|Was, am ersten Tag? Du solltest dich etwas entspannen, schwimmen gehen. Vielleicht fällt dir etwas ein.
		liza.talk.firstday.sad.goodplan^									Может, ты и права...|Vielleicht hast du Recht....

	liza.talk.firstday.sad.goodplan@40@В общем, если что, я тут.|Wie auch immer, ich bin am Pool, wenn du mich brauchst.
		leave!set_talk.firstday_2!set_liza.talkcooldown_2^					Хорошо...|Okay

	liza.talk.boy.1.who@49@Ну... его зовут Алекс. Мы учимся в одном классе. Даже сидим рядом...|Sein Name ist Alex. Wir sind in derselben Klasse, und wir sitzen auch zusammen.
		liza.talk.boy.1.who.more!max_talk.boy_1^							А подробнее?				|Mehr Details bitte?
		liza.talk.boy.1.who.how!max_talk.boy_1^								И как вы познакомились?|Und wie hast du ihn kennen gelernt?
		liza.talk.boy.1.who.about!max_talk.boy_1^							Расскажи о нём|Erzählt mir von ihm

	liza.talk.boy.1.who.about@41@Ну, парень как парень. Вот как ты, только не такой зануда и красивый.|Nun, er ist ein normaler Kerl. Wie du, aber er nörgelt nicht an mir.
		liza.talk.boy.1.who.about.z^										Я не зануда!|Ich nörgele nicht!
		liza.talk.boy.1.who.about.n^										Значит, нравится мой типаж?|Also, du magst ihn?
		liza.talk.boy.1.who.about.me^										А я тебе нравлюсь?|Magst du mich?

	liza.talk.boy.1.who.about.me@43@Ну, когда не зануда, вполне!|Wenn du mich nicht nervst, sicher.
		liza.talk.boy.1.who.about.me.more^									А кто тебе нравится больше? Я или он?|Wen magst du mehr, mich oder ihn?
		liza.talk.boy.1.who.say.like^										Значит, он тебе нравится?|Also, du magst ihn doch.
		liza.talk.boy.1.who.say.whatnow^									И что теперь?|Was wirst du tun?

	liza.talk.boy.1.who.about.me.more@42@Вот теперь ты зануда и нравишься мне с каждой секундой всё меньше и меньше...|Das klingt nach Nörgeln....
		liza.talk.boy.1.who.about.me.more.sorry^							Ладно, ладно, извини...|Okay, okay, Entschuldigung....
		liza.talk.boy.1.who.say.like^										А он, значит, теперь нравится больше?|Wie auch immer, magst du ihn?
		liza.talk.boy.1.who.about.me.more.so^								И всё-таки?|Aber trotzdem?

	liza.talk.boy.1.who.about.me.more.so@49@Всё, Макс, достал меня. Дай отдохнуть, поплавать, позагорать...|Lass mich in Ruhe, Max. Ich möchte mich am Pool entspannen.
		leave!set_talk.firstday_2!set_liza.talkcooldown_2^					Эх...|Okay...

	liza.talk.boy.1.who.about.me.more.sorry@43@То-то же! А то ведёшь себя как придурок...|Das ist besser! Benimm dich nicht wie ein Idiot.
		liza.talk.boy.1.who.about.n.hey^									А вот теперь я могу обидеться...|Ich bin kein Idiot!
		liza.talk.boy.1.who.about.n.hey^									Я же в шутку. И, кстати, придурок - это обидно!|Ich habe nur Spaß gemacht, du hättest mich nicht Idiot nennen müssen.

	liza.talk.boy.1.who.about.n@43@А какой у тебя типаж? Неудачника, который достаёт младшую сестрёнку?|Wie Du? Wie ein Verlierer, der seine Schwester verfolgt?
		liza.talk.boy.1.who.about.n.hey^									Эй, я не неудачник!|Ich bin kein Verlierer!
		liza.talk.boy.1.who.about.n.hey^									Я разве достаю? Просто интересуюсь твоей жизнью|Nerve ich dich? Ich habe nur versucht, nach deinem Leben zu fragen.

	liza.talk.boy.1.who.about.n.hey@40@Извини. Я не подумала. Кстати, спасибо, что со мной болтаешь. Я обычно о таком Алисе рассказывала, но она стала слишком взрослой и мы как-то отдалились...|Tut mir leid, das hätte ich nicht sagen sollen. Danke übrigens, dass du mit mir geredet hast. Normalerweise habe ich mit Alice darüber geredet, aber jetzt ist sie zu erwachsen und es gibt eine Distanz zwischen uns....
		liza.talk.boy.1.who.about.n.sis.me^									Ну, со мной ты всегда можешь поболтать|Du kannst immer mit mir reden.
		liza.talk.boy.1.who.about.n.sis.me^									Можешь на меня рассчитывать|Sicher, jederzeit
		liza.talk.boy.1.who.about.n.sis.pillow^								Только не превращай меня в свою подушку!|Verwandle mich nur nicht in deine Freundin.

	liza.talk.boy.1.who.about.n.sis.pillow@46@Ну вот, только я хотела тебе поплакаться о разбитой любви, а ты...|Oh, und ich wollte gerade an deiner Schulter weinen und dir alles über mein tragisches Liebesleben erzählen....
		liza.talk.boy.1.who.about.n.sis.pillow.bad^							Что? Он уже тебя бросил?!|Was, hat er dich schon verlassen?
		liza.talk.boy.1.who.about.n.sis.pillow.joke^						А я не убежал и всё ещё здесь!|Nun, ich bin noch nicht weggelaufen.

	liza.talk.boy.1.who.about.n.sis.pillow.joke@43@Ну, тогда терпи меня!|Dann musst du zuhören....
		liza.talk.boy.1.who.say.like^										Значит, он тебе нравится?|Also, du magst ihn doch.
		liza.talk.boy.1.who.say.whatnow^									И что теперь?|Was wirst du tun?

	liza.talk.boy.1.who.about.n.sis.pillow.bad@43@Ага, два раза! Он ещё даже не знает, что мне нравится...|Ja, zweimal! Er weiß nicht mal, dass ich ihn mag....
		liza.talk.boy.1.who.say.like^										Значит, он т?бе нравится?|Also, du magst ihn doch.
		liza.talk.boy.1.who.say.whatnow^									И что теперь?|Was wirst du tun?

	liza.talk.boy.1.who.about.n.sis.me@41@Ладно, буду иметь в виду!|Okay, ich werde das im Hinterkopf behalten.
		liza.talk.boy.1.who.say.like^										Значит, он тебе нравится?|Also, du magst ihn doch.
		liza.talk.boy.1.who.say.whatnow^									И что теперь?|Was wirst du tun?

	liza.talk.boy.1.who.about.z@43@Ещё какой зануда! Достаёшь меня допросами о моём парне...|Doch, das tust du, die ganze Zeit! Du nervst mich gerade wegen meines Freundes!
		liza.talk.boy.1.who.about.z.your^									Ого, так он уже твой парень?!|Oh, er ist jetzt dein Freund?

	liza.talk.boy.1.who.about.z.your@49@Нет, ну... я не так выразилась. Мы только познакомились и, конечно, он не мой парень!|Nun, nein.... Wir haben uns gerade erst kennengelernt, natürlich ist er nicht mein Freund!
		liza.talk.boy.1.who.about.z.your.want^								А хотела бы, чтобы он им стал?|Würdest du das wollen?
		liza.talk.boy.1.who.about.z.your.me^								Я, между прочим, тоже ничего...|Ich bin noch zu haben, nebenbei bemerkt....

	liza.talk.boy.1.who.about.z.your.want@48@Думаю, что да. У меня ещё никогда не было парня. А этот...|Ich denke schon.... Ich hatte noch nie einen Freund....
		liza.talk.boy.1.who.say.like^										Значит, он тебе нравится?|Also, du magst ihn doch.
		liza.talk.boy.1.who.say.whatnow^									И что теперь?|Was wirst du tun?

	liza.talk.boy.1.who.about.z.your.me@43@Ты мой братишка! Не говори ерунду. Мы и так с тобой спим вместе. Ну, в одной комнате!|Du bist mein Bruder! Wir schlafen schon miteinander. Im selben Raum, meine ich.
		liza.talk.boy.1.who.about.z.your.me.say^							А ты своему парню скажешь, что спишь со своим братом?|Wirst du deinem Freund sagen, dass du mit deinem Bruder schläfst?
		liza.talk.boy.1.who.about.z.your.me.say^							Спим вместе!|Schlafen wir zusammen? <i>(mit den Augenbrauen wackeln, mit einem miesen Grinsen.)</i>

	liza.talk.boy.1.who.about.z.your.me.say@40@Дурак! Я же в шутку это сказала. И, вообще, прекращай меня доставать!|Hör auf damit, du Idiot! Das meinte ich nicht! Und hör auf, mich zu nerven!
		liza.talk.boy.1.who.say^											Ладно, ладно. Ну а что он говорил?|Okay, okay. Jedenfalls hat er etwas gesagt?
		liza.talk.boy.1.who.say.whatnow^									И что теперь?|Was wirst du tun?

	liza.talk.boy.1.who.more@41@А какие тут могут быть подробности? Мы учимся вместе, сидим в одном классе за одной партой... Ну и он со мной заговорил...|Wir sitzen in der Klasse nebeneinander und er hat mit mir geredet, es gibt nicht viel zu sagen.
		liza.talk.boy.1.who.say^											И что он сказал?|Und was hat er gesagt?

	liza.talk.boy.1.who.how@41@Макс. Ну как ещё я могла познакомиться в первый день в школе с парнем? К тому же, если ещё и сидим рядом... Просто, он со мной заговорил...|Ich traf ihn in einer Schule, offensichtlich. Wir sitzen nebeneinander, also sprach er mit mir....
		liza.talk.boy.1.who.say^											И что он сказал?|Und was hat er gesagt?

	liza.talk.boy.1.who.say@43@А вот это уже тебя не касается. Что сказал, то сказал. Мне понравилось. Так и познакомились...|Das geht dich nichts an! Wir redeten, ich mochte ihn, und so trafen wir uns, Ende der Geschichte.
		liza.talk.boy.1.who.say.like^										Он тебе нравится?|Also, magst du ihn?
		liza.talk.boy.1.who.say.whatnow^									И что теперь?|Was wirst du tun?
		liza.talk.boy.1.who.say.whatnow.willbeok^							Думаю, у вас всё получится|Ich bin sicher, es wird alles klappen!

	liza.talk.boy.1.who.say.whatnow@40@Я не знаю. Это же только первый день. Посмотрим, как всё пойдёт. Может быть, он уже с кем-то встречается, а тут пришла я такая красивая...|Ich weiß es noch nicht. Wir werden sehen, wie es läuft. Vielleicht hat er schon eine Freundin und ich bin sowieso zu spät.
		liza.talk.boy.1.who.say.whatnow.willbeok^							Всё будет хорошо|Ich bin sicher, es wird alles klappen.
		liza.talk.boy.1.who.say.whatnow.help^								Если что, я всегда помогу советом|Du kannst mich jederzeit um Hilfe bitten.
		liza.talk.boy.1.who.say.whatnow.low^								А не рано тебе с кем-то встречаться?|Bist du sicher, dass du alt genug bist, um mit anderen auszugehen?

	liza.talk.boy.1.who.say.whatnow.low@42@Ты в моём возрасте уже тусил с этой своей, как её... Правда, она тебя бросила...|Als du in meinem Alter warst, hattest du deine.... Sache mit deiner Lehrerin. Aber sie hat dich verlassen....
		liza.talk.boy.1.who.say.whatnow.low.me^								Это я её бросил|Ich habe sie verlassen!
		liza.talk.boy.1.who.say.whatnow.low.xp^								Так что, у меня есть опыт|Das bedeutet, dass ich Erfahrung habe.

	liza.talk.boy.1.who.say.whatnow.low.me@41@Ну да, потом её караулил под окнами, чтобы сказать, как ты её не любишь...|Ja, und gleich danach hast du sie in ihrem Haus verfolgt, um ihr zu sagen, wie sehr du sie liebst....
		liza.talk.boy.1.who.say.whatnow.low.me.no^							Всё было не так!|Das ist nicht das, was passiert ist!
		liza.talk.boy.1.who.say.whatnow.low.xp^								В любом случае, у меня опыта больше|In irgendeiner Weise habe ich Erfahrung damit.
		liza.talk.boy.1.who.say.whatnow.low.me.no^							Это всё в прошлом...|Es ist alles Vergangenheit....

	liza.talk.boy.1.who.say.whatnow.low.me.no@43@Так или иначе, я не слышала, чтобы у тебя было много побед на любовном фронте...|Wie auch immer, ich habe nie gehört, dass du Glück mit Frauen hattest.
		liza.talk.boy.1.who.say.whatnow.low.xp.yes^							Я же не обо всём рассказывал...|Ich küsse und rede nicht.

	liza.talk.boy.1.who.say.whatnow.low.xp@43@Да уж, ты у нас опытный любовник!|Ja, ich bin sicher, du bist ein sagenhafter Liebhaber!
		liza.talk.boy.1.who.say.whatnow.low.xp.yes^							Я же не обо всём рассказывал...|Ich küsse und rede nicht.
		liza.talk.boy.1.who.say.whatnow.low.xp.so^							Именно поэтому за советами обращайся ко мне|Deshalb solltest du mich um Rat fragen, wenn du einen brauchst.

	liza.talk.boy.1.who.say.whatnow.low.xp.yes@41@Любопытно... И о чём же ты умолчал?|Oh, erzähl schon.
		liza.talk.boy.1.who.say.whatnow.low.xp.yes.more^					У меня было много девушек|Ich hatte viele Mädchen!
		liza.talk.boy.1.who.say.whatnow.low.xp.yes.dont^					А вот это - секрет!|Es ist ein Geheimnis.
		liza.talk.boy.1.who.say.whatnow.low.xp.yes.dont^					Тебе лучше не знать...|Ich werde nicht sagen.

	liza.talk.boy.1.who.say.whatnow.low.xp.yes.more@50@Куча девушек? Надувных? Где же ты их всех прятал?|Du meinst, Mädchen in die Wüste zu schicken? Wo hast du sie versteckt?
		liza.talk.boy.1.who.say.whatnow.low.xp.yes.dont^					Парни о таком не рассказывают|Ich küsse und rede nicht.

	liza.talk.boy.1.who.say.whatnow.low.xp.yes.dont@42@Так я тебе и по?ерила...|Ja, richtig....		liza.talk.boy.1.who.say.whatnow.low.xp.yes.dont.asuwish^			В школе по мне все девушки с ума сходили|Alle Mädchen in der Schule waren verrückt nach mir!
		liza.talk.boy.1.who.say.whatnow.help^								Не хочешь - не верь. Но опыт у меня есть|Du musst mir nicht glauben, aber ich habe etwas Erfahrung.

	liza.talk.boy.1.who.say.whatnow.low.xp.yes.dont.asuwish@41@Ладно, ладно. Если ты так говоришь, пусть так.|Okay, okay. Was immer du sagst.
		liza.talk.boy.1.who.say.whatnow.help^								В любом случае, нужна будет помощь или совет - подходи|Wie auch immer, wenn du Hilfe brauchst, kannst du mich jederzeit fragen.
		liza.talk.boy.1.who.say.whatnow.low.xp.so^							Так или иначе, о парнях я знаю больше тебя...|Jedenfalls weiß ich mehr über Typen als du.

	liza.talk.boy.1.who.say.whatnow.low.xp.yes.dont.asuwish@43@Ну да, ну да... Видимо, они и правда с ума сошли.|Ja, richtig. Nur verrückte vielleicht.
		liza.talk.boy.1.who.say.whatnow.help^								Если будет нужна помощь, обращайся|Wenn du Hilfe brauchst, kannst du mich jederzeit fragen.

	liza.talk.boy.1.who.say.whatnow.low.xp.so@41@Я подумаю над твоим предложением. А пока, мы что-то заболтались. Я бы хотела искупаться и позагорать...|Ich werde darüber nachdenken. Wie auch immer, jetzt möchte ich etwas Zeit mit Schwimmen und Sonnenbaden verbringen....
		leave!set_talk.firstday_2!set_liza.talkcooldown_2^					Хорошо...|Okay

	liza.talk.boy.1.who.say.whatnow.willbeok@41@Спасибо, Макс. Приятно слышать, что кому-то не всё равно...|Danke, Max. Schön zu wissen, dass es jemanden interessiert.
		liza.talk.boy.1.who.say.whatnow.help^								Если будет нужна помощь, обращайся|Wenn du Hilfe brauchst, kannst du mich jederzeit fragen.

	liza.talk.boy.1.who.say.whatnow.help@40@Хорошо, Макс, буду иметь в виду. И спасибо, что поболтал со мной. А пока ты не против, если я немного отдохну?|Okay, Max, das werde ich mir merken. Danke, dass du mit mir geredet hast. Wenn es dir nichts ausmacht, möchte ich mich entspannen.
		leave!set_talk.firstday_2!set_liza.talkcooldown_2^					Конечно! А я пойду...|Natürlich. Ich lasse dich in Ruhe.

	liza.talk.boy.1.who.say.like@43@Ну конечно! Что за глупые вопросы. Вот только я не знаю как правильно себя вести, что говорить...|Natürlich! Aber ich weiß nicht, was ich sagen soll, wie ich mich verhalten soll....
		liza.talk.boy.1.who.say.whatnow.help^								Я знаю как мыслят парни. Так что, могу помочь советом...|Ich weiß, was Jungs mögen, ich kann dir helfen.
		liza.talk.boy.1.who.say.whatnow.help^								Если будет нужна помощь, обращайся|Wenn du Hilfe brauchst, kannst du mich jederzeit fragen.



# --- Продолжение разговора с Лизой насчёт её парня. шаг №1|Fortsetzung des Gesprächs über Alex, Schritt 1

	liza.talk.aboutboy.1.init@0@Насчёт твоего парня...|Über deinen Freund....
	liza.talk.aboutboy.1@40@Моего парня? Какого? У меня нет никого...|Welcher Freund? Ich habe niemanden....
		liza.talk.aboutboy.1.good.so^										Я про Алекса, ты же сама рассказывала...|Ich rede von Alex.
		liza.talk.aboutboy.1.good.so^										Ты уверена? Его вроде Алекс зовут...|Bist du sicher? Ich glaube, sein Name ist Alex oder so....
		liza.talk.aboutboy.1.good^											И правильно. Рано ещё тебе парней заводить|Das ist gut, du bist sowieso zu jung, um einen Freund zu haben.

	liza.talk.aboutboy.1.good@42@А ты кто, моя мамочка, чтобы такие советы давать?|Und wer bist du, meine Mom?
		liza.talk.aboutboy.1.good.mom^										Думаю, она со мной согласилась бы|Ich bin sicher, sie würde mir zustimmen.
		liza.talk.aboutboy.1.good.mom^										Я знаю, что говорю|Ich weiß, wovon ich rede.
		liza.talk.aboutboy.1.good.so^										Значит, он твой парень?|Also, er ist dein Freund?

	liza.talk.aboutboy.1.good.mom@41@Думаешь, ты такой пришёл, высказал своё мнение и я побежала его бросила?|Denkst du, du kannst mir einfach sagen, was ich tun soll und ich werde ihn sofort loswerden?
		liza.talk.aboutboy.1.good.so^										Ага, так он твой парень?!|Aha, also ist er dein Freund!
		liza.talk.aboutboy.1.good.mom.yes^									Ну, да...|Nun, ja
		liza.talk.aboutboy.1.good.mom.yes^									Это было бы правильное решение...|Warum nicht?

