# --- 0.11: Диалог с Алисой насчёт того, что она решила делать с компроматом. Ключевой диалог, запускающий цепочку, открывающую контент 0.11

	11.aa.0.init@0@Так что ты решила насчёт того видео?|Also, hast du entschieden, was wir tun sollen?
		11.ab.4a^		Правила?|Regeln?
		11.ab.4b^		Вот ещё!|Ja, richtig!

	11.ab.4a@21@Ну да. У меня в руках такой компромат на вас, что было бы глупо не воспользоваться ситуацией...|Ja, Max. Dass ich das Sagen habe, bedeutet, dass ich Regeln aufstelle.
		11.ab.4^		Ладно, рассказывай свои правила...|Gut, erzähl uns von deinen Regeln....

	11.ab.4b@21@Макс, у тебя как бы и выбора нет... А вообще, предлагаю сначала послушать то, что я хочу сказать...|Du hast keine Wahl, Max. Außerdem kennst du die Regeln noch nicht einmal, kannst du nicht wenigstens warten, bis du hörst, was ich will, bevor du dich beschwerst?
		11.ab.4^		Ну рассказывай...|Okay, sags uns

	11.ab.4@20@Во-первых, я сразу хочу сказать, что не хочу становиться для вас врагом. Наоборот, может быть, мы станем ещё более близки...|Bevor ich anfange, möchte ich, dass ihr bedenkt, dass ich nicht euer Feind bin. Im Gegenteil, ich hoffe, unsere Spiele bringen uns alle näher zusammen.
		11.ab.5^		А во-вторых?|So weit, so gut....

	11.ab.5@25@Во-вторых, несмотря ни на что, вы должны будете меня слушаться и делать то, что я вам говорю.|Zweitens, egal was, du musst mir gehorchen und tun, was ich dir sage.
		11.ab.6^		Например?|Wie Was?

	11.ab.6@21@Например, если я скажу, что хочу... чтобы Лиза начала ласкать мою киску, то... она должна это сделать. Без возражений, сразу!|Nun, wenn ich zum Beispiel sage.... Ich will, dass Lisa anfängt, meine Muschi zu lecken, dann muss sie es tun. Keine Einwände und sofort!
		11.ab.7^		Хм...|Hm...

	11.ab.7@33@Лиза, чего ты ждёшь? Опускайся на колени и приступай, пока я рассказываю остальное...|Worauf wartest du, Lisa? Runter auf die Knie und los geht's.
		11.ab.8a^		Лиза, ты не обязана это делать!|Du musst es nicht tun, Lisa.
		11.ab.8b^		А мне нравится эта игра!|Ich mag dieses Spiel!

	11.ab.8a@21@b-alisacome-3@Кажется, Лиза считает иначе. Макс, я бы на твоём месте не пыталась вставлять палки в колёса. А то вдруг потребую от тебя чего-то... такого...|Lisa scheint das nicht zu denken. Ich würde nicht versuchen, schwierig zu sein, wenn ich du wäre, Max. Was, wenn ich dich etwas frage, was dir als Strafe nicht gefällt?
		11.ab.8^		Ладно, проехали...|Schön, schön

	11.ab.8b@25@b-alisacome-3@Кажется, не только тебе. Я так рада, что Лизу заводит, когда ею командуют. А мне как раз хочется вами покомандовать... И до тебя доберусь, Макс... Но об этом в другой раз...|Du bist nicht der Einzige, Max. Ich bin froh, dass Lisa sich unterwirft. Genau wie ich es will. Ich komme auch zu dir, Max. Aber ein anderes Mal....
		11.ab.8^		Хм...|Hm...

	11.ab.8@31@b-alisacome-4@Макс, я знаю, что ты хотел бы тоже поучаствовать, но сегодня ты будешь просто смотреть и слушать. Я так решила. Лиза, а ты приступай...|Du willst wahrscheinlich mitmachen, Max, aber nicht heute. Du kannst anfangen, Lisa.
		11.ab.9^		<i>далее</i>|<i>fortfahren</i>

	11.ab.9@41@b-alisacome-5@Алиса, ты же знаешь, что я не лесбиянка... Может быть, вы с Максом развлечётесь, а я посмотрю... Ну или мы с Максом...|Du weißt, dass ich keine Lesbe bin, Alice.... Könnt ihr nicht miteinander spielen? Ich würde gerne zusehen. Oder vielleicht könnten Max und ich etwas tun....
		11.ab.10^		<i>далее</i>|<i>fortfahren</i>

	11.ab.10@21@Лиза, это не вопрос. Напоминаю, если вы откажетесь меня слушаться, я просто покажу видео маме, а там посмотрим что получится. Если вас это устраивает, то я пошла...|Lisa, das ist keine Frage. Ich erinnere dich daran, wenn du dich weigerst, mir zu gehorchen, werde ich das Video Mom zeigen und dann werden wir sehen, was passiert. Wenn du das so willst, dann gehe ich jetzt...
		11.ab.11a^		Стой! Лиза, придётся постараться!|Ich schätze, wir haben keine Wahl, Lisa.
		11.ab.11b^		Ну и иди...|Ich glaube nicht, dass du das durchziehen wirst.

	11.ab.11a@25@b-alisacome-4@Вот видишь, даже Макс согласен, что это плохая идея. Так что, приступай, а то я сижу тут как дура с раздвинутыми ногами...|Du siehst, sogar Max stimmt zu, dass dies eine schlechte Idee ist. Also, komm schon, sonst sitze ich hier wie ein Idiot mit gespreizten Beinen...
		11.ab.11^		<i>далее</i>|<i>fortfahren</i>

	11.ab.11b@40@Макс, у нас нет выбора. Мне, может быть, просто прилетит по заднице, а вот тебя точно мама накажет серьёзнее. Может быть, даже в тот военный лагерь отправит. Я бы этого очень не хотела...|Max, wir haben keine Wahl. Ich werde vielleicht einfach den Arsch heftig versohlt bekommen, aber du wirst von Mom ernsthafter bestraft. Vielleicht schickt Sie dich sogar zu diesem Militärlager. Ich würde beides nicht wirklich wollen...
		11.ab.11^		Ну ладно...|Schön...

	11.ab.11@21@b-alisacome-6@Ох, сестрёнка! Да ты полна сюрпризов! Говоришь, не лесбиянка, а так ловко язычком работаешь, что... я даже не уверена, что кто-то ещё умеет делать это так хорошо...|Wow, Schwester! Du steckst voller Überraschungen. Du sagst, du bist keine Lesbe, aber du bist zu gut für das erste Mal.... Das ist wirklich gut!
		11.ab.12^		Кхм...|Hm...

	11.ab.12@25@b-alisacome-7@Макс, а ты, если хочешь, можешь подрочить, глядя на нас... Ну или просто смотри, сам решай... О боже, как хорошо... Да, Лиза, продолжай...|Max, und du, wenn du willst, kannst du dir einen runter holen, beim zusehen... Nun, oder schau einfach zu, entscheide selbst... Oh mein Gott, wie geil... Ja, Lisa, mach weiter...
		11.ab.13^		Это все правила?|Gibt es noch mehr Regeln?

	11.ab.13@22@b-alisacome-8@Я что-то не могу сейчас собраться с мыслями... Но думаю, суть вы уловили. Лиза, так точно!|Ich bin gerade beschäftigt, aber.... Ja, ich glaube, das war's. Lisa weiß definitiv, was los ist!
		11.ab.14^		<i>далее</i>|<i>fortfahren</i>

	11.ab.14@33@b-alisacome-7@Ах да, чуть не забыла... Моё главное требование - не трахаться без меня!|Warte, noch eine Regel. Fickt niemals ohne mich!
		11.ab.15^		Тётя Кира говорила тоже самое!|Tante Kira hat dasselbe gesagt, und das hat uns nicht davon abgehalten.

	11.ab.15@22@b-alisacome-6@Да? Ну, у неё нет на вас компромата... Или есть? Не важно. Без меня не трахайтесь. Если очень хочется - зовите, я поучаствую...|Das liegt daran, dass sie keinen Druckmittel bei euch beiden hat. Nun, ich glaube nicht, dass sie.... Was auch immer, das Wichtigste ist, wenn du ficken willst, ruf mich an, damit ich dabei sein kann.
		11.ab.16^		А если будем без тебя?|Und wenn wir ohne dich ficken?

	11.ab.16@21@b-alisacome-7@В таком случае мне придётся вас наказать. Обоих...|In diesem Fall werde euch bestrafen müssen. Beide...
		11.ab.17^		Это как же?|Wie?

	11.ab.17@22@Ну как обычно нас мама наказывает... Но только обоих сразу. Конечно, не при свидетелях, мама не поймёт... Но получите оба, обещаю!|Wie in unserer Familie üblich, aber ich werde euch beide gleichzeitig bestrafen. Ich werde es nicht vor der ganzen Familie tun, ich sehe keinen Grund Mom einzubeziehen, aber.... Ihr werdet es beide bekommen!
		11.ab.18^		Отст?й!|Mist!

	11.ab.18@21@Вот поэтому я бы не хотела, чтобы вы трахались без меня. Так у вас будет ещё больше желания, больше страсти! Ох... Лиза, ты - чудо!|Deshalb rate ich dir, nicht ohne mich zu ficken. Außerdem macht die Wartezeiten, das ficken um so vieles besser.... Oh.... Du bist unglaublich, Lisa!
		11.ab.19^		<i>далее</i>|<i>fortfahren</i>

	11.ab.19@26@b-alisacome-6@Кажется, я... кон... кончаю... да... Ох, Лиза...|Ich glaube, ich komme gleich! Ja....! Danke, Lisa.
		11.ab.20a^		<i>далее</i>|<i>fortfahren</i>

	11.ab.20a@21@b-alisacome-3@Какая способная у меня сестрёнка, оказывается... Ну всё... Следующий раз только со мной, поняли? Это моё главное правило! Ну, кроме того, чтобы слушаться и в остальном, конечно...|Du bist ein Naturtalent, Lisa.... Du fickst niemals wieder ohne mich, verstanden? Das ist die wichtigste Regel! Nun, das und alles was ich zu sagen habe.
		11.ab.20^		Отстой...|Mist
		11.ab.23^		Ладно...|Schön...

	11.ab.20@43@b-alisacome-4@Макс, хватит тебе ворчать! Это же будет забавно, ещё веселее, чем с тётей Кирой!|Hör auf, dich ständig zu beschweren, Max! Das wird noch besser als unser Spaß mit Tante Kira!
		11.ab.21^		Думаешь?|Denkst du, ja?

	11.ab.21@41@Ну а чего тебе жаловаться? Это же не тебе пришлось сделать кое-что... Хотя, мне понравилось, если честно...|Du hast keinen Grund, dich zu beschweren. Du hättest nicht einmal etwas tun müssen.... Ich mochte es, um ehrlich zu sein....
		11.ab.22^		Да ладно?|Hast du?

	11.ab.22@25@Макс, Лиза права. Будет весело! Ну всё, уже пора спать... Спасибо тебе Лиза, ты сегодня меня приятно удивила... Нужно будет повторить, как можно скорее...|Lisa hat Recht, Max, es wird Spaß machen! Aber es ist spät, wir sollten wahrscheinlich schlafen gehen. Danke, Lisa, du hast mich heute überrascht. Wir sollten das sehr bald wiederholen.
		11.ab.23^		<i>далее</i>|<i>fortfahren</i>

	11.ab.23@21@b-alisacome-15@Всё, всем спокойной ночи. Похоже, Макс завёлся... Но трахаться я вам всё равно запрещаю! Если узнаю - накажу!|Gute Nacht, alle zusammen. Sieht aus, als wäre Max ganz heiß und geplagt.... Aber nicht ficken! Ich werde dich bestrafen, wenn du es tust!
		11.ab.24^		И как ты узнаешь?|Und woher willst du das überhaupt wissen?

	11.ab.24@25@Мне Лиза расскажет. Да, Лиза? Ты же обещала меня слушаться? И я требую обо всём мне рассказывать!|Lisa wird es mir sagen. Richtig, Lisa? Du hast mir versprochen, zu tun, was ich sage, und ich sage, erzähl mir von jedem Mal, wenn du ohne mich Sex hast!
		11.ab.25^		Да это же смешно!|Das ist nicht lustig!

	11.ab.25@22@Вот и посмотрим кому будет смешно... Всё, спокойной ночи!|Es ist lustig für mich. Gute Nacht, alle zusammen.
		leave!set_poss.rol_8!set_sub_8!set_dcd.sub_4!set_adom_1!max_cam.0.grow_300^		Пока!|Gute Nacht...



# --- 0.11: Диалог с Лизой после ночного визита Алисы

	11.ac.0.init@0@Что думаешь про Алису?|Was hältst du von Alice?
	11.ac.0@41@Да ничего не думаю. Да и что мы можем сделать?|Ich denke nicht wirklich viel darüber nach. Wir können sowieso nichts tun.
		11.ac.1^		Ну, отказаться играть в её игры...|Wir könnten uns weigern, mitzuspielen.

	11.ac.1@46@Макс, ты - зануда! Пристёгивать меня наручниками - это нормально, а если Алиса что-то просит для неё сделать, то это сразу проблема?|Also, wenn du mich an mein Bett fesselst, ist es völlig in Ordnung, aber wenn Alice mich bittet, etwas zu tun, ist es plötzlich ein Problem?
		11.ac.2^		Ну...|Nun ja....

	11.ac.2@41@Вот и подумай об этом. Она что-то сделала тебе плохое? Хватит параноить, а то будем развлекаться без тебя!|Also denk darüber nach. Hat sie dir etwas Schlimmes angetan? Wenn du weiter so paranoid bist, dann werden wir ohne dich Spaß haben!
		11.ac.3^		Ага, ты же говорила, что не лесбиянка?|Hast du mir nicht gesagt, dass du keine Lesbe bist?

	11.ac.3@43@Конечно! Именно поэтому, было бы неплохо, если бы ты к нам присоединился... Но если не хочешь, то мы и без тебя справимся...|Das habe ich, und deshalb möchte ich, dass du dabei bist... Aber wenn du so hartnäckig dagegen bist, können wir ohne dich weitermachen...
		11.ac.4^		Блин...|Misst...

	11.ac.4@41@Я так и знала, что от секса ты не откажешься!|Wir alle wissen, dass du keine Gelegenheit zum Sex ablehnst, also hör auf, so zu tun, als ob mit unseren Spielen etwas nicht stimmt.
		11.ac.5^		А нам нужна Алиса для этого?|Aber warum brauchen wir Alice?

	11.ac.5@40@Думаю, нам не стоит это делать без неё...|Solltest du nicht versuchen, einen Dreier mit zwei schönen Damen zu haben, anstatt zu versuchen, rauszukommen? Stört dich die Vorstellung, dass Alice diejenige ist, die das Sagen hat, wirklich so sehr?
		11.ac.6^		Почему?|Nun ja ... Warum?

	11.ac.6@46@Ну я ей обещала, что обо всём буду рассказывать...|Aber wir <i>müssen</i>, sonst werden wir bestraft.
		11.ac.7^		Но зачем?!|Nicht, wenn du es ihr nicht sagst.

	11.ac.7@41@Затем, что уже пообещала. Что поделать.|Ich habe ein Versprechen gegeben, Max, und ich werde es halten.
		11.ac.8^		Откуда такая честность? Ей же можно не говорить!|Warum die plötzliche Loyalität? Sie kann es nicht wissen!

	11.ac.8@40@Можно, конечно. Но ты знаешь, что в последние пару лет мы с Алисой отдалились друг от друга. У неё были свои интересы, у меня свои...|Alice und ich standen uns nie sehr nahe, Max. Wahrscheinlich, weil wir nie viel gemeinsam hatten. Aber jetzt, da wir das tun, fühle ich mich, als wären wir uns näher als je zuvor. Und ich will nicht ohne Grund alles aufgeben.
		11.ac.9^		И?|Ich verstehe

	11.ac.9@41@А сейчас оказалось, что у нас много общего, да ещё этот новый опыт, так сказать... И если она узнает, что я ей соврала, то отношения эти испортятся, а я бы не хотела этого...|Außerdem werde ich mein Wort nicht brechen, nur damit ich nicht den Arsch versohlen kriege. Was ich, wenn ich dich daran erinnern darf, sogar von Zeit zu Zeit genieße. Am Ende wirst du der Einzige sein, der eine echte Strafe bekommt, aber ich bin sicher, du wirst mir verzeihen, wenn ich es wieder gutmache....
		11.ac.10^		Значит, будешь стучать?|Also wirst du mich verpfeifen?

	11.ac.10@40@Почему сразу стучать? Просто можем не трахаться. Ну или если не получится этого избежать, я обещала, что Алисе всё расскажу...|Das liegt bei dir, Max. Wir können einfach, wie du weißt, nicht ohne Alice ficken, so einfach ist das. Zählt es überhaupt als Verrat, wenn du schon weißt, dass ich es ihr sage?
		11.ac.11^		И что потом?|Ja, das tut es!

	11.ac.11@43@Вот и узнаем... Может, она придумает для нас что-то интересное, откуда ты знаешь?|Es gibt etwas, das du wahrscheinlich noch nicht bedacht hast, Max. Was ist, wenn Alice eine lustige Strafe erfindet und es dir gefällt?
		11.ac.12^		Да ничего я ещё не знаю...|Ja, ich weiß nicht...

	11.ac.12@41@Вот именно! Это же интереснее, чем просто жить по правилам! Ты согласен?|Es ist ja nicht so, dass sie unser Leben ruinieren will, Max. Sie will nur etwas Spaß haben. Wer weiß, vielleicht macht ihre Vorstellung von einer lustigen Strafe auch uns Spaß.
		11.ac.13^		Может быть...|Ich vermute

	11.ac.13@40@Слушай, а ты же и сам можешь узнать у Алисы что нам будет, если нарушим её это требование...|Warum fragst du sie nicht, was sie tun wird, wenn wir die Regel brechen?
		11.ac.14^		Точно!|Hey, das ist richtig!
		11.ac.14b^		Думаешь, расскажет?|Glaubst du, sie wird es erzählen?

	11.ac.14b@43@Ага, просмакует в мельчайших деталях! Или нет. Не знаю. Спроси и узнаешь.|Es gibt nur einen Weg das herauszufinden, Max. Frage Sie und wir werden es herausfinden.
		11.ac.14^		Ладно...|Okay, ich werde es tun.

	11.ac.14@41@Ну всё, Макс, давай сменим тему, а то некоторые мысли меня уже заводят...|Jetzt lass uns das Thema wechseln, Max, bevor ich zu geil werde....
		11.ac.15^		Какие, например?|Ach plötzlich..., nachdem ich das gehört habe?

	11.ac.15@40@Хватит! Иди к Алисе и поинтересуйся у неё, что она там задумала. А то в прошлый раз я её... немного отвлекла и она не смогла рассказать ничего толком...|Ernsthaft, Max, geh einfach und rede mit Alice. Am liebsten ohne mich im Zimmer, damit ich sie nicht wie letztes Mal ablenken kann.
		leave!set_sub_9!set_poss.rol_9^			Ага...|Okay



# --- 0.11: Диалог с Алисой по поводу того, что она имела в виду насчёт наказаний

	11.ad.0.init@0@Насчёт новых правил...|Zu den neuen Regeln....
	11.ad.0@21@А я разве не всё рассказала?|Habe ich dir nicht schon alles gesagt?
		11.ad.1^		Не совсем...|Also, jetzt ganz
		11.ad.1^		Хотелось бы больше деталей...|Ich möchte noch etwas anderes wissen.

	11.ad.1@25@А что тут ещё сказать. Ну, я хочу, чтобы вы мне подчинялись, делали то, что я скажу... Вот и всё!|Ich glaube, ich habe mich klar ausgedrückt, Max. Du tust alles, was ich sage, und fickst nicht ohne mich, oder? Welchen Teil soll ich weiter erklären?
		11.ad.2^		А если нет?|Den Teil nach den "oder"?!

	11.ad.2@22@Ну я бы не хотела использовать этот аргумент, но ты и так знаешь, что видео на маму произведёт... большое впечатление...|Sonst zeige ich das Video Mom, Max. Scheint ein einfacher Teil zu sein, Max. Wie kannst du immer noch Probleme damit haben?
		11.ad.3^		Да я не о том|Nein, ich will von der Strafe für das Ficken ohne dich wissen.

	11.ad.3@21@А, ты про секс без меня? Разве так плохо трахаться со мной или в моём присутствии?|Oh, redest du über Sex ohne mich? Ist es so schlimm, mit mir oder in meiner Gegenwart zu ficken?
		11.ad.4^		Ну а вдруг так получится...|Nun, wenn es plötzlich passiert...
		11.ad.4^		Да нет, всё отлично!|Nein, alles ist in Ordnung!

	11.ad.4@25@Ну а если серьёзно, то я уже придумала кое-что для вас. Думаю, это может отбить у вас желание нарушать мои правила... Или нет... Узнаете в своё время...|Weißt du, ich habe eigentlich eine Idee für deine Bestrafung. Aber ich sage es dir nicht. Wenn du es wirklich wissen willst, gibt es nur einen Weg, es herauszufinden! Und so schlimm ist es auch nicht....
		11.ad.5^		А подробнее?|Gut, dann sei es so.

	11.ad.5@21@Ты первым узнаешь, как только Лиза мне всё расскажет... Не переживай, не пропустишь ничего!|Erinnere dich einfach daran, wenn du dich entscheidest, ohne mich zu ficken, Lisa <i>wird</i> sag es mir, ich garantiere es.
		leave!set_sub_10!set_apun_1!set_sexz_0^			Бли?...|Misst....



# --- 0.11: Второй ночной визит Алисы

	11.ae.0@25@b-alisacome-1@Ага! Не ждали меня сегодня? А вот я по вам соскучилась... Точнее, по нашим играм. Вы же не возражаете?|Hey! Habt ihr mich heute nicht erwartet? Ich habe euch beide vermisst. Oder zumindest unsere Spiele. Es macht euch doch nichts aus, oder?
		11.ae.1a^		Нет...|Nein
		11.ae.1b^		Может, в другой раз?|Vielleicht ein anderes Mal?

	11.ae.1a@21@b-alisacome-2@Вот и замечательно! А чего вы такие грустные? Мы же будем развлекаться! Кстати, лично я очень скучаю по твоему язычку, сестрёнка!|Das ist großartig! Warum bist du dann so traurig? Wir werden Spaß haben! Übrigens, ich persönlich vermisse deine kleine Zunge, meine Schwester!
		11.ae.1^		<i>далее</i>|<i>fortfahren</i>

	11.ae.1b@33@b-alisacome-2@В какой другой раз? Моя киска так соскучилась по язычку Лизы настолько, что ждать больше нельзя!|Welches andere Mal? Meine Muschi hat Lisas Zunge zu sehr vermisst, sie kann nicht mehr warten!
		11.ae.1^		<i>далее</i>|<i>fortfahren</i>

	11.ae.1@21@b-alisacome-3@Сестрёнка, моя киска сама себя не вылижет... Можешь приступать. А ты, Макс, можешь смотреть, ну или дрочить, если хочешь...|Meine Muschi wird sich nicht selbst lecken, Schwesterchen. Du kannst jetzt jederzeit anfangen. Und Max, du kannst dir einen runterholen, wenn du willst.
		11.ae.2^		И всё?|Das ist alles?

	11.ae.2@25@b-alisacome-7@А что ещё ты хочешь? Трахнуть меня? Или, может быть, Лизу?|Was willst du noch? Willst du mich ficken? Oder vielleicht Lisa?
		11.ae.3a^		Я хочу тебя!|Ich ficke dich
		11.ae.3b^		Я хочу Лизу!|Ich ficke Lisa

	11.ae.3a@33@b-alisacome-8@Не сомневаюсь, Макс... Но до оргазма меня и Лиза доведёт... Это другие, особые ощущения... Да и чего тебя баловать...|Ich bin sicher, Max, aber ich bin schon beschäftigt. Und es fühlt sich so neu und aufregend an....
		11.ae.3b^		Ну тогда Лизу?|Dann eben Lisa?

	11.ae.3b@33@b-alisacome-5@Лиза, ты как, хочешь подставить свою попку для Макса?|Was ist mit dir, Lisa? Willst du, dass dein Bruder deinen Arsch jetzt fickt?
		11.ae.3^		<i>далее</i>|<i>fortfahren</i>

	11.ae.3@41@b-alisacome-3@Как скажешь, Алиса...|Was immer du sagst, Alice.
		11.ae.4^		Это значит да?|Das bedeutet ja?

	11.ae.4@25@b-alisacome-4@Ну... Ладно, трахни Лизу, пока она ласкает меня своим волшебным язычком...|Schön, schön, du kannst sie ficken, während sie mich mit ihrer magischen Zunge leckt....
		11.ae.5^		Ух!|Großartig!

	11.ae.5@33@b-alisacome-9@Макс, ну чего ты ждёшь? Трахни её! Видишь, она тоже завелась!|Worauf wartest du, Max? Scheiß auf sie! Siehst du nicht, wie sehr sie es will?
		11.ae.6^		<i>далее</i>|<i>fortfahren</i>

	11.ae.6@41@b-alisacome-10@А может быть... Макс и меня также поласкает немного? Ты же не будешь возражать, Алиса?|Wie wär's mit.... Vielleicht könnte Max mich auch erfreuen? Du wirst doch nichts dagegen haben, oder, Alice?
		11.ae.7^		Хм...|<i>fortfahren</i>

	11.ae.7@25@Я подумаю... Хотя, нет. Макс, оттрахай её в попку, а то слишком много разговаривает!|Hmmm... Nein. Fick sie in den Arsch, Max, sie redet zu viel.
		11.ae.8^		Легко!|Einfach!
		11.ae.8^		С удовольствием!|Wird gemacht!

	11.ae.8@21@b-alisacome-11@Только входи в неё аккуратно, а то порвёшь нашу сестрёнку... До сих пор поражаюсь, что она в восторге от анального секса... Всё таки, у нас... забавная семейка...|Aber sei vorsichtig, ich will nicht, dass du sie in Stücke reißt. Ich verstehe immer noch nicht, wie sie das genießen kann.... Wir haben eine ganz besondere Familie, nicht wahr?
		11.ae.9^		Ты так считаешь?|Denkst du?

	11.ae.9@4@b-alisacome-12@<i>Кажется, у Алисы с фантазией всё в порядке! Я думал, что она придумает какую-нибудь скучную фигню типа мытья посуды за неё или уборки, но это - лучший вариант!</i>|<i>Die Dinge sind definitiv besser, als ich erwartet habe! Ich hatte Angst, dass sie uns mit dummen Sachen wie dem Abwasch belästigt, aber das ist so viel besser!</i>
		11.ae.10^		<i>трахать Лизу</i>|<i>ficke Lisa</i>

	11.ae.10@22@Макс, не смотри на меня так... Такое ощущение, что ты меня трахаешь... Да ещё Лиза так старается... ЕЩё чуть-чуть и я кончу... О да, Лиза, ещё...|Und schau mich nicht so an, Max. Ich fühle mich, als würdest du mich ficken.... Und Lisa versucht so sehr.... Ja, Lisa, mach weiter!
		11.ae.11^		<i>продолжать</i>|<i>fortfahren</i>

	11.ae.11@33@О да... Это было нечто! Сестрёнка, я тебя просто обожаю! Макс, я вижу ты тоже вот вот кончишь... Знаешь что, кончи сегодня ей в попку!|Ja....! Das war unglaublich, Schwester, ich liebe dich! Max sieht aus, als würde er gleich kommen.... Weißt du was, spritz ihr dein Sperma heute in ihren Arsch!
		11.ae.12^		<i>кончить!</i>|<i>spritzen!</i>

	11.ae.12@25@b-alisacome-14@Молодец какой. Кончил как по команде! Если честно, то я думала, что с вами будет больше проблем... Столько страсти и такие послушные...|Tolle Arbeit. Es ist, als ob du auf Kommando gekommen wärst! Um ehrlich zu sein, erwartete ich mehr Widerstand von euch beiden. Aber du bist so leidenschaftlich, so gehorsam....
		11.ae.13^		<i>далее</i>|<i>fortfahren</i>

	11.ae.13@21@b-alisacome-15@Ну всё, спасибо вам за... всё. Думаю, наши развлечения станут регулярными. Вы же не против потрахаться лишний раз?|Nun, danke für heute. Ich denke, unsere Spiele werden von jetzt an regelmäßig stattfinden. Du bist doch nicht gegen die Idee, oder?
		11.ae.14^		Я всегда за!|Ich bin immer bereit zu ficken!
		11.ae.14b^		Ну можно иногда...|Schön, wir können das ab und zu machen.

	11.ae.14b@22@Что? Мне послышалось или ты сделал недовольный вид? Трахаешься с обеими сёстрами и что-то там ворчишь? А вот в следующий раз запрещу тебе трахать Лизу!|Was? Du bist nicht glücklich damit, deine beiden Schwestern zu ficken? Wenn du so dagegen bist, darfst du Lisa das nächste Mal nicht ficken.
		11.ae.14c^		Эй! Так нечестно!|Hey, das ist nicht fair!

	11.ae.14c@25@Вот, моментально стал посговорчивее... Ладно, я пошутила. Меня заводит, когда вы трахаетесь у меня на глазах... Даже очень... А тебя, Макс?|Achso, jetzt bist du wieder dafür....? Keine Sorge, Max, ich mach nur Spaß. Ich beobachte euch beide gerne. Hat es dir nicht auch gefallen?
		11.ae.14^		Угу...|Ja ja

	11.ae.14@33@Вот и замечательно. Ну всё, пора спать. Спокойной ночи!|Großartig. Jetzt gehe ich zurück in mein Zimmer, es ist spät. Gute Nacht, alle zusammen.
		leave!set_sub_11!set_dcd.sub_4!set_webrules_1!max_cam.0.grow_300^			Пока!|Bye



# --- 0.11: Периодический визит Алисы ночью к Максу и Лизе

	11.af.0@21@b-alisacome-1@Ага, не спится? Значит, не зря я к вам заглянула. Сейчас что-нибудь придумаем!|Hi, Leute! Wir werden heute Abend etwas Spaß haben!
