# --- Разговор с мамой по поводу инцидента в ванной|Gespräch über die Veranstaltung im Bad

	mom.talk.mombathinc.1.sorry.nice.find.what.if@69@Ну, воспользуйся руками, как все парни в твоём возрасте... Эх, и почему мне приходится это объяснять... Думаю, ты разберёшься. Ладно, давай постараемся обо всём забыть, ничего страшного не произошло, на самом деле.|Ich weiß nicht, benutze deine Hand, wie jeder in deinem Alter.... Warum muss ich dir das alles erklären? Ich bin sicher, du wirst es herausfinden. Versuchen wir einfach alles zu vergessen, es ist nicht so, als wäre etwas Schreckliches passiert, es war keine große Sache.
		mom.talk.mombathinc.1.forgot^										Ты права, давай|Du hast Recht, lass uns das machen.

	mom.talk.mombathinc.1.sorry.nice.you@60@В смысле? Ты о чём, Макс?|Was meinst du, Max?
		mom.talk.mombathinc.1.sorry.nice.you.born^							Ты когда Алису родила? В каком возрасте?|Wie alt warst du, als Alice geboren wurde?
		mom.talk.mombathinc.1.sorry.nice.you.born^							Сомневаюсь, что ты поцеловалась только в 18...|Wie alt warst du, als du deinen ersten Freund hattest?

	mom.talk.mombathinc.1.sorry.nice.you.born@67@Так, всё, хватит. Моё прошлое это отдельная история. Мы тебя обсуждаем. В общем, давай всё забудем.|Wir reden nicht über meine Vergangenheit, Max. Wie auch immer, vergessen wir die ganze Sache.
		mom.talk.mombathinc.1.forgot^										Как скажешь, мам|Okay mom

	mom.talk.mombathinc.1.fun@64@Нет, Макс. Это было не весело, а неправильно!|Nein, Max, es war nicht lustig, es war falsch!
		mom.talk.mombathinc.1.sorry^										Извини, мам...|Es tut mir leid, Mom

	mom.talk.mombathinc.1.again@68@В каком смысле?|Was meinst du damit?
		mom.talk.mombathinc.1.again.naked^									Ну, мы увидели друг друга голыми|Nun, wir haben uns nackt gesehen.
		mom.talk.mombathinc.1.again.intim^									Согласись, это был... интимный момент|Du musst zustimmen, dass der Moment sehr.... intim war.

	mom.talk.mombathinc.1.again.naked@67@Макс! Как тебе не стыдно? Я твоя мама, это нормально, когда родители видят своих детей голыми. А вот дети не должны...|Wie konntest du das sagen, Max? Es ist nicht normal, wenn Kinder ihre Eltern nackt sehen.
		mom.talk.mombathinc.1.sorry^										Ты права, извини...|Du hast Recht, es tut mir leid.

	mom.talk.mombathinc.1.again.intim@64@Макс! Что за разговоры?! Тебе бы стоило извиниться за своё поведение, а не болтать всякую ерунду...|Max, du solltest um Vergebung für dein Verhalten bitten, nicht solche Dinge sagen....
		mom.talk.mombathinc.1.sorry^										Извини, мам...|Es tut mir leid, Mom

	mom.talk.mombathinc.1.forgot@69@Я забуду, что видела твой... тебя голым. А ты постараешься так больше не делать, хорошо?|Ich werde vergessen, dass ich dich nackt gesehen habe, und du wirst versuchen, das in Zukunft nicht mehr zu tun.
		leave!set_talk.mombathinc_2!time^									Конечно!|Sicher!




# --- Разговор с мамой после утреннего инцидента|Gespräch nach der Morgenveranstaltung mit Lisa

	talk.mom.aboutmorning.init@0@Насчёт случая с Лизой...|Wegen der Zeit mit Lisa....
	talk.mom.aboutmorning@62@Макс, не переживай ты так. Я всё прекрасно понимаю, у мальчиков это бывает...|Keine Sorge, Max, ich verstehe. Das ist normal für Männer.
		talk.mom.aboutmorning.1!set_talk.mom.morningops_2^		Я рад, что ты понимаешь|Ich bin froh, dass du das verstehst.

	talk.mom.aboutmorning.1@69@Но Макс. Лиза ещё маленькая и постарайся, чтобы она не видела твой... тебя. В общем, ты меня понял, да?|Aber trotzdem, Max, versuch nicht, Lisa deinen.... dich selbst zu zeigen.
		talk.mom.aboutmorning.2.so^								А что такого?|Warum?
		talk.mom.aboutmorning.2.ok^								Хорошо, постараюсь...|Ich werde es versuchen....

	talk.mom.aboutmorning.2.so@71@Что такого? Да то, что девочка не должна видеть здоровенный член своего брата, когда просыпается утром!|Weil sie nicht jeden Morgen den riesigen Schwanz ihres Bruders sehen soll!
		talk.mom.aboutmorning.2.so.wow^							Ого, мам...|Wow, Mom...
		talk.mom.aboutmorning.2.so.shy^							Разве это должно пугать?|Warum, glaubst du, wird es ihr Angst machen?

	talk.mom.aboutmorning.2.ok@75@Вот и молодец. А если такое повторится, просто прикройся, как будто ничего нет...|Gut. Nächstes Mal versuch dich zu bedecken....
		talk.mom.aboutmorning.2.ok.size^						Ну, ты же знаешь, что мне с моим размером это трудно сделать...|Weißt du, es ist nicht so einfach mit meiner Größe....

	talk.mom.aboutmorning.2.ok.size@73@Да, понимаю, конечно... Но беседа ушла куда-то не туда. В общем, постарайся не травмировать её психику, хорошо?|Ja, ich denke schon.... Dieses Gespräch geht in eine seltsame Richtung. Wie auch immer, versuch einfach, deine Schwester nicht zu traumatisieren, okay?
		leave!time^												Хорошо, мам...|Okay, Mom

	talk.mom.aboutmorning.2.so.wow@67@Извини, что-то меня занесло. Просто, даже я в шоке была, когда увидела, а что уж говорить про Лизу...|Es tut mir leid, ich habe zu viel gesagt. Selbst ich war schockiert, als ich dich sah, ich kann mir nicht vorstellen, woran Lisa gedacht hat....
		talk.mom.aboutmorning.2.so.wow.like^					Значит, тебе понравилось?|Dir hat also gefallen, was du gesehen hast?
		leave!time^												Ладно, я всё понял...|Okay, ich verstehe

	talk.mom.aboutmorning.2.so.wow.like@73@Макс! Я конечно рада, что ты у меня уже такой... большой... Но вообще, я всё сказала. Постарайся ей не показываться в таком виде, ладно?|Max! Natürlich bin ich froh, dass du so.... groß bist, aber.... Aber das reicht jetzt. Versuch, dich deiner Schwester in Zukunft nicht so zu zeigen, okay?
		leave!time^												Ладно, мам...|Okay, Mom...

	talk.mom.aboutmorning.2.so.shy@73@Ну, взрослую женщину это даже притягивает, но девочке явно рано на такое смотреть, ты меня понял?|Nun, Frauen mögen es eigentlich, aber deine Schwester sollte so etwas nicht sehen, verstehst du?
		talk.mom.aboutmorning.2.so.shy.att^						Взрослую женщину притягивает?|Heißt das, du magst es auch?
		leave!time^												Да, я всё понял!|Ja, ich verstehe.

	talk.mom.aboutmorning.2.so.shy.att@75@Ну, Макс! Я же не это имела в виду... В общем, этот разговор окончен. Постарайся не травмировать психику Лизы, хорошо?|Das meinte ich nicht, Max.... Okay, das ist genug von diesem Gespräch. Versuch Lisa nicht zu traumatisieren, okay?
		leave!time^												Хорошо, мам...|Okay, Mom



# --- Макс просит деньги у мамы на карманные расходы|aum Erlaubnis bittend

	talk.mom.pocketmoney.init@0@Мам, дай денег, пожалуйста...|Kannst du mir etwas Geld geben, Mom?
	talk.mom.pocketmoney@60@Макс, тебе не стыдно просить деньги у мамы, хотя сам целыми днями дома сидишь и ничего не делаешь?|Schämst du dich nicht, Mom um Geld zu bitten, wenn du nur zu Hause bleibst und nichts tust?
		paid=0&talk.mom.pocketmoney.need!pocketmoney!set_dcd.paymom_0!add_mom.inf_5^											Мне стыдно, но очень нужны деньги...|Es tut mir leid, aber ich brauche das Geld wirklich....
		talk.mom.pocketmoney.2!set_can.askmoney_0^																				Я могу сделать какую-то работу, чтобы не просто так выпрашивать деньги...|Ich könnte ein paar Aufgaben erledigen, anstatt nur nach Geld zu fragen....
		leave!set_can.askmoney_0^																								Ты права, стыдно. В другой раз...|Du hast Recht, es tut mir leid. Ein anderes Mal....
	talk.mom.pocketmoney.need@71@Ладно, держи. И найди себе уже работу, хотя бы через интернет. Нам лишние деньги не помешают...|Gut, hier. Du solltest dir einen Job suchen. Vielleicht versuchen, im Internet nach etwas zu suchen? Wir könnten etwas mehr Geld gebrauchen....
		leave^																													Ага! Спасибо, мам!|Okay, danke, Mom!
		talk.mom.pocketmoney.2^																									Может быть, я могу что-то сделать?|Vielleicht könnte ich ein paar Aufgaben erledigen, um Geld zu verdienen?
	talk.mom.pocketmoney.2@62@И что же, например?|Was schwebt Dir vor?
		task.clearpool=0&talk.mom.pocketmoney.2.pool!set_task.clearpool_1!add_money_40!add_mom.inf_-10!add_mom.mood_25^			Может быть, почистить бассейн?|Vielleicht könnte ich den Pool reinigen?
		task.buyfood=0&talk.mom.pocketmoney.2.food!set_task.buyfood_1!add_money_60!add_mom.inf_-5!add_mom.mood_25^				Ну, могу заказать продукты|Ich könnte Lebensmittel online bestellen!
		task.ordercosm=0&talk.mom.pocketmoney.2.order!set_task.ordercosm_1!add_money_115!add_mom.inf_-5!add_mom.mood_25^		Может быть, тебе что-то нужно из косметики?	|Vielleicht brauchst Du ein paar Kosmetika, die ich online bestellen kann?
		leave^																													Не знаю. Видимо, ничего...|Nichts, schätze ich....
	talk.mom.pocketmoney.2.pool@71@Отличная идея, Макс! Лучше уж я заплачу тебе $40, чем нанимать какого-то человека. Держи. Да, лучше это делать пока светло и никого нет.|Tolle Idee, Max! Es ist besser, als einen Fremden einzustellen. Hier. Oh, und du solltest es bei Tageslicht tun, wenn niemand am Pool ist.
		leave^																													Конечно!|Sicher!
		talk.mom.pocketmoney.2^																									Может быть, я могу ещё что-то сделать?|Sicher. Was sollte ich sonst tun?
	talk.mom.pocketmoney.2.food@71@Хорошая мысль, Макс. Я дам тебе $50 на продукты и авансом $10 за твои услуги, так сказать. Устроит?|Gute Idee. Ich gebe dir $50 für die Lebensmittel und $10 Vorschuss für deine Arbeit, ist das okay?
		leave^																													Конечно, спасибо!|Okay, Danke!
		talk.mom.pocketmoney.2^																									Может быть, я могу ещё что-то сделать?|Sicher. Was sollte ich sonst tun?
	talk.mom.pocketmoney.2.order@71@Ты знаешь, мне и правда нужно кое-что заказать. Купи для меня набор косметики, вот $100 и $15 сверху за твои труды, хорошо?|Weißt du, das tue ich tatsächlich. Kauf mir ein Kosmetikset, hier sind $100 für ein Set und $15 für deine Arbeit, okay?
		leave^																													Конечно, спасибо!|Okay, Danke!
		talk.mom.pocketmoney.2^																									Может быть, я могу ещё что-то сделать?|Sicher. Was sollte ich sonst tun?



# --- Макс отдаёт маме набор косметики, который она заказывала|Kosmetikbericht

	talk.mom.aboutcosm.init@0@Вот косметика, которую ты заказывала|Hier ist die Kosmetik, um die Du gebeten hast.
	talk.mom.aboutcosm@75@Ой, спасибо Макс! Ты у меня такой внимательный...|Danke, Max, du bist so aufmerksam....
		leave!set_dcd.ordercosm_8!set_task.ordercosm_3!set_item.cosm_-4!add_mom.inf_-10!add_mom.mood_50!add_mom.help.score_10^			Да не за что, мам!|Gern geschehen, Mom!



# --- Макс отчитывается о бассейне|Pool-Bericht
	talk.mom.aboutpool.init@0@Мам, бассейн чист!|Ich habe den Pool gereinigt, Mom!
	talk.mom.aboutpool@75@Спасибо, Макс. Надеюсь, ещё пару недель его чистить не придётся|Danke, Max. Hoffen wir, dass es für ein paar Wochen sauber bleibt.
		leave!set_task.clearpool_3!add_mom.inf_-5!add_mom.mood_50^												Ага...|Ja...



# --- Макс отчитывается о заказе продуктов|Lebensmittelbericht
	talk.mom.aboutfood.init@0@Я продукты заказал!|Ich habe die Lebensmittel bestellt, Mom!
	talk.mom.aboutfood@75@Спасибо, Макс. Продукты я или Алиса заберём, когда привезут. Об этом не беспокойся.|Danke, Max. Alice oder ich werde sie nehmen, wenn es geliefert wird, keine Sorge.
		leave!set_task.buyfood_3!add_mom.inf_-5!add_mom.mood_50^													Супер!|Super!



# --- Макс просит деньги у мамы в неподходящий момент|zur falschen Zeit nach Geld fragend

	talk.mom.askmoneybadplace.init@0@Мам, дай денег, пожалуйста...|Kannst du mir etwas Geld geben, Mom?
	talk.mom.askmoneybadplace@75@Очень смешно, Макс. Ты видишь у меня карманы? Нет? Выбери более подходящий момент, пожалуйста...|Siehst du nicht, dass ich gerade keine bei mir habe? Frag mich ein anderes Mal, okay?
		leave!add_mom.inf_2^																					Точно, извини...|Richtig, es tut mir leid.



# --- Мама замечает запах дыма и спрашивает у Макса что он об этом знает|Ann bemerkt Rauch und fragt Max danach.

	specialevent.1@63@e-momabouts-1@Макс. Я не уверена, но мне кажется, что чувствую запах сигаретного дыма. К нам кто-то приходил?|Max, ich bin nicht sicher, aber ich glaube, ich rieche Zigarettenrauch. Hatten wir Gäste?
		mom.suspect.smoke.no^											Нет, никого не было...|Nein
		mom.suspect.smoke.no^											Может быть, показалось?|Ich denke, du hast es dir vorgestellt.
		mom.suspect.smoke.alisa!set_com.smoke_5!set_poss.smoke_2^		Да это просто Алиса курила!|Nein, es war Alice.

	mom.suspect.smoke.no@62@Точно? Макс, ты ничего не хочешь рассказать?|Bist du sicher, dass du mir nichts sagen willst?
		mom.suspect.smoke.no.nothing^									Нет, мам, нечего рассказывать|Nein, Mom, da gibt es nichts zu erzählen.
		mom.suspect.smoke.alisa!set_com.smoke_5!set_poss.smoke_2^		Вообще-то, Алиса курила...|Okay, es war Alice. Sie hat geraucht

	mom.suspect.smoke.no.nothing@69@Да? Ну, может и правда показалось. Или от соседей надуло... Ладно, давайте ужинать...|Huh, vielleicht hast du Recht. Oder vielleicht kam es nur von den Nachbarn oder so.... Wie auch immer, lass uns essen gehen.
		mom.suspect.smoke.no.nothing.next!set_poss.smoke_3!set_dcd.alisasmoke_1^			<i>далее</i>|<i>fortsetzen</i>

	mom.suspect.smoke.no.nothing.next@33@e-ms-good@Спасибо, Макс, что не сдал меня... Я это ценю.|Danke, dass du mich nicht verpfiffen hast, Max. Ich weiß das zu schätzen.
		mom.suspect.smoke.no.nothing.next.ok!add_alisa.mood_100^							Всегда пожалуйста, сестрёнка!|Gern geschehen, Schwesterchen.
		mom.suspect.smoke.no.nothing.next.maybe^											Может, ещё сдам...|Vielleicht werde ich...
		mom.suspect.smoke.no.nothing.next.do^												Если сделаешь кое-что, то и не сдам...|Und das werde ich nicht, wenn du etwas für mich tust....

	mom.suspect.smoke.no.nothing.next.ok@25@Вот можешь же быть не полным придурком... иногда...|Hey, du kannst ab und zu ein anständiger Bruder sein.
		dinner.default^													Ага. Ладно, давай ужинать|Ja. Okay, lasst uns essen.

	mom.suspect.smoke.no.nothing.next.maybe@28@Макс! Ты невыносим. Я уже подумала, что ты нормальный брат, а ты...|Ugh, Max! Gerade als ich dachte, du wärst ein anständiger Bruder, musstest du mir das sofort beweisen....
		mom.suspect.smoke.no.nothing.next.joke^							Да я пошутил...|Ich mache nur Spaß.
		mom.suspect.smoke.no.nothing.next.sorry^						Извини...|Es tut mir leid.
		mom.suspect.smoke.no.nothing.next.sorry^						Всё в твоих руках...|Es liegt alles in deinen Händen....

	mom.suspect.smoke.no.nothing.next.do@28@Макс! Опять ты за своё? Не будь придурком!|Fängst Du schon wieder an? Sei kein Idiot, Max!
		mom.suspect.smoke.no.nothing.next.joke^							Да я пошутил...|Ich mache nur Spaß.
		mom.suspect.smoke.no.nothing.next.sorry^						Извини...|Es tut mir leid.
		mom.suspect.smoke.no.nothing.next.sorry^						Всё в твоих руках...|Es liegt alles in deinen Händen....

	mom.suspect.smoke.no.nothing.next.joke@23@Шутник... В общем, я надеюсь, что с этим вопросом разобрались. Уже пора ужинать!|Verdammter Komiker.... Wie auch immer, ich hoffe, wir sind uns einig, lasst uns essen.
		dinner.default^													Ага, пора.|Sicher, lass uns gehen

	mom.suspect.smoke.no.nothing.next.sorry@23@Макс... А, ничего не буду говорить, бесполезно. Давай ужинать...|Max.... Ich will nicht darüber reden, lass uns einfach essen....
		dinner.default^													Ага, пора.|Sicher, lass uns gehen.

	mom.suspect.smoke.alisa@68@Что?! Ты уверен?|Was!? Sind Sie sicher?
		mom.suspect.smoke.alisa.yes^									Да, но ей не говори, что это я её сдал!|Ja, aber sag ihr nicht, dass ich sie verpfiffen habe!
		mom.suspect.smoke.alisa.yes^									Абсолютно. Сам видел. Днём курила у бассейна!|Ich habe sie selbst gesehen, sie hat am Pool geraucht.
		mom.suspect.smoke.alisa.yes^									Может быть, мне показалось...|Vielleicht habe ich es mir vorgestellt....

	mom.suspect.smoke.alisa.yes@72@Алиса! Иди сюда, бегом!|Komm her, Alice!
		mom.suspect.smoke.alisa.yes.1^									Мам, ну не так же...|Nicht so, Mom....
		mom.suspect.smoke.alisa.yes.1^									Мам, меня не сдавай...|Verpfeif mich nicht, Mom....

	mom.suspect.smoke.alisa.yes.1@23@Что случилось, мам?|Was ist passiert, Mom?
		mom.suspect.smoke.alisa.yes.2!set_status.smoke_2^				<i>далее</i>|<i>fortsetzen</i>

	mom.suspect.smoke.alisa.yes.2@64@Что случилось?! Не притворяйся тут невинной овечкой! Макс говорит, что видел, как ты курила!|Was ist passiert? Spiel nicht die Unschuldige! Max hat mir erzählt, dass du geraucht hast!
		com.smoke<2&mom.suspect.smoke.alisa.yes.3.a^					?у...|Tja....
		com.smoke>1&mom.suspect.smoke.alisa.yes.3.b^					Ну...|Tja....

	mom.suspect.smoke.alisa.yes.3.a@27@Ну и придурок же ты, Макс! Стукач!|Du bist ein Arschloch, Max!
		mom.suspect.smoke.alisa.yes.4!add_alisa.mood_-200^				Сама виновата...|Es ist deine eigene Schuld.

	mom.suspect.smoke.alisa.yes.3.b@27@Ну и придурок же ты, Макс! Мы же договорились, а ты...|Was zum Teufel, Max!? Hatten wir nicht eine Abmachung?
		mom.suspect.smoke.alisa.yes.4!add_alisa.mood_-300^				Я передумал...|Ich habe meine Meinung geändert....

	mom.suspect.smoke.alisa.yes.4@62@Так, всё, Алиса, сейчас я тебя накажу! Снимай свои джинсы!|Das reicht, Alice. Zieh deine Hose aus, ich werde dich jetzt bestrafen.
		mom.suspect.smoke.alisa.yes.5^									Ого...|Wow

	mom.suspect.smoke.alisa.yes.5@32@Что?! Я уже взрослая! Могу делать что хочу, даже курить!|Was!? Ich bin erwachsen und kann tun, was ich will, sogar rauchen!
		mom.suspect.smoke.alisa.yes.6^									Ой, плохой ответ...|Falsche Antwort....

	mom.suspect.smoke.alisa.yes.6@64@Взрослая? С каких пор? Пока ты живёшь со мной под одной крышей, ты моя дочь! Без разговоров, быстро снимай и ложись на мои колени!|Solange du in meinem Haus wohnst, wirst du meinen Regeln folgen! Jetzt hör auf zu reden und lass die Hosen runter!
		mom.suspect.smoke.alisa.yes.7^									<i>далее</i>|<i>fortsetzen</i>

	mom.suspect.smoke.alisa.yes.7@20@Мам, но тут же Макс... Что, прямо при нём будешь? Пусть он уйдёт!|Aber Mom, Max ist hier.... Wirst du mich direkt vor seinen Augen bestrafen? Sag ihm, er soll gehen!
		mom.suspect.smoke.alisa.yes.8^									<i>далее</i>|<i>fortsetzen</i>

	mom.suspect.smoke.alisa.yes.8@64@Нет, Алиса, пусть смотрит. Это ждёт любого, кто меня разозлит. Быстро снимай штаны и ложись на мои колени, кому сказала!|Nein, er wird bleiben. Das wird jedem passieren, der sich nicht an meine Regeln hält. Zieh deine Hose aus und leg dich auf meine Knie!
		mom.suspect.smoke.alisa.yes.9^									<i>далее</i>|<i>fortsetzen</i>

	mom.suspect.smoke.alisa.yes.9@23@e-alisa-p-p-1@Ладно... Только не больно, чтобы, ладно? Ай! Ма-ам!|Okay.... Aber schlag mich nicht zu sehr, okay? Au! Mooom!
		mom.suspect.smoke.alisa.yes.10^									<i>смо?реть</i>|<i>zusehen</i>

	mom.suspect.smoke.alisa.yes.10@62@Давай не мамкай тут! Ты знаешь, что я ненавижу сигареты и мои дети точно курить не будут. Особенно, в моём доме, ясно?!|Nenn mich nicht "Mom"! Du weißt, dass ich das Rauchen hasse, ich werde meine Kinder nicht rauchen lassen, besonders nicht in meinem Haus!
		mom.suspect.smoke.alisa.yes.11^									<i>далее</i>|<i>fortsetzen</i>

	mom.suspect.smoke.alisa.yes.11@23@Да, ясно, мам... Ай! Я всё поняла! Я больше не буду!|Okay, Mom.... Au! Ich verstehe! Ich werde es nie wieder tun!
		mom.suspect.smoke.alisa.yes.12^									<i>далее</i>|<i>fortsetzen</i>

	mom.suspect.smoke.alisa.yes.12@62@e-momabouts-1@Очень на это надеюсь. Так, теперь надевай штаны и садимся ужинать.|Ich hoffe es. Jetzt zieh deine Hose an und lass uns mit dem Essen anfangen.
		mom.suspect.smoke.alisa.yes.13!add_count.alisa.spanked_1^		<i>далее</i>|<i>fortsetzen</i>

	mom.suspect.smoke.alisa.yes.13@27@e-ms-bad@Ну ты и гад, Макс. Доволен? Ну теперь держись...|Du bist ein Arschloch, Max. Bist du jetzt glücklich? Du weißt, was jetzt auf dich zukommt....
		mom.suspect.smoke.alisa.yes.angry.sorry!add_alisa.mood_50^		Извини, я не хотел, чтобы так...|Es tut mir leid, das ist nicht das, was ich wollte.
		mom.suspect.smoke.alisa.yes.angry.next^							И что ты сделаешь? Я тебя не боюсь!|Und was wirst du tun? Ich habe keine Angst vor dir.

	mom.suspect.smoke.alisa.yes.angry.sorry@23@Не хочу тебя больше видеть. Жаль, что придётся...|Ich will dich nicht mehr sehen. Schade, dass ich dich nicht loswerde....
		dinner.default^													<i>на?ать ужин</i>|<i>Essen anfangen</i>

	mom.suspect.smoke.alisa.yes.angry.next@23@Я не буду тебе ничего говорить, сам всё поймёшь в своё время. Карма штука жестокая, но справедливая...|Wie man in den Wald reinruft, so schallt es zurück. Ich werde dir nichts sagen, du wirst die Konsequenzen deiner Handlungen früh genug erkennen.
		dinner.default^													<i>начать ужин</i>|<i>Essen anfangen</i>



# --- Основной вариативный эвент с наказаниями|Hauptstrafveranstaltung

	punishment.event@63@e-momabouts-1@Прежде, чем мы начнём, кое-кто заслужил наказание и сейчас все на это посмотрят...|Bevor wir anfangen, hat jemand eine öffentliche Strafe verdient....
		pun=0&pun.start^															<i>далее</i>|<i>fortsetzen</i>
		first.newpun=0&pun>0&newpun.1st^											<i>далее</i>|<i>fortsetzen</i>
		first.newpun=1&pun>0&newpun.start^											<i>далее</i>|<i>fortsetzen</i>


	pun.start@74@Итак, начнём...|Lass uns anfangen
		max.pun=1&max.warning<2&pun.max.check!set_max.pun_0^						<i>Макс</i>|<i>Max</i>
		max.pun=1&max.warning>1&pun.max.start!set_max.pun_0^						<i>Макс</i>|<i>Max</i>

		alisa.pun=1&pun.alisa.1!set_alisa.pun_0!max_cam.5.grow_150^					<i>Алиса</i>|<i>Alice</i>
		liza.pun=1&pun.liza.1!set_liza.pun_0!max_cam.5.grow_150^					<i>Лиза</i>|<i>Lisa</i>
		needpunish=0&hour=9&breakfast.default^										<i>на?ать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^										<i>начать ужин</i>|<i>Essen anfangen</i>

	pun.max.check@60@e-momabouts-1@Макс! Я вынуждена отчитать тебя перед всеми, так как у нас в семье не должно быть никаких секретов.|Max. Ich werde dich vor allen Leuten zur Schule schicken, weil wir keine Geheimnisse haben sollen.
		max.warning=0&pun.max.check.1st!add_max.warning_1^							Я не виноват!|Es war nicht meine Schuld!
		max.warning=1&pun.max.check.2nd!add_max.warning_1^							Я снова не виноват!|Es war nicht schon wieder meine Schuld!

	pun.max.check.2nd@62@Не виноват, значит? Снова? Кажется, ты не осознаёшь, что это последнее предупреждение и в следующий раз я тебя выпорю на глазах у сестёр. Ты меня понял? А теперь рассказывай, что натворил, чтобы все были в курсе!|Es war nicht deine Schuld? Schon wieder? Das ist deine letzte Warnung, wenn ich dich das nächste Mal vor deinen Schwestern versohle, verstehst du? Jetzt sag allen, was du getan hast, damit es jeder weiß!
		max.punreason=0&pun.max.check.reason.0^										Ну, я подглядывал за Лизой...|Ich habe Lisa beobachtet.
		max.punreason=1&pun.max.check.reason.1^										Ну, я подглядывал за Алисой...|Ich habe Alice beobachtet.
		max.punreason=2&pun.max.check.reason.2^										Ну, я подглядывал за тобой, мам...|Ich habe dich beobachtet, Mom.
		max.punreason=3&pun.max.check.reason.3^										Ну, я подглядывал за вами с Эриком...|Ich habe Eric und dich beobachtet.
		max.punreason=4&pun.max.check.reason.4^										Ну, я оказался случайно рядом с душем, где мылась Алиса...|Ich ging zufällig am Badezimmer vorbei, als Alice da drin war....
		max.punreason=5&pun.max.check.reason.5^										Ну, я плохо себя вёл...|Ich habe mich schlecht benommen.

	pun.max.check.1st@62@Не виноват, значит? А я думаю, что ещё как виноват. В этот раз тебе повезло, это всего лишь первое предупреждение.Ich habe Lisa beobachtet. Надеюсь, второго не потребуется... Кстати, можешь всем рассказать, что ты натворил...|Nicht deine Schuld? Das glaube ich nicht. Du hast Glück, dass es deine erste Warnung ist. Ich hoffe, es wird keine weitere geben. Jetzt erzähl allen, was du getan hast.
		max.punreason=0&pun.max.check.reason.0^										Ну, я подглядывал за Лизой...|Ich habe Lisa beobachtet.
		max.punreason=1&pun.max.check.reason.1^										Ну, я подглядывал за Алисой...|Ich habe Alice beobachtet.
