# --- Шаблон завтрака по умолчанию|Standard-Frühstück

		bf.1.buynew^					Вот заработаю и куплю всё, что потеряли...|Ich werde Geld verdienen und alles erkaufen, was wir verloren haben.

	bf.1.lost.1@20@Ты и рад, наверное, голым ходить, а у меня там были хорошие вещички, в которых я блог веду обычно...|Vielleicht bist du glücklich, nackt herumzulaufen, aber ich hatte gute Klamotten, die ich für meinen Blog benutzt habe.
		bf.1.wear.1!max_talk.blog_1^	Может и рад. Мне стесняться нечего!|Vielleicht bin ich das. Ich muss mich für nichts schämen!
		bf.1.wear.2!max_talk.blog_1^	Да всем плевать, в чём ты там что ведёшь|Es interessiert niemanden, was du trägst.
		bf.1.wear.3!max_talk.blog_1^	Раз ты такой успешный блогер, купишь новые|Da du so erfolgreich bist, kannst du dir neue kaufen.

	bf.1.wear.1@26@Ну да, на словах все такие храбрые. А на деле...|Ja, das sagt ihr alle, aber wenn es hart auf hart kommt....
		bf.1.change^					Что, богатый жизненный опыт?|Sieht aus, als hättest du etwas Erfahrung.
		bf.1.change^					Да я хоть сейчас покажу!|Wenn du es so sehr sehen willst, kann ich dir zeigen.
		bf.1.change^					На слабо берёшь?|Ist das eine Herausforderung?

	bf.1.wear.2@26@Это тебе плевать! А бьюти-блогер должна каждый раз выглядеть по-новому!|Beauty-Blogger müssen jedes Mal anders aussehen!
		bf.1.change^					Да на тебя вещей не напасёшься!|Das klingt etwas übertrieben.
		bf.1.change^					У тебя репа не треснет с такими запросами?|Das kann unmöglich rentabel sein.

	bf.1.wear.3@20@Ну, когда-нибудь, когда раскручусь. А вот ты чем будешь заниматься? Штаны просиживать?|Nachdem ich anfange, Geld zu verdienen, sicher. Und was ist mit dir?
		bf.1.earn.3^					И что ты там раскручиваешь?|Und was tust du, um Geld zu verdienen?
		bf.1.earn^						Я придумаю и заработаю!|Ich werde einen Weg finden, keine Sorge.

	bf.1.cond@60@Про кондиционеры я всё узнала. Дом не успели достроить и не вся техника и мебель была закуплена. А теперь уже и не знаю. Видимо, самим придётся всё остальное докупать.|Das Haus war noch nicht fertig, es fehlt also an Ausstattung und Möbeln. Und es wird wahrscheinlich noch nicht fertig sein, also müssen wir alles selbst kaufen.
		bf.1.buynew^					Ну и купим, без проблем|Natürlich kaufen wir sie, kein Problem.
		bf.1.earn^						Вот попробую заработать и всё наладится|Ich werde versuchen, Geld zu verdienen, um zu helfen.
		bf.1.else^						Ну что, копим на кондиционеры?|Also, sollten wir anfangen, für Klimaanlagen zu sparen?

	bf.1.else@68@Да и без кондиционеров проживём. Как-то же справлялись. Да, здесь климат совсем другой, но человек ко всему привыкает. Да и не до того пока.|Wir kommen auch ohne sie klar. Ja, das Klima hier ist ganz anders, aber wir werden uns daran gewöhnen. Und es ist im Moment nicht wichtig.
		bf.1.else.1^					Ну а если что, всегда можно снять лишнее|Wir können jederzeit überschüssige Kleidung ausziehen.
		bf.1.else.2^					Да я бы и в трусах не прочь ходить|Es macht mir nichts aus, nichts als Unterwäsche zu tragen.

	bf.1.else.1@28@Ага, специально для тебя все сейчас разденемся до гола!|Ja, klar, wir werden nackt herumlaufen, nur für dich.
		bf.1.und.1^						Я не против!|Es macht mir nichts aus.
		bf.1.und.1^						Начинай, я уже в предвкушении...|Das würde mir gefallen.
		bf.1.und.2^						Ну и ходи в своих джинсах дома|Nun, fühl dich frei, deine alten Jeans die ganze Zeit zu tragen.

	bf.1.und.1@31@Никто и не сомневается. Может быть, сам и покажешь пример?|Natürlich bist du das. Vielleicht wirst du uns mit gutem Beispiel vorangehen?
		bf.1.change^					Да я хоть сейчас!|Sicher, ich kann es jetzt sofort tun.
		bf.1.change^					На слабо разводишь?|Ist das eine Herausforderung?
		bf.1.change^					Я тебе покажу. Всё покажу...|Ich zeige es dir....

	bf.1.und.2@23@А больше ничего и не остаётся. Вещей то нет. Может быть, на шоппинг сходим, если деньги будут...|Ich habe keine Wahl, weil ich keine andere Kleidung habe. Vielleicht können wir einkaufen gehen, wenn wir etwas Geld haben....
		bf.1.change^					Кто о чём, а Алиса о шоппинге...|Das ist deine Lösung für jedes Problem.
		bf.1.change^					Сначала заработай|Zuerst etwas Geld verdienen

	bf.1.else.2@31@Дикарь! Ты в одной комнате с младшей сестрёнкой живёшь, забыл?|Du teilst dein Zimmer mit der kleinen Schwester.
		bf.1.change^					А может быть, Лиза и не против?|Vielleicht macht es Lisa nichts aus?
		bf.1.change^					Я же в трусах, а не без них|Ich werde immer noch in meiner Unterwäsche sein, nicht ohne sie.
		bf.1.change^					А это тут причём?|Na und? Was solls?

	bf.1.change@62@Так, хватит. Давайте сменим тему. Например, сегодня у нас Лиза первый раз идёт в новую школу.|Okay, das reicht. Lass uns das Thema wechseln. Lisa geht heute zum ersten Mal in die neue Schule.
		bf.1.school.1^					Поздравляю, Лиза!|Herzlichen Glückwunsch, Lisa!
		bf.1.school.2^					Кстати, в какое время начинается учёба?|Wann beginnt die erste Stunde?
		bf.1.school.3^					А школа платная?|Müssen wir für die Schule bezahlen?

	bf.1.school.1@41@Спасибо, Макс. Честно говоря, не знаю даже чего ожидать. Новое место, новая школа, новый коллектив...|Danke, Max. Ehrlich gesagt, weiß ich nicht, was mich erwartet. Neuer Ort, neue Schule, neue Leute....
		bf.1.school.help^				Если нужна помощь - обращайся|Lass es mich wissen, wenn du Hilfe brauchst.
		bf.1.school.believe^			Ну, ты справишься!|Keine Sorge, Schwesterchen, du schaffst es!

	bf.1.school.help@23@Ага, помощник. Самого выгнали, а он учить собрался...|Und was wirst du ihr beibringen, wie man sie rausschmeißt?
		bf.1.sc.help.1^					Меня не за знания выгнали|Ich wurde nicht wegen meiner Noten rausgeschmissen.
		bf.1.sc.help.2^					Ну, кое-что я знаю...|Nun, ich weiß etwas....

	bf.1.sc.help.1@26@Да все мы знаем за что тебя выгнали. Но это не значит, что и учился ты хорошо...|Wir alle wissen, warum du rausgeschmissen wurdest, aber das bedeutet nicht, dass du gute Noten hattest.
		bf.1.change2^					Да пошла ты!|Fick dich!
		bf.1.change2^					Обязательно меня доставать?|Müsst ihr mich wirklich fertig machen.
		bf.1.change2^					Нормально я учился...|Meine Noten waren gut.

	bf.1.sc.help.2@26@Ага, знаешь как к учителям приставать. Этому планируешь научить Лизу?|Du weißt nur, wie man Lehrer belästigt. Ist es das, was du Lisa beibringen willst?
		bf.1.change2^					А сама, такая умная, даже помощь сестрёнке не предложила!|Wenn du so klug bist, warum hast du dann nicht deine Hilfe angeboten?
		bf.1.change2^					Чему смогу, тому и научу...|Ich bringe ihr bei, was ich kann.

	bf.1.school.believe@48@Ага, деваться то некуда. Кстати, после завтрака я буду уже собираться, в 11 выхожу. А часам к 4 уже вернусь|Ja, ich habe sowieso keine andere Wahl. Nach dem Frühstück mache ich mich für die Schule fertig. Ich gehe um 11 Uhr und bin gegen 16 Uhr zurück.
		bf.1.sc.time.1^					Сегодня укороченный день?|Ist es immer so oder nur heute?
		bf.1.sc.time.2^					Всего 5 часов?|Nur 5 Stunden?
		bf.1.sc.time.3^					Ну, удачи тебе в школе!|Viel Glück mit der neuen Schule

	bf.1.school.2@40@Видимо, после завтрака буду уходить и возвращаться часам к 4-м.|Ich gehe nach dem Frühstück und komme gegen 4 Uhr zurück.
		bf.1.sc.time.2^					А почему так мало?|Warum so früh?
		bf.1.sc.time.3^					Мы в тебя верим...|Viel Glück, du wirst es schaffen.

	bf.1.school.3@43@Нет, представляешь! Говорят, ещё и район хороший. А учимся мы, вообще, всего 4 или 5 часов!|Nein, es ist völlig kostenlos. Es ist auch in einer guten Gegend. Und wir lernen nur 4 oder 5 Stunden!
		bf.1.sc.time.2^					А почему так мало?|Warum so wenig?
		bf.1.sc.time.3^					Мы в тебя верим...|Viel Glück, du wirst es schaffen.

	bf.1.sc.time.1@41@Нет, не только сегодня. Вообще, уроки короткие в этой школе. Так что, соскучиться не успеете!|Nein, es ist nicht nur heute. Der Unterricht an dieser Schule ist ziemlich kurz.
		bf.1.sc.time.3^					Мы в тебя верим...|Viel Glück, du wirst es schaffen.

	bf.1.sc.time.2@41@Ну, у нас в этой школе так. Меня всё устраивает. Мы ещё и учимся всего пять дней в неделю! Правда, про каникулы ничего не знаю...|Ja, so funktioniert das in dieser Schule. Ich bin damit einverstanden. Und es sind auch nur 5 Tage die Woche. Ich weiß aber nicht, was es mit Ferien auf sich hat....
		bf.1.sc.time.3^					Мы в тебя верим...|Viel Glück, du wirst es schaffen.

	bf.1.sc.time.3@43@Спасибо. Постараюсь не подвести!|Danke! Ich werde mein Bestes versuchen.
		bf.1.change2^					<i>далее</i>|<i>fortfahren</i>

	bf.1.change2@62@Так, всем спасибо за завтрак. А мне уже пора убегать на работу. Алиса, как всегда, моет посуду после завтрака, а Лиза после ужина. Макс, если захочешь помочь сёстрам, они будут только рады.|Ich danke euch allen für das Frühstück. Ich muss mich für die Arbeit fertig machen. Alice, spül das Geschirr nach dem Frühstück und Lisa - nach dem Abendessen. Max, wenn du deinen Schwestern helfen willst, werden sie sehr glücklich sein.
		bf.1.aboutcam^					Не сомневаюсь|Ich bin sicher, das werden sie.
		bf.1.aboutcam^					Вот ещё...|Ja, ja....
		bf.1.aboutcam^					Посмотрим...|Wir werden sehen....

	bf.1.aboutcam@60@Да, Макс. Я когда прибиралась, нашла какие-то коробки. Видимо, остались с ремонта. Посмотри, если ничего ценного нет, потом выбросим. Сейчас они у тебя в комнате.|Oh, übrigens.... als ich geputzt habe, habe ich ein paar Kisten gefunden. Ich glaube, sie wurden von der Hausbau-Crew zurückgelassen. Sieh nach, ob es etwas Wertvolles gibt, und wirf dann alles andere weg. Sie sind in deinem Zimmer.
		leave!set_can.unboxcam_1!time^	Хорошо, я посмотрю|OK, ich sehe nach.
		bf.1.aboutcam.1^				А что за коробки?|Welche Kisten?

	bf.1.aboutcam.1@62@Если бы я знала, то не стала бы у тебя спрашивать. Я в электронике не разбираюсь. Посмотри сам.|Wenn ich es gewusst hätte, hätte ich dich nicht gefragt. Sieh selbst.
		leave!set_can.unboxcam_1!time^	Понял. Посмотрю...|Okay, ich kümmere mich darum.



# --- Второй завтрак|Zweites Frühstück

	bf.2@67@z-breakfast-family-1@Всем приятного аппетита... Хотя, постойте. Вчера Лиза сходила в школу и я забыла спросить про оценки. Что-нибудь проверяли, спрашивали?|Guten Appetit, alle zusammen. Lisa, gestern warst du in deiner neuen Schule und ich habe vergessen, dich nach deinen Noten zu fragen. Haben sie dich etwas gefragt? Vielleicht gab es einen Test?
		bf.2.liza.bad.1^								<i>далее</i>|<i>fortfahren</i>

	bf.2.liza.bad.1@46@Ну... Так... Немного...|Sie fragten ein wenig, ja....
		bf.2.liza.bad.2^								<i>далее</i>|<i>fortfahren</i>

	bf.2.liza.bad.2@62@Лиза, что спрашивали и что ты ответила?|Also, was haben sie gefragt und wie hast du geantwortet?
		bf.2.liza.bad.3^								<i>далее</i>|<i>fortfahren</i>

	bf.2.liza.bad.3@40@Ну мам... У нас в прошлой школе не было анатомии, а тут химико-биологический класс с углублённым изучением. Конечно, я не смогла ответить!|Nun, em.... Ich hatte den Anatomiekurs in meiner vorherigen Schule nicht, und meine neue Klasse hat sehr viel fortgeschrittene Chemie und Biologie. Natürlich konnte ich nicht antworten!
		bf.2.liza.bad.4^								<i>далее</i>|<i>fortfahren</i>

	bf.2.liza.bad.4@62@e-momabouts-1@Что значит конечно не смогла? Хочешь, чтобы и тебя выперли из школы, как этого балбеса?|Was meinst du damit, dass du nicht antworten konntest? Willst du wie dieser Dummkopf rausgeschmissen werden?
		bf.2.liza.bad.5^								Я не балбес! Я всё знаю!|Ich bin kein Idiot!
		bf.2.liza.bad.5^								Меня не за знания выгнали!|Ich wurde nicht wegen meiner Noten rausgeschmissen!

	bf.2.liza.bad.5@60@Ну раз ты такой умный, Макс, то вот и помогай своей младшей сестре. А ты, Лиза, иди сюда. Сейчас я тебя накажу, чтобы ты взялась за ум!\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Wenn du so klug bist, warum hilfst du dann nicht deiner Schwester, Max? Und, Lisa, komm her. Ich werde dich bestrafen, damit du deine Noten ernst nimmst!\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		bf.2.liza.bad.6!set_poss.sg_1^					<i>далее</i>|<i>fortfahren</i>

	bf.2.liza.bad.6@46@Ну мам... Я же не специально. Я обещаю, что всё выучу!|Komm schon, Mom.... Es ist nicht so, als hätte ich absichtlich versagt. Ich verspreche, ich werde mehr lernen!
		bf.2.liza.bad.7.nothing^						<i>Наблюдать</i>|<i>schweigend zusehen</i>
		bf.2.liza.bad.7.help!add_liza.mood_120^			Мама! Лиза права. Дай ей шанс подготовиться. Я ей помогу!|Lisa hat Recht, Mom! Gib ihr eine Chance. Ich werde ihr helfen!

	bf.2.liza.bad.7.nothing@62@Быстро! На этот раз можешь джинсы не снимать. Но в следующий раз получишь по голой заднице у всех на глазах. Иди сюда!|Du musst deine Jeans nicht ausziehen, aber nächstes Mal versohle ich dir deinen nackten Arsch vor aller Augen. Komm sofort her!
		bf.2.liza.bad.8!add_count.liza.spanked_1^		<i>далее</i>|<i>fortfahren</i>

	bf.2.liza.bad.8@49@e-liza-p-c-1@Ой... Мам! Больно!|Au.... Mom! Es tut weh!
		bf.2.liza.bad.9^								<i>далее</i>|<i>fortfahren</i>

	bf.2.liza.bad.9@62@Давай терпи. За двойки я всегда наказываю. В этот раз не сильно, чтобы ты понимала, что никакие отговорки или причины меня интересовать не будут. Получила двойку, получила по заднице у всех на глазах. Ясно?|Du wirst für jede 6, die du bekommst, den Hintern versohlt bekommen, ich kümmere mich nicht um deine Ausreden. Eine 6 zu bekommen bedeutet, den Hintern versohlt zu bekommen, verstanden?
		bf.2.liza.bad.10^								<i>далее</i>|<i>fortfahren</i>

	bf.2.liza.bad.10@46@Ой. Да. Ясно, мам. Я всё поняла!|Au, ja, Mom, ich verstehe!
		bf.2.liza.bad.11^								<i>далее</i>|<i>fortfahren</i>

	bf.2.liza.bad.11@60@e-momabouts-1@Вот и хорошо, что поняла. Теперь иди садись. Прошу прощения, что пришлось прервать завтрак, но иначе нельзя. И да, если узнаю, что кто-то мне врёт, тот получит гораздо сильнее. Больше всего ненавижу ложь. Всё ясно?|Gut. Jetzt geh auf deinen Platz. Es tut mir leid, dass ich unser Frühstück unterbrechen musste, aber das ist nur, dass wir alle Bestrafungen in dieser Familie vornehmen werden. Und wenn ich erfahre, dass mich jemand anlügt, dann wird deine Strafe noch schlimmer sein. Ich hasse Lügen. Ist das klar?
		bf.2.liza.bad.12^								Ясно...|Ja
		bf.2.liza.bad.12!add_liza.mood_-20^				Я тут вообще ни при чём|Das hatte nichts mit mir zu tun.
		bf.2.liza.bad.12^								<i>молчать</i>|<i>sei still</i>

	bf.2.liza.bad.12@75@z-breakfast-family-1@Так, всё, вернёмся к нашему завтраку. Кто нужно сделал выводы, а остальным бояться нечего. Приятного аппетита!|Gehen wir zurück zum Frühstück. Ich hoffe, alle haben die richtigen Schlüsse gezogen. Guten Appetit!
		bf.2.begin^										Приятного аппетита|Guten Appetit!

	bf.2.liza.bad.7.help@60@Лиза! Скажи спасибо своему брату, что он за тебя заступился.|Bedank dich bei deinem Bruder, dass er sich für dich eingesetzt hat, Lisa.
