# --- 0.6: Первый визит Оливии и Алекса вместе, но не парой|lisa spricht Erste Olivia und Alex Besuch nach der Trennung

	06.tola.0@140@m-op-0@Приветик! Это мы. Думали, больше нас не увидите? А вот и нет!|Hallo, alle zusammen! Wir sind es. Dachtest du, du siehst uns nie wieder? Hier sind wir!
	06.tola.9@143@Макс, объяснишь моему бывшему особому другу о чём я? А мы пока пойдём с Лизой поболтаем и разденемся...|Max, könntest du meinem Ex bitte die Situation erklären? Lisa und ich werden uns umziehen....
		06.tola.10^		Конечно!|Sicher

	06.tola.10@134@m-op-4@Что там мне надо объяснить? Какие-то загадки, я нифига не понял...|Wovon hat sie gesprochen?
		06.tola.11^		<i>объяснить</i>|<i>erläutern</i>

	06.tola.11@137@Ага. Т.е. сегодня у меня с Лизой первое свидание, получается? И она хочет, чтобы оно было не под бухлом... понял. Так бы сразу и сказала эта коза Оливия, нафига загадками говорить...|Oh, also ist es wie mein erstes Date mit Lisa und sie will nicht betrunken sein.... Jetzt verstehe ich es. Warum konnte diese Schlampe Olivia das nicht einfach so sagen? Sie ist immer so kryptisch....
		06.tola.12^		Эй, это теперь моя девушка!|Hey, sie ist jetzt meine Freundin!

	06.tola.12@134@А, ну да... извини. Ну, ещё намучаешься с ней. Постоянно на что-то намекает, фиг поймёшь... О. Может с тобой бухнём, пока они там трещат о чём-то? Хотя... Не, я лучше потом Лизе предложу. Раз вы не хотите, зачем переводить добро?|Richtig, tut mir leid. Du wirst verstehen, was ich meinte. Sie deutet immer etwas an.... Wie wär's mit einem Drink, während sie reden? Obwohl.... Vielleicht sollte ich stattdessen Lisa etwas anbieten, wenn du sowieso nicht trinken willst.
		06.tola.13^		Жалко, да?|Klingt etwas geizig.

	06.tola.13@137@Не, ничего подобного... Просто, злюсь на Оливию.|Nein, Ich bin nur sauer auf Olivia.
		06.tola.14a^	Из-за того, что она тебя бросила?|Weil sie dich verlassen hat?
		06.tola.14b^	Из-за чего?|Warum?

	06.tola.14a@134@И ничё она меня не бросила. Мы расстались. Видно же, что ей ты нравишься, ну а мне Лиза. Отличная замена, так сказать...|Sie hat mich nicht verlassen, wir haben uns getrennt. Ich sehe, sie mag dich und ich mag Lisa. Netter Ersatz, sozusagen.
		06.tola.14a.1^	Моя сестра не замена! Она незаменима!|Meine Schwester ist kein Ersatz!

	06.tola.14a.1@137@Ну не знаю... Вроде все бабы одинаковые. Но Лиза да, мне нравится... О, вот и они...|Ich weiß nicht.... Alle Tussis sind gleich. Aber ich mag Lisa.... Da kommen sie.
		06.tola.14^		Ага...|Ja

	06.tola.14b@134@Ну, она такая дура, что решила меня бросить. Нормально же всё было, но нет, чего-то ещё надо... Ладно, забей. Девчонки уже идут...|Sie ist so dumm, dass sie mich abserviert hat. Alles war in Ordnung, warum sollte sie.... Vergiss es. Und da sind die Mädels.
		06.tola.14^		Ага...|Ja

	06.tola.14@143@m-op-9@Не поняла. А вы чего до сих пор в шортах? Я вот даже Лизу убедила раздеться! А ведь она трезвая как стёклышко! Так что, бегом снимайте шорты.|Warum bist du nicht nackt? Ich habe es geschafft, Lisa zu überzeugen, nackt rauszukommen, während sie völlig nüchtern ist! Zieh deine Shorts aus.
		06.tola.15^		Без проблем!|kein Problem

	06.tola.15@41@m-op-11@И ничего меня не пришлось убеждать... Чего мне стесняться? Ой... Мальчики, вы так рады нас видеть... Кажется, надо срочно в бассейн, а то проткнёте кого-нибудь...|Ich brauchte keine Überzeugung. Warum sollte ich mich schämen? Oh.... sieht so aus, als wären die Jungs froh, uns zu sehen.... Wir sollten zum Pool gehen, bevor Sie jemanden aufspießen....
		06.tola.16^		Ну, давай...|Lass uns gehen

	06.tola.16@136@m-op-24@О, Лиза, а давай в бассейне!|Ja, Lisa, lass uns das im Pool tun!
		06.tola.17^		<i>далее</i>|<i>fortfahren</i>

	06.tola.17@40@Что... давай в бассейне? Не поняла... Ты о чём, Алекс?|Was tun? Wovon redest du, Alex?
		06.tola.18^		Да всё ты поняла, о чём он...|Du weißt, was er meinte.

	06.tola.18@135@Ну да, это... Все уже всё видели, а тут тем более вода...|Oh, das.... Jeder hat schon alles gesehen, und es ist nicht so, dass man im Wasser viel sehen kann....
		06.tola.19^		Ох, кто-то сейчас получит...|Oh, jemand wird es jetzt bekommen....

	06.tola.19@42@Алекс, не болтай ерунду! Всему своё время... И в бассейне купаются, а не... то, что ты там себе вообразил...|Sei nicht albern, Alex! Alles zu seiner Zeit.... Und wir sollten sowieso nichts im Pool machen.
		06.tola.20^		<i>далее</i>|<i>fortfahren</i>

	06.tola.20@134@Ну и ладно... Может, тогда пойдём все спать?|Gut.... Sollen wir dann schlafen gehen?
		06.tola.21^		<i>далее</i>|<i>fortfahren</i>

	06.tola.21@142@Я только за. Конечно, бассейн я люблю, но хочу развернуть свой подарок... Хотя, он и так без обёртки!|Ich bin voll dabei. Ich liebe den Pool, aber ich möchte wirklich mein Geschenk auspacken.... Nicht, dass es jetzt eingepackt ist.
		06.tola.22^		Это точно... Ну, пойдём!|Ja, lasstr uns gehen!

	06.tola.22@48@m-op-21@Думаю, не нужно ни у кого спрашивать кто с кем, верно? Вот и хорошо... Кстати, может быть свет выключим?|Ich denke nicht, dass wir fragen müssen, wer mit wem schlafen wird, oder? Sollen wir das Licht ausmachen?
		06.tola.23a^	Боишься, что буду подглядывать?|Hast du Angst, dass wir zusehen?
		06.tola.23a^	Да чего мы там не видели...|Nichts, was wir noch nie gesehen haben.

	06.tola.23a@140@Ой, Лиза... Я же не потому свет оставляю, что эксгибиционистка какая-то... Просто, у меня и правда чувство тревоги и я очень нервничаю. Это ещё с детства, я же тебе рассказывала...|Ich lasse das Licht nicht an, weil ich eine Art Exhibitionist bin.... Ich habe wirklich Angst vor der Dunkelheit, Lisa.
		06.tola.23^		Да, Лиза, не парься!|Ja, keine Sorge, Lisa.
		06.tola.23^		Мы не будем на тебя смотреть|Wir werden nicht hinschauen

	06.tola.23@40@Ладно. В конце концов, мы же спать собрались, верно? Да и поздно уже...|Okay. Wir werden sowieso schlafen, oder? Und es ist spät....
		06.tola.24^		Ага...|Ja

	06.tola.24@143@m-op-53@Ой... Макс... Давай хотя бы сделаем вид, что уснули, а потом... Ну нельзя же сразу, с порога... Ты меня понимаешь?|Oh, Max.... Tun wir wenigstens so, als ob wir schlafen und warten.... Wir können nicht einfach von Anfang an damit anfangen....
		06.tola.25^		А чего такого?|Warum nicht?
		06.tola.25^		Ну ладно...|Okay

	06.tola.25@140@t-ao-1@Лиза, Алекс... Вы куда? Мы и правда не будем на вас смотреть, можете не убегать...|Lisa, Alex, wo geht ihr hin? Wir werden nicht hinsehen, du musst nicht gehen.
		06.tola.26^		<i>далее</i>|<i>fortfahren</i>

	06.tola.26@48@Алекс захотел пить и я решила ему показать где у нас что... А вы спите, мы скоро вернёмся... Или не очень скоро...|Alex will trinken und ich gehe mit ihm.... Schlaf ein, wir sind bald zurück.
		06.tola.27^		Не спешите...|Du musst dich nicht beeilen.

	06.tola.27@143@m-op-53@Ну вот, всё само собой решилось. Кажется, пить они будут долго... К тому же, ты уже готов на 100 процентов, да и я заведена до предела...|Alles hat sich von selbst erledigt. Ich bin sicher, dass sie noch einige Zeit trinken werden.... Du bist schon 100% bereit, und ich auch....
		06.tola.28^		Вот именно!|Genau!

	06.tola.28@4@t-ao-3@<i>Вот это да! Кажется, я выбрал правильную девушку. Оливия настолько хороша в этом деле, что даже боюсь представить что ещё она умеет!</i>|<i>Wow! Ich glaube, ich habe das richtige Mädchen gewählt. Olivia ist so gut darin, dass ich mir nicht vorstellen kann, was sie sonst noch tun kann!</i>
		06.tola.29^		<i>далее</i>|<i>fortfahren</i>

	06.tola.29@41@t-ao-2@Ой... А вы времени зря не теряли... Мы с Алексом чуть-чуть выпили то, что он с собой принёс. Настойка и правда хорошая... Но вам не до того, похоже...|Oh.... Du verschwendest keine Zeit, oder? Alex und ich haben gerade ein paar Sachen getrunken, die er mitgebracht hat. Es ist eigentlich ziemlich gut.... Sieht aus, als wärst du beschäftigt, wir lassen dich allein....
		06.tola.30^		Как-то вы... быстро...|Du bist.... schnell

	06.tola.30@43@t-ao-4@Ну мы и правда ходили попить... или выпить... Ой, всё. Не будем вам мешать, а то Оливия на меня как-то смотрит недобро...|Wir haben nur etwas getrunken, das ist alles. Ich sollte dich in Ruhe lassen, Olivia scheint nicht glücklich darüber zu sein, dass ich dich ablenke....
		06.tola.31^		<i>далее</i>|<i>fortfahren</i>

	06.tola.31@143@t-ao-5@Похоже, у нас сегодня любопытные зрители собрались... Лиза, может быть ты тоже порадуешь Алекса, он это любит...|Sieht aus, als hätten wir ein ziemliches Publikum.... Willst du Alex nicht glücklich machen, Lisa? Er würde es lieben....
		06.tola.32^		<i>далее</i>|<i>fortfahren</i>

	06.tola.32@4@t-ao-6@<i>Лиза же толком ничего не умеет... Как бы она не перестаралась, пытаясь сделать это лучше Оливии... Сомневаюсь, что у неё получится... Потому что Оливия ну очень хороша в этом деле...</i>|<i>Lisa weiß nicht, wie man es richtig macht.... Ich hoffe, sie wird sich nicht selbst überfordern, Olivia zu schlagen.... Ich bezweifle, dass sie Alex beeindrucken kann, Olivia ist unglaublich gut....</i>
		06.tola.33^		<i>далее</i>|<i>fortfahren</i>

	06.tola.33@143@t-ao-7@Макс, может отвлечёшься от своей сестрёнки? А то я уже начинаю ревновать. Ласкаю я тебя, а смотришь на неё... Может быть, пришло время заняться этим? Что скажешь?|Willst du aufhören, deine Schwester anzustarren, Max? Ich fange an, eifersüchtig zu werden. Ich bin diejenige, die dir gefällt, aber du schaust sie an.... Sollen wir es tun?
		06.tola.34^		О да, ко?ечно!|Natürlich!

	06.tola.34@41@t-ao-9@Ну как, Алекс, тебе нравится? Я не уверена, что всё делаю правильно...|Gefällt es dir, Alex? Ich weiß nicht, ob ich alles richtig mache....
		06.tola.35^		<i>далее</i>|<i>fortfahren</i>

	06.tola.35@134@Да не, всё норм. Но может быть, тоже потрахаемся как они?|Ja, es ist in Ordnung. Sollen wir ficken, wie sie?
		06.tola.36^		<i>далее</i>|<i>fortfahren</i>

	06.tola.36@40@t-ao-10@Не сегодня, Алекс... Я так сразу не могу... Во всяком случае, не у них на глазах... Вон Оливия как смотрит...|Heute nicht, Alex.... Ich kann nicht einfach so anfangen.... Vor allem vor Publikum.... Olivia schaut uns gerade an....
		06.tola.37^		<i>далее</i>|<i>fortfahren</i>

	06.tola.37@43@t-ao-1@Мы это... Снова... пить. Не теряйте нас...|Wir gehen auf einen.... Drink.
		06.tola.38^		Ага...|Ja...

	06.tola.38@143@t-ao-8@Что-то мне подсказывает, что пить будет только Лиза... И это будет точно не вода или настойка... Кстати... Она же девственница?|Diesmal wird Lisa die Einzige sein, die trinkt.... Und es wird weder Wasser noch Tinktur sein.... Übrigens, ist sie noch Jungfrau?
		06.tola.39a^	Насколько я знаю, да...|Soweit ich weiß, ja.
		06.tola.39b^	Может, не будем отвлекаться на них?|Wie wäre es, wenn wir uns auf uns konzentrieren?

	06.tola.39a@142@Тогда, маловероятно, что всё закончится хорошо. Алекс не очень опытен в таких вопросах и запросто может сделать ей очень больно... Но скорее всего, она ему просто не даст, постесняется...|Ich glaube nicht, dass es gut für sie enden wird. Alex weiß nicht, was sie in dieser Situation tun soll, und sie wird Schmerzen haben.... Oder sie wird wahrscheinlich einfach nicht raus kommen.
		06.tola.39b^	Тебе так это интересно? Справятся!|Es wird ihnen gut gehen. Warum interessiert dich das überhaupt?
		06.tola.39b^	Ты можешь не думать об Алексе?|Kannst du aufhören, an Alex zu denken, wir stecken mitten in einer Sache.

	06.tola.39b@140@Ой, извини, Макс. Ты прав. Просто... такая ситуация необычная и я... да, не буду больше о нём. К тому же, ты в сто раз лучше!|Oh, tut mir leid, Max. Du hast Recht.... Es ist nur.... die Situation ist sehr ungewöhnlich und.... Ja, ich werde ihn nie wieder erwähnen. Du bist sowieso hundertmal besser!
		06.tola.39d^	Только в сто?|Nur hundert?

	06.tola.39d@143@Ой, что это я... Конечно, ты в тысячу раз лучше! Ого... а тебя возбуждает, когда тебя хвалят!|Eintausend! Oh.... Ich kann fühlen, wie meine Komplimente!
		06.tola.40^		Ага, смотри не перехвали!|Ja, übertreib es nicht!

	06.tola.40@142@t-ao-2@А вот и наша сладкая парочка... не похоже, что у них всё получилось так... как у нас... Но я молчу, молчу...|Und hier ist ein süßes Paar.... sieht nicht so aus, als wäre ihr Abend so gut wie.... unser.... Tut mir leid, ich werde still sein.
		06.tola.41^		<i>далее</i>|<i>fortfahren</i>

	06.tola.41@143@t-ao-10@Да, Макс, да... Сильнее... Я конча... ю...|Oh, ja, Max....! Ja, härter! Ich bin am Kommen!
		06.tola.42^		<i>кончить в Оливию!</i>|<i>spritz in Olivia!</i>

	06.tola.42@142@Ой... Ты в меня кончил? Молодец... Я сегодня на таблетках... Но в следующий раз предупреждай заранее, хорошо?|Bist du gerade in mir angekommen? Gut.... Ich nehme heute die Pille.... Aber nächstes Mal solltest du es vorher sagen, okay?
		06.tola.43^		Хорошо...|Okay...

	06.tola.43@143@m-op-51@Ну всё, Макс, давай спать... Если что, мне очень понравилось и... твой член это... нечто...|Okay, Max, lass uns schlafen.... Ich mochte es wirklich.... und dein Schwanz ist.... unglaublich....
		06.tola.44^		Ага, мне тоже... Очень...|Es hat mir auch sehr gut gefallen....

	06.tola.44@4@m-op-50@<i>Интересно, она специально сказала это громко, чтобы Алекс услышал? И что там у него с Лизой, интересно? Надо будет утром спросить... Но это всё ерунда по сравнению с такой девушкой. Да, у меня же теперь есть девушка!</i>|<i>Hat sie es laut gesagt, nur damit Alex sie hören konnte? Ich frage mich, was sie getan haben, als sie draußen waren. Ich sollte Lisa morgen früh fragen.... Ich habe jetzt eine Freundin! Und was für eine Freundin sie es ist!</i>
		leave!set_dcd.oli_5!set_olihome_1!max_cam.6.grow_250!set_oliend_1!set_lit1_1!set_dcd.lit_3!set_oco_1!sleep^	Спать до утра|<i>schlafen</i>



# --- 0.6: Разговор с Лизой после последнего визита Оливии и Алекса|Gespräch mit Lisa nach dem ersten Besuch von Olivia und Alex ohne Partner

	06.lasto.0.init@0@Что-то случилось?|Ist etwas passiert?
	06.lasto.0@40@Лучше не спрашивай, Макс, и так паршиво!|Frag nicht mal, Max, ich bin schon schlecht gelaunt!
		06.lasto.1^		Это из-за прошлого визита Алекса и Оливии?|Ist das, weil Olivia und Alex das letzte Mal hier waren?

	06.lasto.1@46@Угу. Ты когда не надо, слишком проницателен...|Ja. Warum bist du so scharfsinnig, wenn ich es nicht brauche....
		06.lasto.2^		Ну давай, рассказывай, в чём дело?|Sag mir einfach, was passiert ist.

	06.lasto.2@41@А дело в том, что, насмотревшись на то, как вы там кувыркаетесь, он перевозбудился и захотел то же самое сделать со мной!|Das Problem ist, nachdem ich euch beobachtet habe, wollte Alex dasselbe mit mir machen!
		06.lasto.3a^	Ну да, мы это заметили...|Ja, das haben wir bemerkt....
		06.lasto.3b^	И что, приставал?|War er zu aufdringlich?

	06.lasto.3a@48@Заметили? А я думала, вы ничего не замечаете... Трахались как кролики. Не удивительно, что Алекс тоже захотел также...|Hast du? Ich dachte, du hättest nicht.... Ihr wart wie Kaninchen. Kein Wunder, dass Alex dasselbe wollte....
		06.lasto.3b^	И что, приставать начал?|War er zu aufdringlich?

	06.lasto.3b@40@Ну... Типа того. Я попыталась его орально поласкать, так сказать. Похоже, ему не понравилось. Ну у меня опыта мало, я же не знаю как правильно...|Na ja..... so was in der Art. Ich wollte ihm einen blasen, aber ich bin nicht sicher, ob es ihm gefiel. Ich habe nicht viel Erfahrung....
		06.lasto.3^		Ну у тебя есть на ком тренироваться!|Ich kenne jemanden zum Üben!
		06.lasto.3^		Я знаю один тренажёр, который будет очень рад...|Ich melde mich freiwillig als Tribut.

	06.lasto.3@41@Очень смешно, Макс! Короче, я объяснила, что ещё ни разу не было секса...|Sehr lustig. Jedenfalls habe ich ihm gesagt, dass ich Jungfrau bin....
		06.lasto.4^		В общем, ты ему отказала...|Also, du hast ihn abgelehnt....

	06.lasto.4@46@Ты же знаешь мою позицию, Макс. Пока он не убедит меня, что любит по-настоящему, дырку получит от бублика, а не мою девственность. А он надулся и с утра слова мне не сказал.|Du weißt, was ich davon halte, Max. Er wird meine Jungfräulichkeit nicht bekommen, bis er beweist, dass er mich wirklich liebt. Jedenfalls mochte er es nicht und sagte morgens nichts zu mir.
		06.lasto.5^		Да не парься. Он тебя не стоит!|Scheiß auf ihn, er ist deiner sowieso nicht würdig!

	06.lasto.5@43@А знаешь, ты абсолютно прав! Да пошёл он, раз не ценит то, что я для него делала...|Weißt du was, du hast absolut Recht! Scheiß auf ihn, wenn er nicht alles zu schätzen weiß, was ich ihm angetan habe....
		06.lasto.6^		Верно! А я ценю!|Das ist richtig! Ich begrüße das, nebenbei bemerkt.

	06.lasto.6@41@Я знаю... Но блин... Алекс мне всё равно нравится, хоть он и козёл... Ну как так?|Ich weiß.... Mist...... Ich mag Alex wirklich, aber er ist so ein Idiot....
		06.lasto.7^		Если ты знаешь, что он козёл, зачем на эти грабли наступать?|Wenn du weißt, dass er ein Idiot ist, dann lass ihn einfach fallen, was ist der Sinn einer verdammten Beziehung mit einem Idioten?

	06.lasto.7@43@Вот такие мы загадочные, Макс. Мужикам женщин не понять!|Mädchen sind mysteriöse Wesen, Max, du würdest es nicht verstehen.
		06.lasto.8^		Это точно!|Ja, das klingt ungefähr richtig....

	06.lasto.8@41@Ладно, не буду больше тебя грузить своими проблемами... Может быть, мы ещё помиримся... Ну или пошёл он...|Okay, ich will dich nicht mit meinen Problemen belästigen. Vielleicht werde ich mich mit ihm versöhnen.... Oder scheiß auf ihn....
		leave!set_lit1_2!set_dcd.lit_3!max_olivia.rep_3^			Эх, что у тебя в голове...|Ich weiß nicht, wie ich dir helfen soll....



# --- 0.6: Попытка пригласить Оливию в гости через Лизу|Der Versuch, Olivia durch Lisa einzuladen.

	06.oinn.0.init@0@Как у тебя там с Алексом дела?|Wie geht es dir und Alex?
	06.oinn.0@41@Что, по Оливии соскучился и не знаешь как намекнуть, чтобы её позвать?|Vermißt du Olivia und du bittest mich, sie einzuladen?
		06.oinn.1a^		Оу... Ты меня раскусила!|Du hast mich
		06.oinn.1b^		Что ты, хотел узнать как ты...|Was? Nein. Ich will nur etwas über dich wissen....

	06.oinn.1b@43@Ой, да хватит притворяться, что тебе не всё равно. Я же знаю, что ты только про Оливию и думаешь...|Ja, du kannst die Nummer bleiben lassen. Ich weiß, dass du immer nur an Olivia denkst....
		06.oinn.2^		Ладно, ладно. Но мне всё равно любопытно. Они придут в гости?|Gut, gut, gut. Ich sorge mich auch um dich. Wie auch immer, werden sie rüberkommen?

	06.oinn.1a@43@Да ты как открытая книга, сразу ясно о чём думаешь...|Ich kann dich wie ein Buch lesen!
		06.oinn.2^		Ну так что, они придут к нам в гости?|Ja, ja. Also, werden sie vorbeikommen?

	06.oinn.2@40@Не знаю. Я поболтаю ещё с Оливией, но что-то сомневаюсь, что Алекс ещё придёт. Если честно, то я его даже звать не хочу...|Ich weiß es noch nicht. Ich werde mit Olivia reden, aber ich bin nicht sicher, ob Alex wiederkommt. Ich will ihn nicht einmal einladen, um ehrlich zu sein....
		06.oinn.3^		Тогда зачем тебе Оливия?|Warum willst du dann Olivia einladen?

	06.oinn.3@43@Ну тебе-то она нужна, верно? А я не против, если мой братишка чуть-чуть развлечётся. Зато поменьше будешь ко мне под юбку заглядывать...|Du willst sie sehen, oder? Es macht mir nichts aus, dass du dich amüsierst. Vielleicht hörst du sogar auf, die ganze Zeit unter meinen Rock zu gucken....
		06.oinn.4^		Вот чего не обещаю...|Ich verspreche nichts

	06.oinn.4@41@Значит, можно Оливию и не звать?|Also muss ich Olivia nicht einladen?
		06.oinn.5^		Э... Нет, зови, конечно!|Hey-hey-hey, Natürlich solltest du sie einladen!

	06.oinn.5@43@То-то же!|Das ist richtig!
		06.oinn.6^		Так что у тебя с Алексом?|Also, wie läuft es mit Alex?

	06.oinn.6@40@Ты знаешь, мы толком с ним и не общались. Он делает вид, что ему не надо ничего, а я навязываться не собираюсь. Так что...|Er hat nicht viel geredet. Er tut so, als bräuchte er nichts und ich werde nicht betteln. Also....
		06.oinn.7^		Умница! Другая бы бегала как дура за ним, а ты молодец!|Großartig! Ich bin froh, dass du ihn nicht wie ein Idiot verfolgst!

	06.oinn.7@43@Спасибо, Макс! Ладно, с Оливией я поговорю и думаю, что смогу её убедить прийти одну. Думаю, даже убеждать не придётся. Со мной она только о тебе и говорит в школе...|Danke, Max. Okay, ich rede mit Olivia und ich denke, ich werde sie überzeugen, alleine zu kommen. Und ich glaube nicht, dass sie viel Überzeugungsarbeit braucht, sie redet nur die ganze Zeit über dich.
		06.oinn.8^		Ого. И что говорит?|Oh. Und was sagt sie?

	06.oinn.8@41@Ну всё больше о... ну ты понимаешь...|Es geht vor allem um.... du weißt schon....
		06.oinn.9^		Хм. Догадываюсь... И всё, только об этом?|Ich verstehe... Und das ist alles, worüber sie spricht?

	06.oinn.9@43@Я даже не думала, что она такая озабоченная. Вроде бы и не была, пока с тобой... того... Видимо, ты её околдовал...|Ja, ich hätte nie gedacht, dass sie so pervers ist. Und sie war es nicht, es sei denn, du hast, em, sie <i>umgepolt</i>.
		06.oinn.10^		Ага, волшебной палочкой. Магии на всех хватит!|Ja, mit meinem magischen Schwanz. Und ich habe viel zu tun!

	06.oinn.10@41@Макс, не будь пошляком. В общем, я уверена, что Оливия придёт, но придётся подготовиться, если дома кто-то будет, ты меня понимаешь...|Sei nicht ekelhaft, Max. Wie auch immer, ich bin sicher, Olivia kommt vorbei, wir müssen nur Vorbereitungen treffen, wenn jemand zu Hause ist, wenn du weißt, wovon ich rede....
		leave!set_oliend_0!set_lit1_3^			Конечно!|Natürlich!



# --- 0.6: Первый визит Оливии без Алекса|Erster Besuch von Olivia ohne Alex

	06.oalo.0@143@t-o-1@Приветик! А вот и я... Сегодня без Алекса. Это ничего?|Hallo, alle zusammen! Heute bin ich hier, ohne Alex. Du hast kein Problem damit, oder?
		06.oalo.1^		Без проблем!|überhaupt keine Probleme!
		06.oalo.1b^		Без него даже лучше!|Ohne ihn ist es sowieso besser.

	06.oalo.1b@142@Вот так, значит? Конкурента в нём углядел?|Huh. Angst vor Konkurrenz?
		06.oalo.1^		Да мутный он какой-то...|Er ist irgendwie zwielichtig....
		06.oalo.1^		Четвёртый - лишний!|Vier sind eine Menge!

	06.oalo.1@40@t-o-2@А он тебе что-то сказал, почему не пошёл?|Hat er dir gesagt, warum er nicht gekommen ist?
		06.oalo.2^		<i>далее</i>|<i>fortfahren</i>

	06.oalo.2@141@Ты у меня спрашиваешь? Это же твой парень. Я спросила его, пойдёт ли он, он просто отказался. Если это проблема, то я могу вернуться домой, пока не слишком поздно...|Warum fragst du mich, er ist dein Freund. Ich fragte ihn, ob er mitkommt und er sagte nein. Wenn es ein Problem ist, dann kann ich nach Hause gehen, bevor es zu spät ist....
		06.oalo.3^		Что ты, оставайся!|Es gibt kein Problem, du kannst gerne bleiben.

	06.oalo.3@41@Да, Оливия, оставайся. Если честно, то не очень то мне и нужен этот Алекс. Без него веселее - все свои. Лучшая подруга и братишка извращенец. И никаких дурацких настоек. У меня потом голова ещё целый день болела...|Ja, geh nicht, Olivia. Ich vermisse ihn nicht mal, um ehrlich zu sein. Es ist besser ohne ihn. Nur mein bester Freund und perverser Bruder. Und keine seltsamen Tinkturen. Ich hatte solche Kopfschmerzen danach....
		06.oalo.4^		Я не извращенец!|Ich bin kein Perverser!
		06.oalo.4^		Сама ты... извращенка!|Du bist pervers!

	06.oalo.4@143@Кстати об этом... Может быть, в бассейне выясним кто есть кто?|Was das angeht.... Ich denke, wir sollten das im Pool besprechen.
