myroom=МОЯ\nКОМНАТА|Mein \nZimmer
3.month=МАР|Maer
4.month=АПР|Apr
5.month=МАЙ|Mai
6.month=ИЮН|Jun
7.month=ИЮЛ|Jul
8.month=АВГ|Aug
9.month=СЕН|Sep
10.month=ОКТ|Okt
11.month=НОЯ|Nov
12.month=ДЕК|Dez


max=Макс|Max
mom=Мама|Mom
alisa=Алиса|Alice
liza=Лиза|Lisa
kira=Кира|Kira
eric=Эрик|Eric
olivia=Оливия|Olivia
kate=Катя|Kate
vicky=Вика|Vicky

replist.alisa=Отношения с Алисой|Beziehung zu: (Alice)
replist.liza=Отношения с Лизой|Beziehung zu: (Lisa)
replist.mom=Отношения с мамой|Beziehung zu: (Mum)
replist.eric=Отношения с Эриком|Beziehung zu: (Eric)
replist.kira=Отношения с Кирой|Beziehung zu: (Kira)
replist.olivia=Отношения с Оливией|Beziehung zu: (Olivia)
replist.kate=Отношения с Катей|Beziehung zu: (Kate)
replist.vicky=Отношения с Викой|Beziehung zu: (Vicky)

param.mood=Текущее настроение|Laune
param.rep=Уровень отношений|Status
param.dom=Авторитет Макса|Max's Einfluss

rep.-3=Война|Auf Kriegsfuss
rep.-2=Враждебные|Schlecht
rep.-1=Плохие|Eisig
rep.0=Прохладные|Kennt dich
rep.1=Неплохие|Ganz okay
rep.2=Хорошие|Gut
rep.3=Теплые|Herzlich
rep.4=Друзья|Freunde
rep.5=Флирт|Am Flirten
rep.6=Заигрывания|Am Rummachen
rep.7=Близкие|Intim
rep.8=Любовники|Geliebte

mood.-4=Ужасное|Furchtbar
mood.-3=Очень плохое|Sehr schlecht
mood.-2=Плохое|Schlecht
mood.-1=Не очень|So lala
mood.0=Нейтральное|Neutral
mood.1=Неплохое|Ganz okay
mood.2=Хорошее|Gut
mood.3=Очень хорошее|Sehr gut
mood.4=Отличное|Top

dom.0=Его нет|Keine
dom.1=Очень низкий|Sehr niedrig
dom.2=Низкий|Niedrig
dom.3=Считается|Hat ein offenes Ohr für dich
dom.4=Доверяет|Vertraut dir
dom.5=Уважает|Respektiert dich
dom.6=Подчиняется|Dominanz

diaBegin.alisa.0=Ну, Макс, чего надо?|Was willst du, Max?
diaBegin.liza.0=Макс, решил поболтать?|Hey Max, willst du reden?
diaBegin.mom.0=Что-то случилось, дорогой?|Was ist los Max?
diaBegin.kira.0=Макс, чем тебе помочь?|Hi Max, wie kann ich dir helfen?
diaBegin.eric.0=Чего хотел, Макс?|Max, was willst du?
diaBegin.olivia.0=А, Макс. Хотел поговорить?|Hey Max, willst du reden?
diaBegin.vicky.0=Макс, чем я могу тебе помочь?|Hi Max, wie kann ich dir helfen?

diaNothing=<i>уйти</i>|<i>verlassen</i>
watchers=Зрителей|Zuschauer

eshop=ИНТЕРНЕТ-МАГАЗИН|ONLINE SHOP
inventory=ВАШИ ВЕЩИ|DEINE ARTIKEL
userinfo=ПЕРСОНАЖИ|PERSONEN
poss=ВОЗМОЖНОСТИ|CHANCEN
options=ГЛАВНОЕ МЕНЮ|HAUPTMENUE
help=ПОЛЕЗНОЕ|HILFE
loco=ВЫБЕРИТЕ ПУНКТ НАЗНАЧЕНИЯ|WAEHLE EIN ZIEL AUS

menu-newgame=НОВАЯ ИГРА|NEUES SPIEL
menu-continue=ПРОДОЛЖИТЬ|FORTSETZEN
menu-patreon=PATREON|PATREON
menu-quit=ВЫЙТИ|VERLASSEN

thank.header=Особая благодарность|Vielen Dank
thank.text=Эта игра существует во многом благодаря поддержке как моральной, так и финансовой через Patreon. Спасибо вам всем!\n\n\n\n<b>А этим людям особая благодарность:</b>|Dieses Spiel konnte nur dank Eurer Unterstuetzung entstehen, sowohl durch Geld, als auch moralisch auf Patreon. Vielen Dank an euch alle!\n\n\n\n<b>Ganz besonderen Dank an:</b>

newsave=Новое сохранение|Neuer Speicherstand
cantsave=Максимум сохранений|Verfuegbare der Speicherplaetze aufgebraucht

shopCat.0=Одежда|Kleidung
shopCat.1=Книги|Buecher\nZeitschriften
shopCat.2=Продукты|Nahrungsmittel
shopCat.3=Электроника|Elektronik
shopCat.4=Товары 18+|Artikel 18+
shopCat.5=Косметика|Schminkzeug
shopCat.6=Украшения|Schmuck
shopCat.7=Другое|Verschiedenes

inv.all=Все вещи|Alle Elemente
inv.quest=Важные|Wichtige

options.loadgame=Загрузить игру|Spiel laden
options.savegame=Сохранить игру|Spiel speichern
options.autosaves=Автосохранения|Autosave's
options.quicksaves=Быстрые сохранения|Schnellspeichern
options.settings=Настройки|Einstellungen
options.thanks=Отдельное спасибо|Danksagung
options.quit=Выйти из игры|Spiel beenden

sli.0=РАЗМЕР ИНТЕРФЕЙСА|Oberflaechengroeße
sli.1=РАЗМЕР ШРИФТОВ|Schriftgroeße

lang.0=РУССКИЙ|Russisch
lang.1=ENGLISH|Deutsch

need=НУЖНО:|Ausstehend:
deselect.poss=ВЫ ОТСЛЕЖИВАЕТЕ ЭТУ ВОЗМОЖНОСТЬ|Du verfolgst diese Quest
select.poss=ОТСЛЕЖИВАТЬ ЭТУ ВОЗМОЖНОСТЬ|Nutze diese Gelegenheit

ontheway=КУПЛЕНО|Gekauft
sold=ПРОДАНО|Verkauft
emptycat=В данный момент нет товаров из этой категории.\nПопробуйте зайти сюда немного позже.|Aktuell sind keine Artikel verfuegbar.\nVersuch es später nochmal.
gotnothing=К сожалению, сейчас у вас нет никаких предметов.|Leider besitzt du diesen Artikel nicht.
nosuchtype=К сожалению, у вас нет предметов этого типа.|Leider hast du keinen Artikel dieses Typ's.
deliverylist=Так... В накладной написано следующее:|Die Lieferung beinhaltet:

averageric=Среднее влияние\nЭрика на семью|Eric's durchschnittlicher\nEinflussgrad
ericinf=Влияние Эрика|Eric's Einfluss
daysprivate=Особые наказания|Private Strafen verbleibende Tag/e
ddays=дн.|Tage
sv=СОХРАНИТЬ|Speichern
chance=Шанс|Chance

skill.social.name=Навык убеждения|überzeugungskraft
skill.social.shortname=Убеждение|überzeugen

skill.massage.name=Навык массажа|Massage Skill
skill.massage.shortname=Массаж|Massage

skill.eromas.name=Эро. массаж|Massage Skill (sinnlich)
skill.eromas.shortname=Эро. массаж|Erotikmassage

skill.dex.name=Навык скрытности|Tarnung
skill.dex.shortname=Скрытность|Tarnung

skill.luck.name=Удача|Glueck
skill.luck.shortname=Удача|Glueck

skill.kiss.name=Опыт поцелуев|Kusstechnik
skill.kiss.shortname=Поцелуи|Kuessen

skill.cuni.name=Опыт в куни|Lecktechnik
skill.cuni.shortname=Опыт куни|Lecken

skill.sex.name=Опыт в сексе|Sex Skill
skill.sex.shortname=Секс опыт|Sex

skill.anal.name=Опыт в анале|Anal Skill
skill.anal.shortname=Анал|Anal

item.bookse.header=СЕКС-ОБРАЗОВАНИЕ|Aufklaerungsunterricht
item.bookse.text=Книга обо всём, связанным с сексом. Отлично подходит для обучения подрастающего поколения.|Buecher mit Inhalt Sexualitaet. Wird gut von der neuen Generation angenommen.

item.littleblackdress.header=МАЛЕНЬКОЕ ЧЕРНОЕ ПЛАТЬЕ|Das kleine Schwarze
item.littleblackdress.text=Отличный подарок для девушки, желающей произвести фурор на вечеринке или дискотеке.|Das perfekte Geschenk, um Eindruck auf der Party zu schinden.

item.swimsuitliza.header=КУПАЛЬНИК КРАСНЫЙ|Seidener Bademantel
item.swimsuitliza.text=Купальник для тех, кто не стесняется своего тела. Скрывает только самые интимные участки. Всё остальное открыто для солнца и глаз окружающих.|Kurzer und leichter seidener Bademantel. Beste Qualität! Hergestellt in China.

item.bathrobe.header=ШЕЛКОВЫЙ ХАЛАТ|Seidener Bademantel
item.bathrobe.text=Короткий, лёгкий, почти шёлковый халат высшего качества. Made in China.|Short, light, silk bathrobe. Great quality! Made in China.

item.massageoil.header=МАССАЖНОЕ МАСЛО|Massageoel
item.massageoil.text=Масло для массажа с экстрактом зеленого чая обладает дренирующим и антицеллюлитным свойством, выводит излишки жидкости из тканей, уменьшает объемы тела.|Massageoel mit gruenen Tee Extrakt wirkt gegen Cellulite und enfernt nichtbenötigte Fluessigkeit aus dem Gewebe, reduziert das Koerpervolumen.

item.solar.header=КРЕМ ДЛЯ ЗАГАРА|Selbstbraeuner
item.solar.text=Легкий, хорошо впитывающийся препарат для ускорения загара обладает увлажняющими и защитными свойствами. Рекомендуется для применения на пляже и в солярии.|Sehr angenehm aufzutragen mit exzellenten Sonnenschutz und bewahrt die Haut vor dem Austrocknen. Geeignet für den Einsatz im Solarium und am Strand.

item.webbook1.header=WEB STANDARDS|Web-Standards
item.webbook1.text=Книга рассказывает о способах создавать свои сайты, работающие на любых устройствах.|Lerne die Grundlagen um Internetseiten zu erstelllen, welche mit jedem Gerät genutzt werden können.

item.cosm.header=НАБОР КОСМЕТИКИ|Schmink-Set
item.cosm.text=Небольшой набор косметики для повседневного использования.||Kleines Schmink-Set für den täglichen Gebrauch.

item.erobook.1.header=ЛЮБЯЩАЯ РУБИ|Loving Ruby
item.erobook.1.text=Роман о запретной любви между секретаршей и её начальником, полный любви, страсти, эмоций и... мистики.|Kennst du die Gerüchte: Er hat seine Frau getötet. Er steht unter Hausarrest. Er ist ein Vampir. Ich weis, ich muss verrückt sein.

item.erobook.2.header=ПРЕМЬЕР-МИНИСТР|Der Premierminister
item.erobook.2.text=Новый эротический роман, входящий в Топ-10 лучших романов и новелл США!|Ein notgeiler Premierminister, eine Bilderbuchpratikatin, und ein Skandal welche sich nicht so gut anfühlen oder soviel kosten sollte.

item.erobook.3.header=БЫТЬ КУКЛОЙ|Be a Doll
item.erobook.3.text=В поместье Картера красивые девушки обучаются, чтобы стать идеальными жёнами для самых влиятельных людей этого мира.|Bei Carter Manor, werden Frauen geformt um die perfekte Trophaee für die reichsten und mächtigsten Männer der Welt zuwerden.

item.erobook.4.header=КНИГА ОРГАЗМОВ|Das große Buch der Orgasmen
item.erobook.4.text=Что получится, если собрать самые горячие истории об оргазмах от 69 различных авторов?|Was passiert wenn man 6 und 9 zusammenbringt? Authoren erzählen ihre geheimsten Sexabenteuer.

item.erobook.5.header=ИСТОРИЯ О|Geschichte von O
item.erobook.5.text=Это история о доминировании и подчинении. История об одной прекрасной девушке по имени О.|Geschichten von O ist eine Romanze über weibliche Untergebenheit mit einen pariser Mode-Fotografen namens O.

item.ciga.header=СИГАРЕТЫ|Zigaretten
item.ciga.text=Пачка сигарет Lucky Strike. Для настоящих мужчин!|Packung Zigaretten, Lucky Strike. Nur für echte Männer!

item.spider.header=ПАУК|Spinnen
item.spider.text=Самое страшное существо на свете. С точки зрения Алисы, конечно. Нужно этим воспользоваться в подходящий момент!|Die ekligsten Tieren auf der Erde, zumindest für Alice. Ich sollte mir gut überlegen wann ich sie einsetze.

item.choco.header=КОНФЕТЫ|Sueßigkeiten
item.choco.text=Шоколадные конфеты с ликёром. Уникальные ароматизаторы скрывают вкус алкоголя. Отлично поднимают настроение. Очень крепкие.|Sueßigkeiten mit Brandwein. Der einmalige Geschmack verdeckt den Alkohol vollkommend. Sehr lecker ,aber auch unglaublich stark.

item.photo.header=ФОТОАППАРАТ|Spiegelreflex-Kamera
item.photo.text=Профессиональный фотоаппарат с объективом. Не новый, но в отличном состоянии. Подойдёт как для новичков, так и для профессионалов.|Professionelle Spiegelreflex-Kamera. Gebraucht, aber im Top-Zustand. Für Beginner oder Fortgeschrittene bestens geeignet.

item.cam.header=СКРЫТАЯ КАМЕРА|Versteckte Kamera
item.cam.text=Высокотехнологичная микро-камера, предназначенная для скрытного наблюдения. Имеет радиомодуль для беспроводной передачи зашифрованного цифрового видеосигнала.|Verbesserte Micro-Kamera für die geheime Überwachung, mit W-Lan Modul zur Übertragung der verschlüsselten Videoaufnahme.

item.playboy.header=ЖУРНАЛ PLAYBOY|Playboy Magazin
item.playboy.text=Мужской эротический журнал. Может быть интересен и некоторым девушкам.|Der Klassiker unter den Erotik Magazinen.

item.simcard.header=SIM-КАРТА|Sim-Card
item.simcard.text=Универсальная sim-карта с интернет-тарифом «всё включено». Используйте на свой страх и риск.|Unlimitierte Sim-Karte mit Zugang zum kompletten Internet. Nutzung auf eigene Gefahr.

item.jewelry.1.header=СЕРЬГИ С БРИЛЛИАНТАМИ|Diamant Ohrringe
item.jewelry.1.text=Это украшение подойдёт любой девушке. Золото 900 пробы. Бриллианты.|Der Lieblingsschmuck einer jeden Dame. 22 Karat Gold und Diamanten.

item.jewelry.2.header=КОЛЬЦО С БРИЛЛИАНТАМИ|Diamant Ring
item.jewelry.2.text=Это украшение подойдёт любой девушке. Золото 900 пробы. Бриллианты.|Der Lieblingsschmuck einer jeden Dame. 22 Karat Gold und Diamanten.

item.jewelry.3.header=ЗОЛОТАЯ ЦЕПОЧКА|Goldene Halskette
item.jewelry.3.text=Это украшение подойдёт любой девушке. Золото 900 пробы.|Der Lieblingsschmuck einer jeden Dame. 22 Karat Gold und Diamanten.

item.jewelry.4.header=КУЛОН С БРИЛЛИАНТОМ|Diamant Anhaenger
item.jewelry.4.text=Это украшение подойдёт любой девушке. Золото 900 пробы. Бриллиант.|Der Lieblingsschmuck einer jeden Dame. 22 Karat Gold und Diamanten.

item.jewelry.5.header=БРАСЛЕТ С БРИЛЛИАНТАМИ|Diamant Armband
item.jewelry.5.text=Это украшение подойдёт любой девушке. Золото 900 пробы.|Der Lieblingsschmuck einer jeden Dame. 22 Karat Gold und Diamanten.

item.jewelry.6.header=ЗОЛОТЫЕ ЧАСЫ|Goldene Uhr
item.jewelry.6.text=Это украшение подойдёт любой девушке. Золото 585 пробы. Фианиты.|Der Lieblingsschmuck einer jeden Dame. 14 Karat Gold und Zirkonia.

item.partydress.header=ЧЕРНОЕ ПЛАТЬЕ|Schwarzes Kleid
item.partydress.text=Очень короткое чёрное платье. Подойдёт любой моднице или тусовщице.|Das kleine Schwarze, perfekt für jede Party.

item.blackunderwear.header=КОМПЛЕКТ НИЖНЕГО БЕЛЬЯ|Ein Paar schwarze Dessous
item.blackunderwear.text=Отличное нижнее бельё черного цвета. Отличный подарок любимой девушке.|Qualitaets-Dessous in schwarz. Ein perfektes Geschenk für die Frau welche man liebt.

item.lingerie.header=ЧЁРНОЕ БОДИ|Schwarzer Body
item.lingerie.text=Очень сексуальный наряд для особых случаев. В комплект к боди верхняя часть не входит.|Sexy Ouftif für den speziellen Anlasse. Oberteil nicht enthalten.

item.ganja.header=ОСОБЫЙ ЗАКАЗ|Spezielle Lieferung
item.ganja.text=Небольшой пакетик травки. Легально в некоторых странах.|Ein paar Gramm Gras. In manchen Laendern Legal

item.bigganja.header=БОЛЬШОЙ ОСОБЫЙ ЗАКАЗ|Spezielle Lieferung, besonders groß!
item.bigganja.text=Большой пакет травки. Легально в некоторых странах.|Ein ordentliches Bündel Gras. In manchen Laendern Legal

item.pills.header=СРЕДСТВО ОТ ПОТЕНЦИИ|Anti-Potenz Pillen
item.pills.text=Отлично подходит мужчинам, испытывающим перевозбуждение. Применять только по назначению врача.|Perfekt für leicht zu erregende Männer.aroused.

item.sleeping.header=СНОТВОРНОЕ|Schlaftabletten
item.sleeping.text=Натуральное средство, оказывающим успокаивающее влияние на центрпьную нервную систему|Bestehen nur aus natürliche Inhaltsstoffe, beruhigt das zentrale Nervensystem.

item.beer.header=БАНКА ПИВА|Dose Bier
item.beer.text=Отличное пиво. Вековые традиции в одной алюминевой банке.|Ein klasse Bier, jahrhunderte alte Braukunst in eine Dose.

item.wallet.header=БУМАЖНИК ЭРИКА|Eric's Portmonee
item.wallet.text=Внутри лежат любопытные права с фотографией Эрика на имя какого-то Виктора Моро.|Beinhaltet einen interessanten Personalausweis mit einem Bild von Eric, jedoch auf dem Namen Victor Moro.

item.roma.header=ФИЛЬМ «КОМНАТА В РИМЕ»|Film "Room in Rome"
item.roma.text=Испанка Альба и русская Наташа знакомятся в Риме и становятся близки в комнате одного из местных отелей.|Zwei junge Frauen (Elena Anaya, Natasha Yarovenko) haben eine Nacht voller Leidenschaft in Rom.

item.hc.header=СТАЛЬНЫЕ НАРУЧНИКИ|Handschellen aus Stahl
item.hc.text=Настоящие надёжные наручники из закалённой стали для самого разнообразного применения.|Echte rostfreie Handschellen, für alle Faelle.

item.uni.header=ОСОБАЯ ШКОЛЬНАЯ ФОРМА|Schuluniform "sexy"
item.uni.text=Сексуальная школьная форма для ролевых игр. Рекомендуется для лиц от 18 лет и старше.|Schuluniform für 18+ Rollenspiele.

item.sto.header=ЧЕРНЫЕ ЧУЛКИ|Schwarze Struempfe
item.sto.text=Сексуальные чулки чёрного цвета для очень важных случаев.|Sexy schwarze Strümpfe für den besonderen Anlass.

item.sho.header=ТУФЛИ НА ВЫСОКОМ КАБЛУКЕ|Hig Heels
item.sho.text=Сексуальные чёрные туфли. Отлично подойдут к кружевному белью или вечернему платью.|Sexy schwarze Schuhe, passend zu Spitzendessous oder einen Abendkleid.

item.att.header=ПРИМАНКА ДЛЯ ПАУКОВ|Spinnenkoeder
item.att.text=Экспериментальное средство, позволяющее эффективно приманивать пауков, обитающих в регионах с жарким климатом.|Lockt Spinnen an. Geeignet für warme Klimazonen.

item.eromovie.header=ФИЛЬМ «КРАСНАЯ ЛИНИЯ»|“RED LINE”
item.eromovie.text=Эротический фильм с красивыми девушками. Сюжет отсутствует.|Erotik-Film mit zwei hübschen Frauen. Keine Storyline.

item.momovie.header=ФИЛЬМ «ШКОЛЬНИЦЫ»|Porno “Schulmaedchen”
item.momovie.text=Строгая учительница пытается наказать непослушных школьниц...|Eine strenge Lehrerin versucht zwei versaute Schulmaedchen zubaendigen...

item.soft.header=ОБЕЗБАЛИВАЮЩИЙ КРЕМ|Schmerzsalbe
item.soft.text=Крем для массажа с обезбаливающим эффектом. Отлично подходит для быстрого восстановления кожи.|Schmerzlindernde Massagecreme, bestens geeignet zur Hautreparatur.


help.0.name=Управление|Steuerung
help.0.text=В данной игре предусмотрено управление с помощью клавиатуры. Вы можете сохраняться в любой момент, кроме диалогов. Быстрые клавиши по-умолчанию:\nF5 - сохранить, F8 - загрузить.\n\n\nКроме того, во время диалогов работают клавиши 1... 9 для различных вариантов ответов. Если вариант всего один, можно нажимать клавишу [Space].\n\n\nДля переключения между комнатами можно воспользоваться клавишами 1... 7.\n\n\nОтключить интерфейс можно клавишей [ ` ].\nЭто очень удобно, если область диалогов скрывает интересную часть изображения...|Diese Spiel kann man mit der Tastatur steuern. Speichern ist jederzeit moeglich, ausser in Dialogen. \nShortcut's:F5 - Speichern, F8 - Laden.\n\nDesweitern kann man die Tasten 1-9 nutzen um in Dialogen zu antworten. Bei nur einer Antwortsmoeglichkeit kann die [Leertaste] genutzt werden.\n\nUm von Raum zu Raum zuspringen kann man die Tasten 1-7 nutzen.\n\nUm das Interface zu verberger kann man [H] drücken.\nDies ist besonders nuetzlich wenn das Interface Bereiche des Bildes überlagert...

help.1.name=Возможности|Chancen
help.1.text=В процессе игры, во время диалогов и других действий, вы можете открыть для себя новые «возможности». Их механика немного похожа на «задания» или «квесты» из других игр, но есть некоторые отличия.\n\n\n«Возможности» могут открывать доступ к скрытым событиям или покупкам в интернет-магазине, к новым опциям в ноутбуке или действиям в некоторых комнатах. Читайте внимательно описание каждой «возможности» и вы ничего не упустите!|Waehrend Gespraechen innerhalb des Spiels und auch bei anderen Aktionen koennen “Chancen” auftauchen. Sie sind sehr aehnlich zu Quest's aus anderen Spielen\n\nChancen koennen versteckte Aktionen, neue Gegenstaende im Online-Shop, neue Optionen am Laptop oder Aktionen in einigen Raumen ermoeglichen. Lies daher die Beschreibung aufmerksam durch um nicht etwas zu übersehen!

help.2.name=Настроение|Stimmung
help.2.text=Различные действия или фразы, сказанные Максом, могут вызывать соответствующую реакцию в виде смены настроения персонажа.\n\n\nЕсли у персонажа плохое настроение, он может отказаться с вами обсуждать некоторые темы.\n\n\nПостепенно, каждый час, настроение плавно стремится к нейтральному состоянию. Однако, если настроение очень плохое, оно будет долго восстанавливаться.\n\n\nЧтобы поднять настроение, можно подарить то, что нужно именно этому персонажу или же просто извиниться (эта опция начнёт работать в версии 0.3). А иногда и правильное слово во время разговора может значительно улучшить настроение.|Die verschiedenen Aktionen haben Einfluss auf die Stimmlage der Charaktere.\n\n\nBei schlechter Laune weigern sie sich bestimmte Themen zu besprechen\n\n\nJede Stunde wird die Stimmung der Charakter in Richtung neutral korrigiert. Bei sehr schlechter Laune braucht es somit eine Weile.\n\nUm die Stimmung zu verbessern kann man Geschenke machen oder um Verzeihung bitten. Manche Dialogoptionen haben zusaetzlich einen sehr positiven Effekt auf die Stimmung des Charakters.

help.3.name=Авторитет|Autoritaet
help.3.text=Эта характеристика показывает, насколько серьёзно тот или иной персонаж относится к Максу.\n\n\nАвторитет может меняться в исключительных ситуациях. А именно - во время наказания. Когда кого-то наказывают, его самооценка снижается, а авторитет Макса увеличивается. Если же наказывают Макса в присуствии других, для них всех его авторитет падает.\n\n\nАвторитет может быть очень важен, если вы хотите кого-то склонить на свою сторону во время спора или просто... склонить к чему-то... :)|Die Autorität gibt an wie ernst der Charakter Max nimmt.\n\nDies kann nur in bestimmten Situationen geaendert werden, z.B. durch Bestrafungen. Bei der Bestrafung verrringert sich das Selbstwertgefuehl des jeweiligen Charakters und Max's Autoritaet nimmt zu. Wird jedoch Max in Anwesenheit dieses Charakters bestraft verliert er Autoritaet.\n\nAutoritaet ist wichtig um den Charakter deinen Willen aufzuzwingen oder um diesen zubrechen.

help.4.name=Шоу|Cam-Show
help.4.text=Скрытые камеры могут быть основным источником дохода. Чем больше аудитория, тем больше людей, готовых платить за просмотр.\n\n\nУвеличить аудиторию можно с помощью рекламы. Если на камерах не происходит ничего интересного - аудитория падает. Если в кадр попадают пикантные моменты, аудитория растёт.\n\n\nЕсли у вас есть сайт, вы можете зарабатывать на рекламных баннерах. Поэтому, чем больше аудитория, тем больше у вас денег.\n\n\n<i><b>Внимание:</b> В следующих версиях игры появятся VIP-пользователи с особыми просьбами. Если вы будете их выполнять, получите солидную прибавку к доходу.</i>|Die Life-Show kann zu einer deiner Haupteinnahmequellen werden. Mit wachsender Beliebtheit werden sich auch immer mehr Leute finden welche bereicht sind Geld zu bezahlen.\n\n\nUm mehr Leute zu erreichen kannst du auf Werbung setzten. Wenn eine Weile nichts interessantes passiert wird deine Zuschauerzahl schwinden, genau wie sie steigt wenn spannende Aktionen passieren.\n\nMithilfe einer eigenen Homepage kannst du via Werbebanner Einnahmen generrieren, also mehr Zuschauer = mehr Geld.\n\n\n<i><b>Attention:</b> VIP-users with special demands will be introduced in new versions. If you do what they want, you’ll get significant money boost.</i>

help.5.name=От разработчика|über Dark Silver
help.5.text=Меня зовут Dark Silver. Более десяти лет я работал на крупные компании и занимался разработкой игр, но сейчас решил, что пришло время попробовать себя в роли независимого разработчика.\n\n\nИгры для взрослых открыл для себя относительно недавно, но сразу бросился в глаза очень низкий уровень качества подобных игр. К счастью, теперь могу проявить свои навыки, полученные за годы работы в области игровой индустрии, чтобы сделать нечто особенное. Ну а получается у меня или нет - решать вам.\n\n\nЕсли хотите узнать больше о ходе разработки, почитать новости или задать вопросы, можете зайти на мою страницу по кнопке Patreon в верхней части экрана.\nТакже, регулярно присутствую и в Telegram.\nКанал @sandlust, чат: @brotalk|Hi ich bin Dark Silver, und habe die letzten 10 Jahre für einen großen Spielentwickler gearbeitet. Und will mich nun als Indie-Entwickler beweisen.\n\n\nMir ist in diesen Zuge die unterdurchschnichtliche Qualitaet der meisten Erotikspiele aufgefallen und moechte mit diesem Titel etwas Besonderen schaffen. Hierbei werden mir eine Faehigkeiten und Erfahrung aus meinen frueheren Job helfen, aber natuerlich nur Ihr koennt sagen wie gut es wirklich ist!\n\n\nWenn du Interesse an der Entwicklung dieses Spiels hast oder aber auch für Fragen oder News findest du all diese auf meiner Patreon Seite.


site.header=МОЕ ШОУ|Webcam Show
site.overview=Камеры|Webcam's
site.ad=Реклама|Werbung
site.payments=Платежи|Auszahlung
site.earn.today=Доход сегодня|Heutige Einnahmen
site.earn.total=Общий доход|Gesamteinnahmen
site.cam.watchers=Зрителей|Zuschauer
site.cam.place=Расположение|Raum
site.ad.header=СЕТЬ БАННЕРНОЙ РЕКЛАМЫ|Google AdWords
site.ad.text=Уникальное предложение только для вас! Наша баннерная сеть предназначена для клиентов с особыми запросами и готова донести вашу рекламу до целевой аудитории.\n\nЗа каждый пакет, который вы оплачиваете сейчас, мы гарантируем 10000 показов рекламы вашего сайта в ближайшем будущем!|Wir haben die besten Angebote maßgeschneidert auf deine Beduerfnisse! Unsere Angebote richten sich an Kunden mit besonderen Anspruechen und einem exclusiven Publikum.\n\nJedes Werbepaket beinhaltet 10000 Banner, welche zeitnah geschalten werden.
site.ad.buy=КУПИТЬ ПАКЕТ РЕКЛАМЫ ЗА|Werbepaket kaufen für
site.pay.header=ДОХОД ОТ ПРОСМОТРОВ|Werbeeinnahmen
site.pay.text=Каждое посещение страниц вашего сайта приносит небольшой доход. Увеличивайте аудиторию и зарабатывайте на рекламе!\n\nМинимальная сумма единоразового снятия: $100.|Jeder Besucher auf deiner Seite bringt eine kleine Einnahme. Vergroeßere deine Bekanntheit um ernsthaft Geld mit Werbung zu verdienen!\n\nKleinstmoegliche Abhebung: $100
site.pay.button=ЗАБРАТЬ|Auszahlen
site.pay.cant=НЕДОСТАТОЧНАЯ СУММА ДЛЯ СНЯТИЯ|Nicht genügend Geld für einen Auszahlung
site.pay.account=На вашем счете|Kontostand

onlinecourses=ОНЛАЙН-КУРСЫ|Online Kurse
